sa2,Male,Female
Braidwood,2234,2117
Karabar,4264,4255
Queanbeyan,5704,5638
Queanbeyan - East,2647,2440
Queanbeyan West - Jerrabomberra,6331,6413
Googong,3093,3134
Queanbeyan Surrounds,8405,8131
Bombala,1223,1229
Cooma,3436,3321
Cooma Surrounds,1811,1659
Jindabyne - Berridale,4196,3839
Batemans Bay,4196,4384
Batemans Bay - South,4295,4646
Bega - Tathra,4310,4560
Bega-Eden Hinterland,4878,4686
Broulee - Tomakin,1823,1968
Deua - Wadbilliga,25,16
Eden,1667,1757
Eurobodalla Hinterland,1801,1722
Merimbula - Tura Beach,5536,5977
Moruya - Tuross Head,4292,4307
Narooma - Bermagui,4804,5082
Goulburn,12212,12355
Goulburn Surrounds,7128,6715
Yass,3271,3493
Yass Surrounds,6330,6381
Young,5291,5715
Young Surrounds,3898,3777
Avoca Beach - Copacabana,3729,3781
Box Head - MacMasters Beach,5417,5621
Calga - Kulnura,2445,2274
Erina - Green Point,6897,7861
Gosford - Springfield,10309,10903
Kariong,3272,3211
Kincumber - Picketts Valley,3465,4149
Narara,3499,3658
Niagara Park - Lisarow,4026,4176
Point Clare - Koolewong,3202,3362
Saratoga - Davistown,3500,3662
Terrigal - North Avoca,7315,7534
Umina - Booker Bay - Patonga,11766,12927
Wamberal - Forresters Beach,5205,5469
Woy Woy - Blackwall,6835,7508
Wyoming,5481,5940
Bateau Bay - Killarney Vale,10884,11942
Blue Haven - San Remo,5521,5769
Budgewoi - Buff Point - Halekulani,4759,4969
Chittaway Bay - Tumbi Umbi,7736,8273
Gorokan - Kanwal - Charmhaven,10790,11571
Jilliby - Yarramalong,1732,1684
Lake Munmorah - Mannering Park,5263,5696
Ourimbah - Fountaindale,2460,2459
Summerland Point - Gwandalan,3258,3235
The Entrance,7630,8207
Toukley - Norah Head,4868,5048
Tuggerah - Kangy Angy,2500,2732
Warnervale - Wadalba,9640,10415
Wyong,4557,4563
Bathurst - East,6096,6235
Bathurst Surrounds,3634,3277
Oberon,2531,2307
Bathurst - South,5565,5189
Bathurst - West,6946,7367
Condobolin,3191,3187
Cowra,4526,4746
Cowra Surrounds,2860,2862
Forbes,4970,5052
Grenfell,1840,1753
Parkes (NSW),5350,5567
Parkes Surrounds,1715,1541
West Wyalong,2776,2744
Lithgow,6226,6163
Lithgow Surrounds,4299,4150
Mudgee,6134,6433
Mudgee Surrounds - East,1749,1651
Mudgee Surrounds - West,5726,5341
Wollangambe - Wollemi,0,0
Blayney,3735,3783
Orange,9185,9840
Orange - North,11150,11744
Orange Surrounds,5990,5842
Grafton,9273,9983
Grafton Surrounds,8986,7886
Maclean - Yamba - Iluka,8559,8969
Bellingen,2958,3204
Coffs Harbour - North,8628,9473
Coffs Harbour - South,5266,6038
Coramba - Nana Glen - Bucca,2016,1938
Dorrigo,1636,1610
Korora - Emerald Beach,5004,5253
Sawtell - Boambee,9645,10414
Urunga,2404,2503
Woolgoolga - Arrawarra,7117,7347
Bourke - Brewarrina,1697,1730
Cobar,2099,2031
Coonamble,1975,1958
Nyngan - Warren,2275,2316
Walgett - Lightning Ridge,2809,2722
Broken Hill,8565,9020
Far West,1182,1107
Coonabarabran,3951,3963
Dubbo - East,5186,5446
Dubbo - South,9271,10354
Dubbo - West,5060,5257
Dubbo Surrounds,3080,2877
Gilgandra,2176,2218
Narromine,3273,3189
Wellington,4713,4056
Branxton - Greta - Pokolbin,6382,6387
Cessnock,12097,11399
Cessnock Surrounds,4614,4531
Dungog,4761,4781
Kurri Kurri - Abermain,10139,10488
Singleton,8800,8219
Singleton Surrounds,2734,2590
Maitland,4228,4388
Maitland - North,4220,4510
East Maitland - Metford,8774,9204
Rutherford (North) - Aberglasslyn,8615,9113
Rutherford (South) - Telarah,3923,4051
Tenambit - East Maitland,4806,5284
Thornton - Millers Forest,7827,8065
Anna Bay,3178,3266
Lemon Tree Passage - Tanilba Bay,3456,3435
Nelson Bay Peninsula,10505,11467
Raymond Terrace,7240,7355
Seaham - Woodville,2860,2830
Tea Gardens - Hawks Nest,2886,2917
Williamtown - Medowie - Karuah,7577,7445
Muswellbrook,6308,5968
Muswellbrook Surrounds,2091,1990
Scone,2977,3057
Scone Surrounds,4137,4058
Dapto - Avondale,11819,12376
Horsley - Kembla Grange,5995,6166
Port Kembla Industrial,5,0
Unanderra - Mount Kembla,7417,7861
Berkeley - Lake Heights - Cringila,7043,7160
Port Kembla - Warrawong,4840,4900
Windang - Primbee,2133,2108
Illawarra Catchment Reserve,5,0
Albion Park - Macquarie Pass,9346,9681
Albion Park Rail,3340,3571
Kiama,4224,4562
