sa2,Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate III & IV Level,Secondary Education - Years 10 and above,Certificate I & II Level,Secondary Education - Years 9 and below,Supplementary Codes,Not stated,Not applicable
Braidwood,223,116,541,350,723,941,4,228,107,420,695
Karabar,317,139,728,627,1342,2328,5,646,174,589,1617
Queanbeyan,885,239,1515,886,1528,2882,3,664,290,719,1738
Queanbeyan - East,402,120,743,408,737,1227,3,237,130,284,788
Queanbeyan West - Jerrabomberra,1030,371,1754,1090,1572,2958,4,521,273,449,2718
Googong,404,177,966,612,743,1037,0,117,84,214,1874
Queanbeyan Surrounds,1168,498,2287,1456,2424,3517,4,672,323,981,3204
Bombala,35,33,201,136,387,692,4,251,57,256,411
Cooma,204,112,649,478,1160,1658,0,510,193,685,1102
Cooma Surrounds,110,54,373,260,642,824,0,230,82,347,545
Jindabyne - Berridale,298,132,1057,638,1564,1906,3,292,182,673,1296
Batemans Bay,174,147,548,595,1577,2418,15,709,263,805,1343
Batemans Bay - South,309,180,828,739,1515,2245,8,697,286,904,1227
Bega - Tathra,257,181,1001,570,1507,2204,6,628,198,760,1564
Bega-Eden Hinterland,296,213,947,747,1821,2216,7,665,247,897,1496
Broulee - Tomakin,158,106,537,323,610,849,7,244,108,279,570
Deua - Wadbilliga,0,4,3,0,7,9,0,3,0,4,0
Eden,41,47,228,221,579,937,5,369,81,375,539
Eurobodalla Hinterland,110,61,314,272,726,823,3,239,106,404,463
Merimbula - Tura Beach,358,299,1341,974,2117,2934,18,780,337,835,1519
Moruya - Tuross Head,280,166,862,722,1612,2043,9,640,259,891,1110
Narooma - Bermagui,308,238,1044,856,1747,2339,17,721,266,1095,1251
Goulburn,579,372,1886,1774,4223,6189,25,2120,639,2255,4491
Goulburn Surrounds,322,185,1145,1080,2565,3429,10,1093,381,1344,2285
Yass,227,144,716,506,1114,1690,7,452,161,444,1310
Yass Surrounds,784,402,1845,1078,1710,2751,10,583,282,725,2542
Young,175,92,724,638,1779,3108,5,1066,272,918,2229
