"LFSP Labour Force Status","Employed, worked full-time","Employed, worked part-time","Employed, away from work","Unemployed, looking for full-time work","Unemployed, looking for part-time work","Not in the labour force","Not stated","Not applicable","Total",
"SA2 (UR)",
"Braidwood",1168,686,156,48,24,1259,300,695,4343,
"Karabar",2922,1121,272,123,75,1962,429,1617,8517,
"Queanbeyan",4253,1659,336,160,112,2555,539,1738,11342,
"Queanbeyan - East",2052,720,153,75,39,1039,220,788,5085,
"Queanbeyan West - Jerrabomberra",5066,1942,396,97,74,2131,325,2718,12744,
"Googong",2628,730,261,27,36,510,155,1874,6224,
"Queanbeyan Surrounds",5982,2456,588,125,117,3331,734,3204,16539,
"Bombala",688,340,72,21,21,725,177,411,2454,
"Cooma",1860,995,188,67,55,2157,334,1102,6761,
"Cooma Surrounds",1100,534,91,25,18,874,279,545,3472,
"Jindabyne - Berridale",2603,1827,269,42,43,1424,521,1296,8035,
"Batemans Bay",1538,1292,241,104,79,3502,493,1343,8581,
"Batemans Bay - South",1648,1335,294,94,64,3744,538,1227,8938,
"Bega - Tathra",2024,1542,272,62,70,2815,531,1564,8872,
"Bega-Eden Hinterland",2106,1789,343,77,71,3070,610,1496,9557,
"Broulee - Tomakin",789,631,118,21,26,1453,174,570,3792,
"Deua - Wadbilliga",8,5,0,0,0,19,5,0,43,
"Eden",601,492,117,46,30,1331,272,539,3425,
"Eurobodalla Hinterland",758,626,117,37,21,1216,294,463,3525,
"Merimbula - Tura Beach",2492,1984,315,68,88,4487,557,1519,11513,
"Moruya - Tuross Head",1637,1396,253,56,62,3460,627,1110,8600,
"Narooma - Bermagui",1560,1537,304,76,56,4432,667,1251,9888,
"Goulburn",6688,3440,742,303,215,7550,1130,4491,24565,
"Goulburn Surrounds",3856,2111,487,121,98,3887,1000,2285,13839,
"Yass",1994,1022,200,55,52,1854,274,1310,6763,
"Yass Surrounds",4332,2061,434,87,99,2589,562,2542,12713,
"Young",2670,1531,322,134,97,3404,628,2229,11004,
"Young Surrounds",1974,1043,243,76,53,2375,596,1322,7677,
"Avoca Beach - Copacabana",1856,1469,406,62,59,1948,182,1533,7513,
"Box Head - MacMasters Beach",2499,1806,539,81,81,3833,357,1840,11042,
"Calga - Kulnura",1248,737,307,51,40,1326,348,663,4716,
"Erina - Green Point",2968,2206,723,95,111,5264,1072,2324,14758,
"Gosford - Springfield",5605,3478,1173,353,229,6087,1047,3239,21204,
"Kariong",1869,1141,336,82,64,1407,156,1419,6485,
"Kincumber - Picketts Valley",1500,1199,349,59,37,2780,370,1320,7615,
"Narara",1871,1251,410,91,63,1835,144,1493,7157,
"Niagara Park - Lisarow",2171,1431,418,84,83,2188,162,1668,8205,
"Point Clare - Koolewong",1559,1083,333,85,62,2096,205,1135,6571,
"Saratoga - Davistown",1740,1183,436,59,47,2181,213,1304,7160,
"Terrigal - North Avoca",3837,2498,827,120,114,4173,556,2710,14849,
"Umina - Booker Bay - Patonga",5121,3457,1214,338,230,8972,1304,4058,24697,
"Wamberal - Forresters Beach",2639,1931,608,75,79,2866,337,2147,10675,
"Woy Woy - Blackwall",3016,1938,675,215,134,5439,743,2180,14346,
"Wyoming",2602,1636,560,160,122,3665,531,2142,11423,
"Bateau Bay - Killarney Vale",4959,3594,1209,239,207,6831,1252,4530,22825,
"Blue Haven - San Remo",2513,1594,696,196,132,3200,409,2555,11290,
"Budgewoi - Buff Point - Halekulani",1938,1377,528,138,88,3518,511,1635,9728,
"Chittaway Bay - Tumbi Umbi",4017,2623,961,157,133,4553,460,3093,16006,
"Gorokan - Kanwal - Charmhaven",4479,2883,1253,366,254,7764,1505,3847,22362,
"Jilliby - Yarramalong",956,630,205,19,24,855,127,608,3420,
"Lake Munmorah - Mannering Park",2073,1393,513,124,94,4600,569,1600,10960,
"Ourimbah - Fountaindale",1308,937,320,36,38,1234,162,903,4928,
"Summerland Point - Gwandalan",1441,959,314,89,53,2241,269,1122,6492,
"The Entrance",3176,2271,879,262,165,5911,959,2221,15839,
"Toukley - Norah Head",1874,1314,541,165,94,3827,507,1597,9909,
"Tuggerah - Kangy Angy",1405,808,319,56,50,1385,172,1039,5229,
"Warnervale - Wadalba",5121,2985,1105,235,196,4741,902,4768,20051,
"Wyong",1934,1118,454,159,105,3120,574,1653,9120,
"Bathurst - East",3546,1860,333,129,118,3121,504,2721,12330,
"Bathurst Surrounds",2046,1120,240,55,37,1840,368,1208,6909,
"Oberon",1322,593,157,51,30,1407,471,801,4834,
"Bathurst - South",2693,1627,321,162,117,3971,526,1338,10752,
"Bathurst - West",4385,2264,394,132,122,3436,518,3064,14313,
"Condobolin",1686,790,168,84,59,1631,589,1354,6372,
"Cowra",2147,1293,219,135,100,3168,539,1669,9273,
"Cowra Surrounds",1421,811,164,49,37,1831,494,900,5716,
"Forbes",2809,1347,272,90,80,2719,741,1969,10020,
"Grenfell",868,511,96,42,30,1269,219,561,3597,
"Parkes (NSW)",3058,1458,270,153,98,3047,574,2243,10919,
"Parkes Surrounds",868,402,90,46,31,902,276,651,3262,
"West Wyalong",1602,770,166,53,20,1411,421,1087,5525,
"Lithgow",2632,1590,424,193,124,4737,692,1992,12385,
"Lithgow Surrounds",2091,1243,328,106,55,2653,557,1415,8448,
"Mudgee",3626,1897,426,115,96,3155,564,2680,12563,
"Mudgee Surrounds - East",619,460,81,52,37,1358,288,507,3398,
"Mudgee Surrounds - West",2853,1591,385,130,64,3043,872,2141,11072,
"Wollangambe - Wollemi",0,0,0,0,0,0,0,0,0,
"Blayney",2183,1099,228,105,57,1902,424,1520,7517,
"Orange",5069,2664,497,191,170,5722,1096,3618,19023,
"Orange - North",7376,3391,618,180,187,4826,846,5461,22895,
"Orange Surrounds",3636,1959,340,68,72,2678,618,2465,11830,
"Grafton",4038,2658,496,336,199,6754,1142,3631,19255,
"Grafton Surrounds",3377,2376,473,242,169,6686,1078,2467,16875,
"Maclean - Yamba - Iluka",3106,2646,453,173,163,7575,949,2467,17533,
"Bellingen",1143,1274,167,82,82,1799,414,1209,6168,
"Coffs Harbour - North",4050,2973,500,265,220,5958,1006,3137,18099,
"Coffs Harbour - South",2305,1889,341,141,134,3735,985,1772,11305,
"Coramba - Nana Glen - Bucca",1005,720,133,48,29,1035,236,742,3950,
"Dorrigo",616,538,92,41,21,1190,274,471,3250,
"Korora - Emerald Beach",2686,1984,281,107,101,2718,303,2076,10262,
"Sawtell - Boambee",4587,3602,561,238,231,6332,902,3612,20066,
"Urunga",956,814,144,56,58,1901,285,698,4907,
"Woolgoolga - Arrawarra",3338,2493,387,214,168,4640,684,2541,14463,
"Bourke - Brewarrina",958,293,106,27,26,801,471,742,3428,
"Cobar",1271,430,153,39,27,857,513,842,4129,
"Coonamble",975,419,107,70,34,1045,417,867,3926,
"Nyngan - Warren",1444,511,121,66,30,1168,402,864,4591,
"Walgett - Lightning Ridge",1109,514,127,79,47,1465,1161,1020,5534,
"Broken Hill",4422,2178,572,265,156,5778,1222,2999,17588,
"Far West",603,174,44,16,25,667,334,420,2288,
"Coonabarabran",1720,992,177,121,69,2518,968,1343,7921,
"Dubbo - East",3277,1484,302,120,74,2325,765,2294,10633,
"Dubbo - South",6361,2755,607,171,135,4324,1191,4081,19628,
"Dubbo - West",3004,1349,261,110,85,2394,743,2374,10317,
"Dubbo Surrounds",1927,896,205,38,27,1157,450,1255,5963,
"Gilgandra",1129,571,134,49,41,1197,422,842,4398,
"Narromine",1777,741,185,71,55,1586,672,1375,6458,
"Wellington",1894,998,221,138,58,3168,721,1576,8769,
"Branxton - Greta - Pokolbin",4002,1960,590,128,110,2742,384,2860,12770,
"Cessnock",4697,3069,909,350,255,8903,1008,4298,23495,
"Cessnock Surrounds",2261,1528,399,95,96,2604,408,1753,9145,
"Dungog",2488,1548,366,93,58,2863,356,1772,9541,
"Kurri Kurri - Abermain",5269,3006,733,356,223,5828,829,4388,20631,
"Singleton",5316,2435,584,193,173,3953,806,3564,17018,
"Singleton Surrounds",1497,791,280,47,35,1230,385,1062,5332,
"Maitland",2487,1376,336,124,108,1962,309,1917,8611,
"Maitland - North",2613,1502,327,70,77,1989,195,1950,8727,
"East Maitland - Metford",5067,2843,601,266,199,4895,702,3409,17981,
"Rutherford (North) - Aberglasslyn",5060,2659,585,204,164,4406,575,4071,17730,
"Rutherford (South) - Telarah",2081,1232,280,150,102,2118,375,1653,7976,
"Tenambit - East Maitland",2610,1546,359,121,104,3143,322,1881,10091,
"Thornton - Millers Forest",5254,2664,574,173,132,3070,313,3716,15899,
"Anna Bay",1329,1014,252,63,57,2454,333,947,6449,
"Lemon Tree Passage - Tanilba Bay",1277,959,244,95,68,2821,328,1093,6887,
"Nelson Bay Peninsula",4080,3493,820,224,199,9230,1061,2870,21972,
"Raymond Terrace",3380,2005,549,289,178,4539,753,2907,14588,
"Seaham - Woodville",1733,1020,240,46,30,1343,167,1103,5693,
"Tea Gardens - Hawks Nest",748,697,172,58,27,3292,381,432,5804,
"Williamtown - Medowie - Karuah",3972,2338,579,177,145,4115,544,3147,15020,
"Muswellbrook",3351,1568,371,208,136,3318,618,2697,12272,
"Muswellbrook Surrounds",1326,593,141,36,25,958,245,761,4083,
"Scone",1920,841,155,56,37,1562,265,1195,6035,
"Scone Surrounds",2470,1110,285,76,52,2247,501,1456,8194,
"Dapto - Avondale",5618,3426,1297,322,204,8099,818,4415,24195,
"Horsley - Kembla Grange",3630,1965,689,117,106,2513,243,2889,12155,
"Port Kembla Industrial",0,4,0,0,0,0,0,0,5,
"Unanderra - Mount Kembla",3960,2294,751,160,143,4666,554,2751,15280,
"Berkeley - Lake Heights - Cringila",2748,1840,687,221,152,5159,630,2775,14200,
"Port Kembla - Warrawong",1743,1167,450,156,106,3816,560,1738,9740,
"Windang - Primbee",846,538,182,52,35,1741,251,608,4239,
"Illawarra Catchment Reserve",4,0,0,0,0,0,0,0,9,
"Albion Park - Macquarie Pass",5561,3059,1145,175,128,4174,543,4246,19026,
"Albion Park Rail",1563,993,380,94,66,2339,284,1207,6920,
"Kiama",1939,1342,306,69,77,3295,444,1313,8786,
"Kiama Downs - Minnamurra",1506,1023,285,48,46,1821,198,1129,6063,
"Kiama Hinterland - Gerringong",1984,1446,348,59,67,2578,315,1346,8136,
"Shellharbour - Flinders",5235,3177,1092,205,150,4972,641,3870,19341,
"Shellharbour - Oak Flats",2511,1558,623,123,103,3514,420,1743,10590,
"Warilla",3933,2672,1046,314,204,7535,1143,3553,20397,
"Balgownie - Fairy Meadow",5088,3425,1260,220,248,6851,891,3533,21519,
"Corrimal - Tarrawanna - Bellambi",3881,2377,825,210,171,5159,627,2793,16041,
"Figtree - Keiraville",5600,3804,1272,280,352,6512,853,4096,22773,
"Helensburgh",2568,1630,550,80,77,2001,273,1956,9135,
"Thirroul - Austinmer - Coalcliff",3149,2085,591,104,122,3257,297,2351,11957,
"Woonona - Bulli - Russell Vale",5300,3247,1069,182,199,5992,615,4163,20761,
"Wollongong - East",4759,2624,1026,242,221,5079,813,1244,16020,
"Wollongong - West",4334,2768,981,280,251,4699,840,2387,16551,
"Bulahdelah - Stroud",1119,764,192,74,51,1795,388,849,5235,
"Forster",2515,2192,363,167,94,6542,920,1911,14709,
"Forster-Tuncurry Surrounds",1162,1139,245,90,72,2689,516,1068,6988,
"Tuncurry",880,865,165,91,57,3255,450,611,6376,
"Kempsey",2667,1996,411,277,197,6189,1050,2856,15654,
"Kempsey Surrounds",1886,1536,311,126,100,3343,661,1503,9472,
"Macksville - Scotts Head",856,781,140,55,63,2129,280,882,5189,
