Australian Bureau of Statistics

"2021 Census - cultural diversity"
"SA2 (UR) by HMHCP Whether has Mental Health Condition (including Depression or Anxiety)"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

"HMHCP Whether has Mental Health Condition (including Depression or Anxiety)","Has a mental health condition (including depression or anxiety)","Does not have a mental health condition (including depression or anxiety)","Not stated","Total",
"SA2 (UR)",
"Braidwood",371,3523,454,4343,
"Karabar",910,6851,749,8517,
"Queanbeyan",1322,9170,851,11342,
"Queanbeyan - East",579,4153,351,5085,
"Queanbeyan West - Jerrabomberra",1138,10851,754,12744,
"Googong",537,5355,332,6224,
"Queanbeyan Surrounds",1469,13732,1342,16539,
"Bombala",183,1994,273,2454,
"Cooma",756,5299,705,6761,
"Cooma Surrounds",303,2757,415,3472,
"Jindabyne - Berridale",582,6634,821,8035,
"Batemans Bay",998,6736,850,8581,
"Batemans Bay - South",986,7054,894,8938,
"Bega - Tathra",1000,7002,868,8872,
"Bega-Eden Hinterland",974,7686,904,9557,
"Broulee - Tomakin",360,3138,291,3792,
"Deua - Wadbilliga",4,29,5,43,
"Eden",346,2679,399,3425,
"Eurobodalla Hinterland",326,2765,434,3525,
"Merimbula - Tura Beach",1151,9480,883,11513,
"Moruya - Tuross Head",878,6823,896,8600,
"Narooma - Bermagui",1005,7934,948,9888,
"Goulburn",2755,19253,2557,24565,
"Goulburn Surrounds",1187,11188,1464,13839,
"Yass",813,5422,523,6763,
"Yass Surrounds",1103,10553,1054,12713,
"Young",1092,8866,1043,11004,
"Young Surrounds",695,6091,889,7677,
"Avoca Beach - Copacabana",486,6552,476,7513,
"Box Head - MacMasters Beach",869,9440,732,11042,
"Calga - Kulnura",428,3787,510,4716,
"Erina - Green Point",1420,12426,916,14758,
"Gosford - Springfield",2650,16879,1680,21204,
"Kariong",659,5396,425,6485,
"Kincumber - Picketts Valley",783,6257,577,7615,
"Narara",770,6004,383,7157,
"Niagara Park - Lisarow",923,6838,446,8205,
"Point Clare - Koolewong",697,5470,398,6571,
"Saratoga - Davistown",664,6006,487,7160,
"Terrigal - North Avoca",1038,12760,1051,14849,
"Umina - Booker Bay - Patonga",2682,19888,2124,24697,
"Wamberal - Forresters Beach",739,9227,712,10675,
"Woy Woy - Blackwall",1740,11436,1171,14346,
"Wyoming",1372,9171,875,11423,
"Bateau Bay - Killarney Vale",2440,18319,2071,22825,
"Blue Haven - San Remo",1587,8761,942,11290,
"Budgewoi - Buff Point - Halekulani",1232,7617,880,9728,
"Chittaway Bay - Tumbi Umbi",1665,13205,1142,16006,
"Gorokan - Kanwal - Charmhaven",3036,17073,2252,22362,
"Jilliby - Yarramalong",314,2841,265,3420,
"Lake Munmorah - Mannering Park",1310,8745,901,10960,
"Ourimbah - Fountaindale",533,4057,329,4928,
"Summerland Point - Gwandalan",722,5245,529,6492,
"The Entrance",1822,12507,1508,15839,
"Toukley - Norah Head",1272,7749,888,9909,
"Tuggerah - Kangy Angy",589,4299,340,5229,
"Warnervale - Wadalba",2273,16305,1477,20051,
"Wyong",1266,6881,977,9120,
"Bathurst - East",1279,10099,949,12330,
"Bathurst Surrounds",534,5554,828,6909,
"Oberon",388,3655,790,4834,
"Bathurst - South",1417,7760,1569,10752,
"Bathurst - West",1572,11659,1085,14313,
"Condobolin",437,5019,920,6372,
"Cowra",1058,7321,896,9273,
"Cowra Surrounds",571,4426,721,5716,
"Forbes",936,7906,1173,10020,
"Grenfell",363,2903,326,3597,
"Parkes (NSW)",1178,8686,1056,10919,
"Parkes Surrounds",272,2554,433,3262,
"West Wyalong",378,4480,656,5525,
"Lithgow",1465,9476,1448,12385,
"Lithgow Surrounds",764,6810,875,8448,
"Mudgee",1224,10220,1126,12563,
"Mudgee Surrounds - East",333,2650,416,3398,
"Mudgee Surrounds - West",910,8891,1280,11072,
"Wollangambe - Wollemi",0,0,0,0,
"Blayney",712,6097,710,7517,
"Orange",2638,14602,1784,19023,
"Orange - North",2471,18627,1793,22895,
"Orange Surrounds",955,9762,1107,11830,
"Grafton",2519,14916,1820,19255,
"Grafton Surrounds",1779,12383,2717,16875,
"Maclean - Yamba - Iluka",1835,14195,1501,17533,
"Bellingen",640,4880,646,6168,
"Coffs Harbour - North",2118,14345,1633,18099,
"Coffs Harbour - South",1342,8684,1270,11305,
"Coramba - Nana Glen - Bucca",378,3200,366,3950,
"Dorrigo",322,2516,417,3250,
"Korora - Emerald Beach",879,8661,725,10262,
"Sawtell - Boambee",2237,16147,1678,20066,
"Urunga",535,3911,465,4907,
"Woolgoolga - Arrawarra",1436,11851,1172,14463,
"Bourke - Brewarrina",194,2545,683,3428,
"Cobar",276,3160,695,4129,
"Coonamble",308,2964,654,3926,
"Nyngan - Warren",305,3715,575,4591,
"Walgett - Lightning Ridge",351,3638,1541,5534,
"Broken Hill",2084,13389,2120,17588,
"Far West",137,1688,463,2288,
"Coonabarabran",667,5942,1308,7921,
"Dubbo - East",1196,8145,1294,10633,
"Dubbo - South",1902,15641,2087,19628,
"Dubbo - West",973,8113,1237,10317,
"Dubbo Surrounds",478,4773,710,5963,
"Gilgandra",357,3416,622,4398,
"Narromine",477,4920,1064,6458,
"Wellington",842,6052,1872,8769,
"Branxton - Greta - Pokolbin",1243,10657,866,12770,
"Cessnock",3330,16756,3408,23495,
"Cessnock Surrounds",910,7481,743,9145,
"Dungog",994,7895,654,9541,
"Kurri Kurri - Abermain",2986,15904,1744,20631,
"Singleton",1744,13735,1536,17018,
"Singleton Surrounds",441,4317,574,5332,
"Maitland",1245,6794,578,8611,
"Maitland - North",854,7268,605,8727,
"East Maitland - Metford",2563,14039,1381,17981,
"Rutherford (North) - Aberglasslyn",2193,14208,1336,17730,
"Rutherford (South) - Telarah",1251,5976,750,7976,
"Tenambit - East Maitland",1410,8012,665,10091,
"Thornton - Millers Forest",1900,13054,945,15899,
"Anna Bay",643,5248,551,6449,
"Lemon Tree Passage - Tanilba Bay",936,5398,554,6887,
"Nelson Bay Peninsula",2150,18122,1702,21972,
"Raymond Terrace",2276,10927,1388,14588,
"Seaham - Woodville",491,4751,445,5693,
"Tea Gardens - Hawks Nest",525,4713,575,5804,
"Williamtown - Medowie - Karuah",1760,12167,1092,15020,
"Muswellbrook",1399,9474,1396,12272,
"Muswellbrook Surrounds",346,3323,412,4083,
"Scone",509,5011,515,6035,
"Scone Surrounds",667,6743,793,8194,
"Dapto - Avondale",2807,19744,1642,24195,
"Horsley - Kembla Grange",1195,10253,710,12155,
"Port Kembla Industrial",0,8,0,5,
"Unanderra - Mount Kembla",1544,12825,911,15280,
"Berkeley - Lake Heights - Cringila",1589,11391,1216,14200,
"Port Kembla - Warrawong",1189,7673,874,9740,
"Windang - Primbee",460,3411,367,4239,
"Illawarra Catchment Reserve",0,9,0,9,
"Albion Park - Macquarie Pass",1940,15791,1300,19026,
"Albion Park Rail",944,5406,564,6920,
"Kiama",676,7500,602,8786,
"Kiama Downs - Minnamurra",530,5144,387,6063,
"Kiama Hinterland - Gerringong",618,6898,622,8136,
"Shellharbour - Flinders",1548,16374,1415,19341,
"Shellharbour - Oak Flats",1173,8564,854,10590,
"Warilla",2520,15887,1994,20397,
"Balgownie - Fairy Meadow",2041,17906,1574,21519,
"Corrimal - Tarrawanna - Bellambi",1791,13109,1145,16041,
"Figtree - Keiraville",1981,19200,1587,22773,
"Helensburgh",713,7901,516,9135,
"Thirroul - Austinmer - Coalcliff",871,10349,738,11957,
"Woonona - Bulli - Russell Vale",1948,17567,1245,20761,
"Wollongong - East",1802,13092,1126,16020,
"Wollongong - West",1843,13414,1291,16551,
"Bulahdelah - Stroud",533,4098,601,5235,
"Forster",1721,11721,1271,14709,
"Forster-Tuncurry Surrounds",665,5591,737,6988,
"Tuncurry",830,5083,459,6376,
"Kempsey",1970,11181,2502,15654,
"Kempsey Surrounds",925,7482,1064,9472,
"Macksville - Scotts Head",566,4149,479,5189,
"Nambucca Heads",936,5409,770,7111,
"Nambucca Heads Surrounds",816,6370,914,8102,
"South West Rocks",629,4529,476,5628,
"Lord Howe Island",21,388,39,445,
"Laurieton - Bonny Hills",1968,15317,1198,18484,
"Port Macquarie - West",2714,16682,1750,21147,
"Port Macquarie Surrounds",496,4269,533,5301,
"Wauchope",1467,10270,1059,12796,
"Port Macquarie - East",1276,9649,839,11764,
"Port Macquarie - South",1884,14364,1035,17284,
"Gloucester",529,4327,450,5310,
"Old Bar - Manning Point - Red Head",1224,10213,1037,12476,
"Taree",2867,15973,2283,21123,
"Taree Surrounds",1385,10507,1149,13044,
"Wingham",740,4152,498,5395,
"Albury - East",1784,14897,1151,17831,
"Albury - North",1353,8119,1061,10527,
"Albury - South",1203,8422,900,10519,
"Albury Surrounds",1080,10137,1291,12507,
"Lavington",2091,12131,1447,15665,
"Hay",244,2236,415,2897,
"Wentworth - Buronga",576,5084,855,6511,
"Wentworth-Balranald Region",205,2799,642,3648,
"Corowa",626,4498,477,5595,
"Corowa Surrounds",644,5795,824,7262,
"Deniliquin",741,5490,807,7038,
"Deniliquin Surrounds",545,5525,768,6837,
"Moama",543,5829,567,6930,
"Tocumwal - Finley - Jerilderie",946,7609,1223,9778,
"Armidale",2443,18673,2846,23967,
"Armidale Surrounds - North",302,3547,683,4527,
"Armidale Surrounds - South",605,4811,479,5894,
"Walcha",210,2557,374,3144,
"Glen Innes",994,6708,1228,8931,
"Inverell",1110,9554,1399,12057,
"Inverell Surrounds - East",464,4050,688,5200,
"Inverell Surrounds - West",486,4582,668,5734,
"Tenterfield",734,5301,780,6810,
"Moree",541,5672,1633,7845,
"Moree Surrounds",248,3634,1470,5356,
"Narrabri",554,5623,726,6898,
"Narrabri Surrounds",288,3558,770,4616,
"Gunnedah",830,7682,1240,9745,
"Gunnedah Surrounds",318,3489,560,4369,
"Quirindi",630,5862,1066,7551,
"Tamworth - East",2397,16904,2056,21360,
"Tamworth - North",1786,13124,1605,16517,
"Tamworth - West",697,4311,988,5998,
"Tamworth Surrounds",1881,15461,1689,19038,
"Belmont - Bennetts Green",2062,14569,1225,17864,
"Belmont South - Blacksmiths",661,4564,453,5680,
"Charlestown - Dudley",2824,20803,1624,25254,
"Glendale - Cardiff - Hillsborough",3223,19913,1455,24588,
"Mount Hutton - Windale",1495,7050,958,9504,
"Redhead",409,3083,293,3785,
"Swansea - Caves Beach",1292,10426,846,12559,
"Valentine - Eleebana",1090,10804,675,12568,
"Warners Bay - Boolaroo",1711,12049,926,14694,
"Bolton Point - Teralba",1368,7747,1025,10135,
"Bonnells Bay - Silverwater",1174,7837,680,9691,
"Edgeworth - Cameron Park",2042,13261,1072,16375,
"Morisset - Cooranbong",2310,14518,1299,18129,
"Toronto - Awaba",1798,11098,1065,13961,
"Wangi Wangi - Rathmines",1006,7722,740,9467,
"West Wallsend - Barnsley - Killingworth",939,5833,476,7254,
"Adamstown - Kotara",1737,13896,968,16600,
"Beresfield - Hexham",1133,6738,690,8561,
"Hamilton - Broadmeadow",1670,9918,1185,12772,
"Lambton - New Lambton",2063,14131,1150,17343,
"Maryland - Fletcher - Minmi",1833,13675,919,16429,
"Mayfield - Warabrook",2547,11849,1132,15526,
"Merewether - The Junction",1311,12266,925,14506,
"Newcastle - Cooks Hill",1471,10356,984,12805,
"Newcastle Port - Kooragang",3,20,5,31,
"Shortland - Jesmond",1595,9322,1674,12593,
"Stockton - Fullerton Cove",912,7152,759,8824,
"Wallsend - Elermore Vale",2931,16564,1461,20958,
"Waratah - North Lambton",1820,9942,1120,12883,
"Wickham - Carrington - Tighes Hill",1234,7336,599,9171,
"Ballina",2170,14831,1625,18629,
"Ballina Surrounds",1808,15142,1373,18327,
"Bangalow",485,5546,927,6958,
"Brunswick Heads - Ocean Shores",748,7369,1051,9170,
"Byron Bay",773,8908,1238,10914,
"Evans Head",594,4392,655,5643,
"Lennox Head - Skennars Head",646,7837,752,9236,
"Mullumbimby",671,6838,1383,8896,
"Casino",1423,9483,1392,12298,
"Casino Surrounds",705,5605,1072,7381,
"Goonellabah",1816,10655,1119,13591,
"Kyogle",775,5932,900,7611,
"Lismore",2319,11277,1638,15229,
"Lismore Surrounds",1403,12552,1829,15786,
"Kingscliff - Fingal Head",1242,12370,1203,14818,
"Murwillumbah",1127,7372,1002,9501,
"Murwillumbah Surrounds",836,8131,1374,10352,
"Pottsville",1142,11557,1389,14086,
"Tweed Heads",1971,16472,2122,20563,
"Banora Point",1632,13470,1223,16320,
"Terranora - North Tumbulgum",241,2816,264,3324,
"Tweed Heads South",1032,6690,704,8423,
"Griffith (NSW)",1473,17082,2008,20569,
"Griffith Surrounds",896,9953,1904,12760,
"Leeton",985,8293,1055,10330,
"Narrandera",523,4605,774,5905,
"Tumbarumba",287,2749,485,3522,
"Tumut",637,5368,664,6667,
"Tumut Surrounds",324,3869,547,4744,
"Cootamundra",891,6104,711,7705,
"Gundagai",259,2964,493,3715,
"Junee",510,4500,1336,6351,
"Temora",622,5445,535,6603,
"Wagga Wagga - East",1712,14026,1178,16921,
"Wagga Wagga - North",445,4647,505,5605,
"Wagga Wagga - South",2419,18315,1786,22522,
"Wagga Wagga - West",1549,9229,1185,11962,
"Wagga Wagga Surrounds",1558,14458,1772,17788,
"Berry - Kangaroo Valley",741,8010,732,9489,
"Callala Bay - Currarong",358,3001,285,3642,
"Culburra Beach",558,4181,357,5105,
"Ettrema - Sassafras - Budawang",6,54,8,62,
"Huskisson - Vincentia",436,4021,390,4844,
"North Nowra - Bomaderry",1932,12843,1320,16098,
"Nowra",3066,16454,3063,22584,
"St Georges Basin - Erowal Bay",1990,11901,1368,15259,
"Sussex Inlet - Berrara",526,3673,496,4694,
"Tomerong - Wandandian - Woollamia",344,2992,371,3708,
"Ulladulla",1742,13907,1375,17026,
"Ulladulla Surrounds",499,4792,530,5822,
"Bowral",989,11640,999,13626,
"Hill Top - Colo Vale",614,5355,420,6393,
"Mittagong",1058,9133,737,10931,
"Moss Vale - Berrima",1071,8631,954,10648,
"Robertson - Fitzroy Falls",295,3202,338,3829,
"Southern Highlands",561,6107,580,7250,
"Baulkham Hills - East",1455,22179,1092,24726,
"Baulkham Hills (West) - Bella Vista",1051,19644,987,21683,
"Glenhaven",332,5702,334,6361,
"West Pennant Hills",597,11560,528,12683,
"Castle Hill - Central",388,6944,337,7677,
"Castle Hill - East",266,4860,545,5670,
"Castle Hill - North",603,11019,568,12189,
"Castle Hill - South",506,9414,491,10419,
"Castle Hill - West",230,4769,182,5183,
"Cherrybrook",910,17406,768,19082,
"Kellyville - East",925,16095,694,17709,
"Kellyville - West",446,10368,561,11375,
"Dural - Kenthurst - Wisemans Ferry",1361,19694,1421,22479,
"Galston - Laughtondale",353,4657,419,5436,
"Bilpin - Colo - St Albans",202,2293,349,2846,
"Kurrajong Heights - Ebenezer",1787,18969,1404,22161,
"Pitt Town - McGraths Hill",748,9768,896,11414,
"Box Hill - Nelson",451,9344,492,10287,
"North Kellyville",723,15716,969,17401,
"Rouse Hill - Beaumont Hills",944,15949,692,17581,
"Blacktown (East) - Kings Park",1038,14501,1495,17032,
"Blacktown (North) - Marayong",1322,17632,1630,20584,
"Doonside - Woodcroft",1354,20276,1754,23384,
"Lalor Park - Kings Langley",2055,21385,1934,25373,
"Blacktown - South",802,10856,984,12646,
"Blacktown - West",1103,14606,1431,17141,
"Seven Hills - Prospect",890,12942,1030,14866,
"Toongabbie - West",593,10196,790,11578,
"Glenwood",774,14448,610,15829,
"Acacia Gardens",198,3377,93,3668,
"Quakers Hill",1453,21798,1424,24670,
"Kellyville Ridge - The Ponds",944,19196,911,21058,
"Marsden Park - Shanes Park",458,14139,924,15524,
"Riverstone",990,11732,1124,13844,
"Schofields (West) - Colebee",367,9056,592,10011,
"Schofields - East",1069,22505,1549,25130,
"Stanhope Gardens - Parklea",627,10586,1821,13034,
"Bidwill - Hebersham - Emerton",1578,14307,2646,18536,
"Glendenning - Dean Park",533,7264,575,8374,
"Hassall Grove - Plumpton",1147,18613,1660,21414,
"Lethbridge Park - Tregear",1813,16953,2787,21551,
"Mount Druitt - Whalan",1475,19027,2413,22918,
"Prospect Reservoir",0,12,4,12,
"Rooty Hill - Minchinbury",1269,19605,1953,22826,
"Banksmeadow",28,389,92,508,
"Botany",875,11118,972,12960,
"Pagewood - Hillsdale - Daceyville",922,12687,1152,14762,
"Port Botany Industrial",0,5,0,6,
"Sydney Airport",0,14,4,19,
"Eastlakes",573,7730,640,8941,
"Mascot",919,19117,1540,21573,
"Petersham - Stanmore",2532,15935,1431,19898,
"Sydenham - Tempe - St Peters",871,6905,501,8278,
"Marrickville - North",1404,10035,873,12317,
"Marrickville - South",1619,11681,973,14283,
"Darlinghurst",1036,8608,968,10615,
"Erskineville - Alexandria",1994,15920,1213,19126,
"Glebe - Forest Lodge",2325,16262,1673,20262,
"Potts Point - Woolloomooloo",1875,14278,2041,18187,
"Surry Hills",1642,12715,1471,15828,
"Camperdown - Darlington",955,6788,584,8332,
"Chippendale",576,6494,739,7803,
"Newtown (NSW)",2099,11589,977,14667,
"Pyrmont",728,10811,1120,12658,
"Redfern",1603,10791,1280,13670,
"Rosebery - Beaconsfield",691,10736,870,12290,
"Sydney (North) - Millers Point",403,6850,750,8004,
"Sydney (South) - Haymarket",545,17664,1724,19935,
"Ultimo",419,6364,630,7410,
"Waterloo",1421,13263,1691,16379,
"Zetland",694,11161,763,12622,
"Bondi - Tamarama - Bronte",1105,16439,1508,19055,
"Bondi Beach - North Bondi",1211,17771,1728,20705,
"Bondi Junction - Waverly",1099,15167,1453,17720,
"Centennial Park",0,0,0,0,
"Dover Heights",556,9864,698,11122,
"Paddington - Moore Park",1005,12785,1001,14793,
"Rose Bay - Vaucluse - Watsons Bay",539,10512,877,11924,
"Woollahra",412,6456,586,7454,
"Bellevue Hill",777,12734,915,14429,
"Double Bay - Darling Point",591,8627,744,9958,
"Kensington (NSW)",848,10102,862,11809,
"Kingsford",827,11913,863,13605,
"Maroubra - North",540,8624,623,9790,
"Maroubra - South",914,9274,894,11084,
"Maroubra - West",508,8833,507,9846,
"Randwick - North",1034,13911,1255,16206,
"Randwick - South",850,10927,961,12735,
"Coogee - Clovelly",1210,17007,1311,19521,
"Malabar - La Perouse",683,8197,1726,10610,
"Matraville - Chifley",826,11513,1076,13412,
"South Coogee",455,4662,500,5611,
"Bass Hill - Georges Hall",1204,19763,2890,23855,
"Chullora",51,1293,124,1469,
"Condell Park",549,10942,1284,12773,
"Padstow",1102,14933,1165,17200,
"Revesby",942,15290,1435,17664,
"Yagoona - Birrong",1112,19122,2246,22484,
"Bankstown - North",704,14680,1592,16981,
"Bankstown - South",830,15562,2037,18434,
"Greenacre - North",786,12333,1523,14637,
"Greenacre - South",630,11394,1388,13416,
"Panania (North) - Milperra",706,9966,667,11340,
"Panania (South) - Picnic Point",959,14080,949,15994,
"Belmore - Belfield",1029,17320,1981,20332,
"Punchbowl",955,18415,2177,21544,
"Roselands",686,12752,1139,14577,
"Lakemba",687,14667,1744,17092,
"Wiley Park",397,8667,1065,10135,
"Campsie - North",524,10453,929,11905,
"Campsie - South",335,7584,1149,9059,
"Canterbury - South",672,10362,1190,12220,
"Earlwood",1076,15701,1193,17969,
"Kingsgrove - North",319,5552,391,6261,
"Narwee - Beverly Hills",745,12150,899,13791,
"Oatley - Hurstville Grove",665,11275,653,12594,
"Peakhurst - Lugarno",1290,17658,1274,20220,
"Riverwood",752,9820,1032,11606,
"South Hurstville - Blakehurst",977,22698,1580,25259,
"Hurstville - Central",310,11022,712,12046,
"Hurstville - North",461,10880,770,12109,
"Mortdale - Oatley",931,12969,813,14715,
"Penshurst",493,8262,778,9528,
"Kingsgrove (South) - Bardwell Park",711,11513,746,12973,
"Kogarah",596,11321,1138,13051,
"Kogarah Bay - Carlton - Allawah",830,14277,1094,16200,
"Monterey - Brighton-le-Sands - Kyeemagh",742,11954,1202,13896,
"Rockdale - Banksia",920,17447,1482,19853,
"Sans Souci - Ramsgate",1031,14335,1292,16659,
"Arncliffe - Bardwell Valley",901,14056,1621,16579,
"Bexley - North",554,8744,849,10145,
"Bexley - South",819,13949,1060,15831,
"Wolli Creek",391,9553,785,10731,
"Concord - Mortlake - Cabarita",1185,20652,1277,23113,
"Drummoyne - Rodd Point",1152,16002,1210,18366,
"Five Dock - Abbotsford",1352,18143,1440,20933,
"Concord West - North Strathfield",633,11292,916,12842,
"Rhodes",374,10458,624,11453,
"Balmain",1278,13260,1046,15579,
"Lilyfield - Rozelle",1192,11744,889,13824,
"Annandale (NSW)",927,7818,712,9464,
"Leichhardt",1642,14817,1071,17532,
"Canterbury (North) - Ashbury",868,10424,708,11999,
"Croydon Park - Enfield",1109,15073,1250,17434,
"Dulwich Hill - Lewisham",2078,14484,1391,17948,
"Haberfield - Summer Hill",1412,11369,744,13520,
"Homebush",678,18635,1507,20822,
"Strathfield South",191,3250,192,3636,
"Ashfield - North",1033,9760,663,11456,
"Ashfield - South",1185,10372,691,12246,
"Burwood (NSW)",615,14120,1201,15942,
"Croydon",720,9623,648,10993,
"Strathfield - East",576,14700,1145,16420,
"Strathfield - West",443,8278,534,9253,
"Chatswood (West) - Lane Cove North",1293,18894,1109,21294,
"St Leonards - Naremburn",758,10442,704,11903,
"Artarmon",549,8338,517,9406,
"Castle Cove - Northbridge",672,12110,650,13440,
"Chatswood - East",858,17665,1077,19601,
"Greenwich - Riverview",787,11508,637,12928,
"Lane Cove",1016,14126,748,15888,
"Willoughby",751,11566,688,12996,
"Asquith - Mount Colah",1664,19388,1008,22057,
"Berowra - Brooklyn - Cowan",961,10301,524,11790,
"Normanhurst - Thornleigh - Westleigh",1394,16939,824,19158,
"Hornsby - East",794,10524,617,11943,
"Hornsby - West",764,9291,573,10629,
"Wahroonga (West) - Waitara",695,10525,663,11877,
"Gordon - Killara",1090,20277,1066,22433,
"Lindfield - Roseville",1247,22246,1101,24599,
"Pymble",800,15646,774,17221,
"St Ives",1084,19789,789,21665,
"Turramurra",1158,18280,811,20251,
"Wahroonga (East) - Warrawee",982,16358,852,18191,
"Cremorne - Cammeray",1260,16649,997,18905,
"Crows Nest - Waverton",1363,15672,889,17916,
"Neutral Bay - Kirribilli",1280,14653,1254,17183,
"North Sydney - Lavender Bay",736,10749,956,12441,
"Mosman - North",799,12140,826,13763,
"Mosman - South",861,12935,771,14565,
"Balgowlah - Clontarf - Seaforth",1119,18517,1099,20732,
"Manly - Fairlight",1306,19684,1443,22438,
"Avalon - Palm Beach",693,11500,856,13052,
"Bayview - Elanora Heights",667,9798,771,11243,
"Newport - Bilgola",811,12070,798,13681,
"Mona Vale - Warriewood (North)",969,12535,1129,14634,
"North Narrabeen - Warriewood (South)",693,9461,722,10874,
"Beacon Hill - Narraweena",1002,12604,933,14547,
"Cromer",525,7036,484,8046,
"Forestville - Killarney Heights",776,11707,682,13161,
"Freshwater - Brookvale",1310,19202,1310,21828,
"Manly Vale - Allambie Heights",1135,15485,933,17550,
"Terrey Hills - Duffys Forest",292,3273,222,3786,
"Belrose",581,7687,388,8652,
"Collaroy - Collaroy Plateau",845,12255,869,13980,
"Dee Why (South) - North Curl Curl",549,8006,563,9116,
"Dee Why - North",1054,15724,1040,17816,
"Frenchs Forest - Oxford Falls",1074,15301,798,17175,
"Narrabeen - Wheeler Heights",1004,9496,743,11241,
"Camden - Ellis Lane",1143,11264,893,13295,
"Currans Hill",536,5521,389,6445,
"Elderslie - Narellan",1208,11857,950,14019,
"Harrington Park",743,9925,580,11241,
"Mount Annan",1659,16228,1150,19040,
"Spring Farm",787,8262,491,9539,
"Bradbury - Wedderburn",1961,16228,1822,20011,
"Campbelltown - Woodbine",1890,18222,1979,22084,
