"HSTRP Whether has had a Stroke","Has had a stroke","Has not had a stroke","Not stated","Total",
"SA2 (UR)",
"Braidwood",52,3841,454,4343,
"Karabar",80,7685,749,8517,
"Queanbeyan",124,10367,851,11342,
"Queanbeyan - East",44,4689,351,5085,
"Queanbeyan West - Jerrabomberra",83,11907,754,12744,
"Googong",18,5878,332,6224,
"Queanbeyan Surrounds",103,15096,1342,16539,
"Bombala",42,2137,273,2454,
"Cooma",74,5973,705,6761,
"Cooma Surrounds",32,3027,415,3472,
"Jindabyne - Berridale",44,7171,821,8035,
"Batemans Bay",147,7587,850,8581,
"Batemans Bay - South",134,7912,894,8938,
"Bega - Tathra",110,7902,868,8872,
"Bega-Eden Hinterland",88,8570,904,9557,
"Broulee - Tomakin",62,3431,291,3792,
"Deua - Wadbilliga",0,36,5,43,
"Eden",61,2965,399,3425,
"Eurobodalla Hinterland",42,3054,434,3525,
"Merimbula - Tura Beach",141,10490,883,11513,
"Moruya - Tuross Head",127,7574,896,8600,
"Narooma - Bermagui",144,8797,948,9888,
"Goulburn",302,21711,2557,24565,
"Goulburn Surrounds",144,12231,1464,13839,
"Yass",103,6138,523,6763,
"Yass Surrounds",102,11559,1054,12713,
"Young",152,9811,1043,11004,
"Young Surrounds",91,6696,889,7677,
"Avoca Beach - Copacabana",56,6987,476,7513,
"Box Head - MacMasters Beach",160,10152,732,11042,
"Calga - Kulnura",33,4179,510,4716,
"Erina - Green Point",238,13606,916,14758,
"Gosford - Springfield",225,19305,1680,21204,
"Kariong",33,6024,425,6485,
"Kincumber - Picketts Valley",123,6916,577,7615,
"Narara",75,6701,383,7157,
"Niagara Park - Lisarow",104,7660,446,8205,
"Point Clare - Koolewong",103,6067,398,6571,
"Saratoga - Davistown",82,6593,487,7160,
"Terrigal - North Avoca",134,13668,1051,14849,
"Umina - Booker Bay - Patonga",373,22198,2124,24697,
"Wamberal - Forresters Beach",109,9856,712,10675,
"Woy Woy - Blackwall",234,12944,1171,14346,
"Wyoming",172,10373,875,11423,
"Bateau Bay - Killarney Vale",284,20470,2071,22825,
"Blue Haven - San Remo",139,10211,942,11290,
"Budgewoi - Buff Point - Halekulani",157,8697,880,9728,
"Chittaway Bay - Tumbi Umbi",152,14711,1142,16006,
"Gorokan - Kanwal - Charmhaven",366,19744,2252,22362,
"Jilliby - Yarramalong",27,3128,265,3420,
"Lake Munmorah - Mannering Park",228,9833,901,10960,
"Ourimbah - Fountaindale",51,4543,329,4928,
