sa2,Has arthritis,Does not have arthritis,Not stated
Braidwood,584,3308,454
Karabar,886,6877,749
Queanbeyan,1110,9378,851
Queanbeyan - East,455,4276,351
Queanbeyan West - Jerrabomberra,960,11026,754
Googong,277,5612,332
Queanbeyan Surrounds,1587,13619,1342
Bombala,326,1847,273
Cooma,875,5178,705
Cooma Surrounds,410,2654,415
Jindabyne - Berridale,639,6584,821
Batemans Bay,1281,6453,850
Batemans Bay - South,1393,6653,894
Bega - Tathra,1112,6901,868
Bega-Eden Hinterland,1208,7453,904
Broulee - Tomakin,578,2920,291
Deua - Wadbilliga,9,28,5
Eden,511,2517,399
Eurobodalla Hinterland,442,2647,434
Merimbula - Tura Beach,1721,8905,883
Moruya - Tuross Head,1387,6312,896
Narooma - Bermagui,1627,7314,948
Goulburn,3204,18811,2557
Goulburn Surrounds,1878,10497,1464
Yass,904,5337,523
Yass Surrounds,1268,10388,1054
Young,1392,8570,1043
Young Surrounds,1093,5703,889
Avoca Beach - Copacabana,550,6492,476
Box Head - MacMasters Beach,1296,9012,732
Calga - Kulnura,492,3721,510
Erina - Green Point,1960,11879,916
Gosford - Springfield,2036,17494,1680
Kariong,458,5596,425
Kincumber - Picketts Valley,1054,5987,577
Narara,650,6126,383
Niagara Park - Lisarow,794,6973,446
Point Clare - Koolewong,726,5443,398
Saratoga - Davistown,774,5893,487
Terrigal - North Avoca,1241,12555,1051
Umina - Booker Bay - Patonga,3073,19498,2124
Wamberal - Forresters Beach,911,9051,712
Woy Woy - Blackwall,1781,11393,1171
Wyoming,1362,9182,875
Bateau Bay - Killarney Vale,2621,18141,2071
Blue Haven - San Remo,1251,9099,942
Budgewoi - Buff Point - Halekulani,1439,7416,880
Chittaway Bay - Tumbi Umbi,1747,13112,1142
Gorokan - Kanwal - Charmhaven,3004,17106,2252
Jilliby - Yarramalong,288,2869,265
Lake Munmorah - Mannering Park,1992,8071,901
Ourimbah - Fountaindale,450,4148,329
Summerland Point - Gwandalan,866,5096,529
The Entrance,2077,12256,1508
Toukley - Norah Head,1458,7560,888
Tuggerah - Kangy Angy,513,4378,340
Warnervale - Wadalba,1816,16763,1477
Wyong,1055,7093,977
Bathurst - East,1239,10141,949
Bathurst Surrounds,713,5370,828
Oberon,538,3505,790
Bathurst - South,1232,7949,1569
Bathurst - West,1395,11838,1085
Condobolin,719,4734,920
Cowra,1197,7184,896
Cowra Surrounds,845,4156,721
Forbes,1203,7644,1173
Grenfell,552,2713,326
Parkes (NSW),1199,8661,1056
Parkes Surrounds,401,2427,433
West Wyalong,706,4160,656
Lithgow,1817,9124,1448
Lithgow Surrounds,1079,6490,875
Mudgee,1092,10352,1126
Mudgee Surrounds - East,564,2421,416
