Australian Bureau of Statistics

"2021 Census - cultural diversity"
"SA2 (UR) by HDIAP Whether has Diabetes (excluding Gestational Diabetes)"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

"HDIAP Whether has Diabetes (excluding Gestational Diabetes)","Has diabetes (excluding gestational diabetes)","Does not have diabetes (excluding gestational diabetes)","Not stated","Total",
"SA2 (UR)",
"Braidwood",185,3705,454,4343,
"Karabar",468,7291,749,8517,
"Queanbeyan",622,9873,851,11342,
"Queanbeyan - East",214,4521,351,5085,
"Queanbeyan West - Jerrabomberra",469,11517,754,12744,
"Googong",163,5730,332,6224,
"Queanbeyan Surrounds",647,14556,1342,16539,
"Bombala",123,2054,273,2454,
"Cooma",399,5651,705,6761,
"Cooma Surrounds",160,2903,415,3472,
"Jindabyne - Berridale",205,7012,821,8035,
"Batemans Bay",518,7214,850,8581,
"Batemans Bay - South",539,7504,894,8938,
"Bega - Tathra",431,7574,868,8872,
"Bega-Eden Hinterland",428,8229,904,9557,
"Broulee - Tomakin",166,3334,291,3792,
"Deua - Wadbilliga",0,32,5,43,
"Eden",236,2791,399,3425,
"Eurobodalla Hinterland",155,2939,434,3525,
"Merimbula - Tura Beach",621,10008,883,11513,
"Moruya - Tuross Head",519,7184,896,8600,
"Narooma - Bermagui",598,8339,948,9888,
"Goulburn",1512,20503,2557,24565,
"Goulburn Surrounds",785,11588,1464,13839,
"Yass",390,5853,523,6763,
"Yass Surrounds",459,11198,1054,12713,
"Young",619,9341,1043,11004,
"Young Surrounds",501,6292,889,7677,
"Avoca Beach - Copacabana",217,6826,476,7513,
"Box Head - MacMasters Beach",546,9767,732,11042,
"Calga - Kulnura",214,3997,510,4716,
"Erina - Green Point",845,13002,916,14758,
"Gosford - Springfield",1021,18509,1680,21204,
"Kariong",310,5745,425,6485,
"Kincumber - Picketts Valley",422,6617,577,7615,
"Narara",358,6422,383,7157,
"Niagara Park - Lisarow",363,7398,446,8205,
"Point Clare - Koolewong",375,5797,398,6571,
"Saratoga - Davistown",332,6339,487,7160,
"Terrigal - North Avoca",482,13320,1051,14849,
"Umina - Booker Bay - Patonga",1433,21138,2124,24697,
"Wamberal - Forresters Beach",332,9631,712,10675,
"Woy Woy - Blackwall",956,12220,1171,14346,
"Wyoming",687,9853,875,11423,
"Bateau Bay - Killarney Vale",1142,19618,2071,22825,
"Blue Haven - San Remo",721,9631,942,11290,
"Budgewoi - Buff Point - Halekulani",682,8169,880,9728,
"Chittaway Bay - Tumbi Umbi",797,14071,1142,16006,
"Gorokan - Kanwal - Charmhaven",1554,18559,2252,22362,
"Jilliby - Yarramalong",133,3020,265,3420,
"Lake Munmorah - Mannering Park",935,9120,901,10960,
"Ourimbah - Fountaindale",194,4405,329,4928,
"Summerland Point - Gwandalan",416,5541,529,6492,
"The Entrance",915,13416,1508,15839,
"Toukley - Norah Head",649,8377,888,9909,
"Tuggerah - Kangy Angy",269,4620,340,5229,
"Warnervale - Wadalba",1027,17549,1477,20051,
"Wyong",587,7561,977,9120,
"Bathurst - East",669,10709,949,12330,
"Bathurst Surrounds",297,5793,828,6909,
"Oberon",327,3717,790,4834,
"Bathurst - South",574,8610,1569,10752,
"Bathurst - West",656,12578,1085,14313,
"Condobolin",410,5049,920,6372,
"Cowra",610,7770,896,9273,
"Cowra Surrounds",364,4634,721,5716,
"Forbes",634,8211,1173,10020,
"Grenfell",219,3051,326,3597,
"Parkes (NSW)",636,9226,1056,10919,
"Parkes Surrounds",212,2622,433,3262,
"West Wyalong",313,4556,656,5525,
"Lithgow",888,10049,1448,12385,
"Lithgow Surrounds",506,7060,875,8448,
"Mudgee",529,10913,1126,12563,
"Mudgee Surrounds - East",255,2731,416,3398,
"Mudgee Surrounds - West",561,9230,1280,11072,
"Wollangambe - Wollemi",0,0,0,0,
"Blayney",403,6409,710,7517,
"Orange",1114,16123,1784,19023,
"Orange - North",920,20183,1793,22895,
"Orange Surrounds",513,10210,1107,11830,
"Grafton",1288,16148,1820,19255,
"Grafton Surrounds",898,13255,2717,16875,
"Maclean - Yamba - Iluka",1094,14934,1501,17533,
"Bellingen",180,5338,646,6168,
"Coffs Harbour - North",934,15531,1633,18099,
"Coffs Harbour - South",556,9478,1270,11305,
"Coramba - Nana Glen - Bucca",129,3452,366,3950,
"Dorrigo",155,2679,417,3250,
"Korora - Emerald Beach",301,9235,725,10262,
