sa2,Has heart disease (including heart attack or angina),Does not have heart disease (including heart attack or angina),Not stated
Braidwood,225,3669,454
Karabar,312,7458,749
Queanbeyan,433,10059,851
Queanbeyan - East,173,4565,351
Queanbeyan West - Jerrabomberra,326,11661,754
Googong,85,5811,332
Queanbeyan Surrounds,557,14639,1342
Bombala,133,2048,273
Cooma,336,5712,705
Cooma Surrounds,172,2890,415
Jindabyne - Berridale,241,6980,821
Batemans Bay,513,7218,850
Batemans Bay - South,589,7457,894
Bega - Tathra,444,7557,868
Bega-Eden Hinterland,490,8166,904
Broulee - Tomakin,233,3268,291
Deua - Wadbilliga,5,30,5
Eden,258,2768,399
Eurobodalla Hinterland,182,2911,434
Merimbula - Tura Beach,847,9783,883
Moruya - Tuross Head,535,7171,896
Narooma - Bermagui,640,8296,948
Goulburn,1280,20740,2557
Goulburn Surrounds,740,11638,1464
Yass,374,5873,523
Yass Surrounds,483,11173,1054
Young,548,9416,1043
Young Surrounds,395,6395,889
Avoca Beach - Copacabana,275,6764,476
Box Head - MacMasters Beach,608,9703,732
Calga - Kulnura,212,3998,510
Erina - Green Point,1012,12832,916
Gosford - Springfield,880,18646,1680
Kariong,200,5854,425
Kincumber - Picketts Valley,463,6573,577
Narara,266,6510,383
Niagara Park - Lisarow,329,7433,446
Point Clare - Koolewong,360,5812,398
Saratoga - Davistown,363,6302,487
Terrigal - North Avoca,580,13220,1051
Umina - Booker Bay - Patonga,1339,21227,2124
Wamberal - Forresters Beach,427,9539,712
Woy Woy - Blackwall,840,12339,1171
Wyoming,625,9918,875
Bateau Bay - Killarney Vale,1137,19623,2071
Blue Haven - San Remo,440,9910,942
Budgewoi - Buff Point - Halekulani,601,8251,880
Chittaway Bay - Tumbi Umbi,728,14137,1142
Gorokan - Kanwal - Charmhaven,1242,18871,2252
Jilliby - Yarramalong,129,3024,265
Lake Munmorah - Mannering Park,818,9240,901
Ourimbah - Fountaindale,183,4412,329
Summerland Point - Gwandalan,347,5610,529
The Entrance,932,13394,1508
Toukley - Norah Head,685,8338,888
Tuggerah - Kangy Angy,214,4675,340
Warnervale - Wadalba,722,17854,1477
Wyong,432,7712,977
Bathurst - East,485,10895,949
Bathurst Surrounds,280,5804,828
Oberon,211,3834,790
Bathurst - South,492,8685,1569
Bathurst - West,510,12721,1085
Condobolin,311,5139,920
Cowra,493,7885,896
Cowra Surrounds,283,4716,721
Forbes,534,8311,1173
