Australian Bureau of Statistics

"2021 Census - cultural diversity"
"SA2 (UR) by HHEDP Whether has Heart Disease (including Heart Attack or Angina)"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

"HHEDP Whether has Heart Disease (including Heart Attack or Angina)","Has heart disease (including heart attack or angina)","Does not have heart disease (including heart attack or angina)","Not stated","Total",
"SA2 (UR)",
"Braidwood",225,3669,454,4343,
"Karabar",312,7458,749,8517,
"Queanbeyan",433,10059,851,11342,
"Queanbeyan - East",173,4565,351,5085,
"Queanbeyan West - Jerrabomberra",326,11661,754,12744,
"Googong",85,5811,332,6224,
"Queanbeyan Surrounds",557,14639,1342,16539,
"Bombala",133,2048,273,2454,
"Cooma",336,5712,705,6761,
"Cooma Surrounds",172,2890,415,3472,
"Jindabyne - Berridale",241,6980,821,8035,
"Batemans Bay",513,7218,850,8581,
"Batemans Bay - South",589,7457,894,8938,
"Bega - Tathra",444,7557,868,8872,
"Bega-Eden Hinterland",490,8166,904,9557,
"Broulee - Tomakin",233,3268,291,3792,
"Deua - Wadbilliga",5,30,5,43,
"Eden",258,2768,399,3425,
"Eurobodalla Hinterland",182,2911,434,3525,
"Merimbula - Tura Beach",847,9783,883,11513,
"Moruya - Tuross Head",535,7171,896,8600,
"Narooma - Bermagui",640,8296,948,9888,
"Goulburn",1280,20740,2557,24565,
"Goulburn Surrounds",740,11638,1464,13839,
"Yass",374,5873,523,6763,
"Yass Surrounds",483,11173,1054,12713,
"Young",548,9416,1043,11004,
"Young Surrounds",395,6395,889,7677,
"Avoca Beach - Copacabana",275,6764,476,7513,
"Box Head - MacMasters Beach",608,9703,732,11042,
"Calga - Kulnura",212,3998,510,4716,
"Erina - Green Point",1012,12832,916,14758,
"Gosford - Springfield",880,18646,1680,21204,
"Kariong",200,5854,425,6485,
"Kincumber - Picketts Valley",463,6573,577,7615,
"Narara",266,6510,383,7157,
"Niagara Park - Lisarow",329,7433,446,8205,
"Point Clare - Koolewong",360,5812,398,6571,
"Saratoga - Davistown",363,6302,487,7160,
"Terrigal - North Avoca",580,13220,1051,14849,
"Umina - Booker Bay - Patonga",1339,21227,2124,24697,
"Wamberal - Forresters Beach",427,9539,712,10675,
"Woy Woy - Blackwall",840,12339,1171,14346,
"Wyoming",625,9918,875,11423,
"Bateau Bay - Killarney Vale",1137,19623,2071,22825,
"Blue Haven - San Remo",440,9910,942,11290,
"Budgewoi - Buff Point - Halekulani",601,8251,880,9728,
"Chittaway Bay - Tumbi Umbi",728,14137,1142,16006,
"Gorokan - Kanwal - Charmhaven",1242,18871,2252,22362,
"Jilliby - Yarramalong",129,3024,265,3420,
"Lake Munmorah - Mannering Park",818,9240,901,10960,
"Ourimbah - Fountaindale",183,4412,329,4928,
"Summerland Point - Gwandalan",347,5610,529,6492,
"The Entrance",932,13394,1508,15839,
"Toukley - Norah Head",685,8338,888,9909,
"Tuggerah - Kangy Angy",214,4675,340,5229,
"Warnervale - Wadalba",722,17854,1477,20051,
"Wyong",432,7712,977,9120,
"Bathurst - East",485,10895,949,12330,
"Bathurst Surrounds",280,5804,828,6909,
"Oberon",211,3834,790,4834,
"Bathurst - South",492,8685,1569,10752,
"Bathurst - West",510,12721,1085,14313,
"Condobolin",311,5139,920,6372,
"Cowra",493,7885,896,9273,
