sa2,Has kidney disease,Does not have kidney disease,Not stated
Braidwood,41,3851,454
Karabar,146,7615,749
Queanbeyan,152,10343,851
Queanbeyan - East,55,4676,351
Queanbeyan West - Jerrabomberra,89,11896,754
Googong,23,5869,332
Queanbeyan Surrounds,169,15029,1342
Bombala,32,2145,273
Cooma,79,5974,705
Cooma Surrounds,30,3026,415
Jindabyne - Berridale,47,7173,821
Batemans Bay,139,7594,850
Batemans Bay - South,163,7885,894
Bega - Tathra,137,7867,868
Bega-Eden Hinterland,143,8511,904
Broulee - Tomakin,74,3426,291
Deua - Wadbilliga,4,34,5
Eden,58,2969,399
Eurobodalla Hinterland,37,3053,434
Merimbula - Tura Beach,200,10431,883
Moruya - Tuross Head,139,7567,896
Narooma - Bermagui,149,8788,948
Goulburn,461,21551,2557
Goulburn Surrounds,187,12194,1464
Yass,84,6158,523
Yass Surrounds,99,11555,1054
Young,133,9822,1043
Young Surrounds,107,6683,889
Avoca Beach - Copacabana,41,6999,476
Box Head - MacMasters Beach,119,10187,732
Calga - Kulnura,37,4173,510
Erina - Green Point,241,13598,916
Gosford - Springfield,242,19287,1680
Kariong,60,6001,425
Kincumber - Picketts Valley,116,6923,577
Narara,80,6696,383
Niagara Park - Lisarow,91,7674,446
Point Clare - Koolewong,98,6072,398
Saratoga - Davistown,60,6609,487
Terrigal - North Avoca,130,13664,1051
Umina - Booker Bay - Patonga,315,22257,2124
Wamberal - Forresters Beach,84,9877,712
Woy Woy - Blackwall,218,12954,1171
Wyoming,165,10377,875
Bateau Bay - Killarney Vale,252,20509,2071
Blue Haven - San Remo,157,10192,942
Budgewoi - Buff Point - Halekulani,162,8691,880
Chittaway Bay - Tumbi Umbi,203,14663,1142
Gorokan - Kanwal - Charmhaven,335,19772,2252
Jilliby - Yarramalong,26,3126,265
Lake Munmorah - Mannering Park,222,9840,901
Ourimbah - Fountaindale,42,4554,329
Summerland Point - Gwandalan,95,5867,529
The Entrance,239,14092,1508
Toukley - Norah Head,176,8843,888
Tuggerah - Kangy Angy,54,4832,340
Warnervale - Wadalba,219,18361,1477
Wyong,125,8024,977
Bathurst - East,124,11258,949
Bathurst Surrounds,63,6019,828
Oberon,49,3997,790
Bathurst - South,98,9078,1569
Bathurst - West,114,13115,1085
Condobolin,78,5378,920
Cowra,113,8263,896
Cowra Surrounds,65,4936,721
Forbes,131,8715,1173
Grenfell,47,3218,326
Parkes (NSW),117,9747,1056
Parkes Surrounds,46,2781,433
West Wyalong,51,4815,656
Lithgow,127,10812,1448
Lithgow Surrounds,90,7479,875
Mudgee,119,11320,1126
Mudgee Surrounds - East,52,2935,416
Mudgee Surrounds - West,143,9652,1280
Wollangambe - Wollemi,0,0,0
Blayney,67,6743,710
Orange,244,16993,1784
Orange - North,174,20924,1793
Orange Surrounds,81,10641,1107
Grafton,368,17069,1820
Grafton Surrounds,209,13948,2717
Maclean - Yamba - Iluka,324,15701,1501
Bellingen,42,5478,646
Coffs Harbour - North,258,16207,1633
Coffs Harbour - South,155,9873,1270
Coramba - Nana Glen - Bucca,31,3548,366
Dorrigo,58,2774,417
Korora - Emerald Beach,101,9439,725
Sawtell - Boambee,229,18157,1678
Urunga,78,4366,465
Woolgoolga - Arrawarra,137,13152,1172
Bourke - Brewarrina,46,2692,683
Cobar,35,3400,695
Coonamble,61,3219,654
Nyngan - Warren,49,3967,575
Walgett - Lightning Ridge,58,3929,1541
Broken Hill,273,15195,2120
Far West,29,1795,463
Coonabarabran,116,6498,1308
Dubbo - East,122,9214,1294
