"AGE10P - Age in Ten Year Groups","0-9 years","10-19 years","20-29 years","30-39 years","40-49 years","50-59 years","60-69 years","70-79 years","80-89 years","90-99 years","100 years and over","Total",
"SA2",
"Goulburn",2657,2829,2580,2660,2921,2798,2359,1528,989,157,7,21485,
"Goulburn Region",1356,1586,777,1133,1710,1806,1787,1034,379,49,0,11615,
"Yass",900,839,669,773,890,794,667,428,310,49,0,6331,
"Yass Region",1466,1505,704,1327,1750,1660,1293,514,159,17,0,10397,
"Young",1510,1477,1012,1186,1278,1224,1189,812,491,91,8,10280,
"Young Region",924,989,552,695,1006,1100,1140,629,309,53,0,7394,
"Braidwood",396,405,202,355,496,550,545,282,96,18,4,3356,
"Karabar",1183,1259,1181,1188,1337,1159,746,384,145,9,0,8602,
"Queanbeyan",1113,935,1813,1670,1435,1211,907,585,473,88,3,10233,
"Queanbeyan - East",530,440,951,711,668,623,408,194,105,16,0,4639,
"Queanbeyan Region",1887,2248,1185,1627,2543,2417,1522,505,154,17,0,14111,
"Queanbeyan West - Jerrabomberra",2066,2064,1435,1891,2524,1486,688,312,106,8,0,12572,
"Bombala",277,304,189,228,338,387,352,183,119,33,0,2419,
"Cooma",786,891,672,773,937,888,778,526,347,67,0,6677,
"Cooma Region",355,426,197,278,503,559,506,263,96,7,0,3175,
"Jindabyne - Berridale",898,959,813,879,1095,937,637,304,118,24,0,6664,
"Batemans Bay",906,827,604,718,840,1061,1266,797,417,77,0,7504,
"Batemans Bay - South",886,1018,548,681,945,1136,1447,936,523,99,0,8223,
"Bega - Tathra",983,1127,695,801,1044,1309,990,669,356,72,0,8046,
"Bega-Eden Hinterland",1017,1284,502,707,1354,1844,1314,545,182,20,0,8767,
"Broulee - Tomakin",282,366,163,235,376,426,451,316,187,22,0,2827,
"Deua - Wadbilliga",12,3,4,0,3,16,15,0,0,0,0,57,
"Eden",358,415,270,300,373,514,459,325,163,25,5,3207,
"Eurobodalla Hinterland",324,449,172,277,516,587,560,220,86,14,0,3211,
"Merimbula - Tura Beach",936,1109,629,787,1204,1532,1660,1189,611,116,3,9779,
"Moruya - Tuross Head",750,961,456,643,937,1290,1314,851,365,48,0,7616,
"Narooma - Bermagui",801,809,458,633,929,1502,1704,1054,647,95,0,8632,
"Avoca Beach - Copacabana",988,1088,640,793,1190,1063,712,337,173,30,0,7010,
"Box Head - MacMasters Beach",1146,1402,814,968,1426,1607,1511,934,473,62,0,10338,
"Calga - Kulnura",552,579,389,516,726,660,612,270,102,12,0,4422,
