Australian Bureau of Statistics

"2021 Census - cultural diversity"
"SA2 (UR) by 4-digit level BPLP Country of Birth of Person"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

"4-digit level BPLP Country of Birth of Person","Oceania and Antarctica, nfd","Australia (includes External Territories), nfd","Australia","Norfolk Island","Australian External Territories, nec","New Zealand","Melanesia, nfd","New Caledonia","Papua New Guinea","Solomon Islands","Vanuatu","Micronesia, nfd","Guam","Kiribati","Marshall Islands","Micronesia, Federated States of","Nauru","Northern Mariana Islands","Palau","Polynesia (excludes Hawaii), nfd","Cook Islands","Fiji","French Polynesia","Niue","Samoa","Samoa, American","Tokelau","Tonga","Tuvalu","Wallis and Futuna","Pitcairn Islands","Polynesia (excludes Hawaii), nec","Antarctica, nfd","Adelie Land (France)","Argentinian Antarctic Territory","Australian Antarctic Territory","British Antarctic Territory","Chilean Antarctic Territory","Queen Maud Land (Norway)","Ross Dependency (New Zealand)","North-West Europe, nfd","United Kingdom, Channel Islands and Isle of Man, nfd","England","Isle of Man","Northern Ireland","Scotland","Wales","Guernsey","Jersey","Ireland","Western Europe, nfd","Austria","Belgium","France","Germany","Liechtenstein","Luxembourg","Monaco","Netherlands","Switzerland","Northern Europe, nfd","Denmark","Faroe Islands","Finland","Greenland","Iceland","Norway","Sweden","Aland Islands","Southern and Eastern Europe, nfd","Southern Europe, nfd","Andorra","Gibraltar","Holy See","Italy","Malta","Portugal","San Marino","Spain","South Eastern Europe, nfd","Albania","Bosnia and Herzegovina","Bulgaria","Croatia","Cyprus","North Macedonia","Greece","Moldova","Romania","Slovenia","Montenegro","Serbia","Kosovo","Eastern Europe, nfd","Belarus","Czechia","Estonia","Hungary","Latvia","Lithuania","Poland","Russian Federation","Slovakia","Ukraine","North Africa and the Middle East, nfd","North Africa, nfd","Algeria","Egypt","Libya","Morocco","Sudan","Tunisia","Western Sahara","Spanish North Africa","South Sudan","Middle East, nfd","Bahrain","Gaza Strip and West Bank","Iran","Iraq","Israel","Jordan","Kuwait","Lebanon","Oman","Qatar","Saudi Arabia","Syria","Turkey","United Arab Emirates","Yemen","South-East Asia, nfd","Mainland South-East Asia, nfd","Myanmar","Cambodia","Laos","Thailand","Vietnam","Maritime South-East Asia, nfd","Brunei Darussalam","Indonesia","Malaysia","Philippines","Singapore","Timor-Leste","North-East Asia, nfd","Chinese Asia (includes Mongolia), nfd","China (excludes SARs and Taiwan)","Hong Kong (SAR of China)","Macau (SAR of China)","Mongolia","Taiwan","Japan and the Koreas, nfd","Japan","Korea, Democratic People's Republic of (North)","Korea, Republic of (South)","Southern and Central Asia, nfd","Southern Asia, nfd","Bangladesh","Bhutan","India","Maldives","Nepal","Pakistan","Sri Lanka","Central Asia, nfd","Afghanistan","Armenia","Azerbaijan","Georgia","Kazakhstan","Kyrgyzstan","Tajikistan","Turkmenistan","Uzbekistan","Americas, nfd","Northern America, nfd","Bermuda","Canada","St Pierre and Miquelon","United States of America","South America, nfd","Argentina","Bolivia","Brazil","Chile","Colombia","Ecuador","Falkland Islands","French Guiana","Guyana","Paraguay","Peru","Suriname","Uruguay","Venezuela","South America, nec","Central America, nfd","Belize","Costa Rica","El Salvador","Guatemala","Honduras","Mexico","Nicaragua","Panama","Caribbean, nfd","Anguilla","Antigua and Barbuda","Aruba","Bahamas","Barbados","Cayman Islands","Cuba","Dominica","Dominican Republic","Grenada","Guadeloupe","Haiti","Jamaica","Martinique","Montserrat","Puerto Rico","St Kitts and Nevis","St Lucia","St Vincent and the Grenadines","Trinidad and Tobago","Turks and Caicos Islands","Virgin Islands, British","Virgin Islands, United States","St Barthelemy","St Martin (French part)","Bonaire, Sint Eustatius and Saba","Curacao","Sint Maarten (Dutch part)","Sub-Saharan Africa, nfd","Central and West Africa, nfd","Benin","Burkina Faso","Cameroon","Cabo Verde","Central African Republic","Chad","Congo, Republic of","Congo, Democratic Republic of","Cote d'Ivoire","Equatorial Guinea","Gabon","Gambia","Ghana","Guinea","Guinea-Bissau","Liberia","Mali","Mauritania","Niger","Nigeria","Sao Tome and Principe","Senegal","Sierra Leone","Togo","Southern and East Africa, nfd","Angola","Botswana","Burundi","Comoros","Djibouti","Eritrea","Ethiopia","Kenya","Lesotho","Madagascar","Malawi","Mauritius","Mayotte","Mozambique","Namibia","Reunion","Rwanda","St Helena","Seychelles","Somalia","South Africa","Eswatini","Tanzania","Uganda","Zambia","Zimbabwe","Southern and East Africa, nec","Inadequately described","At sea","Not stated","Total",
"SA2 (UR)",
"Braidwood",0,0,3422,0,0,67,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,3,19,10,0,0,6,0,5,4,10,22,0,0,0,18,9,0,11,0,3,0,0,0,3,0,0,0,0,0,0,4,0,0,0,4,5,0,0,0,0,0,0,3,0,0,0,0,5,0,4,0,0,0,4,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,5,19,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,387,4343,
"Karabar",0,0,6522,0,0,116,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,21,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,132,0,7,20,12,0,0,15,0,6,6,6,35,0,0,0,9,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,86,11,16,0,3,14,0,15,9,47,3,182,22,0,3,0,0,29,0,6,0,4,0,4,0,0,9,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,0,5,0,0,0,0,0,4,7,0,19,22,0,0,9,20,88,3,0,0,0,27,5,0,0,0,0,5,0,5,0,0,4,10,134,0,44,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,33,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,6,0,0,8,0,511,8517,
"Queanbeyan",0,0,7697,0,0,177,0,0,14,9,0,0,0,0,0,0,0,0,0,0,0,40,0,0,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,4,204,0,5,32,9,0,0,18,0,5,3,7,63,0,0,0,36,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,100,23,16,0,6,25,0,8,5,44,0,152,73,0,0,6,0,50,0,0,0,4,0,8,4,5,14,3,6,12,0,0,0,19,0,0,5,0,0,0,0,0,0,3,13,3,4,0,0,7,0,0,4,0,3,0,0,0,0,15,3,0,32,19,0,0,34,20,227,8,0,0,0,57,9,0,0,5,0,5,0,25,0,0,74,18,510,0,332,97,25,0,4,0,0,0,0,0,0,0,0,0,0,0,29,0,32,0,9,0,17,0,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,5,0,0,0,0,0,0,0,0,32,0,0,0,0,20,0,8,0,597,11342,
"Queanbeyan - East",0,0,3593,0,0,77,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,23,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,21,3,0,0,3,0,4,0,5,25,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,10,0,0,7,0,3,4,26,0,59,4,0,0,0,0,13,0,0,0,3,0,5,0,0,7,3,0,4,0,0,0,14,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,20,6,0,0,18,12,86,5,0,0,0,18,3,0,0,8,0,3,0,10,0,0,60,6,233,0,66,24,8,0,7,0,0,0,0,0,0,0,0,0,0,0,13,0,40,0,4,0,3,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,12,0,3,0,235,5085,
"Queanbeyan West - Jerrabomberra",0,0,10156,0,0,176,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,335,0,9,48,15,0,0,19,0,11,8,19,57,0,0,0,20,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,69,12,14,0,7,22,6,11,0,36,3,113,20,3,8,8,0,32,0,0,0,0,0,16,0,0,15,12,5,7,0,0,0,8,0,0,0,0,0,0,0,0,0,0,13,4,0,0,0,9,0,0,0,0,18,0,0,0,0,3,5,0,30,14,0,0,24,32,96,15,0,0,0,69,15,0,0,3,0,5,0,7,0,0,5,0,157,0,52,19,38,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,86,0,8,0,12,11,8,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,7,12,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,3,18,0,3,0,399,12744,
"Googong",0,0,4808,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,4,13,0,0,0,3,0,0,0,14,11,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,6,0,0,5,0,3,0,4,0,38,6,0,0,0,0,11,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,11,9,0,6,0,5,0,0,0,0,5,3,0,0,0,0,0,0,11,14,0,0,5,21,95,21,0,0,0,20,3,0,0,0,0,0,0,20,0,0,16,4,270,0,12,25,21,0,5,0,0,0,0,0,0,0,0,0,0,0,15,0,28,0,3,0,7,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,74,0,0,0,0,5,0,5,0,208,6224,
"Queanbeyan Surrounds",0,0,13507,0,0,208,0,0,34,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,661,0,8,60,15,0,0,32,0,21,8,15,84,0,0,0,42,9,0,10,0,15,0,0,4,7,0,0,0,0,0,0,73,19,5,0,7,13,0,5,0,26,6,16,10,0,0,7,0,21,0,4,0,3,0,3,0,0,15,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,6,0,0,0,0,0,5,0,0,0,0,3,5,16,11,0,0,12,26,33,16,0,0,0,20,14,0,0,6,0,9,0,0,0,0,0,6,35,0,0,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,114,0,3,0,7,19,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,67,0,3,3,5,17,0,10,0,935,16539,
"Bombala",0,0,2005,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,6,0,0,0,0,16,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,260,2454,
"Cooma",0,0,5264,0,0,110,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,4,21,10,0,0,18,0,13,0,5,87,0,0,0,39,8,0,0,0,5,0,0,3,3,0,0,0,0,0,0,59,3,0,0,4,5,0,0,0,5,0,0,11,0,8,0,0,5,0,8,0,8,0,6,0,0,8,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,20,0,3,4,0,0,0,0,0,0,0,0,0,27,6,0,0,15,15,44,11,0,0,0,28,4,0,0,4,0,5,0,5,0,0,5,0,73,0,28,32,25,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,19,0,7,0,3,3,10,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,11,0,0,0,386,6761,
"Cooma Surrounds",0,0,2749,0,0,28,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,134,0,0,12,0,0,0,3,0,12,0,3,35,0,0,0,12,0,0,0,0,10,0,0,0,4,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,4,0,5,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,21,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,6,0,0,0,323,3472,
