Australian Bureau of Statistics

"2021 Census - cultural diversity"
"SA2 (UR) by 2-digit level BPLP Country of Birth of Person"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

"2-digit level BPLP Country of Birth of Person","Oceania and Antarctica, nfd","Australia (includes External Territories)","New Zealand","Melanesia","Micronesia","Polynesia (excludes Hawaii)","Antarctica","North-West Europe, nfd","United Kingdom, Channel Islands and Isle of Man","Ireland","Western Europe","Northern Europe","Southern and Eastern Europe, nfd","Southern Europe","South Eastern Europe","Eastern Europe","North Africa and the Middle East, nfd","North Africa","Middle East","South-East Asia, nfd","Mainland South-East Asia","Maritime South-East Asia","North-East Asia, nfd","Chinese Asia (includes Mongolia)","Japan and the Koreas","Southern and Central Asia, nfd","Southern Asia","Central Asia","Americas, nfd","Northern America","South America","Central America","Caribbean","Sub-Saharan Africa, nfd","Central and West Africa","Southern and East Africa","Supplementary codes","Not stated","Total",
"SA2 (UR)",
"Braidwood",0,3422,67,4,0,0,0,0,211,6,65,22,0,11,14,15,0,5,11,0,8,32,0,0,0,0,15,0,0,28,5,0,0,0,0,11,0,387,4343,
"Karabar",0,6522,116,9,0,59,0,0,167,15,71,8,0,110,332,32,0,8,24,0,55,125,0,36,6,0,202,6,0,46,11,0,5,0,7,24,8,511,8517,
"Queanbeyan",0,7697,177,22,3,65,0,0,253,18,117,11,0,146,369,45,0,30,39,0,73,299,0,73,37,0,1055,12,0,63,38,4,0,0,19,74,8,597,11342,
"Queanbeyan - East",0,3593,77,4,3,32,0,0,165,3,41,0,0,34,117,23,0,16,14,0,27,120,0,26,13,0,392,4,0,52,21,0,0,0,14,43,3,235,5085,
"Queanbeyan West - Jerrabomberra",0,10156,176,18,0,44,0,0,415,19,113,12,0,103,255,52,0,7,47,0,54,167,0,87,16,0,282,3,0,119,49,0,0,0,7,121,3,399,12744,
"Googong",0,4808,64,4,0,52,0,0,173,3,29,0,0,17,68,17,0,11,34,0,25,137,0,24,19,0,358,3,0,41,16,6,3,0,9,89,5,208,6224,
"Queanbeyan Surrounds",0,13507,208,34,3,16,0,0,753,32,181,36,0,106,102,46,0,0,22,0,36,93,0,42,15,0,61,0,0,163,42,0,6,0,3,103,10,935,16539,
"Bombala",0,2005,24,0,0,3,0,0,51,6,24,0,0,4,5,12,0,0,0,0,5,6,0,10,9,0,6,0,0,14,4,0,0,0,0,9,3,260,2454,
"Cooma",0,5264,110,4,0,4,0,0,182,18,145,12,0,71,36,34,0,3,40,0,42,76,0,35,13,0,158,0,0,27,32,6,0,0,3,41,0,386,6761,
"Cooma Surrounds",0,2749,28,0,0,4,0,0,154,3,64,8,0,13,13,18,0,4,4,0,4,6,0,8,0,0,11,0,0,30,10,0,0,0,0,16,0,323,3472,
"Jindabyne - Berridale",0,6316,127,10,0,0,0,0,348,6,138,17,0,25,19,38,0,0,12,0,36,30,0,118,19,0,6,0,0,85,57,0,0,0,0,43,0,564,8035,
"Batemans Bay",0,6678,114,9,0,6,0,0,485,22,123,15,0,50,77,43,0,4,12,0,22,64,0,24,12,0,66,0,0,43,25,6,3,0,0,39,4,633,8581,
"Batemans Bay - South",0,6762,152,12,0,12,0,0,526,23,119,22,0,45,88,40,0,3,10,0,33,73,0,38,14,0,70,0,0,58,23,0,0,0,0,61,6,753,8938,
"Bega - Tathra",0,7348,83,0,0,11,0,0,285,4,108,15,0,16,14,7,0,0,12,0,27,45,0,17,6,0,70,0,0,72,11,0,4,0,16,27,3,672,8872,
"Bega-Eden Hinterland",0,7727,137,6,0,4,0,0,441,20,149,15,0,25,12,18,0,0,11,0,25,31,0,10,4,0,13,0,0,66,10,0,0,0,6,44,0,778,9557,
"Broulee - Tomakin",0,3081,48,0,0,3,0,0,200,8,65,3,0,8,13,7,0,0,9,0,4,16,0,3,4,0,11,0,0,11,5,0,0,0,0,24,0,251,3792,
"Deua - Wadbilliga",0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,43,
"Eden",0,2692,42,4,0,10,0,0,137,5,57,5,0,4,20,4,0,0,5,0,5,25,0,12,0,0,14,0,0,17,7,0,0,0,0,16,0,330,3425,
"Eurobodalla Hinterland",0,2753,46,3,0,0,0,0,144,0,55,3,0,17,8,7,0,7,3,0,3,11,0,4,4,0,10,0,0,22,0,0,0,0,0,10,0,403,3525,
"Merimbula - Tura Beach",0,9158,128,7,0,4,0,0,706,30,193,27,0,45,29,31,0,10,5,0,45,96,0,32,23,0,67,0,0,72,33,0,7,0,0,84,3,676,11513,
"Moruya - Tuross Head",0,6785,107,4,0,8,0,0,454,22,118,11,0,28,43,25,0,6,0,0,31,41,0,9,3,0,33,0,0,51,14,0,0,0,0,26,0,786,8600,
"Narooma - Bermagui",0,7644,112,13,0,6,0,0,620,21,180,25,0,51,45,27,0,3,9,0,20,55,0,16,9,0,62,0,0,82,25,0,0,0,0,45,3,818,9888,
"Goulburn",0,20465,239,28,7,93,0,0,569,32,121,24,0,46,83,37,0,15,79,0,89,263,0,150,56,0,454,11,0,62,50,5,0,0,56,98,9,1445,24565,
"Goulburn Surrounds",0,11310,135,7,0,8,0,0,484,18,123,11,0,66,69,29,0,5,46,0,22,54,0,26,4,0,41,0,0,45,27,5,0,0,4,52,0,1242,13839,
"Yass",0,5796,56,11,0,8,0,0,214,27,48,0,0,12,12,13,0,0,16,0,30,31,0,11,0,0,73,0,0,29,12,0,0,0,0,32,0,334,6763,
