Australian Bureau of Statistics

"2021 Census - cultural diversity"
"SA2 (UR) by SEXP Sex"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

"SEXP Sex","Male","Female","Total",
"SA2 (UR)",
"Braidwood",2234,2117,4343,
"Karabar",4264,4255,8517,
"Queanbeyan",5704,5638,11342,
"Queanbeyan - East",2647,2440,5085,
"Queanbeyan West - Jerrabomberra",6331,6413,12744,
"Googong",3093,3134,6224,
"Queanbeyan Surrounds",8405,8131,16539,
"Bombala",1223,1229,2454,
"Cooma",3436,3321,6761,
"Cooma Surrounds",1811,1659,3472,
"Jindabyne - Berridale",4196,3839,8035,
"Batemans Bay",4196,4384,8581,
"Batemans Bay - South",4295,4646,8938,
"Bega - Tathra",4310,4560,8872,
"Bega-Eden Hinterland",4878,4686,9557,
"Broulee - Tomakin",1823,1968,3792,
"Deua - Wadbilliga",25,16,43,
"Eden",1667,1757,3425,
"Eurobodalla Hinterland",1801,1722,3525,
"Merimbula - Tura Beach",5536,5977,11513,
"Moruya - Tuross Head",4292,4307,8600,
"Narooma - Bermagui",4804,5082,9888,
"Goulburn",12212,12355,24565,
"Goulburn Surrounds",7128,6715,13839,
"Yass",3271,3493,6763,
"Yass Surrounds",6330,6381,12713,
"Young",5291,5715,11004,
"Young Surrounds",3898,3777,7677,
"Avoca Beach - Copacabana",3729,3781,7513,
"Box Head - MacMasters Beach",5417,5621,11042,
"Calga - Kulnura",2445,2274,4716,
"Erina - Green Point",6897,7861,14758,
"Gosford - Springfield",10309,10903,21204,
"Kariong",3272,3211,6485,
"Kincumber - Picketts Valley",3465,4149,7615,
"Narara",3499,3658,7157,
"Niagara Park - Lisarow",4026,4176,8205,
"Point Clare - Koolewong",3202,3362,6571,
"Saratoga - Davistown",3500,3662,7160,
"Terrigal - North Avoca",7315,7534,14849,
"Umina - Booker Bay - Patonga",11766,12927,24697,
"Wamberal - Forresters Beach",5205,5469,10675,
"Woy Woy - Blackwall",6835,7508,14346,
"Wyoming",5481,5940,11423,
"Bateau Bay - Killarney Vale",10884,11942,22825,
"Blue Haven - San Remo",5521,5769,11290,
"Budgewoi - Buff Point - Halekulani",4759,4969,9728,
"Chittaway Bay - Tumbi Umbi",7736,8273,16006,
"Gorokan - Kanwal - Charmhaven",10790,11571,22362,
"Jilliby - Yarramalong",1732,1684,3420,
"Lake Munmorah - Mannering Park",5263,5696,10960,
"Ourimbah - Fountaindale",2460,2459,4928,
"Summerland Point - Gwandalan",3258,3235,6492,
"The Entrance",7630,8207,15839,
"Toukley - Norah Head",4868,5048,9909,
"Tuggerah - Kangy Angy",2500,2732,5229,
"Warnervale - Wadalba",9640,10415,20051,
"Wyong",4557,4563,9120,
"Bathurst - East",6096,6235,12330,
"Bathurst Surrounds",3634,3277,6909,
"Oberon",2531,2307,4834,
"Bathurst - South",5565,5189,10752,
"Bathurst - West",6946,7367,14313,
"Condobolin",3191,3187,6372,
"Cowra",4526,4746,9273,
"Cowra Surrounds",2860,2862,5716,
"Forbes",4970,5052,10020,
"Grenfell",1840,1753,3597,
"Parkes (NSW)",5350,5567,10919,
"Parkes Surrounds",1715,1541,3262,
"West Wyalong",2776,2744,5525,
"Lithgow",6226,6163,12385,
"Lithgow Surrounds",4299,4150,8448,
"Mudgee",6134,6433,12563,
"Mudgee Surrounds - East",1749,1651,3398,
"Mudgee Surrounds - West",5726,5341,11072,
"Wollangambe - Wollemi",0,0,0,
"Blayney",3735,3783,7517,
"Orange",9185,9840,19023,
"Orange - North",11150,11744,22895,
"Orange Surrounds",5990,5842,11830,
"Grafton",9273,9983,19255,
"Grafton Surrounds",8986,7886,16875,
"Maclean - Yamba - Iluka",8559,8969,17533,
"Bellingen",2958,3204,6168,
"Coffs Harbour - North",8628,9473,18099,
"Coffs Harbour - South",5266,6038,11305,
"Coramba - Nana Glen - Bucca",2016,1938,3950,
"Dorrigo",1636,1610,3250,
"Korora - Emerald Beach",5004,5253,10262,
"Sawtell - Boambee",9645,10414,20066,
"Urunga",2404,2503,4907,
"Woolgoolga - Arrawarra",7117,7347,14463,
"Bourke - Brewarrina",1697,1730,3428,
"Cobar",2099,2031,4129,
"Coonamble",1975,1958,3926,
"Nyngan - Warren",2275,2316,4591,
"Walgett - Lightning Ridge",2809,2722,5534,
"Broken Hill",8565,9020,17588,
"Far West",1182,1107,2288,
"Coonabarabran",3951,3963,7921,
"Dubbo - East",5186,5446,10633,
"Dubbo - South",9271,10354,19628,
"Dubbo - West",5060,5257,10317,
"Dubbo Surrounds",3080,2877,5963,
"Gilgandra",2176,2218,4398,
"Narromine",3273,3189,6458,
"Wellington",4713,4056,8769,
"Branxton - Greta - Pokolbin",6382,6387,12770,
"Cessnock",12097,11399,23495,
"Cessnock Surrounds",4614,4531,9145,
"Dungog",4761,4781,9541,
"Kurri Kurri - Abermain",10139,10488,20631,
"Singleton",8800,8219,17018,
"Singleton Surrounds",2734,2590,5332,
"Maitland",4228,4388,8611,
"Maitland - North",4220,4510,8727,
"East Maitland - Metford",8774,9204,17981,
"Rutherford (North) - Aberglasslyn",8615,9113,17730,
"Rutherford (South) - Telarah",3923,4051,7976,
"Tenambit - East Maitland",4806,5284,10091,
"Thornton - Millers Forest",7827,8065,15899,
"Anna Bay",3178,3266,6449,
"Lemon Tree Passage - Tanilba Bay",3456,3435,6887,
"Nelson Bay Peninsula",10505,11467,21972,
"Raymond Terrace",7240,7355,14588,
"Seaham - Woodville",2860,2830,5693,
"Tea Gardens - Hawks Nest",2886,2917,5804,
"Williamtown - Medowie - Karuah",7577,7445,15020,
"Muswellbrook",6308,5968,12272,
"Muswellbrook Surrounds",2091,1990,4083,
"Scone",2977,3057,6035,
"Scone Surrounds",4137,4058,8194,
"Dapto - Avondale",11819,12376,24195,
"Horsley - Kembla Grange",5995,6166,12155,
"Port Kembla Industrial",5,0,5,
"Unanderra - Mount Kembla",7417,7861,15280,
"Berkeley - Lake Heights - Cringila",7043,7160,14200,
"Port Kembla - Warrawong",4840,4900,9740,
"Windang - Primbee",2133,2108,4239,
"Illawarra Catchment Reserve",5,0,9,
"Albion Park - Macquarie Pass",9346,9681,19026,
"Albion Park Rail",3340,3571,6920,
"Kiama",4224,4562,8786,
"Kiama Downs - Minnamurra",3004,3058,6063,
"Kiama Hinterland - Gerringong",3944,4194,8136,
"Shellharbour - Flinders",9572,9767,19341,
"Shellharbour - Oak Flats",5091,5493,10590,
"Warilla",9918,10481,20397,
"Balgownie - Fairy Meadow",10590,10931,21519,
"Corrimal - Tarrawanna - Bellambi",7711,8329,16041,
"Figtree - Keiraville",11285,11485,22773,
"Helensburgh",4590,4544,9135,
"Thirroul - Austinmer - Coalcliff",5947,6012,11957,
"Woonona - Bulli - Russell Vale",9989,10773,20761,
"Wollongong - East",7870,8148,16020,
"Wollongong - West",8399,8155,16551,
"Bulahdelah - Stroud",2631,2597,5235,
"Forster",6937,7777,14709,
"Forster-Tuncurry Surrounds",3556,3434,6988,
"Tuncurry",3008,3369,6376,
"Kempsey",7877,7780,15654,
"Kempsey Surrounds",4830,4636,9472,
"Macksville - Scotts Head",2528,2659,5189,
"Nambucca Heads",3425,3687,7111,
"Nambucca Heads Surrounds",3987,4115,8102,
"South West Rocks",2752,2876,5628,
"Lord Howe Island",220,232,445,
"Laurieton - Bonny Hills",8977,9512,18484,
"Port Macquarie - West",9822,11328,21147,
"Port Macquarie Surrounds",2732,2567,5301,
"Wauchope",6143,6659,12796,
"Port Macquarie - East",5716,6047,11764,
"Port Macquarie - South",8192,9087,17284,
"Gloucester",2629,2674,5310,
"Old Bar - Manning Point - Red Head",6090,6387,12476,
"Taree",10060,11061,21123,
"Taree Surrounds",6591,6448,13044,
"Wingham",2621,2771,5395,
"Albury - East",8674,9158,17831,
"Albury - North",5063,5461,10527,
"Albury - South",5061,5460,10519,
"Albury Surrounds",6325,6181,12507,
"Lavington",7514,8148,15665,
"Hay",1454,1443,2897,
"Wentworth - Buronga",3330,3181,6511,
"Wentworth-Balranald Region",1938,1712,3648,
"Corowa",2719,2883,5595,
"Corowa Surrounds",3699,3564,7262,
"Deniliquin",3399,3637,7038,
"Deniliquin Surrounds",3528,3306,6837,
"Moama",3360,3572,6930,
"Tocumwal - Finley - Jerilderie",4847,4932,9778,
"Armidale",11358,12607,23967,
"Armidale Surrounds - North",2330,2204,4527,
"Armidale Surrounds - South",2837,3052,5894,
"Walcha",1587,1557,3144,
"Glen Innes",4409,4518,8931,
"Inverell",5805,6251,12057,
"Inverell Surrounds - East",2677,2528,5200,
"Inverell Surrounds - West",2869,2862,5734,
"Tenterfield",3334,3482,6810,
"Moree",3851,3996,7845,
"Moree Surrounds",2762,2594,5356,
"Narrabri",3414,3489,6898,
"Narrabri Surrounds",2385,2226,4616,
"Gunnedah",4794,4949,9745,
"Gunnedah Surrounds",2241,2130,4369,
"Quirindi",3789,3761,7551,
"Tamworth - East",10609,10749,21360,
"Tamworth - North",7768,8747,16517,
"Tamworth - West",2928,3073,5998,
"Tamworth Surrounds",9513,9521,19038,
"Belmont - Bennetts Green",8753,9106,17864,
"Belmont South - Blacksmiths",2800,2879,5680,
"Charlestown - Dudley",12452,12803,25254,
"Glendale - Cardiff - Hillsborough",12118,12469,24588,
"Mount Hutton - Windale",4443,5062,9504,
"Redhead",1789,1993,3785,
"Swansea - Caves Beach",6138,6427,12559,
"Valentine - Eleebana",6156,6409,12568,
"Warners Bay - Boolaroo",6974,7717,14694,
"Bolton Point - Teralba",4954,5187,10135,
