"1-digit level FMCF Family Composition","Couple family with no children","Couple family with children","One parent family","Other family","Not applicable","Total",
"SA2 (EN)",
"Braidwood",670,384,121,15,873,2061,
"Karabar",808,1025,455,38,1172,3496,
"Queanbeyan",1132,1048,511,71,2740,5503,
"Queanbeyan - East",524,507,216,34,1224,2517,
"Queanbeyan West - Jerrabomberra",1111,1978,480,27,1128,4732,
"Googong",503,1111,155,12,336,2114,
"Queanbeyan Surrounds",2035,2287,415,35,1452,6220,
"Bombala",339,201,89,4,524,1148,
"Cooma",795,616,303,16,1365,3094,
"Cooma Surrounds",493,354,90,14,638,1578,
"Jindabyne - Berridale",816,782,223,17,2306,4143,
"Batemans Bay",1208,634,432,26,1714,4023,
"Batemans Bay - South",1441,657,418,22,1736,4277,
"Bega - Tathra",1116,816,444,19,1631,4028,
"Bega-Eden Hinterland",1436,915,345,22,1559,4276,
"Broulee - Tomakin",553,346,146,14,706,1771,
"Deua - Wadbilliga",7,0,0,0,4,12,
"Eden",468,247,164,16,725,1617,
"Eurobodalla Hinterland",566,281,123,10,662,1651,
"Merimbula - Tura Beach",1855,948,390,28,2313,5532,
"Moruya - Tuross Head",1430,657,331,30,1728,4173,
"Narooma - Bermagui",1689,670,355,20,2139,4878,
"Goulburn",2559,2350,1236,92,4333,10575,
"Goulburn Surrounds",1936,1445,406,26,2183,5994,
"Yass",716,790,296,21,995,2821,
"Yass Surrounds",1514,1730,326,22,1283,4866,
"Young",1194,1069,544,49,1880,4734,
"Young Surrounds",1028,718,262,26,1481,3506,
"Avoca Beach - Copacabana",784,1005,314,13,749,2872,
"Box Head - MacMasters Beach",1495,1357,369,31,1467,4716,
"Calga - Kulnura",559,530,165,17,750,2015,
"Erina - Green Point",1722,1649,575,39,2200,6178,
"Gosford - Springfield",2304,1954,1196,99,4657,10210,
"Kariong",547,942,293,9,534,2324,
"Kincumber - Picketts Valley",854,848,343,13,1275,3334,
"Narara",715,965,346,12,723,2759,
"Niagara Park - Lisarow",748,1145,374,17,790,3072,
