"2-digit level ANC1P Ancestry 1st Response","Oceanian, nfd","Australian Peoples","New Zealand Peoples","Melanesian and Papuan","Micronesian","Polynesian","North-West European, nfd","British","Irish","Western European","Northern European","Southern and Eastern European, nfd","Southern European","South Eastern European","Eastern European","North African and Middle Eastern, nfd","Arab","Jewish","Peoples of the Sudan","Other North African and Middle Eastern","South-East Asian, nfd","Mainland South-East Asian","Maritime South-East Asian","North-East Asian, nfd","Chinese Asian","Other North-East Asian","Southern and Central Asian, nfd","Southern Asian","Central Asian","Peoples of the Americas, nfd","North American","South American","Central American","Caribbean Islander","Sub-Saharan African, nfd","Central and West African","Southern and East African","Inadequately described","So described, nfd","Not stated","Total",
"SA2 (UR)",
"Braidwood",0,1204,11,0,0,3,0,2007,317,141,25,0,78,29,32,0,18,0,0,6,0,8,22,0,19,0,0,20,0,0,11,0,0,0,0,0,9,8,0,374,4343,
"Karabar",4,2504,37,4,0,53,0,2980,520,223,21,0,367,546,109,0,30,0,0,9,0,59,93,0,92,11,0,231,4,0,14,11,5,0,0,3,14,8,14,554,8517,
"Queanbeyan",13,2604,68,17,0,80,0,3841,698,282,26,0,402,582,137,0,48,0,4,24,0,63,254,0,140,31,0,1126,17,0,19,30,3,0,0,15,43,56,45,673,11342,
"Queanbeyan - East",0,1107,16,3,6,25,0,1985,315,153,14,0,155,207,62,0,29,0,4,10,4,30,108,0,57,16,0,427,9,0,10,18,0,0,0,4,19,21,29,261,5085,
"Queanbeyan West - Jerrabomberra",0,3462,58,0,0,39,0,5072,851,355,33,5,626,603,154,0,28,7,0,43,0,33,125,0,184,10,0,392,14,0,14,29,0,0,0,8,77,32,18,471,12744,
"Googong",0,1750,12,0,0,32,0,2240,273,143,8,0,257,248,57,5,43,0,0,19,0,30,121,0,71,34,0,524,6,0,6,17,7,5,0,12,32,3,8,253,6224,
"Queanbeyan Surrounds",0,4851,33,5,0,16,0,7522,1155,592,76,0,487,231,166,0,21,0,0,3,0,41,42,0,100,14,0,85,4,4,46,42,0,0,0,0,39,11,23,940,16539,
"Bombala",0,839,3,0,0,0,0,1069,140,73,0,0,18,10,32,0,0,0,0,0,0,3,5,0,11,8,0,6,0,0,5,0,0,0,0,0,0,0,0,227,2454,
"Cooma",0,1930,29,0,0,0,0,2618,451,318,15,0,203,58,79,0,37,0,3,11,0,33,45,0,69,10,0,163,0,3,8,15,0,0,0,0,27,4,15,593,6761,
"Cooma Surrounds",0,962,3,0,0,0,0,1563,273,136,18,0,60,30,44,0,14,0,0,0,0,6,7,0,12,0,0,10,0,3,8,9,0,0,0,0,9,0,4,303,3472,
"Jindabyne - Berridale",0,1983,25,0,0,10,0,3943,548,303,31,0,148,60,94,0,6,5,0,14,0,28,11,0,130,16,0,6,0,0,12,12,0,0,0,3,10,7,0,614,8035,
"Batemans Bay",0,2524,28,0,0,8,0,3944,519,260,27,0,187,121,90,0,19,0,0,8,0,18,40,0,45,10,0,69,0,0,12,20,0,0,0,0,22,10,3,596,8581,
"Batemans Bay - South",0,2457,20,0,0,15,0,4138,550,309,45,0,213,143,93,0,5,0,0,0,0,28,47,0,59,8,0,77,0,0,14,10,0,0,0,3,15,3,8,682,8938,
"Bega - Tathra",0,2902,14,0,0,5,0,3963,620,280,21,0,82,32,30,0,5,0,0,6,0,34,32,0,55,0,0,81,0,0,8,10,0,0,0,8,9,10,9,652,8872,
"Bega-Eden Hinterland",0,2933,24,3,0,0,0,4476,650,376,25,0,134,25,56,0,11,0,0,0,0,15,25,0,22,3,0,20,0,0,21,0,0,0,0,0,12,10,4,703,9557,
"Broulee - Tomakin",0,1075,7,0,0,0,0,1861,309,127,10,0,62,25,34,0,0,0,0,3,0,3,3,0,9,0,0,13,0,0,5,0,0,0,0,0,3,0,0,216,3792,
"Deua - Wadbilliga",0,7,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,43,
"Eden",0,1048,4,0,0,9,0,1529,185,115,8,0,37,40,23,0,3,0,0,8,0,5,18,0,23,0,0,14,0,0,8,3,0,0,0,0,5,6,0,323,3425,
"Eurobodalla Hinterland",0,1086,8,0,0,3,0,1529,249,123,13,0,62,30,39,0,0,0,0,0,0,3,4,0,7,0,0,3,0,0,3,4,0,0,0,0,4,0,0,358,3525,
"Merimbula - Tura Beach",0,3134,20,0,0,8,0,5829,708,412,37,0,193,52,103,0,4,0,0,3,0,39,66,0,76,15,0,63,3,3,17,15,0,5,0,0,40,16,15,617,11513,
"Moruya - Tuross Head",0,2519,20,0,0,0,0,4021,594,312,16,0,118,68,69,0,11,3,0,0,0,28,29,0,15,3,0,41,0,0,13,5,0,0,0,0,4,9,0,694,8600,
"Narooma - Bermagui",0,2791,17,0,0,7,0,4748,639,333,36,0,160,66,101,0,14,0,0,3,0,30,40,0,24,8,0,69,4,3,23,10,0,5,0,0,10,18,4,726,9888,
"Goulburn",4,7428,56,9,12,61,0,10772,1659,411,35,3,303,170,98,4,49,0,3,33,0,96,207,0,272,54,0,547,18,0,20,42,0,3,0,45,59,41,39,2024,24565,
"Goulburn Surrounds",0,4223,29,0,0,4,0,6222,978,336,14,0,292,132,83,5,60,3,0,4,0,17,40,0,50,6,0,53,6,0,18,28,0,0,0,0,19,9,14,1189,13839,
"Yass",0,2281,13,0,0,18,0,3074,485,173,14,0,77,27,37,0,9,0,0,0,0,26,25,0,22,3,0,77,0,0,5,3,9,0,0,5,9,14,6,358,6763,
"Yass Surrounds",0,3720,22,0,0,7,0,6078,936,348,32,0,239,139,97,0,38,0,0,20,0,33,38,0,68,7,0,52,0,0,21,20,0,5,0,0,17,9,29,731,12713,
"Young",0,3805,25,5,0,21,0,4633,714,199,10,0,111,62,38,0,246,0,0,8,0,19,100,0,103,3,0,127,0,0,0,10,4,0,0,5,0,9,17,738,11004,
