Australian Bureau of Statistics

"2021 Census - selected dwelling characteristics"
"SA2 (EN) by 1-digit level HHCD Household Composition"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

"1-digit level HHCD Household Composition","One family household","Multiple family household","Non-family household","Non-classifiable","Not applicable","Total",
"SA2 (EN)",
"Braidwood",1139,27,559,230,827,2778,
"Karabar",2175,78,829,194,180,3451,
"Queanbeyan",2615,71,2228,265,523,5710,
"Queanbeyan - East",1232,29,1018,105,213,2589,
"Queanbeyan West - Jerrabomberra",3423,89,797,139,181,4624,
"Googong",1706,38,183,62,105,2091,
"Queanbeyan Surrounds",4353,204,827,286,445,6105,
"Bombala",609,12,367,112,310,1408,
"Cooma",1683,20,1032,203,457,3396,
"Cooma Surrounds",898,23,353,193,417,1887,
"Jindabyne - Berridale",1778,28,934,840,1629,5207,
"Batemans Bay",2160,74,1234,302,1102,4877,
"Batemans Bay - South",2449,47,1200,366,1810,5870,
"Bega - Tathra",2299,45,1213,233,485,4282,
"Bega-Eden Hinterland",2577,68,1058,331,582,4610,
"Broulee - Tomakin",1015,23,477,159,930,2600,
"Deua - Wadbilliga",10,0,0,3,9,20,
"Eden",851,19,502,142,260,1777,
"Eurobodalla Hinterland",917,37,374,205,566,2097,
"Merimbula - Tura Beach",3096,61,1704,370,1254,6487,
"Moruya - Tuross Head",2354,52,1188,381,1022,4988,
"Narooma - Bermagui",2647,42,1511,448,1384,6035,
"Goulburn",6010,117,3356,512,943,10937,
"Goulburn Surrounds",3570,121,1366,560,1612,7223,
"Yass",1754,37,730,151,228,2902,
"Yass Surrounds",3296,142,739,283,468,4928,
"Young",2745,54,1408,255,471,4930,
"Young Surrounds",1957,37,1000,325,694,4007,
"Avoca Beach - Copacabana",2006,56,463,153,974,3653,
"Box Head - MacMasters Beach",3058,93,1073,237,1032,5489,
"Calga - Kulnura",1107,71,461,174,376,2196,
"Erina - Green Point",3717,130,1757,199,334,6133,
"Gosford - Springfield",5350,100,3766,512,940,10669,
"Kariong",1679,63,357,54,54,2198,
"Kincumber - Picketts Valley",1945,53,1000,175,175,3354,
"Narara",1900,67,543,50,77,2636,
"Niagara Park - Lisarow",2158,64,580,61,116,2979,
"Point Clare - Koolewong",1739,32,748,74,205,2795,
"Saratoga - Davistown",1939,56,685,80,203,2962,
"Terrigal - North Avoca",3977,108,1356,328,932,6698,
"Umina - Booker Bay - Patonga",6449,124,3700,637,1631,12532,
"Wamberal - Forresters Beach",2773,109,773,124,387,4167,
"Woy Woy - Blackwall",3659,80,2348,281,527,6907,
"Wyoming",2929,58,1333,181,255,4759,
"Bateau Bay - Killarney Vale",5878,177,2288,371,542,9257,
"Blue Haven - San Remo",2875,129,906,142,253,4302,
"Budgewoi - Buff Point - Halekulani",2466,91,1386,225,383,4545,
"Chittaway Bay - Tumbi Umbi",4205,177,1322,174,260,6143,
"Gorokan - Kanwal - Charmhaven",5476,196,2887,535,609,9704,
"Jilliby - Yarramalong",834,67,138,60,127,1229,
"Lake Munmorah - Mannering Park",2973,75,1602,238,377,5264,
"Ourimbah - Fountaindale",1300,49,364,50,98,1859,
"Summerland Point - Gwandalan",1791,61,624,97,358,2931,
"The Entrance",3979,88,2912,471,2406,9858,
"Toukley - Norah Head",2472,56,1623,252,501,4900,
"Tuggerah - Kangy Angy",1377,40,439,70,89,2020,
"Warnervale - Wadalba",5028,182,1108,226,261,6807,
"Wyong",2226,81,1174,238,201,3920,
"Bathurst - East",3207,64,924,190,232,4625,
"Bathurst Surrounds",1748,67,555,186,438,2988,
"Oberon",1174,26,589,281,453,2532,
"Bathurst - South",2215,25,2135,315,664,5348,
"Bathurst - West",3780,85,1369,224,339,5798,
"Condobolin",1505,28,757,333,508,3129,
"Cowra",2327,43,1385,259,413,4428,
"Cowra Surrounds",1479,23,691,256,451,2898,
"Forbes",2493,53,1266,404,501,4711,
"Grenfell",947,12,541,111,254,1865,
"Parkes (NSW)",2706,54,1384,328,553,5031,
"Parkes Surrounds",779,20,398,152,254,1601,
"West Wyalong",1420,10,712,305,652,3097,
"Lithgow",2990,49,2112,303,648,6110,
"Lithgow Surrounds",2192,50,927,317,637,4125,
"Mudgee",3208,56,1465,323,688,5740,
"Mudgee Surrounds - East",851,9,601,170,355,1982,
"Mudgee Surrounds - West",2763,92,1123,444,850,5276,
"Wollangambe - Wollemi",0,0,0,0,0,0,
"Blayney",1982,37,755,206,279,3257,
"Orange",4483,72,3021,582,985,9142,
"Orange - North",5890,103,2050,373,500,8910,
"Orange Surrounds",3169,55,936,299,433,4888,
"Grafton",4752,108,2755,511,621,8756,
"Grafton Surrounds",4150,147,1558,523,947,7327,
"Maclean - Yamba - Iluka",4832,90,2354,865,1654,9795,
"Bellingen",1530,47,690,204,252,2721,
"Coffs Harbour - North",4457,124,2574,477,593,8214,
"Coffs Harbour - South",2573,67,1658,377,568,5242,
"Coramba - Nana Glen - Bucca",1020,44,262,104,93,1531,
"Dorrigo",823,15,529,147,288,1807,
"Korora - Emerald Beach",2847,84,732,170,379,4209,
"Sawtell - Boambee",5195,172,2343,424,547,8679,
"Urunga",1262,49,654,268,244,2481,
"Woolgoolga - Arrawarra",3630,160,1573,492,601,6462,
"Bourke - Brewarrina",713,30,411,308,445,1902,
"Cobar",908,17,513,370,543,2354,
"Coonamble",865,21,468,249,272,1879,
"Nyngan - Warren",1120,22,602,199,453,2393,
"Walgett - Lightning Ridge",1008,33,727,800,465,3035,
"Broken Hill",4363,69,2875,718,1568,9591,
"Far West",456,26,299,315,268,1360,
"Coonabarabran",1832,42,1006,531,625,4032,
"Dubbo - East",2541,86,1038,315,244,4224,
"Dubbo - South",4726,105,2513,589,653,8584,
"Dubbo - West",2482,67,1023,341,239,4151,
"Dubbo Surrounds",1481,61,362,198,159,2256,
"Gilgandra",1086,18,518,213,337,2173,
"Narromine",1509,32,707,299,329,2877,
"Wellington",1866,49,1020,366,479,3784,
"Branxton - Greta - Pokolbin",3439,104,881,210,584,5217,
"Cessnock",5510,181,2576,410,803,9477,
"Cessnock Surrounds",2313,133,662,201,475,3789,
"Dungog",2570,90,919,208,438,4224,
"Kurri Kurri - Abermain",5300,190,2028,312,389,8220,
"Singleton",4240,108,1675,336,452,6806,
"Singleton Surrounds",1336,66,332,183,294,2213,
"Maitland",2216,71,844,100,193,3419,
"Maitland - North",2365,48,528,83,131,3156,
"East Maitland - Metford",4676,125,2026,235,360,7430,
"Rutherford (North) - Aberglasslyn",4640,139,1361,186,306,6623,
"Rutherford (South) - Telarah",2066,65,884,143,244,3400,
"Tenambit - East Maitland",2753,57,1280,127,255,4472,
"Thornton - Millers Forest",4397,110,829,105,247,5682,
"Anna Bay",1766,50,704,177,405,3101,
"Lemon Tree Passage - Tanilba Bay",1864,59,850,140,301,3211,
"Nelson Bay Peninsula",6090,124,2962,488,3694,13359,
"Raymond Terrace",3626,107,1805,346,333,6212,
"Seaham - Woodville",1505,72,234,53,85,1942,
"Tea Gardens - Hawks Nest",1763,33,801,214,1236,4051,
"Williamtown - Medowie - Karuah",3930,158,1058,215,352,5723,
"Muswellbrook",3004,60,1480,371,639,5555,
"Muswellbrook Surrounds",1036,31,398,120,201,1779,
"Scone",1576,21,756,124,228,2702,
"Scone Surrounds",2128,38,979,280,664,4087,
"Dapto - Avondale",6518,173,2436,299,382,9811,
"Horsley - Kembla Grange",3263,102,529,72,82,4047,
"Port Kembla Industrial",0,0,0,0,0,0,
"Unanderra - Mount Kembla",4042,118,1199,144,205,5717,
"Berkeley - Lake Heights - Cringila",3487,134,1510,236,325,5695,
"Port Kembla - Warrawong",2322,90,1384,241,386,4418,
"Windang - Primbee",1048,31,738,133,238,2189,
