Australian Bureau of Statistics

"2021 Census - employment, income and education"
"SA2 (UR) by INCP Total Personal Income (weekly)"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

"INCP Total Personal Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)","Not stated","Not applicable","Total",
"SA2 (UR)",
"Braidwood",43,189,140,196,307,312,274,264,266,323,217,192,146,277,57,98,355,695,4343,
"Karabar",48,452,165,290,435,484,416,435,549,697,599,592,404,619,102,125,492,1617,8517,
"Queanbeyan",44,497,190,280,588,711,600,694,896,1080,866,738,545,939,117,179,643,1738,11342,
"Queanbeyan - East",25,228,100,120,200,251,199,256,422,517,400,395,292,443,79,114,252,788,5085,
"Queanbeyan West - Jerrabomberra",28,656,360,353,368,401,441,448,604,809,789,876,727,1676,397,697,396,2718,12744,
"Googong",9,260,87,103,76,92,117,136,214,349,382,501,489,931,191,235,193,1874,6224,
"Queanbeyan Surrounds",63,850,437,462,490,598,672,670,885,1144,1032,1089,860,1942,446,837,861,3204,16539,
"Bombala",25,109,54,92,195,191,170,187,169,166,132,117,87,90,9,30,222,411,2454,
"Cooma",53,288,161,238,453,513,441,440,500,496,375,289,226,375,77,94,626,1102,6761,
"Cooma Surrounds",21,183,88,138,234,245,207,199,212,247,213,173,145,185,40,85,305,545,3472,
"Jindabyne - Berridale",31,325,211,215,360,390,491,646,740,748,475,443,339,456,109,187,575,1296,8035,
"Batemans Bay",55,420,206,447,888,793,757,667,629,607,379,259,168,207,43,71,656,1343,8581,
"Batemans Bay - South",54,385,285,420,857,830,732,653,712,652,412,316,232,291,79,119,691,1227,8938,
"Bega - Tathra",51,400,265,372,642,705,683,645,669,726,475,348,229,336,55,105,599,1564,8872,
"Bega-Eden Hinterland",75,524,310,470,877,883,768,682,688,669,440,312,231,300,55,68,724,1496,9557,
"Broulee - Tomakin",21,157,129,152,296,310,273,278,278,298,221,177,118,172,41,82,220,570,3792,
"Deua - Wadbilliga",0,0,0,0,8,11,0,0,7,0,4,0,0,0,0,0,5,0,43,
"Eden",27,148,97,182,340,339,281,251,256,224,136,92,67,79,15,19,329,539,3425,
"Eurobodalla Hinterland",20,179,110,196,318,297,258,252,274,275,172,125,91,91,20,54,339,463,3525,
"Merimbula - Tura Beach",62,556,343,482,1039,1014,1011,855,906,976,559,489,345,486,67,161,645,1519,11513,
"Moruya - Tuross Head",45,389,250,389,891,862,750,616,632,677,401,320,184,246,48,85,715,1110,8600,
"Narooma - Bermagui",52,399,318,511,983,1163,913,789,729,666,378,325,183,262,53,98,813,1251,9888,
"Goulburn",156,1161,580,927,1655,1947,1666,1553,1807,1914,1360,1114,792,1240,156,231,1803,4491,24565,
"Goulburn Surrounds",114,894,435,538,915,989,832,847,899,1025,669,646,465,685,161,288,1154,2285,13839,
"Yass",76,311,190,239,363,420,386,427,452,523,379,415,300,473,86,89,334,1310,6763,
"Yass Surrounds",74,688,390,420,480,462,559,546,671,889,696,770,689,1272,323,580,653,2542,12713,
"Young",99,545,269,460,845,969,730,768,865,819,474,347,250,343,64,101,824,2229,11004,
"Young Surrounds",87,375,172,317,672,701,499,482,521,540,332,299,182,272,55,117,740,1322,7677,
"Avoca Beach - Copacabana",15,429,294,267,367,338,487,426,465,499,414,363,328,581,142,361,211,1533,7513,
"Box Head - MacMasters Beach",66,661,313,417,726,784,840,676,691,688,604,510,446,799,174,373,436,1840,11042,
"Calga - Kulnura",37,303,126,188,280,316,344,256,353,355,236,225,156,263,65,136,420,663,4716,
"Erina - Green Point",85,825,479,615,1085,1126,1191,911,827,877,715,593,497,803,229,464,1130,2324,14758,
