"TENLLD Tenure and Landlord Type","Owned outright","Owned with a mortgage","Rented: Real estate agent","Rented: State or territory housing authority","Rented: Community housing provider","Rented: Person not in same household","Rented: Other landlord type","Rented: Landlord type not stated","Other tenure type","Tenure type not stated","Tenure type not applicable","Total",
"SA2 (EN)",
"Braidwood",901,566,141,3,0,97,12,0,51,167,827,2778,
"Karabar",896,1237,369,285,44,142,46,4,20,216,180,3451,
"Queanbeyan",1118,1564,1444,127,80,404,79,13,77,281,523,5710,
"Queanbeyan - East",527,712,659,59,32,175,75,11,25,106,213,2589,
"Queanbeyan West - Jerrabomberra",1243,2038,515,97,10,164,205,6,25,142,181,4624,
"Googong",129,1378,198,9,0,47,143,0,9,72,105,2091,
"Queanbeyan Surrounds",1903,2850,278,0,0,219,34,3,94,279,445,6105,
"Bombala",504,246,47,9,5,102,25,0,55,99,310,1408,
"Cooma",1056,795,498,50,48,176,73,6,71,154,457,3396,
"Cooma Surrounds",674,452,54,0,0,63,39,0,51,147,417,1887,
"Jindabyne - Berridale",1156,936,527,5,10,362,211,4,118,250,1629,5207,
"Batemans Bay",1506,819,580,135,49,247,83,8,98,247,1102,4877,
"Batemans Bay - South",1875,890,638,60,37,211,43,14,60,250,1810,5870,
"Bega - Tathra",1539,1000,504,126,40,224,57,10,73,221,485,4282,
"Bega-Eden Hinterland",2039,1143,123,3,3,247,29,4,127,312,582,4610,
"Broulee - Tomakin",768,392,145,0,5,127,37,0,92,99,930,2600,
"Deua - Wadbilliga",12,0,0,0,0,0,0,0,0,3,9,20,
"Eden",646,274,209,94,11,82,27,8,49,122,260,1777,
"Eurobodalla Hinterland",744,381,42,13,8,94,27,5,64,163,566,2097,
"Merimbula - Tura Beach",2470,1254,672,36,35,296,80,5,127,253,1254,6487,
"Moruya - Tuross Head",1918,941,311,74,26,251,33,12,71,340,1022,4988,
"Narooma - Bermagui",2465,856,441,85,49,272,51,10,83,346,1384,6035,
"Goulburn",3162,2904,1998,515,119,493,85,18,156,547,943,10937,
"Goulburn Surrounds",2547,1721,291,14,11,258,73,5,197,505,1612,7223,
"Yass",849,1006,315,62,65,160,29,7,51,137,228,2902,
"Yass Surrounds",1571,2036,155,0,0,225,45,3,165,261,468,4928,
"Young",1631,1215,808,90,54,227,47,9,81,308,471,4930,
"Young Surrounds",1459,806,179,15,23,207,88,0,190,341,694,4007,
"Avoca Beach - Copacabana",970,1111,373,0,0,110,5,0,22,84,974,3653,
"Box Head - MacMasters Beach",2139,1558,321,0,6,135,36,6,100,155,1032,5489,
"Calga - Kulnura",681,529,166,0,3,137,36,4,80,177,376,2196,
"Erina - Green Point",2518,1716,530,120,41,156,103,8,319,292,334,6133,
"Gosford - Springfield",2107,2454,3157,547,226,441,44,23,164,570,940,10669,
"Kariong",522,1072,341,62,0,65,4,0,15,65,54,2198,
"Kincumber - Picketts Valley",973,982,282,131,14,85,21,6,481,197,175,3354,
"Narara",807,1167,321,75,19,88,6,0,12,71,77,2636,
"Niagara Park - Lisarow",889,1340,291,96,4,102,8,4,54,80,116,2979,
"Point Clare - Koolewong",941,930,395,45,46,110,8,0,26,85,205,2795,
"Saratoga - Davistown",1030,1107,285,15,0,98,9,6,124,104,203,2962,
"Terrigal - North Avoca",2164,1979,981,21,5,219,39,7,60,293,932,6698,
"Umina - Booker Bay - Patonga",3910,2689,2749,76,42,523,45,27,180,661,1631,12532,
"Wamberal - Forresters Beach",1336,1502,423,0,6,146,6,6,209,140,387,4167,
"Woy Woy - Blackwall",2124,1621,1388,394,68,281,30,11,101,367,527,6907,
"Wyoming",1229,1644,619,200,42,171,26,8,331,236,255,4759,
"Bateau Bay - Killarney Vale",2806,3162,1170,375,124,372,36,14,235,428,542,9257,
"Blue Haven - San Remo",1018,1577,948,57,25,195,16,3,34,178,253,4302,
"Budgewoi - Buff Point - Halekulani",1624,1286,618,48,14,201,61,10,47,251,383,4545,
"Chittaway Bay - Tumbi Umbi",1904,2543,687,79,11,209,23,0,211,214,260,6143,
"Gorokan - Kanwal - Charmhaven",2773,2700,1826,252,154,479,78,15,124,686,609,9704,
"Jilliby - Yarramalong",424,487,34,0,0,52,9,0,28,62,127,1229,
"Lake Munmorah - Mannering Park",2431,1323,525,9,0,185,88,0,72,260,377,5264,
"Ourimbah - Fountaindale",587,736,232,19,5,83,7,0,20,64,98,1859,
"Summerland Point - Gwandalan",987,968,362,0,0,119,5,0,22,104,358,2931,
"The Entrance",2404,1453,2209,256,65,387,80,41,93,458,2406,9858,
"Toukley - Norah Head",1574,1047,943,111,64,255,51,11,83,264,501,4900,
"Tuggerah - Kangy Angy",567,706,437,5,13,79,14,4,25,83,89,2020,
"Warnervale - Wadalba",1568,2629,1599,48,64,165,105,9,96,269,261,6807,
"Wyong",1030,996,823,328,75,113,43,6,45,271,201,3920,
"Bathurst - East",1407,1663,657,189,22,152,19,3,55,213,232,4625,
"Bathurst Surrounds",1134,948,78,0,0,110,20,3,86,171,438,2988,
"Oberon",802,541,254,21,14,87,35,4,55,255,453,2532,
"Bathurst - South",1221,789,1681,160,66,328,45,11,92,295,664,5348,
"Bathurst - West",1826,1989,943,147,27,220,28,6,41,228,339,5798,
"Condobolin",1022,551,124,105,59,214,103,18,127,306,508,3129,
"Cowra",1560,964,619,171,45,247,54,10,66,280,413,4428,
"Cowra Surrounds",1121,634,110,18,0,176,38,7,99,249,451,2898,
"Forbes",1499,1136,522,133,24,243,77,18,142,420,501,4711,
"Grenfell",778,364,105,21,26,100,24,6,64,118,254,1865,
"Parkes (NSW)",1416,1365,649,179,43,348,68,3,91,313,553,5031,
"Parkes Surrounds",572,300,47,16,29,129,26,10,74,141,254,1601,
"West Wyalong",1039,588,130,32,15,152,97,0,132,255,652,3097,
"Lithgow",2033,1349,939,329,38,229,43,9,135,362,648,6110,
"Lithgow Surrounds",1527,1140,231,69,0,148,31,0,59,267,637,4125,
"Mudgee",1486,1542,1115,172,53,224,56,14,47,339,688,5740,
"Mudgee Surrounds - East",774,299,191,25,6,67,18,3,71,179,355,1982,
"Mudgee Surrounds - West",1841,1415,333,14,12,189,54,7,142,419,850,5276,
"Wollangambe - Wollemi",0,0,0,0,0,0,0,0,0,0,0,0,
"Blayney",1133,966,343,49,24,161,34,6,66,194,279,3257,
"Orange",2499,2074,1817,466,96,423,92,21,144,528,985,9142,
"Orange - North",2291,3172,1750,281,88,273,62,10,97,390,500,8910,
"Orange Surrounds",1828,1596,243,4,27,240,63,3,153,293,433,4888,
"Grafton",2827,2098,1404,263,137,610,125,31,115,531,621,8756,
"Grafton Surrounds",3012,2012,285,3,15,365,62,4,118,501,947,7327,
"Maclean - Yamba - Iluka",3980,1654,1127,43,76,459,156,17,130,495,1654,9795,
"Bellingen",1042,697,227,19,19,210,13,0,55,190,252,2721,
"Coffs Harbour - North",2516,1891,1622,293,142,433,120,27,108,469,593,8214,
"Coffs Harbour - South",1440,948,1118,208,120,299,55,12,86,387,568,5242,
"Coramba - Nana Glen - Bucca",511,554,77,0,0,129,11,0,41,112,93,1531,
"Dorrigo",754,313,104,16,0,114,23,0,49,146,288,1807,
"Korora - Emerald Beach",1540,1377,532,0,0,192,24,3,27,135,379,4209,
"Sawtell - Boambee",2942,2426,1198,253,145,441,66,15,252,383,547,8679,
"Urunga",1036,498,263,53,10,131,56,0,25,159,244,2481,
"Woolgoolga - Arrawarra",2419,1583,751,27,56,403,151,10,107,346,601,6462,
"Bourke - Brewarrina",375,214,54,145,71,78,140,8,94,281,445,1902,
"Cobar",535,394,166,69,53,99,137,5,65,291,543,2354,
"Coonamble",538,311,77,94,38,130,67,6,82,262,272,1879,
"Nyngan - Warren",765,411,116,68,42,150,108,7,99,178,453,2393,
"Walgett - Lightning Ridge",853,266,69,99,120,134,178,8,190,651,465,3035,
"Broken Hill",3160,2219,805,121,73,602,236,22,174,633,1568,9591,
"Far West",397,84,10,86,50,45,101,0,114,196,268,1360,
"Coonabarabran",1447,689,169,67,24,254,109,5,126,518,625,4032,
"Dubbo - East",1004,1258,857,160,66,218,36,10,39,325,244,4224,
"Dubbo - South",1992,2382,1871,282,84,448,99,26,152,599,653,8584,
"Dubbo - West",1003,1284,705,135,37,192,61,7,148,338,239,4151,
"Dubbo Surrounds",807,839,48,0,5,109,16,5,58,210,159,2256,
"Gilgandra",687,406,159,53,17,116,37,12,107,241,337,2173,
"Narromine",968,648,229,62,36,156,64,10,79,306,329,2877,
"Wellington",1205,845,397,83,44,200,59,11,89,379,479,3784,
"Branxton - Greta - Pokolbin",1288,2154,761,0,4,152,28,3,59,165,584,5217,
"Cessnock",2644,2595,1935,322,93,396,62,19,144,478,803,9477,
"Cessnock Surrounds",1329,1453,161,0,0,133,5,3,60,165,475,3789,
"Dungog",1544,1413,288,19,7,187,36,3,91,195,438,4224,
"Kurri Kurri - Abermain",2249,2958,1569,196,43,310,40,12,73,376,389,8220,
"Singleton",1764,2404,1056,298,58,214,143,7,75,334,452,6806,
"Singleton Surrounds",693,688,216,0,0,67,33,0,56,171,294,2213,
"Maitland",749,1209,877,23,21,124,62,5,59,103,193,3419,
"Maitland - North",1116,1396,309,0,0,73,11,0,28,86,131,3156,
"East Maitland - Metford",2007,2343,1480,295,148,320,81,11,104,282,360,7430,
"Rutherford (North) - Aberglasslyn",1582,2478,1388,147,63,187,40,7,204,220,306,6623,
"Rutherford (South) - Telarah",765,1164,524,234,71,162,16,0,45,167,244,3400,
"Tenambit - East Maitland",1385,1330,720,179,67,167,23,6,177,165,255,4472,
"Thornton - Millers Forest",1254,2435,1062,77,48,143,249,4,50,124,247,5682,
"Anna Bay",1344,726,254,0,5,113,50,0,57,152,405,3101,
"Lemon Tree Passage - Tanilba Bay",1211,788,535,6,28,129,36,3,42,132,301,3211,
"Nelson Bay Peninsula",4387,2169,1586,90,114,411,143,16,331,403,3694,13359,
"Raymond Terrace",1563,1686,1144,448,148,264,165,16,60,387,333,6212,
"Seaham - Woodville",752,904,56,0,0,59,6,0,21,53,85,1942,
"Tea Gardens - Hawks Nest",1449,466,314,0,4,80,24,0,321,157,1236,4051,
"Williamtown - Medowie - Karuah",1853,2153,625,16,13,197,208,7,62,231,352,5723,
"Muswellbrook",1223,1505,1194,227,75,233,61,7,79,309,639,5555,
"Muswellbrook Surrounds",526,500,168,6,3,114,48,0,95,112,201,1779,
"Scone",757,803,396,90,31,140,59,8,63,126,228,2702,
"Scone Surrounds",1306,961,297,36,13,202,104,3,249,255,664,4087,
"Dapto - Avondale",3412,3328,1172,525,43,376,44,19,141,374,382,9811,
"Horsley - Kembla Grange",1029,2166,499,20,6,108,14,6,31,95,82,4047,
"Port Kembla Industrial",4,0,0,0,0,0,0,0,0,0,0,0,
"Unanderra - Mount Kembla",1969,1983,563,500,39,139,11,3,94,203,205,5717,
"Berkeley - Lake Heights - Cringila",1801,1448,815,601,33,221,49,13,89,300,325,5695,
"Port Kembla - Warrawong",1345,793,837,465,26,181,29,13,64,291,386,4418,
"Windang - Primbee",889,430,250,42,11,89,62,5,27,151,238,2189,
"Illawarra Catchment Reserve",0,0,0,0,0,0,0,0,0,0,0,0,
"Albion Park - Macquarie Pass",1806,3352,804,100,11,225,17,3,43,166,210,6737,
"Albion Park Rail",877,946,370,167,17,124,6,0,43,116,134,2799,
"Kiama",1670,952,548,30,18,157,19,3,176,153,693,4422,
"Kiama Downs - Minnamurra",1007,796,190,9,4,79,3,4,26,77,198,2391,
"Kiama Hinterland - Gerringong",1469,897,314,19,24,114,25,4,93,140,813,3915,
"Shellharbour - Flinders",2269,2619,1144,175,49,186,24,8,100,233,362,7173,
"Shellharbour - Oak Flats",1596,1202,719,126,34,164,16,0,95,168,184,4297,
