2021 Statistical Area Level 2  (SA2) 9-Digit Code,2021 Statistical Area Level 2 (SA2) Name ,Usual Resident Population,Score,,Rank,Decile,Percentile,,State,Rank,Decile,Percentile,Minimum score for SA1s in area,Maximum score for SA1s in area,% Usual Resident Population without an SA1 level score
101021007,Braidwood,4343,1024,,1313,6,56,,NSW,368,6,59,979,1097,0.0%
101021008,Karabar,8517,994,,968,5,42,,NSW,273,5,44,693,1111,0.0%
101021009,Queanbeyan,11342,1010,,1151,5,49,,NSW,328,6,53,905,1086,0.2%
101021010,Queanbeyan - East,5085,1025,,1315,6,56,,NSW,369,6,59,918,1128,0.7%
101021012,Queanbeyan West - Jerrabomberra,12744,1098,,2226,10,95,,NSW,580,10,93,843,1161,0.0%
101021610,Googong,6224,1128,,2348,10,100,,NSW,626,10,100,1092,1151,0.0%
101021611,Queanbeyan Surrounds,16539,1098,,2222,10,95,,NSW,577,10,93,972,1148,0.0%
101031013,Bombala,2454,965,,642,3,28,,NSW,180,3,29,853,1080,0.0%
101031014,Cooma,6761,982,,815,4,35,,NSW,232,4,38,872,1072,0.2%
101031015,Cooma Surrounds,3472,1039,,1521,7,65,,NSW,414,7,67,914,1122,0.2%
101031016,Jindabyne - Berridale,8035,1054,,1740,8,74,,NSW,457,8,73,974,1113,2.2%
101041017,Batemans Bay,8581,946,,458,2,20,,NSW,126,3,21,826,1053,0.0%
101041018,Batemans Bay - South,8938,989,,899,4,39,,NSW,251,5,41,877,1080,0.0%
101041019,Bega - Tathra,8872,975,,745,4,32,,NSW,208,4,34,811,1103,0.1%
101041020,Bega-Eden Hinterland,9557,991,,920,4,40,,NSW,256,5,41,854,1058,0.0%
101041021,Broulee - Tomakin,3792,1034,,1442,7,62,,NSW,396,7,64,986,1097,0.0%
101041022,Deua - Wadbilliga,43,1025,,1318,6,56,,NSW,370,6,60,1025,1025,0.0%
101041023,Eden,3425,910,,268,2,12,,NSW,71,2,12,753,1010,0.0%
