Australian Bureau of Statistics

"2021 Census - counting dwellings, place of enumeration"
"SA2 (EN) by HOSD Housing Suitability"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

"HOSD Housing Suitability","Four or more extra bedrooms needed","Three extra bedrooms needed","Two extra bedrooms needed","One extra bedroom needed","No bedrooms needed or spare","One bedroom spare","Two bedrooms spare","Three bedrooms spare","Four or more bedrooms spare","Unable to determine","Not stated","Not applicable","Total",
"SA2 (EN)",
"Braidwood",0,5,6,45,252,478,591,217,54,47,26,1055,2778,
"Karabar",0,4,15,76,497,896,1006,375,69,93,54,367,3451,
"Queanbeyan",4,7,36,192,1344,1837,1005,259,48,119,61,791,5710,
"Queanbeyan - East",0,0,17,71,626,859,407,159,54,55,35,311,2589,
"Queanbeyan West - Jerrabomberra",0,0,9,41,430,1228,1484,802,133,143,34,315,4624,
"Googong",0,0,0,17,143,531,744,389,27,56,13,166,2091,
"Queanbeyan Surrounds",0,3,20,74,503,1268,1698,1217,332,206,40,733,6105,
"Bombala",0,0,3,13,117,266,359,145,33,18,22,422,1408,
"Cooma",0,0,9,48,386,799,965,361,79,57,39,664,3396,
"Cooma Surrounds",0,0,8,9,134,328,428,234,72,46,18,613,1887,
"Jindabyne - Berridale",5,5,27,109,438,776,799,318,114,99,48,2462,5207,
"Batemans Bay",0,4,15,67,452,1009,1173,530,81,67,60,1406,4877,
"Batemans Bay - South",0,0,7,49,370,936,1339,713,136,89,65,2174,5870,
"Bega - Tathra",0,0,8,75,518,1068,1128,529,67,87,70,719,4282,
"Bega-Eden Hinterland",3,10,16,111,602,984,1230,443,114,116,73,912,4610,
"Broulee - Tomakin",0,0,7,18,177,455,517,247,31,39,31,1084,2600,
"Deua - Wadbilliga",0,0,0,0,0,4,3,0,0,0,0,12,20,
"Eden",0,4,4,26,204,419,465,161,29,40,29,402,1777,
"Eurobodalla Hinterland",0,4,15,38,196,343,448,185,33,36,22,774,2097,
"Merimbula - Tura Beach",0,0,4,68,586,1493,1782,656,100,108,60,1623,6487,
"Moruya - Tuross Head",0,3,5,55,431,942,1329,568,106,76,69,1400,4988,
