sa2,Has a lung condition (including COPD and emphysema),Does not have a lung condition (including COPD and emphysema),Not stated
Braidwood,102,3788,454
Karabar,184,7577,749
Queanbeyan,227,10270,851
Queanbeyan - East,97,4633,351
Queanbeyan West - Jerrabomberra,160,11830,754
Googong,38,5853,332
Queanbeyan Surrounds,252,14942,1342
Bombala,66,2115,273
Cooma,190,5864,705
Cooma Surrounds,83,2973,415
Jindabyne - Berridale,97,7124,821
Batemans Bay,287,7443,850
Batemans Bay - South,294,7754,894
Bega - Tathra,262,7744,868
Bega-Eden Hinterland,271,8385,904
Broulee - Tomakin,95,3403,291
Deua - Wadbilliga,6,31,5
Eden,159,2870,399
Eurobodalla Hinterland,106,2988,434
Merimbula - Tura Beach,326,10304,883
Moruya - Tuross Head,260,7442,896
Narooma - Bermagui,324,8619,948
Goulburn,741,21270,2557
Goulburn Surrounds,370,12007,1464
Yass,159,6079,523
Yass Surrounds,202,11455,1054
Young,310,9650,1043
Young Surrounds,267,6525,889
Avoca Beach - Copacabana,91,6948,476
Box Head - MacMasters Beach,247,10063,732
Calga - Kulnura,112,4101,510
Erina - Green Point,430,13410,916
Gosford - Springfield,478,19048,1680
Kariong,103,5950,425
Kincumber - Picketts Valley,204,6839,577
Narara,121,6652,383
Niagara Park - Lisarow,150,7616,446
Point Clare - Koolewong,167,6002,398
Saratoga - Davistown,157,6513,487
Terrigal - North Avoca,209,13589,1051
Umina - Booker Bay - Patonga,785,21787,2124
Wamberal - Forresters Beach,146,9819,712
Woy Woy - Blackwall,520,12653,1171
Wyoming,311,10235,875
Bateau Bay - Killarney Vale,564,20191,2071
Blue Haven - San Remo,320,10031,942
Budgewoi - Buff Point - Halekulani,401,8454,880
Chittaway Bay - Tumbi Umbi,346,14518,1142
Gorokan - Kanwal - Charmhaven,833,19280,2252
Jilliby - Yarramalong,66,3087,265
Lake Munmorah - Mannering Park,481,9578,901
Ourimbah - Fountaindale,71,4525,329
Summerland Point - Gwandalan,201,5761,529
