"HLUNP Whether has Lung Condition (including COPD and Emphysema)","Has a lung condition (including COPD and emphysema)","Does not have a lung condition (including COPD and emphysema)","Not stated","Total",
"SA2 (UR)",
"Braidwood",102,3788,454,4343,
"Karabar",184,7577,749,8517,
"Queanbeyan",227,10270,851,11342,
"Queanbeyan - East",97,4633,351,5085,
"Queanbeyan West - Jerrabomberra",160,11830,754,12744,
"Googong",38,5853,332,6224,
"Queanbeyan Surrounds",252,14942,1342,16539,
"Bombala",66,2115,273,2454,
"Cooma",190,5864,705,6761,
"Cooma Surrounds",83,2973,415,3472,
"Jindabyne - Berridale",97,7124,821,8035,
"Batemans Bay",287,7443,850,8581,
"Batemans Bay - South",294,7754,894,8938,
"Bega - Tathra",262,7744,868,8872,
"Bega-Eden Hinterland",271,8385,904,9557,
"Broulee - Tomakin",95,3403,291,3792,
"Deua - Wadbilliga",6,31,5,43,
"Eden",159,2870,399,3425,
"Eurobodalla Hinterland",106,2988,434,3525,
"Merimbula - Tura Beach",326,10304,883,11513,
"Moruya - Tuross Head",260,7442,896,8600,
"Narooma - Bermagui",324,8619,948,9888,
"Goulburn",741,21270,2557,24565,
"Goulburn Surrounds",370,12007,1464,13839,
"Yass",159,6079,523,6763,
"Yass Surrounds",202,11455,1054,12713,
"Young",310,9650,1043,11004,
"Young Surrounds",267,6525,889,7677,
"Avoca Beach - Copacabana",91,6948,476,7513,
"Box Head - MacMasters Beach",247,10063,732,11042,
"Calga - Kulnura",112,4101,510,4716,
"Erina - Green Point",430,13410,916,14758,
"Gosford - Springfield",478,19048,1680,21204,
"Kariong",103,5950,425,6485,
"Kincumber - Picketts Valley",204,6839,577,7615,
"Narara",121,6652,383,7157,
"Niagara Park - Lisarow",150,7616,446,8205,
"Point Clare - Koolewong",167,6002,398,6571,
"Saratoga - Davistown",157,6513,487,7160,
"Terrigal - North Avoca",209,13589,1051,14849,
"Umina - Booker Bay - Patonga",785,21787,2124,24697,
"Wamberal - Forresters Beach",146,9819,712,10675,
