sa2,Has a mental health condition (including depression or anxiety),Does not have a mental health condition (including depression or anxiety),Not stated
Braidwood,371,3523,454
Karabar,910,6851,749
Queanbeyan,1322,9170,851
Queanbeyan - East,579,4153,351
Queanbeyan West - Jerrabomberra,1138,10851,754
Googong,537,5355,332
Queanbeyan Surrounds,1469,13732,1342
Bombala,183,1994,273
Cooma,756,5299,705
Cooma Surrounds,303,2757,415
Jindabyne - Berridale,582,6634,821
Batemans Bay,998,6736,850
Batemans Bay - South,986,7054,894
Bega - Tathra,1000,7002,868
Bega-Eden Hinterland,974,7686,904
Broulee - Tomakin,360,3138,291
Deua - Wadbilliga,4,29,5
Eden,346,2679,399
Eurobodalla Hinterland,326,2765,434
Merimbula - Tura Beach,1151,9480,883
Moruya - Tuross Head,878,6823,896
Narooma - Bermagui,1005,7934,948
Goulburn,2755,19253,2557
Goulburn Surrounds,1187,11188,1464
Yass,813,5422,523
Yass Surrounds,1103,10553,1054
Young,1092,8866,1043
Young Surrounds,695,6091,889
Avoca Beach - Copacabana,486,6552,476
Box Head - MacMasters Beach,869,9440,732
Calga - Kulnura,428,3787,510
Erina - Green Point,1420,12426,916
Gosford - Springfield,2650,16879,1680
Kariong,659,5396,425
Kincumber - Picketts Valley,783,6257,577
Narara,770,6004,383
Niagara Park - Lisarow,923,6838,446
Point Clare - Koolewong,697,5470,398
Saratoga - Davistown,664,6006,487
Terrigal - North Avoca,1038,12760,1051
Umina - Booker Bay - Patonga,2682,19888,2124
Wamberal - Forresters Beach,739,9227,712
Woy Woy - Blackwall,1740,11436,1171
Wyoming,1372,9171,875
Bateau Bay - Killarney Vale,2440,18319,2071
Blue Haven - San Remo,1587,8761,942
Budgewoi - Buff Point - Halekulani,1232,7617,880
Chittaway Bay - Tumbi Umbi,1665,13205,1142
Gorokan - Kanwal - Charmhaven,3036,17073,2252
Jilliby - Yarramalong,314,2841,265
Lake Munmorah - Mannering Park,1310,8745,901
Ourimbah - Fountaindale,533,4057,329
Summerland Point - Gwandalan,722,5245,529
The Entrance,1822,12507,1508
Toukley - Norah Head,1272,7749,888
Tuggerah - Kangy Angy,589,4299,340
Warnervale - Wadalba,2273,16305,1477
Wyong,1266,6881,977
Bathurst - East,1279,10099,949
Bathurst Surrounds,534,5554,828
Oberon,388,3655,790
Bathurst - South,1417,7760,1569
Bathurst - West,1572,11659,1085
Condobolin,437,5019,920
Cowra,1058,7321,896
Cowra Surrounds,571,4426,721
Forbes,936,7906,1173
Grenfell,363,2903,326
Parkes (NSW),1178,8686,1056
Parkes Surrounds,272,2554,433
West Wyalong,378,4480,656
Lithgow,1465,9476,1448
Lithgow Surrounds,764,6810,875
Mudgee,1224,10220,1126
Mudgee Surrounds - East,333,2650,416
Mudgee Surrounds - West,910,8891,1280
Wollangambe - Wollemi,0,0,0
Blayney,712,6097,710
Orange,2638,14602,1784
Orange - North,2471,18627,1793
Orange Surrounds,955,9762,1107
Grafton,2519,14916,1820
Grafton Surrounds,1779,12383,2717
Maclean - Yamba - Iluka,1835,14195,1501
Bellingen,640,4880,646
Coffs Harbour - North,2118,14345,1633
Coffs Harbour - South,1342,8684,1270
Coramba - Nana Glen - Bucca,378,3200,366
Dorrigo,322,2516,417
Korora - Emerald Beach,879,8661,725
Sawtell - Boambee,2237,16147,1678
Urunga,535,3911,465
Woolgoolga - Arrawarra,1436,11851,1172
Bourke - Brewarrina,194,2545,683
Cobar,276,3160,695
Coonamble,308,2964,654
Nyngan - Warren,305,3715,575
Walgett - Lightning Ridge,351,3638,1541
Broken Hill,2084,13389,2120
Far West,137,1688,463
Coonabarabran,667,5942,1308
Dubbo - East,1196,8145,1294
Dubbo - South,1902,15641,2087
Dubbo - West,973,8113,1237
Dubbo Surrounds,478,4773,710
Gilgandra,357,3416,622
Narromine,477,4920,1064
Wellington,842,6052,1872
Branxton - Greta - Pokolbin,1243,10657,866
Cessnock,3330,16756,3408
Cessnock Surrounds,910,7481,743
Dungog,994,7895,654
Kurri Kurri - Abermain,2986,15904,1744
Singleton,1744,13735,1536
Singleton Surrounds,441,4317,574
Maitland,1245,6794,578
Maitland - North,854,7268,605
East Maitland - Metford,2563,14039,1381
Rutherford (North) - Aberglasslyn,2193,14208,1336
Rutherford (South) - Telarah,1251,5976,750
Tenambit - East Maitland,1410,8012,665
Thornton - Millers Forest,1900,13054,945
Anna Bay,643,5248,551
Lemon Tree Passage - Tanilba Bay,936,5398,554
Nelson Bay Peninsula,2150,18122,1702
Raymond Terrace,2276,10927,1388
Seaham - Woodville,491,4751,445
Tea Gardens - Hawks Nest,525,4713,575
Williamtown - Medowie - Karuah,1760,12167,1092
Muswellbrook,1399,9474,1396
Muswellbrook Surrounds,346,3323,412
Scone,509,5011,515
Scone Surrounds,667,6743,793
Dapto - Avondale,2807,19744,1642
Horsley - Kembla Grange,1195,10253,710
Port Kembla Industrial,0,8,0
Unanderra - Mount Kembla,1544,12825,911
Berkeley - Lake Heights - Cringila,1589,11391,1216
Port Kembla - Warrawong,1189,7673,874
Windang - Primbee,460,3411,367
Illawarra Catchment Reserve,0,9,0
Albion Park - Macquarie Pass,1940,15791,1300
Albion Park Rail,944,5406,564
Kiama,676,7500,602
Kiama Downs - Minnamurra,530,5144,387
Kiama Hinterland - Gerringong,618,6898,622
Shellharbour - Flinders,1548,16374,1415
Shellharbour - Oak Flats,1173,8564,854
Warilla,2520,15887,1994
Balgownie - Fairy Meadow,2041,17906,1574
Corrimal - Tarrawanna - Bellambi,1791,13109,1145
Figtree - Keiraville,1981,19200,1587
Helensburgh,713,7901,516
Thirroul - Austinmer - Coalcliff,871,10349,738
Woonona - Bulli - Russell Vale,1948,17567,1245
Wollongong - East,1802,13092,1126
Wollongong - West,1843,13414,1291
Bulahdelah - Stroud,533,4098,601
Forster,1721,11721,1271
Forster-Tuncurry Surrounds,665,5591,737
Tuncurry,830,5083,459
Kempsey,1970,11181,2502
Kempsey Surrounds,925,7482,1064
Macksville - Scotts Head,566,4149,479
Nambucca Heads,936,5409,770
Nambucca Heads Surrounds,816,6370,914
South West Rocks,629,4529,476
Lord Howe Island,21,388,39
Laurieton - Bonny Hills,1968,15317,1198
Port Macquarie - West,2714,16682,1750
Port Macquarie Surrounds,496,4269,533
Wauchope,1467,10270,1059
Port Macquarie - East,1276,9649,839
Port Macquarie - South,1884,14364,1035
Gloucester,529,4327,450
Old Bar - Manning Point - Red Head,1224,10213,1037
Taree,2867,15973,2283
Taree Surrounds,1385,10507,1149
Wingham,740,4152,498
Albury - East,1784,14897,1151
Albury - North,1353,8119,1061
Albury - South,1203,8422,900
Albury Surrounds,1080,10137,1291
Lavington,2091,12131,1447
Hay,244,2236,415
Wentworth - Buronga,576,5084,855
Wentworth-Balranald Region,205,2799,642
Corowa,626,4498,477
Corowa Surrounds,644,5795,824
Deniliquin,741,5490,807
Deniliquin Surrounds,545,5525,768
Moama,543,5829,567
Tocumwal - Finley - Jerilderie,946,7609,1223
Armidale,2443,18673,2846
Armidale Surrounds - North,302,3547,683
Armidale Surrounds - South,605,4811,479
Walcha,210,2557,374
Glen Innes,994,6708,1228
Inverell,1110,9554,1399
Inverell Surrounds - East,464,4050,688
Inverell Surrounds - West,486,4582,668
Tenterfield,734,5301,780
Moree,541,5672,1633
Moree Surrounds,248,3634,1470
Narrabri,554,5623,726
Narrabri Surrounds,288,3558,770
Gunnedah,830,7682,1240
Gunnedah Surrounds,318,3489,560
Quirindi,630,5862,1066
Tamworth - East,2397,16904,2056
Tamworth - North,1786,13124,1605
Tamworth - West,697,4311,988
Tamworth Surrounds,1881,15461,1689
Belmont - Bennetts Green,2062,14569,1225
Belmont South - Blacksmiths,661,4564,453
Charlestown - Dudley,2824,20803,1624
Glendale - Cardiff - Hillsborough,3223,19913,1455
Mount Hutton - Windale,1495,7050,958
Redhead,409,3083,293
Swansea - Caves Beach,1292,10426,846
Valentine - Eleebana,1090,10804,675
Warners Bay - Boolaroo,1711,12049,926
Bolton Point - Teralba,1368,7747,1025
Bonnells Bay - Silverwater,1174,7837,680
Edgeworth - Cameron Park,2042,13261,1072
Morisset - Cooranbong,2310,14518,1299
Toronto - Awaba,1798,11098,1065
Wangi Wangi - Rathmines,1006,7722,740
West Wallsend - Barnsley - Killingworth,939,5833,476
Adamstown - Kotara,1737,13896,968
Beresfield - Hexham,1133,6738,690
Hamilton - Broadmeadow,1670,9918,1185
Lambton - New Lambton,2063,14131,1150
Maryland - Fletcher - Minmi,1833,13675,919
Mayfield - Warabrook,2547,11849,1132
Merewether - The Junction,1311,12266,925
Newcastle - Cooks Hill,1471,10356,984
Newcastle Port - Kooragang,3,20,5
Shortland - Jesmond,1595,9322,1674
Stockton - Fullerton Cove,912,7152,759
Wallsend - Elermore Vale,2931,16564,1461
Waratah - North Lambton,1820,9942,1120
Wickham - Carrington - Tighes Hill,1234,7336,599
Ballina,2170,14831,1625
Ballina Surrounds,1808,15142,1373
Bangalow,485,5546,927
Brunswick Heads - Ocean Shores,748,7369,1051
Byron Bay,773,8908,1238
Evans Head,594,4392,655
Lennox Head - Skennars Head,646,7837,752
Mullumbimby,671,6838,1383
Casino,1423,9483,1392
Casino Surrounds,705,5605,1072
Goonellabah,1816,10655,1119
Kyogle,775,5932,900
Lismore,2319,11277,1638
Lismore Surrounds,1403,12552,1829
Kingscliff - Fingal Head,1242,12370,1203
Murwillumbah,1127,7372,1002
Murwillumbah Surrounds,836,8131,1374
Pottsville,1142,11557,1389
Tweed Heads,1971,16472,2122
Banora Point,1632,13470,1223
Terranora - North Tumbulgum,241,2816,264
Tweed Heads South,1032,6690,704
Griffith (NSW),1473,17082,2008
Griffith Surrounds,896,9953,1904
Leeton,985,8293,1055
Narrandera,523,4605,774
Tumbarumba,287,2749,485
Tumut,637,5368,664
Tumut Surrounds,324,3869,547
Cootamundra,891,6104,711
Gundagai,259,2964,493
Junee,510,4500,1336
Temora,622,5445,535
Wagga Wagga - East,1712,14026,1178
Wagga Wagga - North,445,4647,505
Wagga Wagga - South,2419,18315,1786
Wagga Wagga - West,1549,9229,1185
Wagga Wagga Surrounds,1558,14458,1772
Berry - Kangaroo Valley,741,8010,732
Callala Bay - Currarong,358,3001,285
Culburra Beach,558,4181,357
Ettrema - Sassafras - Budawang,6,54,8
Huskisson - Vincentia,436,4021,390
North Nowra - Bomaderry,1932,12843,1320
Nowra,3066,16454,3063
St Georges Basin - Erowal Bay,1990,11901,1368
Sussex Inlet - Berrara,526,3673,496
Tomerong - Wandandian - Woollamia,344,2992,371
