sa2,Has had a stroke,Has not had a stroke,Not stated
Braidwood,52,3841,454
Karabar,80,7685,749
Queanbeyan,124,10367,851
Queanbeyan - East,44,4689,351
Queanbeyan West - Jerrabomberra,83,11907,754
Googong,18,5878,332
Queanbeyan Surrounds,103,15096,1342
Bombala,42,2137,273
Cooma,74,5973,705
Cooma Surrounds,32,3027,415
Jindabyne - Berridale,44,7171,821
Batemans Bay,147,7587,850
Batemans Bay - South,134,7912,894
Bega - Tathra,110,7902,868
Bega-Eden Hinterland,88,8570,904
Broulee - Tomakin,62,3431,291
Deua - Wadbilliga,0,36,5
Eden,61,2965,399
Eurobodalla Hinterland,42,3054,434
Merimbula - Tura Beach,141,10490,883
Moruya - Tuross Head,127,7574,896
Narooma - Bermagui,144,8797,948
Goulburn,302,21711,2557
Goulburn Surrounds,144,12231,1464
Yass,103,6138,523
Yass Surrounds,102,11559,1054
Young,152,9811,1043
Young Surrounds,91,6696,889
Avoca Beach - Copacabana,56,6987,476
Box Head - MacMasters Beach,160,10152,732
Calga - Kulnura,33,4179,510
Erina - Green Point,238,13606,916
Gosford - Springfield,225,19305,1680
Kariong,33,6024,425
Kincumber - Picketts Valley,123,6916,577
Narara,75,6701,383
Niagara Park - Lisarow,104,7660,446
Point Clare - Koolewong,103,6067,398
Saratoga - Davistown,82,6593,487
Terrigal - North Avoca,134,13668,1051
Umina - Booker Bay - Patonga,373,22198,2124
Wamberal - Forresters Beach,109,9856,712
Woy Woy - Blackwall,234,12944,1171
Wyoming,172,10373,875
Bateau Bay - Killarney Vale,284,20470,2071
Blue Haven - San Remo,139,10211,942
Budgewoi - Buff Point - Halekulani,157,8697,880
Chittaway Bay - Tumbi Umbi,152,14711,1142
Gorokan - Kanwal - Charmhaven,366,19744,2252
Jilliby - Yarramalong,27,3128,265
Lake Munmorah - Mannering Park,228,9833,901
Ourimbah - Fountaindale,51,4543,329
Summerland Point - Gwandalan,66,5898,529
The Entrance,249,14081,1508
Toukley - Norah Head,187,8839,888
Tuggerah - Kangy Angy,38,4847,340
Warnervale - Wadalba,211,18369,1477
Wyong,104,8043,977
Bathurst - East,117,11266,949
Bathurst Surrounds,66,6023,828
Oberon,59,3980,790
Bathurst - South,151,9033,1569
Bathurst - West,136,13095,1085
Condobolin,72,5388,920
Cowra,111,8268,896
Cowra Surrounds,69,4932,721
Forbes,99,8746,1173
Grenfell,61,3206,326
Parkes (NSW),127,9739,1056
Parkes Surrounds,48,2783,433
West Wyalong,49,4815,656
Lithgow,174,10764,1448
Lithgow Surrounds,91,7479,875
Mudgee,118,11321,1126
Mudgee Surrounds - East,59,2923,416
Mudgee Surrounds - West,114,9680,1280
Wollangambe - Wollemi,0,0,0
Blayney,81,6731,710
Orange,248,16993,1784
Orange - North,165,20935,1793
Orange Surrounds,86,10633,1107
Grafton,281,17148,1820
Grafton Surrounds,188,13968,2717
Maclean - Yamba - Iluka,319,15711,1501
Bellingen,66,5454,646
Coffs Harbour - North,227,16238,1633
Coffs Harbour - South,189,9843,1270
Coramba - Nana Glen - Bucca,23,3559,366
Dorrigo,39,2794,417
Korora - Emerald Beach,84,9452,725
Sawtell - Boambee,237,18144,1678
Urunga,72,4374,465
Woolgoolga - Arrawarra,185,13104,1172
Bourke - Brewarrina,39,2701,683
Cobar,38,3392,695
Coonamble,37,3233,654
Nyngan - Warren,57,3961,575
Walgett - Lightning Ridge,50,3938,1541
Broken Hill,239,15234,2120
Far West,26,1796,463
Coonabarabran,95,6511,1308
Dubbo - East,103,9235,1294
Dubbo - South,187,17355,2087
Dubbo - West,103,8979,1237
Dubbo Surrounds,57,5195,710
Gilgandra,46,3725,622
Narromine,55,5339,1064
Wellington,112,6783,1872
Branxton - Greta - Pokolbin,99,11802,866
Cessnock,347,19736,3408
Cessnock Surrounds,79,8320,743
Dungog,106,8784,654
Kurri Kurri - Abermain,260,18631,1744
Singleton,147,15336,1536
Singleton Surrounds,53,4704,574
Maitland,90,7945,578
Maitland - North,80,8041,605
East Maitland - Metford,172,16434,1381
Rutherford (North) - Aberglasslyn,204,16195,1336
Rutherford (South) - Telarah,88,7135,750
Tenambit - East Maitland,127,9304,665
Thornton - Millers Forest,119,14832,945
Anna Bay,90,5804,551
Lemon Tree Passage - Tanilba Bay,108,6226,554
Nelson Bay Peninsula,295,19974,1702
Raymond Terrace,187,13017,1388
Seaham - Woodville,45,5199,445
Tea Gardens - Hawks Nest,108,5125,575
Williamtown - Medowie - Karuah,160,13769,1092
Muswellbrook,118,10757,1396
Muswellbrook Surrounds,31,3640,412
Scone,65,5457,515
Scone Surrounds,90,7315,793
Dapto - Avondale,308,22247,1642
Horsley - Kembla Grange,80,11368,710
Port Kembla Industrial,0,5,0
Unanderra - Mount Kembla,189,14182,911
Berkeley - Lake Heights - Cringila,193,12790,1216
Port Kembla - Warrawong,154,8712,874
Windang - Primbee,72,3801,367
Illawarra Catchment Reserve,0,9,0
Albion Park - Macquarie Pass,153,17571,1300
Albion Park Rail,105,6248,564
Kiama,115,8063,602
Kiama Downs - Minnamurra,48,5622,387
Kiama Hinterland - Gerringong,88,7433,622
Shellharbour - Flinders,151,17775,1415
Shellharbour - Oak Flats,134,9600,854
Warilla,286,18118,1994
Balgownie - Fairy Meadow,231,19717,1574
Corrimal - Tarrawanna - Bellambi,199,14697,1145
Figtree - Keiraville,190,20993,1587
Helensburgh,69,8550,516
Thirroul - Austinmer - Coalcliff,90,11129,738
Woonona - Bulli - Russell Vale,231,19287,1245
Wollongong - East,176,14715,1126
Wollongong - West,165,15100,1291
Bulahdelah - Stroud,65,4564,601
Forster,310,13131,1271
Forster-Tuncurry Surrounds,95,6150,737
Tuncurry,175,5743,459
Kempsey,306,12850,2502
Kempsey Surrounds,140,8272,1064
Macksville - Scotts Head,72,4639,479
Nambucca Heads,138,6203,770
Nambucca Heads Surrounds,74,7114,914
South West Rocks,99,5050,476
Lord Howe Island,0,405,39
Laurieton - Bonny Hills,372,16916,1198
Port Macquarie - West,346,19050,1750
Port Macquarie Surrounds,82,4683,533
Wauchope,163,11576,1059
Port Macquarie - East,130,10796,839
Port Macquarie - South,271,15974,1035
Gloucester,101,4762,450
Old Bar - Manning Point - Red Head,171,11276,1037
Taree,375,18464,2283
Taree Surrounds,214,11680,1149
Wingham,85,4812,498
Albury - East,176,16504,1151
Albury - North,124,9343,1061
Albury - South,153,9472,900
Albury Surrounds,123,11096,1291
Lavington,197,14021,1447
Hay,30,2452,415
Wentworth - Buronga,80,5580,855
Wentworth-Balranald Region,27,2978,642
Corowa,85,5038,477
Corowa Surrounds,102,6338,824
Deniliquin,85,6138,807
Deniliquin Surrounds,76,5995,768
Moama,91,6277,567
Tocumwal - Finley - Jerilderie,148,8407,1223
Armidale,226,20893,2846
Armidale Surrounds - North,40,3809,683
Armidale Surrounds - South,57,5354,479
Walcha,42,2727,374
Glen Innes,142,7557,1228
Inverell,142,10520,1399
Inverell Surrounds - East,50,4463,688
Inverell Surrounds - West,105,4961,668
Tenterfield,108,5926,780
Moree,69,6143,1633
Moree Surrounds,37,3841,1470
Narrabri,76,6104,726
Narrabri Surrounds,48,3795,770
Gunnedah,112,8397,1240
Gunnedah Surrounds,41,3766,560
Quirindi,93,6394,1066
Tamworth - East,235,19068,2056
Tamworth - North,233,14676,1605
Tamworth - West,39,4968,988
Tamworth Surrounds,238,17105,1689
Belmont - Bennetts Green,241,16398,1225
Belmont South - Blacksmiths,65,5161,453
Charlestown - Dudley,233,23393,1624
Glendale - Cardiff - Hillsborough,256,22880,1455
Mount Hutton - Windale,162,8391,958
Redhead,66,3427,293
Swansea - Caves Beach,165,11555,846
Valentine - Eleebana,128,11760,675
Warners Bay - Boolaroo,151,13615,926
Bolton Point - Teralba,140,8971,1025
Bonnells Bay - Silverwater,120,8895,680
Edgeworth - Cameron Park,164,15144,1072
Morisset - Cooranbong,341,16488,1299
Toronto - Awaba,242,12649,1065
Wangi Wangi - Rathmines,127,8602,740
West Wallsend - Barnsley - Killingworth,81,6695,476
Adamstown - Kotara,134,15503,968
Beresfield - Hexham,127,7746,690
Hamilton - Broadmeadow,134,11457,1185
Lambton - New Lambton,153,16045,1150
Maryland - Fletcher - Minmi,117,15391,919
Mayfield - Warabrook,173,14226,1132
Merewether - The Junction,117,13456,925
Newcastle - Cooks Hill,95,11731,984
Newcastle Port - Kooragang,0,24,5
Shortland - Jesmond,111,10811,1674
Stockton - Fullerton Cove,117,7953,759
Wallsend - Elermore Vale,336,19169,1461
Waratah - North Lambton,157,11605,1120
Wickham - Carrington - Tighes Hill,88,8483,599
Ballina,374,16627,1625
Ballina Surrounds,224,16728,1373
Bangalow,40,5997,927
Brunswick Heads - Ocean Shores,73,8040,1051
Byron Bay,88,9592,1238
Evans Head,94,4893,655
Lennox Head - Skennars Head,70,8411,752
Mullumbimby,73,7441,1383
Casino,206,10698,1392
Casino Surrounds,98,6212,1072
Goonellabah,196,12281,1119
Kyogle,102,6612,900
Lismore,218,13375,1638
Lismore Surrounds,143,13811,1829
Kingscliff - Fingal Head,149,13461,1203
Murwillumbah,147,8360,1002
Murwillumbah Surrounds,117,8855,1374
Pottsville,123,12568,1389
