Australian Bureau of Statistics

"2021 Census - cultural diversity"
"SA2 (UR) by CLTHP Count of Selected Long-term Health Conditions"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

"CLTHP Count of Selected Long-term Health Conditions","None of the selected conditions","One condition","Two conditions","Three or more conditions","Not stated","Total",
"SA2 (UR)",
"Braidwood",2474,938,319,165,454,4343,
"Karabar",5075,1760,595,336,749,8517,
"Queanbeyan",6975,2258,840,421,851,11342,
"Queanbeyan - East",3232,1004,350,149,351,5085,
"Queanbeyan West - Jerrabomberra",8557,2521,649,258,754,12744,
"Googong",4502,1095,239,57,332,6224,
"Queanbeyan Surrounds",10385,3452,932,427,1342,16539,
"Bombala",1416,483,187,91,273,2454,
"Cooma",3764,1453,521,318,705,6761,
"Cooma Surrounds",1976,717,239,125,415,3472,
"Jindabyne - Berridale",5274,1390,397,156,821,8035,
"Batemans Bay",4498,2002,760,476,850,8581,
"Batemans Bay - South",4581,2149,829,491,894,8938,
"Bega - Tathra",4906,2002,738,361,868,8872,
"Bega-Eden Hinterland",5471,2084,722,381,904,9557,
"Broulee - Tomakin",2132,876,314,178,291,3792,
"Deua - Wadbilliga",20,5,4,4,5,43,
"Eden",1737,776,311,206,399,3425,
"Eurobodalla Hinterland",1978,731,258,124,434,3525,
"Merimbula - Tura Beach",6363,2693,985,578,883,11513,
"Moruya - Tuross Head",4474,2032,755,443,896,8600,
"Narooma - Bermagui",5181,2323,900,536,948,9888,
"Goulburn",13312,5330,2107,1265,2557,24565,
"Goulburn Surrounds",7773,2953,1086,569,1464,13839,
"Yass",3734,1562,591,350,523,6763,
"Yass Surrounds",7923,2616,780,345,1054,12713,
"Young",6233,2333,876,530,1043,11004,
"Young Surrounds",4167,1582,651,391,889,7677,
"Avoca Beach - Copacabana",5170,1396,331,137,476,7513,
"Box Head - MacMasters Beach",6723,2407,799,379,732,11042,
"Calga - Kulnura",2816,944,304,156,510,4716,
"Erina - Green Point",8508,3229,1293,812,916,14758,
"Gosford - Springfield",12648,4565,1506,804,1680,21204,
"Kariong",4186,1341,353,170,425,6485,
"Kincumber - Picketts Valley",4280,1774,609,376,577,7615,
"Narara",4504,1559,466,246,383,7157,
"Niagara Park - Lisarow",5115,1794,551,303,446,8205,
"Point Clare - Koolewong",3949,1423,472,325,398,6571,
"Saratoga - Davistown",4302,1630,512,228,487,7160,
"Terrigal - North Avoca",9858,2828,791,319,1051,14849,
"Umina - Booker Bay - Patonga",13821,5487,2124,1135,2124,24697,
"Wamberal - Forresters Beach",7098,2093,522,252,712,10675,
"Woy Woy - Blackwall",7838,3285,1286,765,1171,14346,
"Wyoming",6394,2580,1014,551,875,11423,
"Bateau Bay - Killarney Vale",13235,4845,1695,990,2071,22825,
"Blue Haven - San Remo",6336,2560,901,552,942,11290,
"Budgewoi - Buff Point - Halekulani",5116,2241,916,580,880,9728,
"Chittaway Bay - Tumbi Umbi",9629,3504,1147,586,1142,16006,
"Gorokan - Kanwal - Charmhaven",11614,5102,2048,1349,2252,22362,
"Jilliby - Yarramalong",2210,673,181,91,265,3420,
"Lake Munmorah - Mannering Park",5418,2698,1168,776,901,10960,
"Ourimbah - Fountaindale",3039,1096,323,140,329,4928,
"Summerland Point - Gwandalan",3637,1469,562,296,529,6492,
"The Entrance",8612,3591,1290,842,1508,15839,
"Toukley - Norah Head",5159,2298,917,648,888,9909,
"Tuggerah - Kangy Angy",3233,1093,380,189,340,5229,
"Warnervale - Wadalba",12307,4252,1322,695,1477,20051,
"Wyong",4934,1985,750,478,977,9120,
"Bathurst - East",7309,2741,897,434,949,12330,
"Bathurst Surrounds",4087,1340,443,213,828,6909,
"Oberon",2536,950,373,179,790,4834,
"Bathurst - South",5397,2343,903,545,1569,10752,
"Bathurst - West",8552,3215,1008,455,1085,14313,
"Condobolin",3470,1273,428,291,920,6372,
"Cowra",5048,2037,823,469,896,9273,
"Cowra Surrounds",3028,1191,483,300,721,5716,
"Forbes",5625,1943,776,500,1173,10020,
"Grenfell",1936,774,329,222,326,3597,
"Parkes (NSW)",6188,2353,857,463,1056,10919,
"Parkes Surrounds",1792,624,239,170,433,3262,
"West Wyalong",3175,1095,394,209,656,5525,
"Lithgow",6353,2769,1116,702,1448,12385,
"Lithgow Surrounds",4764,1833,645,331,875,8448,
"Mudgee",7644,2615,779,400,1126,12563,
"Mudgee Surrounds - East",1677,792,327,187,416,3398,
"Mudgee Surrounds - West",6434,2169,771,423,1280,11072,
"Wollangambe - Wollemi",0,0,0,0,0,0,
"Blayney",4405,1562,540,301,710,7517,
"Orange",10459,4248,1591,936,1784,19023,
"Orange - North",14329,4703,1423,644,1793,22895,
"Orange Surrounds",7364,2293,733,335,1107,11830,
"Grafton",10066,4449,1749,1174,1820,19255,
"Grafton Surrounds",8526,3498,1339,796,2717,16875,
"Maclean - Yamba - Iluka",9365,3892,1691,1076,1501,17533,
"Bellingen",3810,1168,342,195,646,6168,
"Coffs Harbour - North",10280,3856,1456,874,1633,18099,
"Coffs Harbour - South",6207,2328,873,622,1270,11305,
"Coramba - Nana Glen - Bucca",2455,765,254,108,366,3950,
"Dorrigo",1782,653,259,141,417,3250,
"Korora - Emerald Beach",6632,2067,553,288,725,10262,
"Sawtell - Boambee",11252,4616,1627,888,1678,20066,
"Urunga",2693,1114,400,239,465,4907,
"Woolgoolga - Arrawarra",8653,2988,1046,608,1172,14463,
"Bourke - Brewarrina",1921,548,144,126,683,3428,
"Cobar",2330,732,238,138,695,4129,
"Coonamble",2055,741,299,180,654,3926,
"Nyngan - Warren",2667,825,341,187,575,4591,
"Walgett - Lightning Ridge",2534,888,349,221,1541,5534,
"Broken Hill",8756,4015,1634,1064,2120,17588,
"Far West",1259,367,123,79,463,2288,
"Coonabarabran",3940,1634,635,407,1308,7921,
"Dubbo - East",5963,2157,784,439,1294,10633,
"Dubbo - South",11584,3946,1293,723,2087,19628,
"Dubbo - West",5880,2082,690,428,1237,10317,
"Dubbo Surrounds",3505,1174,388,188,710,5963,
"Gilgandra",2368,911,313,183,622,4398,
"Narromine",3474,1249,436,241,1064,6458,
"Wellington",4221,1529,678,460,1872,8769,
"Branxton - Greta - Pokolbin",8067,2682,768,381,866,12770,
"Cessnock",11298,5310,2047,1423,3408,23495,
"Cessnock Surrounds",5404,1998,690,304,743,9145,
"Dungog",5631,2086,792,381,654,9541,
"Kurri Kurri - Abermain",11311,4782,1773,1023,1744,20631,
"Singleton",10399,3439,1031,612,1536,17018,
"Singleton Surrounds",3245,1019,327,171,574,5332,
"Maitland",5112,1954,622,350,578,8611,
"Maitland - North",5426,1896,545,252,605,8727,
"East Maitland - Metford",10194,4136,1489,776,1381,17981,
"Rutherford (North) - Aberglasslyn",10510,3834,1265,791,1336,17730,
"Rutherford (South) - Telarah",4305,1869,643,418,750,7976,
"Tenambit - East Maitland",5554,2472,895,502,665,10091,
"Thornton - Millers Forest",10086,3429,1000,442,945,15899,
"Anna Bay",3559,1440,594,298,551,6449,
"Lemon Tree Passage - Tanilba Bay",3493,1619,732,484,554,6887,
"Nelson Bay Peninsula",11931,5332,1983,1024,1702,21972,
"Raymond Terrace",7657,3466,1308,774,1388,14588,
"Seaham - Woodville",3522,1238,340,143,445,5693,
"Tea Gardens - Hawks Nest",2618,1528,686,399,575,5804,
"Williamtown - Medowie - Karuah",8761,3347,1222,599,1092,15020,
"Muswellbrook",6955,2547,862,509,1396,12272,
"Muswellbrook Surrounds",2422,840,264,147,412,4083,
"Scone",3719,1203,387,208,515,6035,
"Scone Surrounds",4861,1632,581,333,793,8194,
"Dapto - Avondale",13810,5616,2025,1108,1642,24195,
"Horsley - Kembla Grange",7951,2438,743,315,710,12155,
"Port Kembla Industrial",0,4,0,0,0,5,
"Unanderra - Mount Kembla",9452,3286,1057,573,911,15280,
"Berkeley - Lake Heights - Cringila",8290,2976,1090,623,1216,14200,
"Port Kembla - Warrawong",5564,1990,767,544,874,9740,
"Windang - Primbee",2255,960,395,259,367,4239,
"Illawarra Catchment Reserve",9,0,0,0,0,9,
"Albion Park - Macquarie Pass",12245,3834,1141,513,1300,19026,
"Albion Park Rail",3641,1636,665,412,564,6920,
"Kiama",5277,1870,656,376,602,8786,
"Kiama Downs - Minnamurra",3858,1251,389,178,387,6063,
"Kiama Hinterland - Gerringong",4982,1758,551,230,622,8136,
"Shellharbour - Flinders",12605,3712,1101,506,1415,19341,
"Shellharbour - Oak Flats",6064,2368,809,493,854,10590,
"Warilla",10993,4502,1838,1062,1994,20397,
"Balgownie - Fairy Meadow",13448,4288,1427,780,1574,21519,
"Corrimal - Tarrawanna - Bellambi",9665,3359,1155,718,1145,16041,
"Figtree - Keiraville",14968,4502,1196,519,1587,22773,
"Helensburgh",6119,1798,466,233,516,9135,
"Thirroul - Austinmer - Coalcliff",8089,2295,607,231,738,11957,
"Woonona - Bulli - Russell Vale",13187,4219,1290,810,1245,20761,
"Wollongong - East",10073,3225,1060,536,1126,16020,
"Wollongong - West",10610,3209,999,442,1291,16551,
"Bulahdelah - Stroud",2829,1139,401,262,601,5235,
"Forster",7482,3473,1499,986,1271,14709,
"Forster-Tuncurry Surrounds",3844,1546,529,328,737,6988,
"Tuncurry",2937,1633,744,595,459,6376,
"Kempsey",7388,3416,1377,970,2502,15654,
"Kempsey Surrounds",5257,1977,707,469,1064,9472,
"Macksville - Scotts Head",2777,1177,474,290,479,5189,
"Nambucca Heads",3286,1662,792,603,770,7111,
"Nambucca Heads Surrounds",4495,1691,658,352,914,8102,
"South West Rocks",2878,1305,556,415,476,5628,
"Lord Howe Island",316,71,16,8,39,445,
"Laurieton - Bonny Hills",9597,4618,1909,1158,1198,18484,
"Port Macquarie - West",11149,5048,1926,1268,1750,21147,
"Port Macquarie Surrounds",3115,1090,360,192,533,5301,
"Wauchope",7249,2870,1039,588,1059,12796,
"Port Macquarie - East",7065,2581,848,425,839,11764,
"Port Macquarie - South",9924,4004,1464,856,1035,17284,
"Gloucester",2916,1208,459,278,450,5310,
"Old Bar - Manning Point - Red Head",6824,2942,1067,605,1037,12476,
"Taree",10510,4985,1943,1395,2283,21123,
"Taree Surrounds",6871,3052,1206,766,1149,13044,
"Wingham",2815,1247,492,337,498,5395,
"Albury - East",11353,3714,1084,533,1151,17831,
"Albury - North",5838,2359,825,450,1061,10527,
"Albury - South",6091,2276,818,430,900,10519,
"Albury Surrounds",7427,2531,809,448,1291,12507,
"Lavington",8594,3500,1336,788,1447,15665,
"Hay",1524,617,224,122,415,2897,
"Wentworth - Buronga",3701,1272,408,274,855,6511,
"Wentworth-Balranald Region",2120,578,197,114,642,3648,
"Corowa",2930,1377,485,328,477,5595,
"Corowa Surrounds",3868,1619,592,365,824,7262,
"Deniliquin",3715,1598,607,319,807,7038,
"Deniliquin Surrounds",3941,1377,506,249,768,6837,
"Moama",4090,1477,493,304,567,6930,
"Tocumwal - Finley - Jerilderie",4981,2168,885,523,1223,9778,
"Armidale",13957,4866,1557,745,2846,23967,
"Armidale Surrounds - North",2585,833,273,164,683,4527,
"Armidale Surrounds - South",3403,1298,452,256,479,5894,
"Walcha",1753,643,225,149,374,3144,
"Glen Innes",4511,1909,777,497,1228,8931,
"Inverell",6778,2462,899,521,1399,12057,
"Inverell Surrounds - East",2784,1045,410,280,688,5200,
"Inverell Surrounds - West",3139,1193,456,280,668,5734,
"Tenterfield",3518,1448,638,430,780,6810,
"Moree",4172,1357,426,266,1633,7845,
"Moree Surrounds",2829,732,194,123,1470,5356,
"Narrabri",3909,1517,498,250,726,6898,
"Narrabri Surrounds",2505,908,285,150,770,4616,
"Gunnedah",5550,1950,614,391,1240,9745,
"Gunnedah Surrounds",2542,830,269,159,560,4369,
"Quirindi",4067,1513,555,349,1066,7551,
"Tamworth - East",11982,4789,1689,847,2056,21360,
"Tamworth - North",9559,3363,1225,762,1605,16517,
"Tamworth - West",3219,1168,397,225,988,5998,
"Tamworth Surrounds",10848,4217,1394,884,1689,19038,
"Belmont - Bennetts Green",10183,4132,1505,818,1225,17864,
"Belmont South - Blacksmiths",3123,1331,473,296,453,5680,
"Charlestown - Dudley",15591,5456,1700,878,1624,25254,
"Glendale - Cardiff - Hillsborough",14538,5799,1851,945,1455,24588,
"Mount Hutton - Windale",4700,2251,949,647,958,9504,
"Redhead",2160,819,268,235,293,3785,
"Swansea - Caves Beach",7111,2905,1035,660,846,12559,
"Valentine - Eleebana",7860,2816,866,352,675,12568,
"Warners Bay - Boolaroo",8620,3384,1177,583,926,14694,
"Bolton Point - Teralba",5374,2295,892,545,1025,10135,
"Bonnells Bay - Silverwater",5401,2333,834,449,680,9691,
"Edgeworth - Cameron Park",9847,3705,1128,626,1072,16375,
"Morisset - Cooranbong",9835,4172,1750,1078,1299,18129,
"Toronto - Awaba",7467,3299,1295,826,1065,13961,
"Wangi Wangi - Rathmines",5285,2249,760,432,740,9467,
"West Wallsend - Barnsley - Killingworth",4218,1711,559,285,476,7254,
"Adamstown - Kotara",10741,3468,970,458,968,16600,
"Beresfield - Hexham",4537,2021,842,474,690,8561,
"Hamilton - Broadmeadow",7385,2789,928,488,1185,12772,
"Lambton - New Lambton",10638,3789,1163,608,1150,17343,
"Maryland - Fletcher - Minmi",10711,3379,955,457,919,16429,
"Mayfield - Warabrook",8752,3606,1270,769,1132,15526,
"Merewether - The Junction",9592,2864,775,346,925,14506,
"Newcastle - Cooks Hill",8052,2704,791,278,984,12805,
"Newcastle Port - Kooragang",13,9,3,3,5,31,
"Shortland - Jesmond",7208,2449,853,412,1674,12593,
"Stockton - Fullerton Cove",4865,1965,747,491,759,8824,
"Wallsend - Elermore Vale",11669,4881,1798,1143,1461,20958,
"Waratah - North Lambton",7471,2858,926,509,1120,12883,
"Wickham - Carrington - Tighes Hill",5780,1995,555,234,599,9171,
"Ballina",9962,4328,1672,1045,1625,18629,
"Ballina Surrounds",11206,3944,1212,584,1373,18327,
