"HARTP Whether has Arthritis","Has arthritis","Does not have arthritis","Not stated","Total",
"SA2 (UR)",
"Braidwood",584,3308,454,4343,
"Karabar",886,6877,749,8517,
"Queanbeyan",1110,9378,851,11342,
"Queanbeyan - East",455,4276,351,5085,
"Queanbeyan West - Jerrabomberra",960,11026,754,12744,
"Googong",277,5612,332,6224,
"Queanbeyan Surrounds",1587,13619,1342,16539,
"Bombala",326,1847,273,2454,
"Cooma",875,5178,705,6761,
"Cooma Surrounds",410,2654,415,3472,
"Jindabyne - Berridale",639,6584,821,8035,
"Batemans Bay",1281,6453,850,8581,
"Batemans Bay - South",1393,6653,894,8938,
"Bega - Tathra",1112,6901,868,8872,
"Bega-Eden Hinterland",1208,7453,904,9557,
"Broulee - Tomakin",578,2920,291,3792,
"Deua - Wadbilliga",9,28,5,43,
"Eden",511,2517,399,3425,
"Eurobodalla Hinterland",442,2647,434,3525,
"Merimbula - Tura Beach",1721,8905,883,11513,
"Moruya - Tuross Head",1387,6312,896,8600,
"Narooma - Bermagui",1627,7314,948,9888,
"Goulburn",3204,18811,2557,24565,
"Goulburn Surrounds",1878,10497,1464,13839,
"Yass",904,5337,523,6763,
"Yass Surrounds",1268,10388,1054,12713,
"Young",1392,8570,1043,11004,
"Young Surrounds",1093,5703,889,7677,
"Avoca Beach - Copacabana",550,6492,476,7513,
"Box Head - MacMasters Beach",1296,9012,732,11042,
"Calga - Kulnura",492,3721,510,4716,
"Erina - Green Point",1960,11879,916,14758,
"Gosford - Springfield",2036,17494,1680,21204,
"Kariong",458,5596,425,6485,
"Kincumber - Picketts Valley",1054,5987,577,7615,
"Narara",650,6126,383,7157,
"Niagara Park - Lisarow",794,6973,446,8205,
"Point Clare - Koolewong",726,5443,398,6571,
"Saratoga - Davistown",774,5893,487,7160,
"Terrigal - North Avoca",1241,12555,1051,14849,
"Umina - Booker Bay - Patonga",3073,19498,2124,24697,
"Wamberal - Forresters Beach",911,9051,712,10675,
"Woy Woy - Blackwall",1781,11393,1171,14346,
"Wyoming",1362,9182,875,11423,
"Bateau Bay - Killarney Vale",2621,18141,2071,22825,
"Blue Haven - San Remo",1251,9099,942,11290,
"Budgewoi - Buff Point - Halekulani",1439,7416,880,9728,
"Chittaway Bay - Tumbi Umbi",1747,13112,1142,16006,
"Gorokan - Kanwal - Charmhaven",3004,17106,2252,22362,
"Jilliby - Yarramalong",288,2869,265,3420,
"Lake Munmorah - Mannering Park",1992,8071,901,10960,
"Ourimbah - Fountaindale",450,4148,329,4928,
"Summerland Point - Gwandalan",866,5096,529,6492,
"The Entrance",2077,12256,1508,15839,
"Toukley - Norah Head",1458,7560,888,9909,
"Tuggerah - Kangy Angy",513,4378,340,5229,
"Warnervale - Wadalba",1816,16763,1477,20051,
"Wyong",1055,7093,977,9120,
"Bathurst - East",1239,10141,949,12330,
"Bathurst Surrounds",713,5370,828,6909,
"Oberon",538,3505,790,4834,
"Bathurst - South",1232,7949,1569,10752,
"Bathurst - West",1395,11838,1085,14313,
"Condobolin",719,4734,920,6372,
"Cowra",1197,7184,896,9273,
"Cowra Surrounds",845,4156,721,5716,
"Forbes",1203,7644,1173,10020,
"Grenfell",552,2713,326,3597,
