"HCANP Whether has Cancer (including remission)","Has cancer (including remission)","Does not have cancer (including remission)","Not stated","Total",
"SA2 (UR)",
"Braidwood",179,3713,454,4343,
"Karabar",245,7523,749,8517,
"Queanbeyan",297,10197,851,11342,
"Queanbeyan - East",125,4606,351,5085,
"Queanbeyan West - Jerrabomberra",343,11642,754,12744,
"Googong",83,5808,332,6224,
"Queanbeyan Surrounds",505,14693,1342,16539,
"Bombala",90,2089,273,2454,
"Cooma",240,5813,705,6761,
"Cooma Surrounds",134,2927,415,3472,
"Jindabyne - Berridale",182,7034,821,8035,
"Batemans Bay",415,7321,850,8581,
"Batemans Bay - South",451,7599,894,8938,
"Bega - Tathra",320,7681,868,8872,
"Bega-Eden Hinterland",383,8272,904,9557,
"Broulee - Tomakin",196,3306,291,3792,
"Deua - Wadbilliga",0,35,5,43,
"Eden",131,2897,399,3425,
"Eurobodalla Hinterland",144,2947,434,3525,
"Merimbula - Tura Beach",565,10058,883,11513,
"Moruya - Tuross Head",413,7287,896,8600,
"Narooma - Bermagui",522,8420,948,9888,
"Goulburn",883,21133,2557,24565,
"Goulburn Surrounds",502,11878,1464,13839,
"Yass",267,5978,523,6763,
"Yass Surrounds",434,11225,1054,12713,
"Young",377,9582,1043,11004,
"Young Surrounds",285,6506,889,7677,
"Avoca Beach - Copacabana",241,6796,476,7513,
"Box Head - MacMasters Beach",470,9842,732,11042,
"Calga - Kulnura",147,4064,510,4716,
"Erina - Green Point",719,13126,916,14758,
"Gosford - Springfield",704,18827,1680,21204,
"Kariong",164,5895,425,6485,
"Kincumber - Picketts Valley",333,6703,577,7615,
"Narara",240,6532,383,7157,
"Niagara Park - Lisarow",285,7476,446,8205,
"Point Clare - Koolewong",279,5885,398,6571,
"Saratoga - Davistown",303,6371,487,7160,
"Terrigal - North Avoca",520,13286,1051,14849,
"Umina - Booker Bay - Patonga",1025,21551,2124,24697,
"Wamberal - Forresters Beach",388,9574,712,10675,
"Woy Woy - Blackwall",599,12576,1171,14346,
"Wyoming",419,10123,875,11423,
"Bateau Bay - Killarney Vale",814,19941,2071,22825,
"Blue Haven - San Remo",309,10038,942,11290,
"Budgewoi - Buff Point - Halekulani",392,8459,880,9728,
"Chittaway Bay - Tumbi Umbi",586,14271,1142,16006,
"Gorokan - Kanwal - Charmhaven",868,19244,2252,22362,
"Jilliby - Yarramalong",118,3040,265,3420,
"Lake Munmorah - Mannering Park",540,9521,901,10960,
"Ourimbah - Fountaindale",153,4442,329,4928,
"Summerland Point - Gwandalan",240,5720,529,6492,
"The Entrance",641,13688,1508,15839,
"Toukley - Norah Head",462,8562,888,9909,
"Tuggerah - Kangy Angy",165,4727,340,5229,
"Warnervale - Wadalba",525,18055,1477,20051,
"Wyong",286,7856,977,9120,
"Bathurst - East",370,11011,949,12330,
"Bathurst Surrounds",267,5822,828,6909,
"Oberon",172,3876,790,4834,
"Bathurst - South",367,8815,1569,10752,
"Bathurst - West",444,12789,1085,14313,
"Condobolin",195,5264,920,6372,
"Cowra",347,8035,896,9273,
"Cowra Surrounds",231,4772,721,5716,
"Forbes",392,8459,1173,10020,
"Grenfell",151,3111,326,3597,
"Parkes (NSW)",339,9523,1056,10919,
"Parkes Surrounds",100,2729,433,3262,
"West Wyalong",205,4663,656,5525,
"Lithgow",433,10508,1448,12385,
"Lithgow Surrounds",310,7258,875,8448,
"Mudgee",336,11106,1126,12563,
"Mudgee Surrounds - East",144,2838,416,3398,
"Mudgee Surrounds - West",352,9448,1280,11072,
"Wollangambe - Wollemi",0,0,0,0,
"Blayney",275,6536,710,7517,
"Orange",612,16628,1784,19023,
"Orange - North",599,20497,1793,22895,
"Orange Surrounds",404,10314,1107,11830,
"Grafton",742,16694,1820,19255,
"Grafton Surrounds",676,13486,2717,16875,
"Maclean - Yamba - Iluka",927,15102,1501,17533,
"Bellingen",197,5323,646,6168,
"Coffs Harbour - North",682,15775,1633,18099,
"Coffs Harbour - South",482,9554,1270,11305,
"Coramba - Nana Glen - Bucca",141,3439,366,3950,
"Dorrigo",125,2711,417,3250,
"Korora - Emerald Beach",345,9193,725,10262,
"Sawtell - Boambee",786,17601,1678,20066,
"Urunga",235,4205,465,4907,
"Woolgoolga - Arrawarra",560,12736,1172,14463,
"Bourke - Brewarrina",66,2669,683,3428,
"Cobar",101,3327,695,4129,
"Coonamble",121,3156,654,3926,
"Nyngan - Warren",155,3862,575,4591,
"Walgett - Lightning Ridge",144,3841,1541,5534,
"Broken Hill",596,14875,2120,17588,
"Far West",54,1767,463,2288,
"Coonabarabran",320,6287,1308,7921,
"Dubbo - East",273,9069,1294,10633,
"Dubbo - South",576,16969,2087,19628,
"Dubbo - West",269,8815,1237,10317,
"Dubbo Surrounds",189,5064,710,5963,
"Gilgandra",161,3615,622,4398,
"Narromine",219,5176,1064,6458,
"Wellington",277,6613,1872,8769,
"Branxton - Greta - Pokolbin",331,11565,866,12770,
"Cessnock",764,19318,3408,23495,
"Cessnock Surrounds",326,8072,743,9145,
"Dungog",367,8521,654,9541,
"Kurri Kurri - Abermain",622,18263,1744,20631,
"Singleton",415,15068,1536,17018,
"Singleton Surrounds",151,4603,574,5332,
"Maitland",235,7803,578,8611,
"Maitland - North",267,7857,605,8727,
"East Maitland - Metford",527,16079,1381,17981,
"Rutherford (North) - Aberglasslyn",541,15860,1336,17730,
"Rutherford (South) - Telarah",213,7016,750,7976,
"Tenambit - East Maitland",346,9080,665,10091,
"Thornton - Millers Forest",358,14595,945,15899,
"Anna Bay",319,5578,551,6449,
"Lemon Tree Passage - Tanilba Bay",329,6007,554,6887,
"Nelson Bay Peninsula",1147,19128,1702,21972,
"Raymond Terrace",489,12714,1388,14588,
"Seaham - Woodville",180,5068,445,5693,
"Tea Gardens - Hawks Nest",433,4805,575,5804,
"Williamtown - Medowie - Karuah",495,13433,1092,15020,
"Muswellbrook",317,10551,1396,12272,
"Muswellbrook Surrounds",116,3554,412,4083,
"Scone",202,5323,515,6035,
"Scone Surrounds",261,7146,793,8194,
"Dapto - Avondale",879,21675,1642,24195,
"Horsley - Kembla Grange",306,11145,710,12155,
"Port Kembla Industrial",0,5,0,5,
"Unanderra - Mount Kembla",515,13857,911,15280,
"Berkeley - Lake Heights - Cringila",376,12609,1216,14200,
"Port Kembla - Warrawong",306,8549,874,9740,
"Windang - Primbee",204,3661,367,4239,
"Illawarra Catchment Reserve",0,9,0,9,
"Albion Park - Macquarie Pass",471,17258,1300,19026,
"Albion Park Rail",254,6098,564,6920,
"Kiama",401,7772,602,8786,
"Kiama Downs - Minnamurra",237,5439,387,6063,
"Kiama Hinterland - Gerringong",324,7194,622,8136,
"Shellharbour - Flinders",605,17320,1415,19341,
"Shellharbour - Oak Flats",377,9358,854,10590,
"Warilla",699,17706,1994,20397,
