Australian Bureau of Statistics

"2021 Census - cultural diversity"
"SA2 (UR) by HDEMP Whether has Dementia (including Alzheimer's)"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

"HDEMP Whether has Dementia (including Alzheimer's)","Has dementia (including Alzheimer's)","Does not have dementia (including Alzheimer's)","Not stated","Total",
"SA2 (UR)",
"Braidwood",38,3858,454,4343,
"Karabar",37,7729,749,8517,
"Queanbeyan",137,10360,851,11342,
"Queanbeyan - East",15,4723,351,5085,
"Queanbeyan West - Jerrabomberra",33,11957,754,12744,
"Googong",9,5884,332,6224,
"Queanbeyan Surrounds",47,15150,1342,16539,
"Bombala",24,2155,273,2454,
"Cooma",81,5974,705,6761,
"Cooma Surrounds",15,3043,415,3472,
"Jindabyne - Berridale",25,7195,821,8035,
"Batemans Bay",132,7608,850,8581,
"Batemans Bay - South",120,7927,894,8938,
"Bega - Tathra",51,7957,868,8872,
"Bega-Eden Hinterland",40,8616,904,9557,
"Broulee - Tomakin",48,3450,291,3792,
"Deua - Wadbilliga",0,36,5,43,
"Eden",47,2978,399,3425,
"Eurobodalla Hinterland",17,3076,434,3525,
"Merimbula - Tura Beach",140,10490,883,11513,
"Moruya - Tuross Head",68,7631,896,8600,
"Narooma - Bermagui",142,8797,948,9888,
"Goulburn",305,21708,2557,24565,
"Goulburn Surrounds",102,12279,1464,13839,
"Yass",103,6144,523,6763,
"Yass Surrounds",39,11618,1054,12713,
"Young",138,9827,1043,11004,
"Young Surrounds",76,6712,889,7677,
"Avoca Beach - Copacabana",35,7003,476,7513,
"Box Head - MacMasters Beach",75,10236,732,11042,
"Calga - Kulnura",17,4195,510,4716,
"Erina - Green Point",491,13357,916,14758,
"Gosford - Springfield",157,19371,1680,21204,
"Kariong",22,6034,425,6485,
"Kincumber - Picketts Valley",107,6929,577,7615,
"Narara",31,6748,383,7157,
"Niagara Park - Lisarow",76,7683,446,8205,
"Point Clare - Koolewong",114,6052,398,6571,
"Saratoga - Davistown",65,6603,487,7160,
"Terrigal - North Avoca",81,13719,1051,14849,
"Umina - Booker Bay - Patonga",332,22236,2124,24697,
"Wamberal - Forresters Beach",45,9915,712,10675,
"Woy Woy - Blackwall",273,12906,1171,14346,
"Wyoming",197,10348,875,11423,
"Bateau Bay - Killarney Vale",262,20494,2071,22825,
"Blue Haven - San Remo",70,10283,942,11290,
"Budgewoi - Buff Point - Halekulani",76,8778,880,9728,
"Chittaway Bay - Tumbi Umbi",120,14746,1142,16006,
"Gorokan - Kanwal - Charmhaven",281,19827,2252,22362,
"Jilliby - Yarramalong",14,3139,265,3420,
"Lake Munmorah - Mannering Park",97,9965,901,10960,
"Ourimbah - Fountaindale",18,4576,329,4928,
"Summerland Point - Gwandalan",39,5922,529,6492,
"The Entrance",112,14217,1508,15839,
"Toukley - Norah Head",178,8843,888,9909,
"Tuggerah - Kangy Angy",26,4862,340,5229,
"Warnervale - Wadalba",235,18344,1477,20051,
"Wyong",60,8092,977,9120,
"Bathurst - East",97,11284,949,12330,
"Bathurst Surrounds",24,6059,828,6909,
"Oberon",49,3996,790,4834,
"Bathurst - South",215,8967,1569,10752,
"Bathurst - West",56,13173,1085,14313,
"Condobolin",71,5387,920,6372,
"Cowra",137,8241,896,9273,
"Cowra Surrounds",52,4946,721,5716,
"Forbes",98,8750,1173,10020,
"Grenfell",45,3225,326,3597,
"Parkes (NSW)",117,9744,1056,10919,
"Parkes Surrounds",31,2801,433,3262,
"West Wyalong",33,4837,656,5525,
"Lithgow",167,10773,1448,12385,
"Lithgow Surrounds",32,7536,875,8448,
"Mudgee",104,11337,1126,12563,
"Mudgee Surrounds - East",34,2950,416,3398,
"Mudgee Surrounds - West",58,9740,1280,11072,
"Wollangambe - Wollemi",0,0,0,0,
"Blayney",46,6766,710,7517,
"Orange",240,17000,1784,19023,
"Orange - North",103,20999,1793,22895,
"Orange Surrounds",46,10676,1107,11830,
"Grafton",254,17179,1820,19255,
"Grafton Surrounds",116,14043,2717,16875,
"Maclean - Yamba - Iluka",230,15795,1501,17533,
"Bellingen",56,5466,646,6168,
"Coffs Harbour - North",154,16306,1633,18099,
"Coffs Harbour - South",276,9757,1270,11305,
"Coramba - Nana Glen - Bucca",19,3563,366,3950,
"Dorrigo",30,2802,417,3250,
"Korora - Emerald Beach",57,9479,725,10262,
"Sawtell - Boambee",167,18217,1678,20066,
"Urunga",79,4368,465,4907,
"Woolgoolga - Arrawarra",145,13145,1172,14463,
"Bourke - Brewarrina",28,2711,683,3428,
"Cobar",35,3400,695,4129,
"Coonamble",46,3229,654,3926,
"Nyngan - Warren",39,3980,575,4591,
"Walgett - Lightning Ridge",27,3962,1541,5534,
"Broken Hill",181,15292,2120,17588,
"Far West",8,1817,463,2288,
"Coonabarabran",88,6528,1308,7921,
"Dubbo - East",87,9252,1294,10633,
"Dubbo - South",169,17368,2087,19628,
"Dubbo - West",104,8975,1237,10317,
"Dubbo Surrounds",19,5232,710,5963,
"Gilgandra",26,3746,622,4398,
"Narromine",26,5366,1064,6458,
"Wellington",64,6826,1872,8769,
"Branxton - Greta - Pokolbin",36,11864,866,12770,
"Cessnock",327,19757,3408,23495,
"Cessnock Surrounds",22,8369,743,9145,
"Dungog",74,8814,654,9541,
"Kurri Kurri - Abermain",139,18745,1744,20631,
"Singleton",147,15339,1536,17018,
"Singleton Surrounds",20,4733,574,5332,
"Maitland",97,7940,578,8611,
