sa2,Has diabetes (excluding gestational diabetes),Does not have diabetes (excluding gestational diabetes),Not stated
Braidwood,185,3705,454
Karabar,468,7291,749
Queanbeyan,622,9873,851
Queanbeyan - East,214,4521,351
Queanbeyan West - Jerrabomberra,469,11517,754
Googong,163,5730,332
Queanbeyan Surrounds,647,14556,1342
Bombala,123,2054,273
Cooma,399,5651,705
Cooma Surrounds,160,2903,415
Jindabyne - Berridale,205,7012,821
Batemans Bay,518,7214,850
Batemans Bay - South,539,7504,894
Bega - Tathra,431,7574,868
Bega-Eden Hinterland,428,8229,904
Broulee - Tomakin,166,3334,291
Deua - Wadbilliga,0,32,5
Eden,236,2791,399
Eurobodalla Hinterland,155,2939,434
Merimbula - Tura Beach,621,10008,883
Moruya - Tuross Head,519,7184,896
Narooma - Bermagui,598,8339,948
Goulburn,1512,20503,2557
Goulburn Surrounds,785,11588,1464
Yass,390,5853,523
Yass Surrounds,459,11198,1054
Young,619,9341,1043
Young Surrounds,501,6292,889
Avoca Beach - Copacabana,217,6826,476
Box Head - MacMasters Beach,546,9767,732
Calga - Kulnura,214,3997,510
Erina - Green Point,845,13002,916
Gosford - Springfield,1021,18509,1680
Kariong,310,5745,425
Kincumber - Picketts Valley,422,6617,577
Narara,358,6422,383
Niagara Park - Lisarow,363,7398,446
Point Clare - Koolewong,375,5797,398
Saratoga - Davistown,332,6339,487
Terrigal - North Avoca,482,13320,1051
Umina - Booker Bay - Patonga,1433,21138,2124
Wamberal - Forresters Beach,332,9631,712
Woy Woy - Blackwall,956,12220,1171
Wyoming,687,9853,875
Bateau Bay - Killarney Vale,1142,19618,2071
Blue Haven - San Remo,721,9631,942
Budgewoi - Buff Point - Halekulani,682,8169,880
Chittaway Bay - Tumbi Umbi,797,14071,1142
Gorokan - Kanwal - Charmhaven,1554,18559,2252
Jilliby - Yarramalong,133,3020,265
Lake Munmorah - Mannering Park,935,9120,901
Ourimbah - Fountaindale,194,4405,329
Summerland Point - Gwandalan,416,5541,529
The Entrance,915,13416,1508
Toukley - Norah Head,649,8377,888
Tuggerah - Kangy Angy,269,4620,340
Warnervale - Wadalba,1027,17549,1477
Wyong,587,7561,977
Bathurst - East,669,10709,949
Bathurst Surrounds,297,5793,828
Oberon,327,3717,790
Bathurst - South,574,8610,1569
Bathurst - West,656,12578,1085
Condobolin,410,5049,920
Cowra,610,7770,896
Cowra Surrounds,364,4634,721
Forbes,634,8211,1173
Grenfell,219,3051,326
Parkes (NSW),636,9226,1056
Parkes Surrounds,212,2622,433
West Wyalong,313,4556,656
Lithgow,888,10049,1448
Lithgow Surrounds,506,7060,875
Mudgee,529,10913,1126
Mudgee Surrounds - East,255,2731,416
Mudgee Surrounds - West,561,9230,1280
Wollangambe - Wollemi,0,0,0
Blayney,403,6409,710
Orange,1114,16123,1784
Orange - North,920,20183,1793
Orange Surrounds,513,10210,1107
Grafton,1288,16148,1820
Grafton Surrounds,898,13255,2717
Maclean - Yamba - Iluka,1094,14934,1501
Bellingen,180,5338,646
Coffs Harbour - North,934,15531,1633
Coffs Harbour - South,556,9478,1270
Coramba - Nana Glen - Bucca,129,3452,366
Dorrigo,155,2679,417
Korora - Emerald Beach,301,9235,725
Sawtell - Boambee,956,17423,1678
Urunga,256,4187,465
Woolgoolga - Arrawarra,623,12668,1172
Bourke - Brewarrina,202,2536,683
Cobar,231,3207,695
Coonamble,268,3004,654
Nyngan - Warren,269,3754,575
Walgett - Lightning Ridge,344,3649,1541
Broken Hill,1439,14034,2120
Far West,129,1699,463
Coonabarabran,466,6144,1308
Dubbo - East,559,8779,1294
Dubbo - South,1004,16542,2087
Dubbo - West,578,8502,1237
Dubbo Surrounds,269,4976,710
Gilgandra,228,3545,622
Narromine,335,5059,1064
Wellington,564,6329,1872
Branxton - Greta - Pokolbin,558,11340,866
Cessnock,1578,18506,3408
Cessnock Surrounds,435,7962,743
Dungog,496,8388,654
Kurri Kurri - Abermain,1348,17539,1744
Singleton,820,14660,1536
Singleton Surrounds,212,4537,574
Maitland,435,7602,578
Maitland - North,368,7756,605
East Maitland - Metford,1059,15544,1381
Rutherford (North) - Aberglasslyn,990,15411,1336
Rutherford (South) - Telarah,483,6741,750
Tenambit - East Maitland,656,8771,665
Thornton - Millers Forest,708,14242,945
Anna Bay,413,5476,551
Lemon Tree Passage - Tanilba Bay,552,5777,554
Nelson Bay Peninsula,1316,18956,1702
Raymond Terrace,987,12219,1388
Seaham - Woodville,239,5010,445
Tea Gardens - Hawks Nest,440,4800,575
Williamtown - Medowie - Karuah,855,13083,1092
Muswellbrook,703,10171,1396
Muswellbrook Surrounds,220,3451,412
Scone,295,5226,515
Scone Surrounds,471,6929,793
Dapto - Avondale,1650,20899,1642
Horsley - Kembla Grange,585,10863,710
Port Kembla Industrial,0,5,0
Unanderra - Mount Kembla,869,13499,911
Berkeley - Lake Heights - Cringila,1000,11984,1216
Port Kembla - Warrawong,707,8156,874
Windang - Primbee,342,3523,367
Illawarra Catchment Reserve,0,9,0
Albion Park - Macquarie Pass,811,16924,1300
Albion Park Rail,520,5831,564
Kiama,413,7766,602
Kiama Downs - Minnamurra,220,5453,387
Kiama Hinterland - Gerringong,301,7216,622
Shellharbour - Flinders,841,17081,1415
Shellharbour - Oak Flats,652,9081,854
Warilla,1464,16946,1994
Balgownie - Fairy Meadow,1027,18914,1574
Corrimal - Tarrawanna - Bellambi,869,14034,1145
Figtree - Keiraville,935,20247,1587
Helensburgh,294,8321,516
Thirroul - Austinmer - Coalcliff,323,10892,738
Woonona - Bulli - Russell Vale,859,18656,1245
Wollongong - East,653,14243,1126
Wollongong - West,712,14547,1291
Bulahdelah - Stroud,314,4319,601
Forster,946,12496,1271
Forster-Tuncurry Surrounds,372,5876,737
Tuncurry,566,5350,459
Kempsey,1096,12060,2502
Kempsey Surrounds,470,7934,1064
Macksville - Scotts Head,296,4416,479
Nambucca Heads,537,5809,770
Nambucca Heads Surrounds,378,6819,914
South West Rocks,399,4758,476
Lord Howe Island,16,391,39
Laurieton - Bonny Hills,1309,15977,1198
Port Macquarie - West,1303,18092,1750
Port Macquarie Surrounds,238,4520,533
Wauchope,684,11054,1059
Port Macquarie - East,492,10432,839
Port Macquarie - South,901,15351,1035
