Australian Bureau of Statistics

"2021 Census - cultural diversity"
"SA2 (UR) by HKIDP Whether has Kidney Disease"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

"HKIDP Whether has Kidney Disease","Has kidney disease","Does not have kidney disease","Not stated","Total",
"SA2 (UR)",
"Braidwood",41,3851,454,4343,
"Karabar",146,7615,749,8517,
"Queanbeyan",152,10343,851,11342,
"Queanbeyan - East",55,4676,351,5085,
"Queanbeyan West - Jerrabomberra",89,11896,754,12744,
"Googong",23,5869,332,6224,
"Queanbeyan Surrounds",169,15029,1342,16539,
"Bombala",32,2145,273,2454,
"Cooma",79,5974,705,6761,
"Cooma Surrounds",30,3026,415,3472,
"Jindabyne - Berridale",47,7173,821,8035,
"Batemans Bay",139,7594,850,8581,
"Batemans Bay - South",163,7885,894,8938,
"Bega - Tathra",137,7867,868,8872,
"Bega-Eden Hinterland",143,8511,904,9557,
"Broulee - Tomakin",74,3426,291,3792,
"Deua - Wadbilliga",4,34,5,43,
"Eden",58,2969,399,3425,
"Eurobodalla Hinterland",37,3053,434,3525,
"Merimbula - Tura Beach",200,10431,883,11513,
"Moruya - Tuross Head",139,7567,896,8600,
"Narooma - Bermagui",149,8788,948,9888,
"Goulburn",461,21551,2557,24565,
"Goulburn Surrounds",187,12194,1464,13839,
"Yass",84,6158,523,6763,
"Yass Surrounds",99,11555,1054,12713,
"Young",133,9822,1043,11004,
"Young Surrounds",107,6683,889,7677,
"Avoca Beach - Copacabana",41,6999,476,7513,
"Box Head - MacMasters Beach",119,10187,732,11042,
"Calga - Kulnura",37,4173,510,4716,
"Erina - Green Point",241,13598,916,14758,
"Gosford - Springfield",242,19287,1680,21204,
"Kariong",60,6001,425,6485,
"Kincumber - Picketts Valley",116,6923,577,7615,
"Narara",80,6696,383,7157,
"Niagara Park - Lisarow",91,7674,446,8205,
"Point Clare - Koolewong",98,6072,398,6571,
"Saratoga - Davistown",60,6609,487,7160,
"Terrigal - North Avoca",130,13664,1051,14849,
"Umina - Booker Bay - Patonga",315,22257,2124,24697,
"Wamberal - Forresters Beach",84,9877,712,10675,
"Woy Woy - Blackwall",218,12954,1171,14346,
"Wyoming",165,10377,875,11423,
"Bateau Bay - Killarney Vale",252,20509,2071,22825,
"Blue Haven - San Remo",157,10192,942,11290,
"Budgewoi - Buff Point - Halekulani",162,8691,880,9728,
"Chittaway Bay - Tumbi Umbi",203,14663,1142,16006,
"Gorokan - Kanwal - Charmhaven",335,19772,2252,22362,
"Jilliby - Yarramalong",26,3126,265,3420,
"Lake Munmorah - Mannering Park",222,9840,901,10960,
"Ourimbah - Fountaindale",42,4554,329,4928,
"Summerland Point - Gwandalan",95,5867,529,6492,
"The Entrance",239,14092,1508,15839,
"Toukley - Norah Head",176,8843,888,9909,
"Tuggerah - Kangy Angy",54,4832,340,5229,
"Warnervale - Wadalba",219,18361,1477,20051,
"Wyong",125,8024,977,9120,
"Bathurst - East",124,11258,949,12330,
"Bathurst Surrounds",63,6019,828,6909,
"Oberon",49,3997,790,4834,
"Bathurst - South",98,9078,1569,10752,
"Bathurst - West",114,13115,1085,14313,
"Condobolin",78,5378,920,6372,
"Cowra",113,8263,896,9273,
"Cowra Surrounds",65,4936,721,5716,
"Forbes",131,8715,1173,10020,
"Grenfell",47,3218,326,3597,
"Parkes (NSW)",117,9747,1056,10919,
"Parkes Surrounds",46,2781,433,3262,
"West Wyalong",51,4815,656,5525,
