sa2_name_2011,in_wslhd,in_metro,pop_size
Goulburn,0,0,21485
Goulburn Region,0,0,11615
Yass,0,0,6331
Yass Region,0,0,10397
Young,0,0,10280
Young Region,0,0,7394
Braidwood,0,0,3356
Karabar,0,0,8602
Queanbeyan,0,0,10233
Queanbeyan - East,0,0,4639
Queanbeyan Region,0,0,14111
Queanbeyan West - Jerrabomberra,0,0,12572
Bombala,0,0,2419
Cooma,0,0,6677
Cooma Region,0,0,3175
Jindabyne - Berridale,0,0,6664
Batemans Bay,0,0,7504
Batemans Bay - South,0,0,8223
Bega - Tathra,0,0,8046
Bega-Eden Hinterland,0,0,8767
Broulee - Tomakin,0,0,2827
Deua - Wadbilliga,0,0,57
Eden,0,0,3207
Eurobodalla Hinterland,0,0,3211
Merimbula - Tura Beach,0,0,9779
Moruya - Tuross Head,0,0,7616
Narooma - Bermagui,0,0,8632
Avoca Beach - Copacabana,0,0,7010
Box Head - MacMasters Beach,0,0,10338
Calga - Kulnura,0,0,4422
Erina - Green Point,0,0,13591
Gosford - Springfield,0,0,18072
Kariong,0,0,6453
Kincumber - Picketts Valley,0,0,7110
Narara,0,0,6492
Niagara Park - Lisarow,0,0,8052
Point Clare - Koolewong,0,0,6314
Saratoga - Davistown,0,0,6637
Terrigal - North Avoca,0,0,12566
Umina - Booker Bay - Patonga,0,0,22534
Wamberal - Forresters Beach,0,0,9090
Woy Woy - Blackwall,0,0,13252
Wyoming,0,0,11189
Bateau Bay - Killarney Vale,0,0,21379
Blue Haven - San Remo,0,0,10781
Budgewoi - Buff Point - Halekulani,0,0,8968
Chittaway Bay - Tumbi Umbi,0,0,15347
Gorokan - Kanwal - Charmhaven,0,0,20675
Jilliby - Yarramalong,0,0,3011
Lake Munmorah - Mannering Park,0,0,10063
Ourimbah - Fountaindale,0,0,4794
Summerland Point - Gwandalan,0,0,5400
The Entrance,0,0,13987
Toukley - Norah Head,0,0,8999
Tuggerah - Kangy Angy,0,0,5036
Warnervale - Wadalba,0,0,12496
Wyong,0,0,8152
Bathurst,0,0,22985
Bathurst - East,0,0,9498
Bathurst Region,0,0,6612
Oberon,0,0,4459
Condobolin,0,0,6892
Cowra,0,0,8926
Cowra Region,0,0,5347
Forbes,0,0,9805
Grenfell,0,0,3646
Parkes (NSW),0,0,10939
Parkes Region,0,0,3390
West Wyalong,0,0,5850
Lithgow,0,1,12251
Lithgow Region,0,1,7895
Mudgee,0,0,10484
Mudgee Region - East,0,0,3345
Mudgee Region - West,0,0,9950
Wollangambe - Wollemi,0,1,0
Blayney,0,0,7007
Orange,0,0,19629
Orange - North,0,0,16835
Orange Region,0,0,10997
Grafton,0,0,18360
Grafton Region,0,0,15033
Maclean - Yamba - Iluka,0,0,15845
Bellingen,0,0,5704
Coffs Harbour - North,0,0,16342
Coffs Harbour - South,0,0,9817
Coramba - Nana Glen - Bucca,0,0,3584
Dorrigo,0,0,3291
Korora - Emerald Beach,0,0,7696
Sawtell - Boambee,0,0,18940
Urunga,0,0,4545
Woolgoolga - Arrawarra,0,0,11448
Bourke - Brewarrina,0,0,4285
Cobar,0,0,4717
Coonamble,0,0,4259
Nyngan - Warren,0,0,5208
Walgett - Lightning Ridge,0,0,6822
Broken Hill,0,0,18519
Far West,0,0,2686
Coonabarabran,0,0,8174
Dubbo - East,0,0,10849
Dubbo - South,0,0,15724
Dubbo - West,0,0,7419
Dubbo Region,0,0,5165
Gilgandra,0,0,4459
Narromine,0,0,6681
Wellington,0,0,8623
Branxton - Greta - Pokolbin,0,0,9272
Cessnock,0,0,20262
Cessnock Region,0,0,7034
Dungog,0,0,8317
Kurri Kurri - Abermain,0,0,16198
Singleton,0,0,16133
Singleton Region,0,0,4759
Maitland,0,0,4772
Maitland - East,0,0,25808
Maitland - North,0,0,6616
Maitland - West,0,0,18284
Thornton - Millers Forest,0,0,8724
Anna Bay,0,0,5431
Lemon Tree Passage - Tanilba Bay,0,0,6317
Nelson Bay Peninsula,0,0,19644
Raymond Terrace,0,0,13736
Seaham - Woodville,0,0,5304
Tea Gardens - Hawks Nest,0,0,4500
Williamtown - Medowie - Karuah,0,0,12579
Muswellbrook,0,0,11791
Muswellbrook Region,0,0,3999
Scone,0,0,5884
Scone Region,0,0,7871
