"sa2_code_2011","sa2_name_2011","lga_code_2011","lga_name_2011","nsw_lhd_name"
"101011001","Goulburn","13310","Goulburn Mulwaree (A)","Southern NSW"
"101011002","Goulburn Region","17640","Upper Lachlan Shire (A)","Southern NSW"
"101011003","Yass","18710","Yass Valley (A)","Southern NSW"
"101011004","Yass Region","18710","Yass Valley (A)","Southern NSW"
"101011005","Young","18750","Young (A)","Murrumbidgee"
"101011006","Young Region","18750","Young (A)","Murrumbidgee"
"101021007","Braidwood","16180","Palerang (A)","Southern NSW"
"101021008","Karabar","16470","Queanbeyan (C)","Southern NSW"
"101021009","Queanbeyan","16470","Queanbeyan (C)","Southern NSW"
"101021010","Queanbeyan - East","16470","Queanbeyan (C)","Southern NSW"
"101021011","Queanbeyan Region","16180","Palerang (A)","Southern NSW"
"101021012","Queanbeyan West - Jerrabomberra","16470","Queanbeyan (C)","Southern NSW"
"101031013","Bombala","11000","Bombala (A)","Southern NSW"
"101031014","Cooma","17050","Snowy River (A)","Southern NSW"
"101031015","Cooma Region","12050","Cooma-Monaro (A)","Southern NSW"
"101031016","Jindabyne - Berridale","17050","Snowy River (A)","Southern NSW"
"101041017","Batemans Bay","12750","Eurobodalla (A)","Southern NSW"
"101041018","Batemans Bay - South","12750","Eurobodalla (A)","Southern NSW"
"101041019","Bega - Tathra","10550","Bega Valley (A)","Southern NSW"
"101041020","Bega-Eden Hinterland","10550","Bega Valley (A)","Southern NSW"
"101041021","Broulee - Tomakin","12750","Eurobodalla (A)","Southern NSW"
"101041022","Deua - Wadbilliga","12750","Eurobodalla (A)","Southern NSW"
"101041023","Eden","10550","Bega Valley (A)","Southern NSW"
"101041024","Eurobodalla Hinterland","12750","Eurobodalla (A)","Southern NSW"
"101041025","Merimbula - Tura Beach","10550","Bega Valley (A)","Southern NSW"
"101041026","Moruya - Tuross Head","12750","Eurobodalla (A)","Southern NSW"
"101041027","Narooma - Bermagui","12750","Eurobodalla (A)","Southern NSW"
"102011028","Avoca Beach - Copacabana","13100","Gosford (C)","Central Coast"
"102011029","Box Head - MacMasters Beach","13100","Gosford (C)","Central Coast"
"102011030","Calga - Kulnura","13100","Gosford (C)","Central Coast"
"102011031","Erina - Green Point","13100","Gosford (C)","Central Coast"
"102011032","Gosford - Springfield","13100","Gosford (C)","Central Coast"
"102011033","Kariong","13100","Gosford (C)","Central Coast"
"102011034","Kincumber - Picketts Valley","13100","Gosford (C)","Central Coast"
"102011035","Narara","13100","Gosford (C)","Central Coast"
"102011036","Niagara Park - Lisarow","13100","Gosford (C)","Central Coast"
"102011037","Point Clare - Koolewong","13100","Gosford (C)","Central Coast"
"102011038","Saratoga - Davistown","13100","Gosford (C)","Central Coast"
"102011039","Terrigal - North Avoca","13100","Gosford (C)","Central Coast"
"102011040","Umina - Booker Bay - Patonga","13100","Gosford (C)","Central Coast"
"102011041","Wamberal - Forresters Beach","13100","Gosford (C)","Central Coast"
"102011042","Woy Woy - Blackwall","13100","Gosford (C)","Central Coast"
