Australian Bureau of Statistics

"2021 Census - employment, income and education"
"SA2 (UR) by AGE10P Age in Ten Year Groups"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

"AGE10P Age in Ten Year Groups","0-9 years","10-19 years","20-29 years","30-39 years","40-49 years","50-59 years","60-69 years","70-79 years","80-89 years","90-99 years","100 years and over","Total",
"SA2 (UR)",
"Braidwood",468,403,291,443,496,705,769,550,188,31,0,4343,
"Karabar",1055,1053,1144,1229,1100,1176,940,556,231,29,0,8517,
"Queanbeyan",1258,909,1820,2143,1443,1368,1089,703,470,134,4,11342,
"Queanbeyan - East",571,398,903,967,610,689,510,296,107,20,0,5085,
"Queanbeyan West - Jerrabomberra",1750,1896,1391,1764,1921,2130,1119,566,191,21,0,12744,
"Googong",1451,686,726,1584,955,489,209,99,22,0,0,6224,
"Queanbeyan Surrounds",1965,2278,1527,1933,2351,2757,2154,1244,288,36,0,16539,
"Bombala",265,262,222,258,231,342,420,302,120,28,0,2454,
"Cooma",739,694,730,915,747,911,845,707,391,89,0,6761,
"Cooma Surrounds",319,412,274,303,420,600,588,383,153,20,0,3472,
"Jindabyne - Berridale",715,1112,1300,1040,1085,1132,923,531,159,33,0,8035,
"Batemans Bay",823,937,696,767,880,1110,1471,1254,522,124,0,8581,
"Batemans Bay - South",744,897,666,722,911,1181,1639,1475,581,122,0,8938,
"Bega - Tathra",967,1061,805,924,981,1228,1384,970,447,114,4,8872,
"Bega-Eden Hinterland",941,1074,690,877,996,1627,2017,1034,264,37,0,9557,
"Broulee - Tomakin",335,429,259,351,396,526,682,487,255,65,0,3792,
"Deua - Wadbilliga",0,0,0,0,6,11,12,10,0,0,0,43,
"Eden",353,353,247,297,336,451,618,503,212,64,0,3425,
"Eurobodalla Hinterland",290,361,279,270,386,643,667,511,119,14,0,3525,
"Merimbula - Tura Beach",919,1137,853,1002,1132,1549,2149,1803,778,186,4,11513,
"Moruya - Tuross Head",666,815,598,707,810,1268,1868,1273,495,96,0,8600,
