sa2_name_2021,in_wslhd,pop_size
Baulkham Hills - East,1,24726
Baulkham Hills (West) - Bella Vista,1,21683
Glenhaven,1,6361
West Pennant Hills,1,12683
Castle Hill - Central,1,7677
Castle Hill - North,1,12189
Castle Hill - South,1,10419
Castle Hill - West,1,5183
Kellyville - East,1,17709
Kellyville - West,1,11375
Dural - Kenthurst - Wisemans Ferry,1,22479
Box Hill - Nelson,1,10287
North Kellyville,1,17401
Rouse Hill - Beaumont Hills,1,17581
Blacktown (East) - Kings Park,1,17032
Blacktown (North) - Marayong,1,20584
Doonside - Woodcroft,1,23384
Lalor Park - Kings Langley,1,25373
Blacktown - South,1,12646
Blacktown - West,1,17141
Seven Hills - Prospect,1,14866
Toongabbie - West,1,11578
Glenwood,1,15829
Acacia Gardens,1,3668
Quakers Hill,1,24670
Kellyville Ridge - The Ponds,1,21058
Marsden Park - Shanes Park,1,15524
Riverstone,1,13844
Schofields (West) - Colebee,1,10011
Schofields - East,1,25130
Stanhope Gardens - Parklea,1,13034
Bidwill - Hebersham - Emerton,1,18536
Glendenning - Dean Park,1,8374
Hassall Grove - Plumpton,1,21414
Lethbridge Park - Tregear,1,21551
Mount Druitt - Whalan,1,22918
Prospect Reservoir,1,12
Rooty Hill - Minchinbury,1,22826
Rookwood Cemetery,1,3
Auburn - Central,1,19487
Auburn - North,1,10592
Auburn - South,1,8860
Berala,1,8610
Lidcombe,1,21197
Regents Park,1,5138
Silverwater - Newington,1,9246
Wentworth Point - Sydney Olympic Park,1,20412
Ermington - Rydalmere,1,24641
Oatlands - Dundas Valley,1,18508
Carlingford - West,1,19251
Granville - Clyde,1,23250
Guildford - South Granville,1,22386
Guildford West - Merrylands West,1,22929
Smithfield Industrial,1,10
Yennora Industrial,1,12
Greystanes - South,1,16645
Merrylands - Holroyd,1,23806
Pemulwuy - Greystanes (North),1,10893
South Wentworthville,1,7305
North Parramatta,1,22878
North Rocks,1,8451
Northmead,1,20275
Toongabbie - Constitution Hill,1,22853
Winston Hills,1,11199
Pendle Hill - Girraween,1,13939
Wentworthville - Westmead,1,21568
Parramatta - North,1,12062
Parramatta - South,1,9867
Rosehill - Harris Park,1,9034
