sa2_name_2021,in_wslhd,in_metro,pop_size,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_0_19,age_20_39,age_40_59,age_60_plus,male,female,australia,overseas,english,non_english,couple_no_children,couple_with_children,one_parent,other_family,prop_age_0_9,prop_age_10_19,prop_age_20_29,prop_age_30_39,prop_age_40_49,prop_age_50_59,prop_age_0_19,prop_age_20_39,prop_age_40_59,prop_age_60_plus,prop_male,prop_female,prop_australia,prop_overseas,prop_english,prop_non_english,prop_couple_no_children,prop_couple_with_children,prop_one_parent,prop_other_family
Braidwood,0,0,4343,468,403,291,443,496,705,871,734,1201,1538,2234,2117,3422,530,3789,172,670,384,121,15,0.10775961317061938,0.09279300023025558,0.06700437485609026,0.10200322357817176,0.11420676951416071,0.1623301865070228,0.20055261340087496,0.16900759843426202,0.2765369560211835,0.3541330877273774,0.514390973981119,0.4874510706884642,0.7879346074142298,0.12203545935988948,0.8724384066313609,0.039603960396039604,0.1930835734870317,0.1106628242074928,0.034870317002881845,0.004322766570605188
Karabar,0,0,8517,1055,1053,1144,1229,1100,1176,2108,2373,2276,1756,4264,4255,6522,1474,6750,1229,808,1025,455,38,0.12386990724433486,0.12363508277562522,0.13431959610191382,0.1442996360220735,0.12915345779030174,0.13807678760126804,0.24750499001996007,0.2786192321239873,0.2672302453915698,0.2061758835270635,0.5006457672889515,0.49958905717975816,0.7657625924621345,0.17306563343900436,0.7925325818950335,0.1442996360220735,0.1100068073519401,0.13955071477195372,0.061946902654867256,0.00517358747447243
Queanbeyan,0,0,11342,1258,909,1820,2143,1443,1368,2167,3963,2811,2400,5704,5638,7697,3042,8097,2554,1132,1048,511,71,0.11091518250749427,0.08014459530946923,0.1604655263621936,0.1889437488979016,0.12722623875859637,0.12061364838652795,0.1910597778169635,0.34940927526009524,0.2478398871451243,0.2116028919061894,0.5029095397637101,0.4970904602362899,0.6786281079174749,0.26820666549109506,0.7138952565685064,0.22518074413683653,0.13159730295280167,0.1218321320623111,0.059404789583817716,0.008253894443152755
Queanbeyan - East,0,0,5085,571,398,903,967,610,689,969,1870,1299,933,2647,2440,3593,1241,3788,1037,524,507,216,34,0.11229105211406096,0.07826941986234022,0.1775811209439528,0.19016715830875122,0.119960668633235,0.13549655850540807,0.1905604719764012,0.36774827925270404,0.25545722713864305,0.18348082595870208,0.5205506391347099,0.47984267453294,0.7065880039331367,0.2440511307767945,0.7449360865290069,0.2039331366764995,0.13571613571613572,0.13131313131313133,0.055944055944055944,0.008806008806008805
Queanbeyan West - Jerrabomberra,0,0,12744,1750,1896,1391,1764,1921,2130,3646,3155,4051,1897,6331,6413,10156,2166,10701,1576,1111,1978,480,27,0.13731952291274324,0.1487758945386064,0.10914940364092907,0.1384180790960452,0.15073760200878844,0.16713747645951035,0.28609541745134964,0.24756748273697426,0.3178750784682988,0.14885436283741368,0.49678279974890144,0.5032172002510985,0.7969240426867545,0.1699623352165725,0.8396892655367232,0.12366603892027621,0.09564393939393939,0.1702823691460055,0.04132231404958678,0.0023243801652892563
Googong,0,0,6224,1451,686,726,1584,955,489,2137,2310,1444,330,3093,3134,4808,1202,4879,1100,503,1111,155,12,0.2331298200514139,0.11021850899742931,0.1166452442159383,0.2544987146529563,0.1534383033419023,0.0785668380462725,0.3433483290488432,0.3711439588688946,0.2320051413881748,0.053020565552699225,0.49694730077120824,0.50353470437018,0.7724935732647815,0.19312339331619538,0.783901028277635,0.17673521850899743,0.08542798913043478,0.18868885869565216,0.026324728260869564,0.0020380434782608695
Queanbeyan Surrounds,0,0,16539,1965,2278,1527,1933,2351,2757,4243,3460,5108,3722,8405,8131,13507,2103,14835,780,2035,2287,415,35,0.11881008525303827,0.13773505048672835,0.09232722655541448,0.11687526452627124,0.14214886026966564,0.1666968982405224,0.2565451357397666,0.2092024910816857,0.30884575851018803,0.2250438357820908,0.5081927565149041,0.4916258540419614,0.8166757361388234,0.12715399963722113,0.8969707962996554,0.04716125521494649,0.1348843375091138,0.15158745940213428,0.027507125339696428,0.002319878040697289
Bombala,0,0,2454,265,262,222,258,231,342,527,480,573,870,1223,1229,2005,192,2162,56,339,201,89,4,0.10798696006519967,0.10676446617766912,0.09046454767726161,0.10513447432762836,0.0941320293398533,0.1393643031784841,0.21475142624286878,0.19559902200489,0.2334963325183374,0.3545232273838631,0.49837000814995924,0.5008149959250203,0.8170334148329258,0.07823960880195599,0.8810105949470253,0.022819885900570498,0.17564766839378237,0.10414507772020726,0.0461139896373057,0.002072538860103627
Cooma,0,0,6761,739,694,730,915,747,911,1433,1645,1658,2032,3436,3321,5264,1092,5588,619,795,616,303,16,0.10930335749149533,0.10264753734654637,0.10797219346250554,0.13533500961396244,0.11048661440615294,0.13474338115663365,0.21195089483804172,0.24330720307646797,0.24522999556278657,0.30054725632302914,0.508208844845437,0.49119952669723416,0.7785830498446975,0.1615145688507617,0.8265049548883301,0.09155450377163142,0.14733135656041513,0.11415863602668644,0.0561527057079318,0.0029651593773165306
Cooma Surrounds,0,0,3472,319,412,274,303,420,600,731,577,1020,1144,1811,1659,2749,398,3026,137,493,354,90,14,0.0918778801843318,0.11866359447004608,0.07891705069124424,0.08726958525345622,0.12096774193548387,0.1728110599078341,0.2105414746543779,0.16618663594470046,0.29377880184331795,0.3294930875576037,0.5216013824884793,0.4778225806451613,0.7917626728110599,0.11463133640552996,0.8715437788018433,0.03945852534562212,0.1739590684544813,0.12491178546224418,0.03175723359209598,0.004940014114326041
Jindabyne - Berridale,0,0,8035,715,1112,1300,1040,1085,1132,1827,2340,2217,1646,4196,3839,6316,1134,6989,460,816,782,223,17,0.08898568761667704,0.13839452395768512,0.16179215930304916,0.12943372744243933,0.13503422526446796,0.14088363410080895,0.22738021157436217,0.2912258867454885,0.2759178593652769,0.20485376477909148,0.5222153080273803,0.4777846919726198,0.7860609831985065,0.14113254511512136,0.8698195395146235,0.05724953329184816,0.142433234421365,0.13649851632047477,0.038924768720544595,0.002967359050445104
Batemans Bay,0,0,8581,823,937,696,767,880,1110,1760,1463,1990,3371,4196,4384,6678,1264,7555,449,1208,634,432,26,0.0959095676494581,0.109194732548654,0.08110942780561706,0.08938352173406362,0.10255215009905605,0.1293555529658548,0.2051043001981121,0.1704929495396807,0.23190770306491085,0.39284465679990677,0.4889872975177718,0.5108961659480247,0.7782309754107913,0.1473021792331896,0.880433515907237,0.05232490385735928,0.17591379059268966,0.09232561526139507,0.06290956749672345,0.0037862239697102084
Batemans Bay - South,0,0,8938,744,897,666,722,911,1181,1641,1388,2092,3817,4295,4646,6762,1422,7808,466,1441,657,418,22,0.08324009845603043,0.10035802192884315,0.07451331394047886,0.08077869769523384,0.10192436786753188,0.13213246811367196,0.18359812038487358,0.15529201163571268,0.23405683598120386,0.4270530319982099,0.4805325576191542,0.5198030879391363,0.7565450883866637,0.15909599462967106,0.8735735063772656,0.0521369433877825,0.20008331019161343,0.09122465981671758,0.058039433490697026,0.0030547070258261596
Bega - Tathra,0,0,8872,967,1061,805,924,981,1228,2028,1729,2209,2919,4310,4560,7348,850,7898,329,1116,816,444,19,0.1089945897204689,0.1195897204688909,0.09073489630297565,0.10414788097385032,0.11057258791704239,0.13841298467087465,0.2285843101893598,0.19488277727682596,0.24898557258791704,0.32901262398557257,0.48579801623083857,0.5139765554553652,0.8282236248872858,0.09580703336339044,0.8902164111812444,0.037082957619477004,0.15412235879022235,0.11269161717994752,0.06131749758320674,0.002623946968650739
Bega-Eden Hinterland,0,0,9557,941,1074,690,877,996,1627,2015,1567,2623,3352,4878,4686,7727,1047,8673,187,1436,915,345,22,0.09846186041644868,0.11237836141048446,0.07219838861567437,0.09176519828398033,0.10421680443653866,0.17024170764884378,0.21084022182693313,0.1639635868996547,0.27445851208538247,0.3507376791880297,0.5104112169090719,0.4903212305116668,0.8085173171497332,0.10955320707334938,0.9075023542952809,0.019566809668305953,0.1795448862215554,0.11440360090022506,0.043135783945986494,0.0027506876719179795
Broulee - Tomakin,0,0,3792,335,429,259,351,396,526,764,610,922,1489,1823,1968,3081,442,3485,101,553,346,146,14,0.08834388185654009,0.11313291139240507,0.06830168776371308,0.0925632911392405,0.10443037974683544,0.13871308016877637,0.20147679324894516,0.1608649789029536,0.24314345991561181,0.39266877637130804,0.48074894514767935,0.5189873417721519,0.8125,0.11656118143459916,0.9190400843881856,0.026635021097046414,0.17919637070641609,0.11211924821775761,0.047310434219053794,0.004536616979909268
Deua - Wadbilliga,0,0,43,0,0,0,0,6,11,0,0,17,22,25,16,28,0,32,0,7,0,0,0,0,0,0,0,0.13953488372093023,0.2558139534883721,0,0,0.3953488372093023,0.5116279069767442,0.5813953488372093,0.37209302325581395,0.6511627906976745,0,0.7441860465116279,0,0.1794871794871795,0,0,0
