sa2,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable
Braidwood,1139,27,559,230,827
Karabar,2175,78,829,194,180
Queanbeyan,2615,71,2228,265,523
Queanbeyan - East,1232,29,1018,105,213
Queanbeyan West - Jerrabomberra,3423,89,797,139,181
Googong,1706,38,183,62,105
Queanbeyan Surrounds,4353,204,827,286,445
Bombala,609,12,367,112,310
Cooma,1683,20,1032,203,457
Cooma Surrounds,898,23,353,193,417
Jindabyne - Berridale,1778,28,934,840,1629
Batemans Bay,2160,74,1234,302,1102
Batemans Bay - South,2449,47,1200,366,1810
Bega - Tathra,2299,45,1213,233,485
Bega-Eden Hinterland,2577,68,1058,331,582
Broulee - Tomakin,1015,23,477,159,930
Deua - Wadbilliga,10,0,0,3,9
Eden,851,19,502,142,260
Eurobodalla Hinterland,917,37,374,205,566
Merimbula - Tura Beach,3096,61,1704,370,1254
Moruya - Tuross Head,2354,52,1188,381,1022
Narooma - Bermagui,2647,42,1511,448,1384
Goulburn,6010,117,3356,512,943
Goulburn Surrounds,3570,121,1366,560,1612
Yass,1754,37,730,151,228
Yass Surrounds,3296,142,739,283,468
Young,2745,54,1408,255,471
Young Surrounds,1957,37,1000,325,694
Avoca Beach - Copacabana,2006,56,463,153,974
Box Head - MacMasters Beach,3058,93,1073,237,1032
Calga - Kulnura,1107,71,461,174,376
Erina - Green Point,3717,130,1757,199,334
Gosford - Springfield,5350,100,3766,512,940
Kariong,1679,63,357,54,54
Kincumber - Picketts Valley,1945,53,1000,175,175
Narara,1900,67,543,50,77
Niagara Park - Lisarow,2158,64,580,61,116
Point Clare - Koolewong,1739,32,748,74,205
Saratoga - Davistown,1939,56,685,80,203
Terrigal - North Avoca,3977,108,1356,328,932
Umina - Booker Bay - Patonga,6449,124,3700,637,1631
Wamberal - Forresters Beach,2773,109,773,124,387
Woy Woy - Blackwall,3659,80,2348,281,527
Wyoming,2929,58,1333,181,255
Bateau Bay - Killarney Vale,5878,177,2288,371,542
Blue Haven - San Remo,2875,129,906,142,253
Budgewoi - Buff Point - Halekulani,2466,91,1386,225,383
Chittaway Bay - Tumbi Umbi,4205,177,1322,174,260
Gorokan - Kanwal - Charmhaven,5476,196,2887,535,609
Jilliby - Yarramalong,834,67,138,60,127
Lake Munmorah - Mannering Park,2973,75,1602,238,377
Ourimbah - Fountaindale,1300,49,364,50,98
Summerland Point - Gwandalan,1791,61,624,97,358
The Entrance,3979,88,2912,471,2406
Toukley - Norah Head,2472,56,1623,252,501
Tuggerah - Kangy Angy,1377,40,439,70,89
Warnervale - Wadalba,5028,182,1108,226,261
Wyong,2226,81,1174,238,201
Bathurst - East,3207,64,924,190,232
Bathurst Surrounds,1748,67,555,186,438
Oberon,1174,26,589,281,453
Bathurst - South,2215,25,2135,315,664
Bathurst - West,3780,85,1369,224,339
Condobolin,1505,28,757,333,508
Cowra,2327,43,1385,259,413
Cowra Surrounds,1479,23,691,256,451
Forbes,2493,53,1266,404,501
Grenfell,947,12,541,111,254
Parkes (NSW),2706,54,1384,328,553
Parkes Surrounds,779,20,398,152,254
West Wyalong,1420,10,712,305,652
Lithgow,2990,49,2112,303,648
Lithgow Surrounds,2192,50,927,317,637
Mudgee,3208,56,1465,323,688
Mudgee Surrounds - East,851,9,601,170,355
Mudgee Surrounds - West,2763,92,1123,444,850
Wollangambe - Wollemi,0,0,0,0,0
Blayney,1982,37,755,206,279
Orange,4483,72,3021,582,985
Orange - North,5890,103,2050,373,500
Orange Surrounds,3169,55,936,299,433
Grafton,4752,108,2755,511,621
Grafton Surrounds,4150,147,1558,523,947
Maclean - Yamba - Iluka,4832,90,2354,865,1654
Bellingen,1530,47,690,204,252
Coffs Harbour - North,4457,124,2574,477,593
Coffs Harbour - South,2573,67,1658,377,568
Coramba - Nana Glen - Bucca,1020,44,262,104,93
Dorrigo,823,15,529,147,288
Korora - Emerald Beach,2847,84,732,170,379
Sawtell - Boambee,5195,172,2343,424,547
Urunga,1262,49,654,268,244
Woolgoolga - Arrawarra,3630,160,1573,492,601
Bourke - Brewarrina,713,30,411,308,445
Cobar,908,17,513,370,543
Coonamble,865,21,468,249,272
Nyngan - Warren,1120,22,602,199,453
Walgett - Lightning Ridge,1008,33,727,800,465
Broken Hill,4363,69,2875,718,1568
Far West,456,26,299,315,268
Coonabarabran,1832,42,1006,531,625
Dubbo - East,2541,86,1038,315,244
Dubbo - South,4726,105,2513,589,653
Dubbo - West,2482,67,1023,341,239
Dubbo Surrounds,1481,61,362,198,159
Gilgandra,1086,18,518,213,337
Narromine,1509,32,707,299,329
Wellington,1866,49,1020,366,479
Branxton - Greta - Pokolbin,3439,104,881,210,584
Cessnock,5510,181,2576,410,803
Cessnock Surrounds,2313,133,662,201,475
Dungog,2570,90,919,208,438
Kurri Kurri - Abermain,5300,190,2028,312,389
Singleton,4240,108,1675,336,452
Singleton Surrounds,1336,66,332,183,294
Maitland,2216,71,844,100,193
