sa2,"Employed, worked full-time","Employed, worked part-time","Employed, away from work","Unemployed, looking for full-time work","Unemployed, looking for part-time work",Not in the labour force,Not stated,Not applicable
Braidwood,1168,686,156,48,24,1259,300,695
Karabar,2922,1121,272,123,75,1962,429,1617
Queanbeyan,4253,1659,336,160,112,2555,539,1738
Queanbeyan - East,2052,720,153,75,39,1039,220,788
Queanbeyan West - Jerrabomberra,5066,1942,396,97,74,2131,325,2718
Googong,2628,730,261,27,36,510,155,1874
Queanbeyan Surrounds,5982,2456,588,125,117,3331,734,3204
Bombala,688,340,72,21,21,725,177,411
Cooma,1860,995,188,67,55,2157,334,1102
Cooma Surrounds,1100,534,91,25,18,874,279,545
Jindabyne - Berridale,2603,1827,269,42,43,1424,521,1296
Batemans Bay,1538,1292,241,104,79,3502,493,1343
Batemans Bay - South,1648,1335,294,94,64,3744,538,1227
Bega - Tathra,2024,1542,272,62,70,2815,531,1564
Bega-Eden Hinterland,2106,1789,343,77,71,3070,610,1496
Broulee - Tomakin,789,631,118,21,26,1453,174,570
Deua - Wadbilliga,8,5,0,0,0,19,5,0
Eden,601,492,117,46,30,1331,272,539
Eurobodalla Hinterland,758,626,117,37,21,1216,294,463
Merimbula - Tura Beach,2492,1984,315,68,88,4487,557,1519
Moruya - Tuross Head,1637,1396,253,56,62,3460,627,1110
Narooma - Bermagui,1560,1537,304,76,56,4432,667,1251
Goulburn,6688,3440,742,303,215,7550,1130,4491
Goulburn Surrounds,3856,2111,487,121,98,3887,1000,2285
Yass,1994,1022,200,55,52,1854,274,1310
Yass Surrounds,4332,2061,434,87,99,2589,562,2542
Young,2670,1531,322,134,97,3404,628,2229
Young Surrounds,1974,1043,243,76,53,2375,596,1322
Avoca Beach - Copacabana,1856,1469,406,62,59,1948,182,1533
Box Head - MacMasters Beach,2499,1806,539,81,81,3833,357,1840
Calga - Kulnura,1248,737,307,51,40,1326,348,663
Erina - Green Point,2968,2206,723,95,111,5264,1072,2324
Gosford - Springfield,5605,3478,1173,353,229,6087,1047,3239
Kariong,1869,1141,336,82,64,1407,156,1419
Kincumber - Picketts Valley,1500,1199,349,59,37,2780,370,1320
Narara,1871,1251,410,91,63,1835,144,1493
