sa2,in_wslhd,pop_size,bachelor_above,adv_diploma,high_school_below,managers_professionals,everyone_else,one_family,multi_family,non_family,neg_nil_income,very_low_income,low_income,middle_income,high_income,very_high_income,employed,unemployed,not_in_labour_force,prop_bachelor_above,prop_adv_diploma,prop_high_school_below,prop_managers_professionals,prop_everyone_else,prop_one_family,prop_multi_family,prop_non_family,prop_neg_nil_income,prop_very_low_income,prop_low_income,prop_middle_income,prop_high_income,prop_very_high_income,prop_employed,prop_unemployed,prop_not_in_labour_force
Acacia Gardens,1,3678,1054,301,1315,830,1137,938,59,117,10,135,84,245,117,497,1996,93,737,0.3685314685314685,0.10524475524475524,0.4597902097902098,0.41417165668662675,0.5673652694610778,0.25635419513528285,0.016124624214266192,0.03197594971303635,0.002736726874657909,0.03694581280788178,0.022988505747126436,0.06704980842911877,0.03201970443349754,0.1360153256704981,0.6979020979020979,0.032517482517482516,0.25769230769230766
Adamstown - Kotara,0,16597,4187,1356,6751,3840,4818,4393,71,1761,67,1366,786,1304,483,1859,8739,352,3848,0.31365645366694134,0.1015806427447749,0.5057307663495393,0.43920850966487474,0.5510694269701475,0.2704882704266979,0.004371651991872422,0.10842928391108922,0.0041565853961163845,0.08474471121037286,0.04876233016936535,0.08089831875426515,0.02996463800483901,0.11532973509522923,0.6546557794591356,0.026369016405723276,0.2882612929807476
Albion Park - Macquarie Pass,0,19025,2223,1559,9707,2573,7044,5211,159,1032,84,1225,778,1660,683,1580,9765,303,4174,0.1504161309966845,0.10548751607009947,0.6568103389945192,0.26360004097940787,0.7216473721954718,0.2769598724422004,0.008450704225352112,0.05484985384002126,0.004489817734780052,0.0654765086322091,0.04158426425784382,0.08872735047303437,0.03650649420065209,0.08445133358276766,0.6607348264429258,0.02050206373908925,0.28242776913187634
Albion Park Rail,0,6914,493,478,4043,596,2291,1777,77,710,34,872,385,641,195,312,2936,160,2339,0.08638514105484493,0.08375678990713159,0.7084282460136674,0.20341296928327646,0.7819112627986348,0.262094395280236,0.01135693215339233,0.10471976401179942,0.005074626865671642,0.13014925373134328,0.057462686567164176,0.09567164179104477,0.029104477611940297,0.046567164179104475,0.5144559313124233,0.0280357455756089,0.4098475556334326
Albury - East,0,17841,3285,1396,8029,3317,5683,4681,65,1840,88,1560,975,1705,583,1348,9106,337,3970,0.23482736435770962,0.09979269425977554,0.5739509614697262,0.3640254609306409,0.6236830553116769,0.26944108674379785,0.0037414378633511772,0.10591147182409485,0.005119255381035486,0.09075043630017451,0.056719022687609075,0.09918557300756253,0.033915066899360094,0.07841768470040722,0.6509400243048109,0.024090356708842662,0.28379440989348775
Albury - North,0,10535,1287,724,5418,1269,3387,2617,55,1464,52,1418,725,943,262,472,4750,251,2963,0.14942528735632185,0.08405898061070474,0.6290491118077325,0.26710166280782993,0.7129025468322459,0.25636755485893414,0.005387931034482759,0.14341692789968652,0.0052366565961732125,0.14279959718026183,0.07301107754279959,0.09496475327291037,0.026384692849949647,0.047532729103726086,0.5514919308022757,0.029141994659236038,0.3440148612562406
Albury - South,0,10513,2431,864,4617,2082,2849,2582,27,1905,72,1474,686,971,262,834,5028,252,3117,0.2728088878913702,0.0969588149478173,0.5181236673773987,0.4146584345747859,0.5674168492332204,0.2617864747034371,0.002737503802088614,0.19314610159180776,0.007444168734491315,0.15239867659222497,0.07092638544251448,0.10039288668320927,0.027088502894954507,0.08622828784119106,0.5642464369879924,0.028279654359780047,0.349792391426327
Albury Surrounds,0,12491,1496,860,6259,2113,3536,3173,67,1113,76,1244,659,950,311,766,5759,172,3225,0.150609080841639,0.08658008658008658,0.6301218161683277,0.3681184668989547,0.61602787456446,0.266258286481497,0.005622220357472518,0.09339598892338676,0.006546080964685616,0.10714900947459087,0.056761412575366064,0.0818260120585702,0.026787252368647717,0.06597760551248924,0.5797845565287426,0.017316017316017316,0.3246753246753247
Anna Bay,0,6449,784,574,3432,716,1823,1766,50,704,51,907,450,493,156,366,2595,120,2454,0.14249363867684478,0.10432569974554708,0.623773173391494,0.27559661277906083,0.701693610469592,0.29219060225016547,0.00827266710787558,0.11647915287888816,0.008620689655172414,0.1533130493576741,0.07606490872210954,0.08333333333333333,0.02636916835699797,0.061866125760649086,0.47164667393675025,0.021810250817884406,0.44601962922573607
Annandale (NSW),0,9457,4363,676,2135,3545,1766,2339,23,1415,50,602,363,752,190,1695,5385,208,1848,0.5494270243042438,0.08512781765520715,0.26885782647021783,0.6589219330855018,0.3282527881040892,0.26032276015581524,0.0025598219254312745,0.15748469671675014,0.0056650804441423066,0.06820756854747337,0.041128484024473146,0.0852028098799003,0.021527305687740767,0.1920462270564242,0.6781261805817907,0.026193174663140664,0.2327162825840574
