sa2_name_2021,in_wslhd,in_metro,pop_size,bachelor_above,bachelor_below,denominator_edu,unknown_edu,managers_professionals,everyone_else,denominator_occup,unknown_occup,less_md_income,more_md_income,denominator_income,unknown_income,social_housing,non_social_housing,denominator_housing_type,unknown_housing_type,prop_bachelor_above,prop_bachelor_below,prop_managers_professionals,prop_everyone_else,prop_less_md_income,prop_more_md_income,prop_social_housing,prop_non_social_housing
Braidwood,0,0,4343,880,2246,3648,527,814,1155,2015,38,1725,1576,3648,355,3,1768,1951,167,0.2412280701754386,0.6156798245614035,0.40397022332506205,0.5732009925558312,0.47286184210526316,0.43201754385964913,0.0015376729882111738,0.9062019477191184
Karabar,0,0,8517,1184,4948,6900,763,1221,2990,4317,94,2725,3687,6900,492,329,2710,3271,216,0.17159420289855074,0.7171014492753623,0.2828353022932592,0.6926106092193653,0.39492753623188404,0.5343478260869565,0.10058086212167533,0.8284928156527056
Queanbeyan,0,0,11342,2639,5963,9604,1009,2020,4086,6246,151,3604,5360,9604,643,207,4686,5187,281,0.2747813411078717,0.620887130362349,0.3234069804674992,0.654178674351585,0.37526030820491463,0.5581007913369429,0.03990746096009254,0.9034123770965876
Queanbeyan - East,0,0,5085,1265,2612,4297,414,1035,1832,2922,57,1379,2662,4297,252,91,2173,2376,106,0.29439143588550154,0.6078659529904584,0.3542094455852156,0.6269678302532512,0.3209215731905981,0.6195019781242728,0.0382996632996633,0.9145622895622896
Queanbeyan West - Jerrabomberra,0,0,12744,3155,6145,10026,722,3328,3923,7403,149,3055,6575,10026,396,107,4190,4443,142,0.3146818272491522,0.6129064432475564,0.4495474807510469,0.5299203025800351,0.3047077598244564,0.6557949331737483,0.024082826918748593,0.9430564933603421
Googong,0,0,6224,1547,2509,4350,298,1745,1790,3624,88,880,3292,4350,193,9,1904,1986,72,0.35563218390804596,0.5767816091954023,0.4815121412803532,0.4939293598233996,0.20229885057471264,0.7567816091954023,0.004531722054380665,0.9587109768378651
Queanbeyan Surrounds,0,0,16539,3953,8073,13335,1304,4021,4776,9030,220,4242,8235,13335,861,0,5378,5660,279,0.2964379452568429,0.6053993250843644,0.4452934662236988,0.5289036544850498,0.31811023622047246,0.6175478065241845,0,0.9501766784452297
Bombala,0,0,2454,269,1470,2043,313,371,706,1100,19,1023,800,2043,222,14,979,1098,99,0.13166911404796866,0.7195301027900147,0.3372727272727273,0.6418181818181818,0.5007342143906021,0.39158100832109644,0.012750455373406194,0.8916211293260473
Cooma,0,0,6761,965,3806,5659,878,919,2068,3045,57,2587,2432,5659,626,98,2669,2939,154,0.17052482770807564,0.6725569888672911,0.3018062397372742,0.6791461412151067,0.4571479059904577,0.42975790775755435,0.03334467505954406,0.9081320176930929
Cooma Surrounds,0,0,3472,537,1956,2927,429,679,1008,1729,40,1315,1300,2927,305,0,1333,1470,147,0.1834642979159549,0.6682610181072771,0.39271255060728744,0.582995951417004,0.44926545951486163,0.44414075845575673,0,0.9068027210884354
Jindabyne - Berridale,0,0,8035,1487,4403,6739,855,1538,3075,4701,93,2669,3497,6739,575,15,3310,3578,250,0.22065588366226443,0.6533610327941831,0.32716443309934057,0.6541161455009572,0.39605282682890636,0.5189197210268586,0.004192286193404136,0.9250978200111795
Batemans Bay,0,0,8581,869,5314,7238,1068,715,2287,3069,64,4233,2363,7238,656,184,3333,3775,247,0.12006079027355623,0.7341807129041171,0.23297491039426524,0.7451938742261323,0.5848300635534678,0.32647140093948607,0.048741721854304636,0.8829139072847683
Batemans Bay - South,0,0,8938,1317,5204,7711,1190,975,2248,3275,60,4216,2813,7711,691,97,3717,4060,250,0.17079496822720788,0.674880041499157,0.29770992366412213,0.686412213740458,0.5467513941123071,0.3648035274283491,0.023891625615763547,0.9155172413793103
Bega - Tathra,0,0,8872,1439,4915,7308,958,1164,2596,3833,72,3763,2943,7308,599,166,3397,3797,221,0.19690749863163656,0.6725506294471811,0.30367858074615184,0.6772762848943387,0.5149151614668857,0.4027093596059113,0.04371872530945483,0.8946536739531209
Bega-Eden Hinterland,0,0,9557,1456,5456,8061,1144,1456,2701,4236,75,4589,2763,8061,724,6,3708,4028,312,0.18062275151966256,0.6768391018484059,0.3437204910292729,0.6376298394711992,0.5692842079146508,0.3427614439895795,0.0014895729890764648,0.9205561072492552
Broulee - Tomakin,0,0,3792,801,2033,3222,387,577,933,1544,37,1616,1387,3222,220,5,1561,1670,99,0.24860335195530725,0.6309745499689634,0.37370466321243523,0.6042746113989638,0.5015518311607697,0.4304779639975171,0.0029940119760479044,0.9347305389221557
Deua - Wadbilliga,0,0,43,7,19,43,4,0,8,17,0,19,11,43,5,0,12,11,3,0.16279069767441862,0.4418604651162791,0,0.47058823529411764,0.4418604651162791,0.2558139534883721,0,1.0909090909090908
Eden,0,0,3425,316,2111,2886,456,258,925,1207,22,1665,888,2886,329,105,1287,1517,122,0.1094941094941095,0.7314622314622314,0.21375310687655344,0.7663628831814416,0.5769230769230769,0.3076923076923077,0.06921555702043507,0.8483849703361899
Eurobodalla Hinterland,0,0,3525,485,2063,3062,510,439,1014,1504,36,1630,1102,3062,339,21,1352,1531,163,0.15839320705421292,0.6737426518615284,0.29188829787234044,0.6742021276595744,0.5323318092749837,0.3598954931417374,0.013716525146962769,0.8830829523187459
Merimbula - Tura Beach,0,0,11513,1998,6823,9994,1172,1502,3238,4792,52,5362,3989,9994,645,71,4899,5233,253,0.1999199519711827,0.6827096257754652,0.3134390651085142,0.6757095158597662,0.5365219131478888,0.3991394836902141,0.013567743168354672,0.9361742786164724
Moruya - Tuross Head,0,0,8600,1308,5026,7490,1150,946,2271,3286,70,4192,2593,7490,715,100,3525,3966,340,0.1746328437917223,0.6710280373831776,0.2878880097382836,0.6911138161898965,0.559679572763685,0.34619492656875833,0.025214321734745335,0.8888048411497731
Narooma - Bermagui,0,0,9888,1590,5680,8637,1361,1037,2282,3408,75,5128,2694,8637,813,134,4168,4651,346,0.18409169850642584,0.6576357531550306,0.30428403755868544,0.6696009389671361,0.5937246729188376,0.3119138589788121,0.028811008385293484,0.8961513652977854
Goulburn,0,0,24565,2837,14331,20074,2894,2790,7861,10873,222,9645,8614,20074,1803,634,8798,9994,547,0.14132708976785893,0.7139085384078908,0.2565989147429412,0.7229835372022441,0.480472252665139,0.4291122845471754,0.06343806283770262,0.8803281969181509
Goulburn Surrounds,0,0,13839,1652,8177,11554,1725,2341,3969,6447,145,5564,4838,11554,1154,25,5087,5611,505,0.14298078587502164,0.7077202700363511,0.3631146269582752,0.6156351791530945,0.48156482603427386,0.41872944434827764,0.004455533772945999,0.9066120121190518
Yass,0,0,6763,1087,3769,5453,605,1021,2132,3222,64,2412,2717,5453,334,127,2410,2674,137,0.19933981294700165,0.691179167430772,0.31688392302917445,0.6617008069522036,0.4423253255088942,0.49825783972125437,0.047494390426327596,0.9012715033657442
Yass Surrounds,0,0,12713,3031,6132,10171,1007,3218,3462,6828,141,3619,5890,10171,653,0,4197,4460,261,0.29800412938747417,0.6028905712319339,0.471294669009959,0.5070298769771528,0.3558155540261528,0.579097433880641,0,0.9410313901345292
Young,0,0,11004,991,6596,8775,1190,1204,3221,4515,90,4685,3263,8775,824,144,4009,4459,308,0.11293447293447294,0.7516809116809117,0.26666666666666666,0.7133997785160576,0.5339031339031339,0.3718518518518519,0.03229423637586903,0.8990805113254093
Young Surrounds,0,0,7677,783,4554,6355,1020,1259,1928,3254,64,3305,2318,6355,740,38,2929,3313,341,0.12321007081038553,0.7166011014948859,0.3869084204056546,0.592501536570375,0.5200629425649095,0.36475216365066876,0.011469966797464533,0.8840929670993057
Avoca Beach - Copacabana,0,0,7513,1860,3623,5980,487,1740,1946,3730,43,2623,3153,5980,211,0,2591,2679,84,0.3110367892976589,0.6058528428093646,0.46648793565683644,0.5217158176943699,0.438628762541806,0.527257525083612,0,0.9671519223590892
Box Head - MacMasters Beach,0,0,11042,2348,5882,9202,961,2056,2714,4844,75,4483,4285,9202,436,6,4289,4457,155,0.2551619213214519,0.6392088676374701,0.4244426094137077,0.5602807597027251,0.4871767007172354,0.46565963920886766,0.0013461969934933811,0.9623064841821853
Calga - Kulnura,0,0,4716,759,2676,4053,635,913,1319,2290,68,1850,1789,4053,420,3,1629,1820,177,0.18726868985936343,0.6602516654330126,0.3986899563318777,0.5759825327510917,0.45645201085615594,0.44140143103873675,0.0016483516483516484,0.8950549450549451
Erina - Green Point,0,0,14758,2768,7867,12434,1798,2399,3400,5894,94,6317,5005,12434,1130,161,5342,5799,292,0.22261540936142835,0.6327006594820653,0.40702409229725145,0.5768578215134035,0.5080424642110343,0.40252533376226474,0.027763407484048975,0.9211933091912399
Gosford - Springfield,0,0,21204,4656,11249,17965,2065,3959,6133,10250,174,8429,8341,17965,1196,773,8367,9729,570,0.25917060951850823,0.626161981630949,0.3862439024390244,0.5983414634146341,0.4691900918452547,0.4642916782632897,0.07945318121081303,0.8600061671292013
Kariong,0,0,6485,960,3680,5066,438,1013,2264,3350,74,2295,2525,5066,240,62,2019,2144,65,0.189498618239242,0.7264113699170943,0.3023880597014925,0.6758208955223881,0.45302013422818793,0.4984208448480063,0.028917910447761194,0.9416977611940298
Kincumber - Picketts Valley,0,0,7615,1121,4314,6295,861,1022,1973,3046,56,3250,2521,6295,525,145,2824,3179,197,0.17807783955520254,0.6853057982525814,0.3355219960604071,0.6477347340774786,0.5162827640984908,0.40047656870532167,0.04561182761874803,0.8883296634161686
Narara,0,0,7157,1306,3919,5664,443,1213,2270,3527,43,2696,2781,5664,186,94,2401,2559,71,0.23057909604519775,0.6919138418079096,0.3439183442018713,0.6436064644173518,0.4759887005649718,0.4909957627118644,0.03673309886674482,0.9382571316920673
Niagara Park - Lisarow,0,0,8205,1408,4573,6537,571,1429,2532,4024,59,3134,3124,6537,272,100,2684,2863,80,0.21538932231910662,0.6995563714242007,0.3551192842942346,0.6292246520874751,0.47942481260517056,0.4778950588955178,0.0349283967865875,0.9374781697520084
Point Clare - Koolewong,0,0,6571,1386,3407,5436,635,1226,1720,2982,36,2641,2456,5436,348,91,2410,2590,85,0.25496688741721857,0.626747608535688,0.41113346747149565,0.5767940979208585,0.48583517292126566,0.4518027961736571,0.03513513513513514,0.9305019305019305
Saratoga - Davistown,0,0,7160,1164,4088,5856,607,1189,2108,3358,58,2837,2751,5856,264,15,2653,2759,104,0.1987704918032787,0.6980874316939891,0.3540798094103633,0.6277546158427636,0.4844603825136612,0.4697745901639344,0.005436752446538601,0.9615802827111272
Terrigal - North Avoca,0,0,14849,3663,7256,12139,1232,3341,3721,7166,103,5102,6341,12139,693,26,5442,5766,293,0.30175467501441633,0.5977428124227696,0.4662294166899246,0.519257605358638,0.42029821237334214,0.5223659280006591,0.004509191814082553,0.9438085327783559
