sa2,Arthritis,Asthma,Cancer (including remission),Dementia (including Alzheimer's),Diabetes (excluding gestational diabetes),Heart disease (including heart attack or angina),Kidney disease,Lung condition (including COPD or emphysema),Mental health condition (including depression or anxiety),Stroke,Any other long-term health condition(s),No long-term health condition(s),Not stated
Braidwood,584,363,179,38,185,225,41,102,371,52,309,2336,454
Karabar,886,868,245,37,468,312,146,184,910,80,732,4738,749
Queanbeyan,1110,995,297,137,622,433,152,227,1322,124,1081,6516,851
Queanbeyan - East,455,470,125,15,214,173,55,97,579,44,462,3008,351
Queanbeyan West - Jerrabomberra,960,1095,343,33,469,326,89,160,1138,83,1127,7945,754
Googong,277,533,83,9,163,85,23,38,537,18,498,4228,332
Queanbeyan Surrounds,1587,1455,505,47,647,557,169,252,1469,103,1405,9654,1342
Bombala,326,158,90,24,123,133,32,66,183,42,163,1334,273
Cooma,875,568,240,81,399,336,79,190,756,74,598,3531,705
Cooma Surrounds,410,291,134,15,160,172,30,83,303,32,280,1843,415
Jindabyne - Berridale,639,649,182,25,205,241,47,97,582,44,442,5023,821
Batemans Bay,1281,783,415,132,518,513,139,287,998,147,840,4156,850
Batemans Bay - South,1393,850,451,120,539,589,163,294,986,134,853,4239,894
Bega - Tathra,1112,850,320,51,431,444,137,262,1000,110,770,4533,868
Bega-Eden Hinterland,1208,824,383,40,428,490,143,271,974,88,850,5096,904
Broulee - Tomakin,578,317,196,48,166,233,74,95,360,62,309,2000,291
Deua - Wadbilliga,9,0,0,0,0,5,4,6,4,0,4,21,5
Eden,511,302,131,47,236,258,58,159,346,61,256,1648,399
Eurobodalla Hinterland,442,249,144,17,155,182,37,106,326,42,280,1852,434
Merimbula - Tura Beach,1721,975,565,140,621,847,200,326,1151,141,1029,5940,883
Moruya - Tuross Head,1387,777,413,68,519,535,139,260,878,127,817,4147,896
Narooma - Bermagui,1627,841,522,142,598,640,149,324,1005,144,1007,4769,948
Goulburn,3204,2608,883,305,1512,1280,461,741,2755,302,2337,12377,2557
Goulburn Surrounds,1878,1212,502,102,785,740,187,370,1187,144,1097,7307,1464
Yass,904,744,267,103,390,374,84,159,813,103,694,3445,523
Yass Surrounds,1268,1117,434,39,459,483,99,202,1103,102,1097,7381,1054
Young,1392,1196,377,138,619,548,133,310,1092,152,871,5833,1043
Young Surrounds,1093,791,285,76,501,395,107,267,695,91,574,3938,889
Avoca Beach - Copacabana,550,535,241,35,217,275,41,91,486,56,515,4883,476
Box Head - MacMasters Beach,1296,926,470,75,546,608,119,247,869,160,883,6278,732
Calga - Kulnura,492,384,147,17,214,212,37,112,428,33,367,2645,510
Erina - Green Point,1960,1291,719,491,845,1012,241,430,1420,238,1410,7887,916
Gosford - Springfield,2036,2020,704,157,1021,880,242,478,2650,225,1894,11766,1680
Kariong,458,630,164,22,310,200,60,103,659,33,545,3903,425
Kincumber - Picketts Valley,1054,694,333,107,422,463,116,204,783,123,721,3972,577
Narara,650,760,240,31,358,266,80,121,770,75,690,4168,383
Niagara Park - Lisarow,794,815,285,76,363,329,91,150,923,104,827,4756,446
Point Clare - Koolewong,726,595,279,114,375,360,98,167,697,103,662,3647,398
Saratoga - Davistown,774,612,303,65,332,363,60,157,664,82,541,4053,487
Terrigal - North Avoca,1241,1080,520,81,482,580,130,209,1038,134,1037,9297,1051
Umina - Booker Bay - Patonga,3073,2349,1025,332,1433,1339,315,785,2682,373,2143,12899,2124
Wamberal - Forresters Beach,911,830,388,45,332,427,84,146,739,109,727,6669,712
Woy Woy - Blackwall,1781,1415,599,273,956,840,218,520,1740,234,1456,7234,1171
Wyoming,1362,1269,419,197,687,625,165,311,1372,172,1155,5900,875
Bateau Bay - Killarney Vale,2621,2155,814,262,1142,1137,252,564,2440,284,2087,12302,2071
Blue Haven - San Remo,1251,1376,309,70,721,440,157,320,1587,139,1093,5860,942
Budgewoi - Buff Point - Halekulani,1439,1006,392,76,682,601,162,401,1232,157,890,4751,880
Chittaway Bay - Tumbi Umbi,1747,1526,586,120,797,728,203,346,1665,152,1333,9008,1142
Gorokan - Kanwal - Charmhaven,3004,2479,868,281,1554,1242,335,833,3036,366,2262,10763,2252
Jilliby - Yarramalong,288,250,118,14,133,129,26,66,314,27,254,2068,265
Lake Munmorah - Mannering Park,1992,1147,540,97,935,818,222,481,1310,228,964,5060,901
Ourimbah - Fountaindale,450,525,153,18,194,183,42,71,533,51,443,2826,329
Summerland Point - Gwandalan,866,647,240,39,416,347,95,201,722,66,580,3368,529
The Entrance,2077,1550,641,112,915,932,239,531,1822,249,1367,8044,1508
Toukley - Norah Head,1458,973,462,178,649,685,176,397,1272,187,1004,4817,888
Tuggerah - Kangy Angy,513,513,165,26,269,214,54,112,589,38,480,3008,340
Warnervale - Wadalba,1816,1954,525,235,1027,722,219,371,2273,211,1936,11393,1477
Wyong,1055,966,286,60,587,432,125,307,1266,104,903,4579,977
Bathurst - East,1239,1458,370,97,669,485,124,221,1279,117,1091,6803,949
Bathurst Surrounds,713,627,267,24,297,280,63,130,534,66,552,3801,828
Oberon,538,432,172,49,327,211,49,109,388,59,333,2398,790
Bathurst - South,1232,1160,367,215,574,492,98,284,1417,151,1059,5029,1569
Bathurst - West,1395,1670,444,56,656,510,114,262,1572,136,1252,7962,1085
Condobolin,719,692,195,71,410,311,78,140,437,72,376,3290,920
Cowra,1197,942,347,137,610,493,113,303,1058,111,819,4697,896
Cowra Surrounds,845,552,231,52,364,283,65,194,571,69,433,2857,721
Forbes,1203,927,392,98,634,534,131,282,936,99,665,5345,1173
Grenfell,552,398,151,45,219,238,47,145,363,61,302,1804,326
Parkes (NSW),1199,1200,339,117,636,538,117,251,1178,127,809,5807,1056
Parkes Surrounds,401,337,100,31,212,167,46,102,272,48,237,1685,433
West Wyalong,706,482,205,33,313,232,51,136,378,49,318,3023,656
Lithgow,1817,1281,433,167,888,740,127,385,1465,174,1079,5930,1448
Lithgow Surrounds,1079,742,310,32,506,400,90,243,764,91,665,4465,875
Mudgee,1092,1185,336,104,529,542,119,315,1224,118,877,7216,1126
Mudgee Surrounds - East,564,316,144,34,255,209,52,152,333,59,291,1550,416
Mudgee Surrounds - West,1187,1026,352,58,561,573,143,300,910,114,793,6072,1280
Wollangambe - Wollemi,0,0,0,0,0,0,0,0,0,0,0,0,0
Blayney,798,783,275,46,403,347,67,192,712,81,571,4135,710
Orange,2215,1907,612,240,1114,1007,244,572,2638,248,1756,9741,1784
Orange - North,1865,2289,599,103,920,793,174,410,2471,165,1833,13404,1793
Orange Surrounds,1099,1036,404,46,513,501,81,219,955,86,784,6934,1107
Grafton,2604,2120,742,254,1288,1213,368,677,2519,281,1924,9362,1820
Grafton Surrounds,2215,1403,676,116,898,906,209,585,1779,188,1361,7981,2717
Maclean - Yamba - Iluka,2874,1555,927,230,1094,1258,324,666,1835,319,1438,8808,1501
Bellingen,570,454,197,56,180,210,42,128,640,66,596,3524,646
Coffs Harbour - North,2244,1631,682,154,934,1027,258,588,2118,227,1628,9606,1633
Coffs Harbour - South,1380,945,482,276,556,637,155,370,1342,189,1095,5734,1270
