sa2,Has asthma,Does not have asthma,Not stated
Braidwood,363,3532,454
Karabar,868,6898,749
Queanbeyan,995,9503,851
Queanbeyan - East,470,4264,351
Queanbeyan West - Jerrabomberra,1095,10891,754
Googong,533,5361,332
Queanbeyan Surrounds,1455,13742,1342
Bombala,158,2014,273
Cooma,568,5479,705
Cooma Surrounds,291,2765,415
Jindabyne - Berridale,649,6569,821
Batemans Bay,783,6952,850
Batemans Bay - South,850,7195,894
Bega - Tathra,850,7149,868
Bega-Eden Hinterland,824,7830,904
Broulee - Tomakin,317,3184,291
Deua - Wadbilliga,0,36,5
Eden,302,2724,399
Eurobodalla Hinterland,249,2845,434
Merimbula - Tura Beach,975,9658,883
Moruya - Tuross Head,777,6920,896
Narooma - Bermagui,841,8093,948
Goulburn,2608,19400,2557
Goulburn Surrounds,1212,11165,1464
Yass,744,5491,523
Yass Surrounds,1117,10538,1054
Young,1196,8770,1043
Young Surrounds,791,5999,889
Avoca Beach - Copacabana,535,6508,476
Box Head - MacMasters Beach,926,9388,732
Calga - Kulnura,384,3829,510
Erina - Green Point,1291,12549,916
Gosford - Springfield,2020,17505,1680
Kariong,630,5425,425
Kincumber - Picketts Valley,694,6340,577
Narara,760,6014,383
Niagara Park - Lisarow,815,6947,446
Point Clare - Koolewong,595,5572,398
Saratoga - Davistown,612,6052,487
Terrigal - North Avoca,1080,12720,1051
Umina - Booker Bay - Patonga,2349,20224,2124
Wamberal - Forresters Beach,830,9131,712
Woy Woy - Blackwall,1415,11758,1171
Wyoming,1269,9278,875
Bateau Bay - Killarney Vale,2155,18604,2071
Blue Haven - San Remo,1376,8974,942
Budgewoi - Buff Point - Halekulani,1006,7850,880
Chittaway Bay - Tumbi Umbi,1526,13337,1142
Gorokan - Kanwal - Charmhaven,2479,17632,2252
Jilliby - Yarramalong,250,2903,265
Lake Munmorah - Mannering Park,1147,8906,901
Ourimbah - Fountaindale,525,4072,329
Summerland Point - Gwandalan,647,5320,529
The Entrance,1550,12780,1508
Toukley - Norah Head,973,8048,888
Tuggerah - Kangy Angy,513,4374,340
Warnervale - Wadalba,1954,16625,1477
Wyong,966,7179,977
Bathurst - East,1458,9925,949
Bathurst Surrounds,627,5456,828
Oberon,432,3618,790
Bathurst - South,1160,8025,1569
Bathurst - West,1670,11558,1085
Condobolin,692,4766,920
Cowra,942,7436,896
Cowra Surrounds,552,4450,721
Forbes,927,7922,1173
Grenfell,398,2871,326
Parkes (NSW),1200,8665,1056
Parkes Surrounds,337,2494,433
West Wyalong,482,4390,656
Lithgow,1281,9660,1448
Lithgow Surrounds,742,6828,875
Mudgee,1185,10253,1126
Mudgee Surrounds - East,316,2666,416
Mudgee Surrounds - West,1026,8769,1280
Wollangambe - Wollemi,0,0,0
Blayney,783,6027,710
Orange,1907,15328,1784
Orange - North,2289,18807,1793
Orange Surrounds,1036,9685,1107
Grafton,2120,15313,1820
Grafton Surrounds,1403,12759,2717
Maclean - Yamba - Iluka,1555,14479,1501
Bellingen,454,5065,646
Coffs Harbour - North,1631,14831,1633
Coffs Harbour - South,945,9090,1270
Coramba - Nana Glen - Bucca,299,3285,366
Dorrigo,242,2597,417
Korora - Emerald Beach,793,8740,725
Sawtell - Boambee,1880,16503,1678
Urunga,352,4094,465
Woolgoolga - Arrawarra,1119,12173,1172
Bourke - Brewarrina,285,2452,683
Cobar,369,3060,695
Coonamble,469,2805,654
Nyngan - Warren,441,3575,575
Walgett - Lightning Ridge,397,3592,1541
Broken Hill,2118,13355,2120
Far West,181,1646,463
Coonabarabran,772,5839,1308
Dubbo - East,1238,8097,1294
