sa2,Has dementia (including Alzheimer's),Does not have dementia (including Alzheimer's),Not stated
Braidwood,38,3858,454
Karabar,37,7729,749
Queanbeyan,137,10360,851
Queanbeyan - East,15,4723,351
Queanbeyan West - Jerrabomberra,33,11957,754
Googong,9,5884,332
Queanbeyan Surrounds,47,15150,1342
Bombala,24,2155,273
Cooma,81,5974,705
Cooma Surrounds,15,3043,415
Jindabyne - Berridale,25,7195,821
Batemans Bay,132,7608,850
Batemans Bay - South,120,7927,894
Bega - Tathra,51,7957,868
Bega-Eden Hinterland,40,8616,904
Broulee - Tomakin,48,3450,291
Deua - Wadbilliga,0,36,5
Eden,47,2978,399
Eurobodalla Hinterland,17,3076,434
Merimbula - Tura Beach,140,10490,883
Moruya - Tuross Head,68,7631,896
Narooma - Bermagui,142,8797,948
Goulburn,305,21708,2557
Goulburn Surrounds,102,12279,1464
Yass,103,6144,523
Yass Surrounds,39,11618,1054
Young,138,9827,1043
Young Surrounds,76,6712,889
Avoca Beach - Copacabana,35,7003,476
Box Head - MacMasters Beach,75,10236,732
Calga - Kulnura,17,4195,510
Erina - Green Point,491,13357,916
Gosford - Springfield,157,19371,1680
Kariong,22,6034,425
Kincumber - Picketts Valley,107,6929,577
Narara,31,6748,383
Niagara Park - Lisarow,76,7683,446
Point Clare - Koolewong,114,6052,398
Saratoga - Davistown,65,6603,487
Terrigal - North Avoca,81,13719,1051
Umina - Booker Bay - Patonga,332,22236,2124
Wamberal - Forresters Beach,45,9915,712
Woy Woy - Blackwall,273,12906,1171
Wyoming,197,10348,875
Bateau Bay - Killarney Vale,262,20494,2071
Blue Haven - San Remo,70,10283,942
Budgewoi - Buff Point - Halekulani,76,8778,880
Chittaway Bay - Tumbi Umbi,120,14746,1142
Gorokan - Kanwal - Charmhaven,281,19827,2252
Jilliby - Yarramalong,14,3139,265
Lake Munmorah - Mannering Park,97,9965,901
Ourimbah - Fountaindale,18,4576,329
Summerland Point - Gwandalan,39,5922,529
The Entrance,112,14217,1508
Toukley - Norah Head,178,8843,888
Tuggerah - Kangy Angy,26,4862,340
Warnervale - Wadalba,235,18344,1477
Wyong,60,8092,977
Bathurst - East,97,11284,949
Bathurst Surrounds,24,6059,828
Oberon,49,3996,790
Bathurst - South,215,8967,1569
Bathurst - West,56,13173,1085
Condobolin,71,5387,920
Cowra,137,8241,896
Cowra Surrounds,52,4946,721
Forbes,98,8750,1173
Grenfell,45,3225,326
Parkes (NSW),117,9744,1056
Parkes Surrounds,31,2801,433
West Wyalong,33,4837,656
Lithgow,167,10773,1448
Lithgow Surrounds,32,7536,875
Mudgee,104,11337,1126
Mudgee Surrounds - East,34,2950,416
Mudgee Surrounds - West,58,9740,1280
Wollangambe - Wollemi,0,0,0
Blayney,46,6766,710
Orange,240,17000,1784
Orange - North,103,20999,1793
Orange Surrounds,46,10676,1107
Grafton,254,17179,1820
Grafton Surrounds,116,14043,2717
Maclean - Yamba - Iluka,230,15795,1501
Bellingen,56,5466,646
Coffs Harbour - North,154,16306,1633
Coffs Harbour - South,276,9757,1270
Coramba - Nana Glen - Bucca,19,3563,366
Dorrigo,30,2802,417
Korora - Emerald Beach,57,9479,725
Sawtell - Boambee,167,18217,1678
Urunga,79,4368,465
Woolgoolga - Arrawarra,145,13145,1172
Bourke - Brewarrina,28,2711,683
Cobar,35,3400,695
Coonamble,46,3229,654
Nyngan - Warren,39,3980,575
Walgett - Lightning Ridge,27,3962,1541
Broken Hill,181,15292,2120
Far West,8,1817,463
Coonabarabran,88,6528,1308
Dubbo - East,87,9252,1294
Dubbo - South,169,17368,2087
Dubbo - West,104,8975,1237
Dubbo Surrounds,19,5232,710
Gilgandra,26,3746,622
Narromine,26,5366,1064
Wellington,64,6826,1872
Branxton - Greta - Pokolbin,36,11864,866
Cessnock,327,19757,3408
Cessnock Surrounds,22,8369,743
Dungog,74,8814,654
Kurri Kurri - Abermain,139,18745,1744
Singleton,147,15339,1536
Singleton Surrounds,20,4733,574
Maitland,97,7940,578
Maitland - North,46,8080,605
East Maitland - Metford,93,16505,1381
Rutherford (North) - Aberglasslyn,178,16222,1336
Rutherford (South) - Telarah,44,7181,750
Tenambit - East Maitland,64,9362,665
Thornton - Millers Forest,51,14901,945
Anna Bay,38,5852,551
Lemon Tree Passage - Tanilba Bay,78,6254,554
Nelson Bay Peninsula,249,20025,1702
Raymond Terrace,134,13073,1388
Seaham - Woodville,28,5220,445
Tea Gardens - Hawks Nest,90,5144,575
Williamtown - Medowie - Karuah,73,13855,1092
Muswellbrook,72,10802,1396
Muswellbrook Surrounds,18,3651,412
Scone,72,5450,515
Scone Surrounds,52,7352,793
Dapto - Avondale,196,22355,1642
Horsley - Kembla Grange,137,11318,710
Port Kembla Industrial,0,5,0
Unanderra - Mount Kembla,258,14109,911
Berkeley - Lake Heights - Cringila,121,12865,1216
Port Kembla - Warrawong,137,8721,874
Windang - Primbee,43,3829,367
Illawarra Catchment Reserve,0,9,0
Albion Park - Macquarie Pass,68,17661,1300
Albion Park Rail,113,6239,564
Kiama,130,8044,602
Kiama Downs - Minnamurra,31,5641,387
Kiama Hinterland - Gerringong,88,7426,622
Shellharbour - Flinders,71,17855,1415
Shellharbour - Oak Flats,94,9642,854
Warilla,168,18241,1994
Balgownie - Fairy Meadow,158,19785,1574
Corrimal - Tarrawanna - Bellambi,130,14769,1145
Figtree - Keiraville,134,21045,1587
Helensburgh,148,8471,516
Thirroul - Austinmer - Coalcliff,44,11176,738
Woonona - Bulli - Russell Vale,280,19235,1245
Wollongong - East,161,14735,1126
Wollongong - West,112,15148,1291
Bulahdelah - Stroud,50,4581,601
Forster,317,13122,1271
Forster-Tuncurry Surrounds,46,6206,737
Tuncurry,247,5668,459
Kempsey,230,12923,2502
Kempsey Surrounds,67,8343,1064
Macksville - Scotts Head,79,4635,479
Nambucca Heads,161,6184,770
Nambucca Heads Surrounds,31,7156,914
South West Rocks,88,5066,476
Lord Howe Island,0,407,39
Laurieton - Bonny Hills,240,17051,1198
