sa2_name_2021,in_wslhd,in_metro,pop_size,bachelor_above,adv_diploma,high_school_below,managers_professionals,everyone_else,one_family,multi_family,non_family,neg_nil_income,very_low_income,low_income,middle_income,high_income,very_high_income,employed,unemployed,not_in_labour_force,prop_bachelor_above,prop_adv_diploma,prop_high_school_below,prop_managers_professionals,prop_everyone_else,prop_one_family,prop_multi_family,prop_non_family,prop_neg_nil_income,prop_very_low_income,prop_low_income,prop_middle_income,prop_high_income,prop_very_high_income,prop_employed,prop_unemployed,prop_not_in_labour_force
Braidwood,0,0,4343,880,350,1896,814,1155,1139,27,559,28,565,274,379,87,347,2010,72,1259,0.2412280701754386,0.09594298245614036,0.5197368421052632,0.40397022332506205,0.5732009925558312,0.3239476678043231,0.007679180887372013,0.15898748577929464,0.008284023668639054,0.16715976331360946,0.08106508875739644,0.1121301775147929,0.025739644970414203,0.10266272189349113,0.5509868421052632,0.019736842105263157,0.3451206140350877
Karabar,0,0,8517,1184,627,4321,1221,2990,2175,78,829,49,655,379,714,256,819,4315,198,1962,0.17159420289855074,0.0908695652173913,0.626231884057971,0.2828353022932592,0.6926106092193653,0.26088521050737673,0.009355883411299028,0.09943624805085763,0.0059931506849315065,0.08011252446183953,0.04635518590998043,0.08732876712328767,0.03131115459882583,0.10017123287671233,0.6253623188405797,0.028695652173913042,0.2843478260869565
Queanbeyan,0,0,11342,2639,886,5077,2020,4086,2615,71,2228,62,1198,816,1393,330,955,6248,272,2555,0.2747813411078717,0.09225322782174095,0.528633902540608,0.3234069804674992,0.654178674351585,0.2417044089102505,0.00656252888437009,0.20593400499121914,0.005848504858032261,0.11300820677294594,0.07697387038958589,0.13140269785869257,0.031129138760494293,0.09008584095840015,0.6505622657226156,0.028321532694710536,0.2660349854227405
Queanbeyan - East,0,0,5085,1265,408,2204,1035,1832,1232,29,1018,18,495,361,648,159,489,2925,114,1039,0.29439143588550154,0.0949499650919246,0.5129159878985339,0.3542094455852156,0.6269678302532512,0.25287356321839083,0.005952380952380952,0.20894909688013136,0.003750781412794332,0.10314648885184413,0.07522400500104189,0.13502813086059595,0.03313190247968327,0.1018962283809127,0.6807074703281359,0.02653013730509658,0.24179660228066094
Queanbeyan West - Jerrabomberra,0,0,12744,3155,1090,5055,3328,3923,3423,89,797,43,446,306,918,338,2039,7404,171,2131,0.3146818272491522,0.10871733492918412,0.5041891083183723,0.4495474807510469,0.5299203025800351,0.2724667674918411,0.007084295152431744,0.06344026108413596,0.0034527059579251645,0.03581178737754938,0.024570419142444195,0.07371125742733259,0.027139874739039668,0.1637224987955677,0.7384799521244764,0.017055655296229804,0.2125473768202673
Googong,0,0,6224,1547,612,1897,1745,1790,1706,38,183,5,64,62,367,230,1114,3619,63,510,0.35563218390804596,0.1406896551724138,0.4360919540229885,0.4815121412803532,0.4939293598233996,0.2788037260990358,0.006210165059650269,0.029906847524105246,8.246742536698004e-4,0.010555830446973445,0.010225960745505525,0.06053109021936335,0.03793501566881082,0.18373742371763155,0.8319540229885057,0.014482758620689656,0.11724137931034483
Queanbeyan Surrounds,0,0,16539,3953,1456,6617,4021,4776,4353,204,827,53,579,511,1057,397,2453,9026,242,3331,0.2964379452568429,0.10918635170603674,0.4962129733783277,0.4452934662236988,0.5289036544850498,0.2704734683733068,0.012675531253883435,0.051385609543929414,0.0033398449807801375,0.036486231016447164,0.032201146890163214,0.06660785178650198,0.025017329384334236,0.15457810826139012,0.6768653918260218,0.018147731533558305,0.24979377577802775
Bombala,0,0,2454,269,136,1334,371,706,609,12,367,19,370,167,196,59,133,1100,42,725,0.13166911404796866,0.06656877141458639,0.6529613313754283,0.3372727272727273,0.6418181818181818,0.28404850746268656,0.005597014925373134,0.17117537313432835,0.00918762088974855,0.17891682785299806,0.08075435203094777,0.09477756286266925,0.02852998065764023,0.06431334622823985,0.5384238864415076,0.020558002936857563,0.35487028879099364
Cooma,0,0,6761,965,478,3328,919,2068,1683,20,1032,49,931,401,619,152,458,3043,122,2157,0.17052482770807564,0.08446722035695353,0.5880897685103376,0.3018062397372742,0.6791461412151067,0.2669733502538071,0.0031725888324873096,0.16370558375634517,0.007907051799257705,0.1502339841858964,0.06470873003066,0.09988704211715346,0.024527997418105536,0.07390672906244958,0.5377275136949992,0.02155857925428521,0.38116274960240326
Cooma Surrounds,0,0,3472,537,260,1696,679,1008,898,23,353,30,372,186,272,98,279,1725,43,874,0.1834642979159549,0.08882815169115135,0.5794328664161257,0.39271255060728744,0.582995951417004,0.2939443535188216,0.0075286415711947625,0.11554828150572831,0.010228435049437436,0.1268325946130242,0.0634162973065121,0.09273781111489943,0.03341288782816229,0.09512444595976816,0.5893406217970618,0.014690809702767338,0.298599248377178
Jindabyne - Berridale,0,0,8035,1487,638,3765,1538,3075,1778,28,934,49,727,421,785,256,937,4699,85,1424,0.22065588366226443,0.09467280011871197,0.5586882326754712,0.32716443309934057,0.6541161455009572,0.2775522947236965,0.004370902279113331,0.1458008117389947,0.0078000636739891755,0.1157274753263292,0.06701687360713149,0.12496020375676536,0.04075135307226998,0.14915631964342566,0.6972844635702626,0.012613147351239057,0.21130731562546373
Batemans Bay,0,0,8581,869,595,4719,715,2287,2160,74,1234,63,1431,697,715,160,305,3071,183,3502,0.12006079027355623,0.08220502901353965,0.6519756838905775,0.23297491039426524,0.7451938742261323,0.2888086642599278,0.00989437090520123,0.16499532022997726,0.008638420403126285,0.19621554915672562,0.09557109557109557,0.09803921568627451,0.021938845468257234,0.04182092417386535,0.42428847747996684,0.025283227410886986,0.48383531362254767
Batemans Bay - South,0,0,8938,1317,739,4465,975,2248,2449,47,1200,65,1375,737,780,188,437,3277,158,3744,0.17079496822720788,0.09583711580858514,0.5790429256905719,0.29770992366412213,0.686412213740458,0.3435746352413019,0.006593714927048261,0.16835016835016836,0.009340422474493461,0.1975858600373617,0.10590602098002587,0.11208506969392154,0.02701537577238109,0.06279637879005605,0.4249773051484892,0.0204902087926339,0.4855401374659577
Bega - Tathra,0,0,8872,1439,570,4345,1164,2596,2299,45,1213,67,1267,622,798,193,450,3838,132,2815,0.19690749863163656,0.07799671592775041,0.5945539135194308,0.30367858074615184,0.6772762848943387,0.2741147013234768,0.005365446524382974,0.1446285918683677,0.008128108698289458,0.1537061749363096,0.07545796433337378,0.09680941404828339,0.02341380565328157,0.054591774839257555,0.5251778872468528,0.0180623973727422,0.3851943076081007
Bega-Eden Hinterland,0,0,9557,1456,747,4709,1456,2701,2577,68,1058,78,1372,666,766,215,387,4238,148,3070,0.18062275151966256,0.09266840342389282,0.5841706984245131,0.3437204910292729,0.6376298394711992,0.28713091922005574,0.007576601671309192,0.11788300835654596,0.008921422852567768,0.15692554043234588,0.07617522589500171,0.08761294750085782,0.024591101452590643,0.04426398261466316,0.5257412231733035,0.018360004962163504,0.3808460488773105
Broulee - Tomakin,0,0,3792,801,323,1710,577,933,1015,23,477,24,501,279,308,102,274,1538,47,1453,0.24860335195530725,0.10024829298572316,0.5307262569832403,0.37370466321243523,0.6042746113989638,0.3546470999301188,0.00803633822501747,0.16666666666666666,0.008559201141226819,0.17867332382310985,0.09950071326676177,0.10984308131241084,0.03637660485021398,0.09771754636233952,0.47734326505276226,0.014587212911235258,0.4509621353196772
Deua - Wadbilliga,0,0,43,7,0,19,0,8,10,0,0,0,9,0,0,0,0,13,0,19,0.16279069767441862,0,0.4418604651162791,0,0.47058823529411764,0.29411764705882354,0,0,0,0.2903225806451613,0,0,0,0,0.3023255813953488,0,0.4418604651162791
Eden,0,0,3425,316,221,1890,258,925,851,19,502,31,579,233,258,67,99,1210,76,1331,0.1094941094941095,0.07657657657657657,0.6548856548856549,0.21375310687655344,0.7663628831814416,0.2688783570300158,0.006003159557661927,0.15860979462875197,0.010038860103626942,0.1875,0.07545336787564767,0.08354922279792747,0.021696891191709845,0.03205958549222798,0.41926541926541927,0.026334026334026334,0.4611919611919612
