sa2_name_2021,in_wslhd,in_metro,pop_size,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_0_19,age_20_39,age_40_59,age_60_plus,australia,overseas,english,non_english,prop_age_0_9,prop_age_10_19,prop_age_20_29,prop_age_30_39,prop_age_40_49,prop_age_50_59,prop_age_0_19,prop_age_20_39,prop_age_40_59,prop_age_60_plus,prop_australia,prop_overseas,prop_english,prop_non_english,bachelor_above,bachelor_below,denominator_edu,unknown_edu,managers_professionals,everyone_else,denominator_occup,unknown_occup,less_md_income,more_md_income,denominator_income,unknown_income,social_housing,non_social_housing,denominator_housing_type,unknown_housing_type,prop_bachelor_above,prop_bachelor_below,prop_managers_professionals,prop_everyone_else,prop_less_md_income,prop_more_md_income,prop_social_housing,prop_non_social_housing,arthritis,asthma,cancer,dementia,diabetes,heart_disease,kidney_disease,lung_condition,mental_health,stroke,prop_arthritis,prop_asthma,prop_cancer,prop_dementia,prop_diabetes,prop_heart_disease,prop_kidney_disease,prop_lung_condition,prop_mental_health,prop_stroke
Braidwood,0,0,4343,468,403,291,443,496,705,871,734,1201,1538,3422,530,3789,172,0.10775961317061938,0.09279300023025558,0.06700437485609026,0.10200322357817176,0.11420676951416071,0.1623301865070228,0.20055261340087496,0.16900759843426202,0.2765369560211835,0.3541330877273774,0.7879346074142298,0.12203545935988948,0.8724384066313609,0.039603960396039604,880,2246,3648,527,814,1155,2015,38,1725,1576,3648,355,3,1768,1951,167,0.2412280701754386,0.6156798245614035,0.40397022332506205,0.5732009925558312,0.47286184210526316,0.43201754385964913,0.0015376729882111738,0.9062019477191184,584,363,179,38,185,225,41,102,371,52,0.13446926087957634,0.0835827768823394,0.04121574948192493,0.008749712180520378,0.04259728298411237,0.051807506332028554,0.009440478931614092,0.023486069537186276,0.08542482155192263,0.011973290352291043
Karabar,0,0,8517,1055,1053,1144,1229,1100,1176,2108,2373,2276,1756,6522,1474,6750,1229,0.12386990724433486,0.12363508277562522,0.13431959610191382,0.1442996360220735,0.12915345779030174,0.13807678760126804,0.24750499001996007,0.2786192321239873,0.2672302453915698,0.2061758835270635,0.7657625924621345,0.17306563343900436,0.7925325818950335,0.1442996360220735,1184,4948,6900,763,1221,2990,4317,94,2725,3687,6900,492,329,2710,3271,216,0.17159420289855074,0.7171014492753623,0.2828353022932592,0.6926106092193653,0.39492753623188404,0.5343478260869565,0.10058086212167533,0.8284928156527056,886,868,245,37,468,312,146,184,910,80,0.10402723963837032,0.10191381941998356,0.028765997416930845,0.0043442526711283316,0.054948925678055656,0.03663261711870377,0.017142186215803688,0.02160385112128684,0.106845133262886,0.009392978748385582
Queanbeyan,0,0,11342,1258,909,1820,2143,1443,1368,2167,3963,2811,2400,7697,3042,8097,2554,0.11091518250749427,0.08014459530946923,0.1604655263621936,0.1889437488979016,0.12722623875859637,0.12061364838652795,0.1910597778169635,0.34940927526009524,0.2478398871451243,0.2116028919061894,0.6786281079174749,0.26820666549109506,0.7138952565685064,0.22518074413683653,2639,5963,9604,1009,2020,4086,6246,151,3604,5360,9604,643,207,4686,5187,281,0.2747813411078717,0.620887130362349,0.3234069804674992,0.654178674351585,0.37526030820491463,0.5581007913369429,0.03990746096009254,0.9034123770965876,1110,995,297,137,622,433,152,227,1322,124,0.0978663375066126,0.08772703226944102,0.026185857873390936,0.01207899841297831,0.054840416152354084,0.038176688414741665,0.013401516487391994,0.020014106859460413,0.11655792629165931,0.010932816081819785
Queanbeyan - East,0,0,5085,571,398,903,967,610,689,969,1870,1299,933,3593,1241,3788,1037,0.11229105211406096,0.07826941986234022,0.1775811209439528,0.19016715830875122,0.119960668633235,0.13549655850540807,0.1905604719764012,0.36774827925270404,0.25545722713864305,0.18348082595870208,0.7065880039331367,0.2440511307767945,0.7449360865290069,0.2039331366764995,1265,2612,4297,414,1035,1832,2922,57,1379,2662,4297,252,91,2173,2376,106,0.29439143588550154,0.6078659529904584,0.3542094455852156,0.6269678302532512,0.3209215731905981,0.6195019781242728,0.0382996632996633,0.9145622895622896,455,470,125,15,214,173,55,97,579,44,0.08947885939036382,0.09242871189773845,0.024582104228121928,0.0029498525073746312,0.04208456243854474,0.034021632251720745,0.010816125860373648,0.019075712881022614,0.11386430678466077,0.008652900688298918
Queanbeyan West - Jerrabomberra,0,0,12744,1750,1896,1391,1764,1921,2130,3646,3155,4051,1897,10156,2166,10701,1576,0.13731952291274324,0.1487758945386064,0.10914940364092907,0.1384180790960452,0.15073760200878844,0.16713747645951035,0.28609541745134964,0.24756748273697426,0.3178750784682988,0.14885436283741368,0.7969240426867545,0.1699623352165725,0.8396892655367232,0.12366603892027621,3155,6145,10026,722,3328,3923,7403,149,3055,6575,10026,396,107,4190,4443,142,0.3146818272491522,0.6129064432475564,0.4495474807510469,0.5299203025800351,0.3047077598244564,0.6557949331737483,0.024082826918748593,0.9430564933603421,960,1095,343,33,469,326,89,160,1138,83,0.07532956685499058,0.08592278719397363,0.026914626490897677,0.0025894538606403015,0.036801632140615194,0.025580665411173886,0.006983678593848085,0.012554927809165096,0.08929692404268676,0.0065128688010043945
Googong,0,0,6224,1451,686,726,1584,955,489,2137,2310,1444,330,4808,1202,4879,1100,0.2331298200514139,0.11021850899742931,0.1166452442159383,0.2544987146529563,0.1534383033419023,0.0785668380462725,0.3433483290488432,0.3711439588688946,0.2320051413881748,0.053020565552699225,0.7724935732647815,0.19312339331619538,0.783901028277635,0.17673521850899743,1547,2509,4350,298,1745,1790,3624,88,880,3292,4350,193,9,1904,1986,72,0.35563218390804596,0.5767816091954023,0.4815121412803532,0.4939293598233996,0.20229885057471264,0.7567816091954023,0.004531722054380665,0.9587109768378651,277,533,83,9,163,85,23,38,537,18,0.04450514138817481,0.0856362467866324,0.01333547557840617,0.0014460154241645244,0.026188946015424163,0.01365681233933162,0.0036953727506426736,0.006105398457583547,0.08627892030848329,0.002892030848329049
Queanbeyan Surrounds,0,0,16539,1965,2278,1527,1933,2351,2757,4243,3460,5108,3722,13507,2103,14835,780,0.11881008525303827,0.13773505048672835,0.09232722655541448,0.11687526452627124,0.14214886026966564,0.1666968982405224,0.2565451357397666,0.2092024910816857,0.30884575851018803,0.2250438357820908,0.8166757361388234,0.12715399963722113,0.8969707962996554,0.04716125521494649,3953,8073,13335,1304,4021,4776,9030,220,4242,8235,13335,861,0,5378,5660,279,0.2964379452568429,0.6053993250843644,0.4452934662236988,0.5289036544850498,0.31811023622047246,0.6175478065241845,0,0.9501766784452297,1587,1455,505,47,647,557,169,252,1469,103,0.09595501541810267,0.08797387992018864,0.03053388959429228,0.002841767942439083,0.039119656569320996,0.03367797327528871,0.010218271963238407,0.015236713223290404,0.08882036398814923,0.006227704214281395
Bombala,0,0,2454,265,262,222,258,231,342,527,480,573,870,2005,192,2162,56,0.10798696006519967,0.10676446617766912,0.09046454767726161,0.10513447432762836,0.0941320293398533,0.1393643031784841,0.21475142624286878,0.19559902200489,0.2334963325183374,0.3545232273838631,0.8170334148329258,0.07823960880195599,0.8810105949470253,0.022819885900570498,269,1470,2043,313,371,706,1100,19,1023,800,2043,222,14,979,1098,99,0.13166911404796866,0.7195301027900147,0.3372727272727273,0.6418181818181818,0.5007342143906021,0.39158100832109644,0.012750455373406194,0.8916211293260473,326,158,90,24,123,133,32,66,183,42,0.1328443357783211,0.06438467807660962,0.03667481662591687,0.009779951100244499,0.05012224938875306,0.05419722901385493,0.013039934800325998,0.02689486552567237,0.0745721271393643,0.017114914425427872
Cooma,0,0,6761,739,694,730,915,747,911,1433,1645,1658,2032,5264,1092,5588,619,0.10930335749149533,0.10264753734654637,0.10797219346250554,0.13533500961396244,0.11048661440615294,0.13474338115663365,0.21195089483804172,0.24330720307646797,0.24522999556278657,0.30054725632302914,0.7785830498446975,0.1615145688507617,0.8265049548883301,0.09155450377163142,965,3806,5659,878,919,2068,3045,57,2587,2432,5659,626,98,2669,2939,154,0.17052482770807564,0.6725569888672911,0.3018062397372742,0.6791461412151067,0.4571479059904577,0.42975790775755435,0.03334467505954406,0.9081320176930929,875,568,240,81,399,336,79,190,756,74,0.12941872504067445,0.08401124094068925,0.03549770743972785,0.01198047626090815,0.05901493861854755,0.04969679041561899,0.011684662032243751,0.028102351723117883,0.11181777843514273,0.010945126460582754
Cooma Surrounds,0,0,3472,319,412,274,303,420,600,731,577,1020,1144,2749,398,3026,137,0.0918778801843318,0.11866359447004608,0.07891705069124424,0.08726958525345622,0.12096774193548387,0.1728110599078341,0.2105414746543779,0.16618663594470046,0.29377880184331795,0.3294930875576037,0.7917626728110599,0.11463133640552996,0.8715437788018433,0.03945852534562212,537,1956,2927,429,679,1008,1729,40,1315,1300,2927,305,0,1333,1470,147,0.1834642979159549,0.6682610181072771,0.39271255060728744,0.582995951417004,0.44926545951486163,0.44414075845575673,0,0.9068027210884354,410,291,134,15,160,172,30,83,303,32,0.11808755760368664,0.08381336405529954,0.03859447004608295,0.004320276497695853,0.04608294930875576,0.04953917050691244,0.008640552995391706,0.02390552995391705,0.08726958525345622,0.009216589861751152
