"sa2_code_2011","sa2_name_2011","sa2_code_2021","sa2_name_2021","weight_norm_from_2011","weight_percent_from_2011","lga_code_2021","lga_name_2021","nsw_lhd_name"
111031222,"Adamstown - Kotara","111031222","Adamstown - Kotara",1,"100.0%",15900,"Newcastle","Hunter New England"
107031136,"Albion Park - Macquarie Pass","107031136","Albion Park - Macquarie Pass",1,"100.0%",16900,"Shellharbour","Illawarra Shoalhaven"
107031137,"Albion Park Rail","107031137","Albion Park Rail",1,"100.0%",16900,"Shellharbour","Illawarra Shoalhaven"
109011172,"Albury - East","109011172","Albury - East",1,"100.0%",10050,"Albury","Albury Wodonga Health (Network with Victoria)"
109011173,"Albury - North","109011173","Albury - North",1,"100.0%",10050,"Albury","Albury Wodonga Health (Network with Victoria)"
109011174,"Albury - South","109011174","Albury - South",1,"100.0%",10050,"Albury","Albury Wodonga Health (Network with Victoria)"
109011175,"Albury Region","109011175","Albury Surrounds",1,"100.0%",13340,"Greater Hume Shire","Murrumbidgee"
106031119,"Anna Bay","106031119","Anna Bay",1,"100.0%",16400,"Port Stephens","Hunter New England"
110011186,"Armidale","110011186","Armidale",1,"100.0%",10180,"Armidale Regional","Hunter New England"
110011187,"Armidale Region - North","110011187","Armidale Surrounds - North",1,"100.0%",10180,"Armidale Regional","Hunter New England"
110011188,"Armidale Region - South","110011188","Armidale Surrounds - South",1,"100.0%",17650,"Uralla","Hunter New England"
119041375,"Arncliffe - Bardwell Valley","119041668","Arncliffe - Bardwell Valley",0.7040622,"70.4%",10500,"Bayside (NSW)","South Eastern Sydney"
119041375,"Arncliffe - Bardwell Valley","119041671","Wolli Creek",0.2959378,"29.6%",10500,"Bayside (NSW)","South Eastern Sydney"
127011504,"Ashcroft - Busby - Miller","127011504","Ashcroft - Busby - Miller",1,"100.0%",14900,"Liverpool","South Western Sydney"
120031390,"Ashfield","120031676","Ashfield - North",0.5325969,"53.3%",14170,"Inner West","Sydney"
120031390,"Ashfield","120031677","Ashfield - South",0.4674031,"46.7%",14170,"Inner West","Sydney"
121021403,"Asquith - Mount Colah","121021403","Asquith - Mount Colah",1,"100.0%",14000,"Hornsby","Northern Sydney"
125011472,"Auburn","125011582","Auburn - Central",0.470504447050445,"47.1%",12380,"Cumberland","Western Sydney"
125011472,"Auburn","125011583","Auburn - North",0.298696229869623,"29.9%",12380,"Cumberland","Western Sydney"
125011472,"Auburn","125011584","Auburn - South",0.230799323079932,"23.1%",12380,"Cumberland","Western Sydney"
122021420,"Avalon - Palm Beach","122021420","Avalon - Palm Beach",1,"100.0%",15990,"Northern Beaches","Northern Sydney"
102011028,"Avoca Beach - Copacabana","102011028","Avoca Beach - Copacabana",1,"100.0%",11650,"Central Coast (NSW)","Central Coast"
127011505,"Badgerys Creek - Greendale","127011505","Austral - Greendale",0.907724209227579,"90.8%",14900,"Liverpool","South Western Sydney"
127011505,"Badgerys Creek - Greendale","127011597","West Hoxton - Middleton Grange",0.0763229923677008,"7.6%",14900,"Liverpool","South Western Sydney"
127011505,"Badgerys Creek - Greendale","127011592","Badgerys Creek",0.0159527984047202,"1.6%",14900,"Liverpool","South Western Sydney"
122011418,"Balgowlah - Clontarf - Seaforth","122011418","Balgowlah - Clontarf - Seaforth",1,"100.0%",15990,"Northern Beaches","Northern Sydney"
107041144,"Balgownie - Fairy Meadow","107041144","Balgownie - Fairy Meadow",1,"100.0%",18450,"Wollongong","Illawarra Shoalhaven"
112011236,"Ballina","112011236","Ballina",1,"100.0%",10250,"Ballina","Northern NSW"
112011237,"Ballina Region","112011237","Ballina Surrounds",0.999839,"100.0%",10250,"Ballina","Northern NSW"
112011237,"Ballina Region","112021249","Lismore Surrounds",0.000161,"0.0%",14850,"Lismore","Northern NSW"
120021387,"Balmain","120021387","Balmain",1,"100.0%",14170,"Inner West","Sydney"
112011238,"Bangalow","112011238","Bangalow",1,"100.0%",11350,"Byron","Northern NSW"
117011320,"Banksmeadow","117011320","Banksmeadow",1,"100.0%",10500,"Bayside (NSW)","South Eastern Sydney"
119011353,"Bankstown","119011572","Bankstown - South",0.5008434,"50.1%",11570,"Canterbury-Bankstown","South Western Sydney"
119011353,"Bankstown","119011571","Bankstown - North",0.4991566,"49.9%",11570,"Canterbury-Bankstown","South Western Sydney"
123031445,"Bargo","123031445","Bargo",1,"100.0%",18400,"Wollondilly","South Western Sydney"
119011354,"Bass Hill - Georges Hall","119011354","Bass Hill - Georges Hall",1,"100.0%",11570,"Canterbury-Bankstown","South Western Sydney"
102021044,"Bateau Bay - Killarney Vale","102021044","Bateau Bay - Killarney Vale",1,"100.0%",11650,"Central Coast (NSW)","Central Coast"
101041017,"Batemans Bay","101041017","Batemans Bay",1,"100.0%",12750,"Eurobodalla","Southern NSW"
101041018,"Batemans Bay - South","101041018","Batemans Bay - South",1,"100.0%",12750,"Eurobodalla","Southern NSW"
103011058,"Bathurst","103011613","Bathurst - West",0.5473798,"54.7%",10470,"Bathurst Regional","Western NSW"
103011058,"Bathurst","103011612","Bathurst - South",0.4526202,"45.3%",10470,"Bathurst Regional","Western NSW"
103011059,"Bathurst - East","103011059","Bathurst - East",1,"100.0%",10470,"Bathurst Regional","Western NSW"
103011060,"Bathurst Region","103011060","Bathurst Surrounds",1,"100.0%",10470,"Bathurst Regional","Western NSW"
115011290,"Baulkham Hills (East)","115011290","Baulkham Hills - East",1,"100.0%",17420,"The Hills Shire","Western Sydney"
115011291,"Baulkham Hills (West) - Bella Vista","115011291","Baulkham Hills (West) - Bella Vista",0.9999995,"100.0%",17420,"The Hills Shire","Western Sydney"
115011291,"Baulkham Hills (West) - Bella Vista","115011622","Kellyville - West",5e-07,"0.0%",17420,"The Hills Shire","Western Sydney"
122021421,"Bayview - Elanora Heights","122021421","Bayview - Elanora Heights",1,"100.0%",15990,"Northern Beaches","Northern Sydney"
122031424,"Beacon Hill - Narraweena","122031424","Beacon Hill - Narraweena",1,"100.0%",15990,"Northern Beaches","Northern Sydney"
101041019,"Bega - Tathra","101041019","Bega - Tathra",1,"100.0%",10550,"Bega Valley","Southern NSW"
101041020,"Bega-Eden Hinterland","101041020","Bega-Eden Hinterland",1,"100.0%",10550,"Bega Valley","Southern NSW"
104021083,"Bellingen","104021083","Bellingen",1,"100.0%",10600,"Bellingen","Mid North Coast"
111011206,"Belmont - Bennetts Green","111011206","Belmont - Bennetts Green",1,"100.0%",14650,"Lake Macquarie","Hunter New England"
111011207,"Belmont South - Blacksmiths","111011207","Belmont South - Blacksmiths",1,"100.0%",14650,"Lake Macquarie","Hunter New England"
119021362,"Belmore - Belfield","119021362","Belmore - Belfield",1,"100.0%",11570,"Canterbury-Bankstown","Sydney"
111031223,"Beresfield - Hexham","111031223","Beresfield - Hexham",1,"100.0%",15900,"Newcastle","Hunter New England"
107011130,"Berkeley - Warrawong - Windang","107011545","Berkeley - Lake Heights - Cringila",0.481559248155925,"48.2%",18450,"Wollongong","Illawarra Shoalhaven"
107011130,"Berkeley - Warrawong - Windang","107011546","Port Kembla - Warrawong",0.361731136173114,"36.2%",18450,"Wollongong","Illawarra Shoalhaven"
107011130,"Berkeley - Warrawong - Windang","107011547","Windang - Primbee",0.156709615670962,"15.7%",18450,"Wollongong","Illawarra Shoalhaven"
121021404,"Berowra - Brooklyn - Cowan","121021404","Berowra - Brooklyn - Cowan",1,"100.0%",14000,"Hornsby","Northern Sydney"
114011272,"Berry - Kangaroo Valley","114011272","Berry - Kangaroo Valley",1,"100.0%",16950,"Shoalhaven","Illawarra Shoalhaven"
119041376,"Bexley","119041670","Bexley - South",0.6260173,"62.6%",10500,"Bayside (NSW)","South Eastern Sydney"
119041376,"Bexley","119041669","Bexley - North",0.3739827,"37.4%",10500,"Bayside (NSW)","South Eastern Sydney"
116031313,"Bidwill - Hebersham - Emerton","116031313","Bidwill - Hebersham - Emerton",1,"100.0%",10750,"Blacktown","Western Sydney"
115031299,"Bilpin - Colo - St Albans","115031299","Bilpin - Colo - St Albans",1,"100.0%",13800,"Hawkesbury","Nepean Blue Mountains"
124011449,"Blackheath - Megalong Valley","124011449","Blackheath - Megalong Valley",1,"100.0%",10900,"Blue Mountains","Nepean Blue Mountains"
116011303,"Blacktown (East) - Kings Park","116011303","Blacktown (East) - Kings Park",1,"100.0%",10750,"Blacktown","Western Sydney"
116011304,"Blacktown (North) - Marayong","116011304","Blacktown (North) - Marayong",1,"100.0%",10750,"Blacktown","Western Sydney"
116011305,"Blacktown (South)","116011561","Blacktown - West",0.5643222,"56.4%",10750,"Blacktown","Western Sydney"
116011305,"Blacktown (South)","116011560","Blacktown - South",0.4356778,"43.6%",10750,"Blacktown","Western Sydney"
124011450,"Blaxland - Warrimoo - Lapstone","124011450","Blaxland - Warrimoo - Lapstone",1,"100.0%",10900,"Blue Mountains","Nepean Blue Mountains"
103041076,"Blayney","103041076","Blayney",1,"100.0%",10850,"Blayney","Western NSW"
102021045,"Blue Haven - San Remo","102021045","Blue Haven - San Remo",1,"100.0%",11650,"Central Coast (NSW)","Central Coast"
