"sa2_code_2021","sa2_name_2021","sa2_code_2011","sa2_name_2011","weight_norm_to_2021","weight_percent_to_2021","lga_code_2021","lga_name_2021","nsw_lhd_name"
"116021562","Acacia Gardens",116021311,"Quakers Hill - Acacia Gardens",1,"100.0%",10750,"Blacktown","Western Sydney"
"111031222","Adamstown - Kotara",111031222,"Adamstown - Kotara",1,"100.0%",15900,"Newcastle","Hunter New England"
"107031136","Albion Park - Macquarie Pass",107031136,"Albion Park - Macquarie Pass",1,"100.0%",16900,"Shellharbour","Illawarra Shoalhaven"
"107031137","Albion Park Rail",107031137,"Albion Park Rail",1,"100.0%",16900,"Shellharbour","Illawarra Shoalhaven"
"109011172","Albury - East",109011172,"Albury - East",1,"100.0%",10050,"Albury","Albury Wodonga Health (Network with Victoria)"
"109011173","Albury - North",109011173,"Albury - North",1,"100.0%",10050,"Albury","Albury Wodonga Health (Network with Victoria)"
"109011174","Albury - South",109011174,"Albury - South",1,"100.0%",10050,"Albury","Albury Wodonga Health (Network with Victoria)"
"109011175","Albury Surrounds",109011175,"Albury Region",1,"100.0%",13340,"Greater Hume Shire","Murrumbidgee"
"106031119","Anna Bay",106031119,"Anna Bay",1,"100.0%",16400,"Port Stephens","Hunter New England"
"120021674","Annandale (NSW)",120021388,"Leichhardt - Annandale",1,"100.0%",14170,"Inner West","Sydney"
"110011186","Armidale",110011186,"Armidale",1,"100.0%",10180,"Armidale Regional","Hunter New England"
"110011187","Armidale Surrounds - North",110011187,"Armidale Region - North",1,"100.0%",10180,"Armidale Regional","Hunter New England"
"110011188","Armidale Surrounds - South",110011188,"Armidale Region - South",1,"100.0%",17650,"Uralla","Hunter New England"
"119041668","Arncliffe - Bardwell Valley",119041375,"Arncliffe - Bardwell Valley",1,"100.0%",10500,"Bayside (NSW)","South Eastern Sydney"
"121011682","Artarmon",121011398,"Chatswood (East) - Artarmon",1,"100.0%",18250,"Willoughby","Northern Sydney"
"127011504","Ashcroft - Busby - Miller",127011504,"Ashcroft - Busby - Miller",1,"100.0%",14900,"Liverpool","South Western Sydney"
"120031676","Ashfield - North",120031390,"Ashfield",1,"100.0%",14170,"Inner West","Sydney"
"120031677","Ashfield - South",120031390,"Ashfield",1,"100.0%",14170,"Inner West","Sydney"
"121021403","Asquith - Mount Colah",121021403,"Asquith - Mount Colah",0.999675961900005,"100.0%",14000,"Hornsby","Northern Sydney"
"121021403","Asquith - Mount Colah",121021405,"Hornsby - Waitara",0.000324038099994499,"0.0%",14000,"Hornsby","Northern Sydney"
"125011582","Auburn - Central",125011472,"Auburn",1,"100.0%",12380,"Cumberland","Western Sydney"
"125011583","Auburn - North",125011472,"Auburn",1,"100.0%",12380,"Cumberland","Western Sydney"
"125011584","Auburn - South",125011472,"Auburn",1,"100.0%",12380,"Cumberland","Western Sydney"
"127011505","Austral - Greendale",127011505,"Badgerys Creek - Greendale",0.997482569521916,"99.7%",14900,"Liverpool","South Western Sydney"
"127011505","Austral - Greendale",127011506,"Cobbitty - Leppington",0.00251743047808432,"0.3%",14900,"Liverpool","South Western Sydney"
"122021420","Avalon - Palm Beach",122021420,"Avalon - Palm Beach",1,"100.0%",15990,"Northern Beaches","Northern Sydney"
"102011028","Avoca Beach - Copacabana",102011028,"Avoca Beach - Copacabana",1,"100.0%",11650,"Central Coast (NSW)","Central Coast"
"127011592","Badgerys Creek",124031463,"Mulgoa - Luddenham - Orchard Hills",0.558978668819321,"55.9%",14900,"Liverpool","South Western Sydney"
"127011592","Badgerys Creek",127011505,"Badgerys Creek - Greendale",0.441021331180679,"44.1%",14900,"Liverpool","South Western Sydney"
"122011418","Balgowlah - Clontarf - Seaforth",122011418,"Balgowlah - Clontarf - Seaforth",1,"100.0%",15990,"Northern Beaches","Northern Sydney"
"107041144","Balgownie - Fairy Meadow",107041144,"Balgownie - Fairy Meadow",1,"100.0%",18450,"Wollongong","Illawarra Shoalhaven"
"112011236","Ballina",112011236,"Ballina",1,"100.0%",10250,"Ballina","Northern NSW"
"112011237","Ballina Surrounds",112011237,"Ballina Region",1,"100.0%",10250,"Ballina","Northern NSW"
"120021387","Balmain",120021387,"Balmain",1,"100.0%",14170,"Inner West","Sydney"
"112011238","Bangalow",112011238,"Bangalow",1,"100.0%",11350,"Byron","Northern NSW"
"117011320","Banksmeadow",117011320,"Banksmeadow",1,"100.0%",10500,"Bayside (NSW)","South Eastern Sydney"
"119011571","Bankstown - North",119011353,"Bankstown",1,"100.0%",11570,"Canterbury-Bankstown","South Western Sydney"
"119011572","Bankstown - South",119011353,"Bankstown",1,"100.0%",11570,"Canterbury-Bankstown","South Western Sydney"
"112031550","Banora Point",112031255,"Tweed Heads - South",1,"100.0%",17550,"Tweed","Northern NSW"
"123031445","Bargo",123031445,"Bargo",1,"100.0%",18400,"Wollondilly","South Western Sydney"
"119011354","Bass Hill - Georges Hall",119011354,"Bass Hill - Georges Hall",1,"100.0%",11570,"Canterbury-Bankstown","South Western Sydney"
"102021044","Bateau Bay - Killarney Vale",102021044,"Bateau Bay - Killarney Vale",1,"100.0%",11650,"Central Coast (NSW)","Central Coast"
"101041017","Batemans Bay",101041017,"Batemans Bay",1,"100.0%",12750,"Eurobodalla","Southern NSW"
"101041018","Batemans Bay - South",101041018,"Batemans Bay - South",1,"100.0%",12750,"Eurobodalla","Southern NSW"
"103011059","Bathurst - East",103011059,"Bathurst - East",1,"100.0%",10470,"Bathurst Regional","Western NSW"
