"sa2_code_2021","sa2_name_2021","lga_code_2021","lga_name_2021","nsw_lhd_name"
"115011290","Baulkham Hills - East","17420","The Hills Shire","Western Sydney"
"115011291","Baulkham Hills (West) - Bella Vista","17420","The Hills Shire","Western Sydney"
"115011294","Glenhaven","17420","The Hills Shire","Western Sydney"
"115011296","West Pennant Hills","17420","The Hills Shire","Western Sydney"
"115011553","Castle Hill - Central","17420","The Hills Shire","Western Sydney"
"115011555","Castle Hill - North","17420","The Hills Shire","Western Sydney"
"115011556","Castle Hill - South","17420","The Hills Shire","Western Sydney"
"115011557","Castle Hill - West","17420","The Hills Shire","Western Sydney"
"115011621","Kellyville - East","17420","The Hills Shire","Western Sydney"
"115011622","Kellyville - West","17420","The Hills Shire","Western Sydney"
"115021297","Dural - Kenthurst - Wisemans Ferry","17420","The Hills Shire","Western Sydney"
"115041623","Box Hill - Nelson","17420","The Hills Shire","Western Sydney"
"115041624","North Kellyville","17420","The Hills Shire","Western Sydney"
"115041625","Rouse Hill - Beaumont Hills","17420","The Hills Shire","Western Sydney"
"116011303","Blacktown (East) - Kings Park","10750","Blacktown","Western Sydney"
"116011304","Blacktown (North) - Marayong","10750","Blacktown","Western Sydney"
"116011306","Doonside - Woodcroft","10750","Blacktown","Western Sydney"
"116011307","Lalor Park - Kings Langley","10750","Blacktown","Western Sydney"
"116011560","Blacktown - South","10750","Blacktown","Western Sydney"
"116011561","Blacktown - West","10750","Blacktown","Western Sydney"
"116011626","Seven Hills - Prospect","10750","Blacktown","Western Sydney"
"116011627","Toongabbie - West","10750","Blacktown","Western Sydney"
"116021309","Glenwood","10750","Blacktown","Western Sydney"
"116021562","Acacia Gardens","10750","Blacktown","Western Sydney"
"116021563","Quakers Hill","10750","Blacktown","Western Sydney"
"116021628","Kellyville Ridge - The Ponds","10750","Blacktown","Western Sydney"
"116021629","Marsden Park - Shanes Park","10750","Blacktown","Western Sydney"
"116021630","Riverstone","10750","Blacktown","Western Sydney"
"116021631","Schofields (West) - Colebee","10750","Blacktown","Western Sydney"
"116021632","Schofields - East","10750","Blacktown","Western Sydney"
"116021633","Stanhope Gardens - Parklea","10750","Blacktown","Western Sydney"
"116031313","Bidwill - Hebersham - Emerton","10750","Blacktown","Western Sydney"
"116031314","Glendenning - Dean Park","10750","Blacktown","Western Sydney"
"116031315","Hassall Grove - Plumpton","10750","Blacktown","Western Sydney"
"116031316","Lethbridge Park - Tregear","10750","Blacktown","Western Sydney"
"116031317","Mount Druitt - Whalan","10750","Blacktown","Western Sydney"
"116031318","Prospect Reservoir","10750","Blacktown","Western Sydney"
"116031319","Rooty Hill - Minchinbury","10750","Blacktown","Western Sydney"
"125011475","Rookwood Cemetery","12380","Cumberland","Western Sydney"
"125011582","Auburn - Central","12380","Cumberland","Western Sydney"
"125011583","Auburn - North","12380","Cumberland","Western Sydney"
"125011584","Auburn - South","12380","Cumberland","Western Sydney"
"125011585","Berala","12380","Cumberland","Western Sydney"
"125011586","Lidcombe","12380","Cumberland","Western Sydney"
"125011587","Regents Park","12380","Cumberland","Western Sydney"
"125011709","Silverwater - Newington","16260","Parramatta","Western Sydney"
"125011710","Wentworth Point - Sydney Olympic Park","16260","Parramatta","Western Sydney"
"125021477","Ermington - Rydalmere","16260","Parramatta","Western Sydney"
"125021478","Oatlands - Dundas Valley","16260","Parramatta","Western Sydney"
"125021712","Carlingford - West","16260","Parramatta","Western Sydney"
"125031481","Granville - Clyde","12380","Cumberland","Western Sydney"
"125031483","Guildford - South Granville","12380","Cumberland","Western Sydney"
"125031484","Guildford West - Merrylands West","12380","Cumberland","Western Sydney"
"125031486","Smithfield Industrial","12380","Cumberland","Western Sydney"
"125031487","Yennora Industrial","12380","Cumberland","Western Sydney"
"125031713","Greystanes - South","12380","Cumberland","Western Sydney"
"125031714","Merrylands - Holroyd","12380","Cumberland","Western Sydney"
"125031715","Pemulwuy - Greystanes (North)","12380","Cumberland","Western Sydney"
"125031716","South Wentworthville","12380","Cumberland","Western Sydney"
"125041489","North Parramatta","16260","Parramatta","Western Sydney"
"125041490","North Rocks","16260","Parramatta","Western Sydney"
"125041491","Northmead","16260","Parramatta","Western Sydney"
"125041493","Toongabbie - Constitution Hill","16260","Parramatta","Western Sydney"
"125041494","Winston Hills","16260","Parramatta","Western Sydney"
"125041588","Pendle Hill - Girraween","12380","Cumberland","Western Sydney"
"125041589","Wentworthville - Westmead","12380","Cumberland","Western Sydney"
"125041717","Parramatta - North","16260","Parramatta","Western Sydney"
"125041718","Parramatta - South","16260","Parramatta","Western Sydney"
"125041719","Rosehill - Harris Park","16260","Parramatta","Western Sydney"
"115041301","Pitt Town - McGraths Hill","13800","Hawkesbury","Nepean Blue Mountains"
"125021711","Carlingford - East","16260","Parramatta","Northern Sydney"
"126011720","Epping (East) - North Epping","14000","Hornsby","Northern Sydney"
"126011721","Epping (NSW) - West","16260","Parramatta","Northern Sydney"
"126021723","Eastwood","16700","Ryde","Northern Sydney"
