"sa2_name_2021","pop_2021","in_wslhd_2021","in_metro_2021","pop2011_as21","abs_change","growth_rate"
"Braidwood",4343,0,0,3356,987,0.294100119189511
"Karabar",8517,0,0,8602,-85,-0.00988142292490119
"Queanbeyan",11342,0,0,10233,1109,0.108374865630802
"Queanbeyan - East",5085,0,0,4639,446,0.0961414097865919
"Queanbeyan West - Jerrabomberra",12744,0,0,12572,172,0.0136811963092587
"Googong",6224,0,0,1364.6705767,4859.3294233,3.5608076456449
"Queanbeyan Surrounds",16539,0,0,12746.3294233,3792.6705767,0.297550020146748
"Bombala",2454,0,0,2419,35,0.0144687887556842
"Cooma",6761,0,0,6677,84,0.0125805002246518
"Cooma Surrounds",3472,0,0,3175,297,0.0935433070866142
"Jindabyne - Berridale",8035,0,0,6664,1371,0.205732292917167
"Batemans Bay",8581,0,0,7504,1077,0.143523454157783
"Batemans Bay - South",8938,0,0,8223,715,0.0869512343426973
"Bega - Tathra",8872,0,0,8046,826,0.102659706686552
"Bega-Eden Hinterland",9557,0,0,8767,790,0.0901106421809057
"Broulee - Tomakin",3792,0,0,2827,965,0.341351255748143
"Deua - Wadbilliga",43,0,0,57,-14,-0.245614035087719
"Eden",3425,0,0,3207,218,0.0679763018397256
"Eurobodalla Hinterland",3525,0,0,3211,314,0.0977888508252881
"Merimbula - Tura Beach",11513,0,0,9779,1734,0.177318744247878
"Moruya - Tuross Head",8600,0,0,7616,984,0.129201680672269
"Narooma - Bermagui",9888,0,0,8632,1256,0.145505097312326
"Goulburn",24565,0,0,21485,3080,0.143355829648592
"Goulburn Surrounds",13839,0,0,11615,2224,0.191476538958244
"Yass",6763,0,0,6331,432,0.0682356657716001
"Yass Surrounds",12713,0,0,10398.24982,2314.75018,0.22260959489046
"Young",11004,0,0,10280,724,0.0704280155642023
"Young Surrounds",7677,0,0,7394,283,0.038274276440357
"Avoca Beach - Copacabana",7513,0,0,7010,503,0.0717546362339515
"Box Head - MacMasters Beach",11042,0,0,10338,704,0.0680982781969433
"Calga - Kulnura",4716,0,0,4422,294,0.0664857530529172
"Erina - Green Point",14758,0,0,13591,1167,0.0858656463836362
"Gosford - Springfield",21204,0,0,18072,3132,0.173306772908367
"Kariong",6485,0,0,6453,32,0.00495893382922672
"Kincumber - Picketts Valley",7615,0,0,7103.128185,511.871815,0.0720628716909463
"Narara",7157,0,0,6492,665,0.102433764633395
"Niagara Park - Lisarow",8205,0,0,8052,153,0.0190014903129657
"Point Clare - Koolewong",6571,0,0,6314,257,0.0407031992397846
"Saratoga - Davistown",7160,0,0,6637,523,0.0788006629501281
"Terrigal - North Avoca",14849,0,0,12572.871815,2276.128185,0.181034867649289
"Umina - Booker Bay - Patonga",24697,0,0,22534,2163,0.0959882843702849
"Wamberal - Forresters Beach",10675,0,0,9090,1585,0.174367436743674
"Woy Woy - Blackwall",14346,0,0,13252,1094,0.0825535768185934
"Wyoming",11423,0,0,11189,234,0.0209133970864242
"Bateau Bay - Killarney Vale",22825,0,0,21379,1446,0.067636465690631
"Blue Haven - San Remo",11290,0,0,10781,509,0.0472126889898896
"Budgewoi - Buff Point - Halekulani",9728,0,0,8968,760,0.0847457627118644
"Chittaway Bay - Tumbi Umbi",16006,0,0,15245.9875807,760.012419300001,0.0498499959597308
"Gorokan - Kanwal - Charmhaven",22362,0,0,20675,1687,0.081596130592503
"Jilliby - Yarramalong",3420,0,0,3011,409,0.135835270674195
"Lake Munmorah - Mannering Park",10960,0,0,10063,897,0.0891384279042035
"Ourimbah - Fountaindale",4928,0,0,4794,134,0.0279516061743846
"Summerland Point - Gwandalan",6492,0,0,5400,1092,0.202222222222222
"The Entrance",15839,0,0,13987,1852,0.132408665189104
"Toukley - Norah Head",9909,0,0,8999,910,0.101122346927436
"Tuggerah - Kangy Angy",5229,0,0,5137.0124193,91.9875806999999,0.0179068246661032
"Warnervale - Wadalba",20051,0,0,12496,7555,0.604593469910371
"Wyong",9120,0,0,8152,968,0.118743866535819
"Bathurst - East",12330,0,0,9498,2832,0.298168035375869
"Bathurst Surrounds",6909,0,0,6612,297,0.0449183303085299
"Oberon",4834,0,0,4459,375,0.0840995738954923
"Bathurst - South",10752,0,0,10403.475297,348.524703000001,0.0335007959408048
"Bathurst - West",14313,0,0,12581.524703,1731.475297,0.137620466348338
"Condobolin",6372,0,0,6892,-520,-0.0754497968659315
"Cowra",9273,0,0,8926,347,0.0388751960564643
"Cowra Surrounds",5716,0,0,5347,369,0.0690106601832804
"Forbes",10020,0,0,9805,215,0.0219275879653238
"Grenfell",3597,0,0,3646,-49,-0.0134393856280856
"Parkes (NSW)",10919,0,0,10939,-20,-0.00182832068744858
"Parkes Surrounds",3262,0,0,3390,-128,-0.0377581120943953
"West Wyalong",5525,0,0,5850,-325,-0.0555555555555556
"Lithgow",12385,0,1,12251,134,0.0109378826218268
"Lithgow Surrounds",8448,0,1,7895,553,0.0700443318556048
"Mudgee",12563,0,0,10484,2079,0.198302174742465
"Mudgee Surrounds - East",3398,0,0,3345,53,0.0158445440956652
"Mudgee Surrounds - West",11072,0,0,9950,1122,0.112763819095477
"Wollangambe - Wollemi",0,0,1,0,0,NA
"Blayney",7517,0,0,7007,510,0.0727843584986442
"Orange",19023,0,0,19629,-606,-0.0308726883692496
"Orange - North",22895,0,0,16835,6060,0.35996435996436
"Orange Surrounds",11830,0,0,10997,833,0.0757479312539784
"Grafton",19255,0,0,18360,895,0.0487472766884532
"Grafton Surrounds",16875,0,0,15033,1842,0.122530433047296
"Maclean - Yamba - Iluka",17533,0,0,15845,1688,0.10653202903124
"Bellingen",6168,0,0,5704,464,0.0813464235624123
"Coffs Harbour - North",18099,0,0,16342,1757,0.107514380124832
"Coffs Harbour - South",11305,0,0,9817,1488,0.151573800550066
"Coramba - Nana Glen - Bucca",3950,0,0,3584,366,0.102120535714286
"Dorrigo",3250,0,0,3291,-41,-0.0124582193862048
"Korora - Emerald Beach",10262,0,0,7696,2566,0.333419958419958
"Sawtell - Boambee",20066,0,0,18940,1126,0.0594508975712777
"Urunga",4907,0,0,4545,362,0.0796479647964796
"Woolgoolga - Arrawarra",14463,0,0,11448,3015,0.263364779874214
"Bourke - Brewarrina",3428,0,0,4285,-857,-0.2
"Cobar",4129,0,0,4717,-588,-0.124655501377994
"Coonamble",3926,0,0,4259,-333,-0.0781873679267434
"Nyngan - Warren",4591,0,0,5208,-617,-0.11847158218126
"Walgett - Lightning Ridge",5534,0,0,6822,-1288,-0.188800938141308
"Broken Hill",17588,0,0,18519,-931,-0.0502726929099843
"Far West",2288,0,0,2686,-398,-0.148175725986597
"Coonabarabran",7921,0,0,8174,-253,-0.0309517983851236
"Dubbo - East",10633,0,0,10849,-216,-0.0199096690939257
"Dubbo - South",19628,0,0,15724,3904,0.248282879674383
"Dubbo - West",10317,0,0,7419,2898,0.390618681763041
"Dubbo Surrounds",5963,0,0,5165,798,0.154501452081317
"Gilgandra",4398,0,0,4459,-61,-0.0136801973536667
"Narromine",6458,0,0,6681,-223,-0.0333782367908996
"Wellington",8769,0,0,8623,146,0.0169314623680854
"Branxton - Greta - Pokolbin",12770,0,0,9272,3498,0.377264883520276
"Cessnock",23495,0,0,20262,3233,0.159559767051624
"Cessnock Surrounds",9145,0,0,7034,2111,0.300113733295422
"Dungog",9541,0,0,8317,1224,0.147168450162318
"Kurri Kurri - Abermain",20631,0,0,16198,4433,0.273675762439807
"Singleton",17018,0,0,16133,885,0.0548565052996963
"Singleton Surrounds",5332,0,0,4759,573,0.120403446102122
"Maitland",8611,0,0,4772,3839,0.804484492875105
"Maitland - North",8727,0,0,6616,2111,0.319074969770254
"East Maitland - Metford",17981,0,0,16957.9051552,1023.0948448,0.0603314404365729
"Rutherford (North) - Aberglasslyn",17730,0,0,12763.447886,4966.552114,0.389123076958517
"Rutherford (South) - Telarah",7976,0,0,5520.552114,2455.447886,0.444783028091165
"Tenambit - East Maitland",10091,0,0,8760.2830048,1330.7169952,0.151903425319806
"Thornton - Millers Forest",15899,0,0,8813.81184,7085.18816,0.803873317086833
"Anna Bay",6449,0,0,5431,1018,0.187442459952127
"Lemon Tree Passage - Tanilba Bay",6887,0,0,6317,570,0.090232705398132
"Nelson Bay Peninsula",21972,0,0,19644,2328,0.118509468540012
"Raymond Terrace",14588,0,0,13736,852,0.0620267909143856
"Seaham - Woodville",5693,0,0,5304,389,0.073340874811463
"Tea Gardens - Hawks Nest",5804,0,0,4500,1304,0.289777777777778
"Williamtown - Medowie - Karuah",15020,0,0,12579,2441,0.194053581365768
"Muswellbrook",12272,0,0,11791,481,0.0407938257993385
"Muswellbrook Surrounds",4083,0,0,3999,84,0.0210052513128282
"Scone",6035,0,0,5884,151,0.0256628144119646
"Scone Surrounds",8194,0,0,7871,323,0.041036717062635
"Dapto - Avondale",24195,0,0,22498,1697,0.0754289270157347
"Horsley - Kembla Grange",12155,0,0,7418,4737,0.63858182798598
"Port Kembla Industrial",5,0,0,27,-22,-0.814814814814815
"Unanderra - Mount Kembla",15280,0,0,15321,-41,-0.00267606553097056
"Berkeley - Lake Heights - Cringila",14200,0,0,12833.0724041072,1366.92759589276,0.106516004340104
"Port Kembla - Warrawong",9740,0,0,9639.77304787731,100.226952122686,0.0103972315141544
"Windang - Primbee",4239,0,0,4176.15454801547,62.8454519845336,0.0150486413426434
"Illawarra Catchment Reserve",9,0,1,11,-2,-0.181818181818182
"Albion Park - Macquarie Pass",19026,0,0,13617,5409,0.397224058162591
"Albion Park Rail",6920,0,0,7002,-82,-0.0117109397315053
"Kiama",8786,0,0,7165,1621,0.226238660153524
"Kiama Downs - Minnamurra",6063,0,0,5738,325,0.0566399442314395
