sa2,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Sales Workers,Machinery Operators and Drivers,Labourers,Inadequately described,Not stated,Not applicable
Braidwood,445,369,276,174,219,124,151,211,24,14,2328
Karabar,511,710,729,499,752,322,292,396,69,25,4200
Queanbeyan,784,1236,864,732,1046,499,382,563,108,43,5096
Queanbeyan - East,413,622,389,368,471,212,163,229,40,17,2163
Queanbeyan West - Jerrabomberra,1560,1768,811,699,1272,509,253,379,116,33,5341
Googong,756,989,416,347,616,190,95,126,68,20,2600
Queanbeyan Surrounds,1936,2085,1271,747,1390,477,383,508,157,63,7509
Bombala,255,116,113,109,95,71,145,173,7,12,1354
Cooma,372,547,419,400,395,314,228,312,34,23,3716
Cooma Surrounds,431,248,233,153,199,106,110,207,23,17,1743
Jindabyne - Berridale,868,670,676,738,415,397,277,572,51,42,3334
Batemans Bay,366,349,505,453,369,397,175,388,40,24,5512
Batemans Bay - South,394,581,481,490,405,367,143,362,34,26,5663
Bega - Tathra,398,766,503,551,403,352,199,588,29,43,5039
Bega-Eden Hinterland,790,666,631,487,414,299,292,578,39,36,5321
Broulee - Tomakin,202,375,240,201,164,118,63,147,16,21,2248
Deua - Wadbilliga,0,0,4,4,0,0,0,0,0,0,26
Eden,124,134,177,187,120,109,115,217,7,15,2218
Eurobodalla Hinterland,241,198,272,192,177,114,101,158,21,15,2021
Merimbula - Tura Beach,611,891,779,683,545,504,227,500,19,33,6721
Moruya - Tuross Head,371,575,551,438,420,310,200,352,29,41,5314
Narooma - Bermagui,465,572,589,481,340,341,139,392,31,44,6480
Goulburn,1134,1656,1560,1757,1253,1014,908,1369,120,102,13692
Goulburn Surrounds,1480,861,920,696,720,428,492,713,84,61,7392
Yass,415,606,525,467,427,239,176,298,42,22,3541
Yass Surrounds,1720,1498,902,612,894,347,247,460,99,42,5885
Young,598,606,715,584,510,502,284,626,41,49,6489
Young Surrounds,873,386,408,328,303,191,202,496,21,43,4423
Avoca Beach - Copacabana,604,1136,471,409,438,293,110,225,33,10,3783
Box Head - MacMasters Beach,773,1283,703,516,634,379,163,319,51,24,6198
Calga - Kulnura,525,388,340,208,239,123,141,268,27,41,2426
Erina - Green Point,850,1549,713,685,834,536,186,446,60,34,8864
Gosford - Springfield,1256,2703,1166,1327,1351,892,470,927,109,65,10954
Kariong,390,623,548,378,482,358,195,303,39,35,3135
Kincumber - Picketts Valley,382,640,448,440,424,258,133,270,28,28,4569
Narara,384,829,509,395,501,316,212,337,27,16,3630
Niagara Park - Lisarow,504,925,582,470,522,377,218,363,43,16,4181
Point Clare - Koolewong,397,829,351,326,408,275,132,228,23,13,3589
Saratoga - Davistown,444,745,580,388,447,324,122,247,39,19,3802
Terrigal - North Avoca,1214,2127,830,763,910,621,201,396,67,36,7683
Umina - Booker Bay - Patonga,1315,1992,1403,1281,1352,848,539,902,93,69,14905
Wamberal - Forresters Beach,819,1399,687,594,683,424,164,316,59,27,5504
Woy Woy - Blackwall,653,1172,827,705,768,488,332,555,65,58,8721
Wyoming,520,995,698,570,641,442,304,549,40,43,6618
Bateau Bay - Killarney Vale,1039,1820,1632,1338,1269,908,573,1028,87,66,13071
Blue Haven - San Remo,405,450,749,738,598,545,521,710,52,39,6485
Budgewoi - Buff Point - Halekulani,353,577,655,588,469,366,313,466,39,17,5888
Chittaway Bay - Tumbi Umbi,866,1338,1246,1006,1047,712,530,751,66,41,8409
Gorokan - Kanwal - Charmhaven,741,1096,1326,1395,1051,888,811,1152,84,69,13747
Jilliby - Yarramalong,334,339,274,189,215,136,101,143,29,15,1635
Lake Munmorah - Mannering Park,387,502,697,553,493,427,360,482,39,31,6979
Ourimbah - Fountaindale,371,565,336,314,366,215,149,200,26,13,2362
Summerland Point - Gwandalan,272,332,499,400,367,264,233,305,23,15,3775
The Entrance,772,1158,950,899,759,602,354,695,63,68,9521
Toukley - Norah Head,346,614,644,567,460,352,250,417,37,35,6181
Tuggerah - Kangy Angy,292,470,386,334,358,224,191,240,27,13,2701
Warnervale - Wadalba,1038,1638,1308,1321,1222,968,679,894,87,65,10845
Wyong,340,503,471,530,446,314,316,525,38,25,5609
Bathurst - East,634,973,857,871,715,520,440,642,57,30,6591
Bathurst Surrounds,679,609,516,334,407,206,234,347,40,30,3506
Oberon,369,236,308,207,185,121,299,279,38,25,2759
Bathurst - South,440,971,591,833,454,458,276,551,42,26,6106
Bathurst - West,790,1417,989,1067,889,603,450,704,78,51,7269
Condobolin,758,320,289,304,250,135,259,285,12,32,3722
Cowra,483,497,515,506,416,390,250,533,24,41,5605
Cowra Surrounds,646,310,287,258,215,149,165,319,5,24,3324
Forbes,861,669,590,485,419,380,358,579,34,51,5590
Grenfell,447,194,148,144,125,88,113,198,7,12,2118
Parkes (NSW),556,756,703,582,566,448,587,515,39,38,6122
Parkes Surrounds,433,175,165,129,121,55,112,138,12,29,1901
West Wyalong,606,294,372,236,245,158,298,276,17,32,2989
Lithgow,428,636,741,666,617,406,520,536,42,44,7744
Lithgow Surrounds,508,476,632,493,452,222,407,414,30,25,4785
Mudgee,628,937,1069,738,576,517,757,641,42,49,6615
Mudgee Surrounds - East,225,134,186,141,96,82,128,143,8,22,2239
Mudgee Surrounds - West,895,598,801,433,479,319,621,599,39,50,6241
Wollangambe - Wollemi,0,0,0,0,0,0,0,0,0,0,0
Blayney,616,506,517,396,385,224,332,464,34,31,4001
Orange,812,1873,1178,1119,939,662,564,948,76,61,10792
Orange - North,1315,2580,1668,1467,1508,937,778,977,107,56,11502
Orange Surrounds,1297,1055,841,539,719,354,411,607,54,51,5899
Grafton,665,1115,883,1305,881,760,505,957,57,64,12062
Grafton Surrounds,925,840,904,853,680,489,549,849,66,75,10655
Maclean - Yamba - Iluka,764,1114,918,890,638,575,327,852,46,81,11329
Bellingen,339,742,325,350,242,189,109,240,26,20,3579
Coffs Harbour - North,828,1350,1027,1131,961,815,354,916,78,69,10578
Coffs Harbour - South,434,943,541,672,563,504,193,606,43,38,6767
Coramba - Nana Glen - Bucca,221,329,317,232,229,159,115,212,23,21,2092
Dorrigo,293,192,127,128,120,89,88,184,9,20,2003
Korora - Emerald Beach,679,1280,623,651,656,449,183,362,43,29,5309
Sawtell - Boambee,1014,1733,1147,1310,1061,915,457,985,72,54,11320
Urunga,229,384,304,277,209,146,110,221,12,10,2995
Woolgoolga - Arrawarra,939,1065,836,855,660,460,287,1020,50,47,8246
Bourke - Brewarrina,309,216,128,227,140,49,94,146,19,23,2069
Cobar,293,201,353,141,178,109,331,214,17,12,2276
Coonamble,407,205,129,187,144,62,96,222,15,23,2428
Nyngan - Warren,478,248,254,204,184,96,256,292,19,27,2520
