"sa2_code_2011","sa2_name_2011","lga_code_2011","lga_name_2011","nsw_lhd_name"
"115011290","Baulkham Hills (East)","17420","The Hills Shire (A)","Western Sydney"
"115011291","Baulkham Hills (West) - Bella Vista","17420","The Hills Shire (A)","Western Sydney"
"115011292","Castle Hill","17420","The Hills Shire (A)","Western Sydney"
"115011294","Glenhaven","17420","The Hills Shire (A)","Western Sydney"
"115011295","Kellyville","17420","The Hills Shire (A)","Western Sydney"
"115011296","West Pennant Hills","17420","The Hills Shire (A)","Western Sydney"
"115021297","Dural - Kenthurst - Wisemans Ferry","17420","The Hills Shire (A)","Western Sydney"
"115041302","Rouse Hill - Beaumont Hills","17420","The Hills Shire (A)","Western Sydney"
"116011303","Blacktown (East) - Kings Park","10750","Blacktown (C)","Western Sydney"
"116011304","Blacktown (North) - Marayong","10750","Blacktown (C)","Western Sydney"
"116011305","Blacktown (South)","10750","Blacktown (C)","Western Sydney"
"116011306","Doonside - Woodcroft","10750","Blacktown (C)","Western Sydney"
"116011307","Lalor Park - Kings Langley","10750","Blacktown (C)","Western Sydney"
"116011308","Seven Hills - Toongabbie","10750","Blacktown (C)","Western Sydney"
"116021309","Glenwood","10750","Blacktown (C)","Western Sydney"
"116021310","Parklea - Kellyville Ridge","10750","Blacktown (C)","Western Sydney"
"116021311","Quakers Hill - Acacia Gardens","10750","Blacktown (C)","Western Sydney"
"116021312","Riverstone - Marsden Park","10750","Blacktown (C)","Western Sydney"
"116031313","Bidwill - Hebersham - Emerton","10750","Blacktown (C)","Western Sydney"
"116031314","Glendenning Dean Park","10750","Blacktown (C)","Western Sydney"
"116031315","Hassall Grove - Plumpton","10750","Blacktown (C)","Western Sydney"
"116031316","Lethbridge Park - Tregear","10750","Blacktown (C)","Western Sydney"
"116031317","Mount Druitt - Whalan","10750","Blacktown (C)","Western Sydney"
"116031318","Prospect Reservoir","10750","Blacktown (C)","Western Sydney"
"116031319","Rooty Hill - Minchinbury","10750","Blacktown (C)","Western Sydney"
"125011472","Auburn","10200","Auburn (C)","Western Sydney"
"125011473","Homebush Bay - Silverwater","10200","Auburn (C)","Western Sydney"
"125011474","Lidcombe - Regents Park","10200","Auburn (C)","Western Sydney"
"125011475","Rookwood Cemetery","10200","Auburn (C)","Western Sydney"
"125021476","Carlingford","17420","The Hills Shire (A)","Western Sydney"
"125021477","Ermington - Rydalmere","16250","Parramatta (C)","Western Sydney"
"125021478","Oatlands - Dundas Valley","16250","Parramatta (C)","Western Sydney"
"125031481","Granville - Clyde","16250","Parramatta (C)","Western Sydney"
"125031482","Greystanes - Pemulwuy","13950","Holroyd (C)","Western Sydney"
"125031483","Guildford - South Granville","16250","Parramatta (C)","Western Sydney"
"125031484","Guildford West - Merrylands West","13950","Holroyd (C)","Western Sydney"
"125031485","Merrylands - Holroyd","13950","Holroyd (C)","Western Sydney"
"125031486","Smithfield Industrial","13950","Holroyd (C)","Western Sydney"
"125031487","Yennora Industrial","13950","Holroyd (C)","Western Sydney"
"125041488","Girraween - Westmead","13950","Holroyd (C)","Western Sydney"
"125041489","North Parramatta","16250","Parramatta (C)","Western Sydney"
"125041490","North Rocks","17420","The Hills Shire (A)","Western Sydney"
"125041491","Northmead","16250","Parramatta (C)","Western Sydney"
"125041492","Parramatta - Rosehill","16250","Parramatta (C)","Western Sydney"
"125041493","Toongabbie - Constitution Hill","16250","Parramatta (C)","Western Sydney"
"125041494","Winston Hills","16250","Parramatta (C)","Western Sydney"
"115041301","Pitt Town - McGraths Hill","13800","Hawkesbury (C)","Nepean Blue Mountains"
"126011495","Epping - North Epping","14000","Hornsby (A)","Northern Sydney"
"126021497","Eastwood - Denistone","16700","Ryde (C)","Northern Sydney"
