sa2,lga
Auburn,Auburn (A)
Homebush Bay - Silverwater,Auburn (A)
Lidcombe - Regents Park,Auburn (A)
Rookwood Cemetery,Auburn (A)
Bidwill - Hebersham - Emerton,Blacktown (C)
Blacktown (East) - Kings Park,Blacktown (C)
Blacktown (North) - Marayong,Blacktown (C)
Blacktown (South),Blacktown (C)
Doonside - Woodcroft,Blacktown (C)
Glendenning Dean Park,Blacktown (C)
Glenwood,Blacktown (C)
Hassall Grove - Plumpton,Blacktown (C)
Lalor Park - Kings Langley,Blacktown (C)
Lethbridge Park - Tregear,Blacktown (C)
Mount Druitt - Whalan,Blacktown (C)
Parklea - Kellyville Ridge,Blacktown (C)
Prospect Reservoir,Blacktown (C)
Quakers Hill - Acacia Gardens,Blacktown (C)
Riverstone - Marsden Park,Blacktown (C)
Rooty Hill - Minchinbury,Blacktown (C)
Seven Hills - Toongabbie,Blacktown (C)
Girraween - Westmead,Holroyd (C)
Greystanes - Pemulwuy,Holroyd (C)
Guildford West - Merrylands West,Holroyd (C)
Merrylands - Holroyd,Holroyd (C)
Smithfield Industrial,Holroyd (C)
Yennora Industrial,Holroyd (C)
Carlingford,Parramatta (C)
Epping - North Epping,Parramatta (C)
Ermington - Rydalmere,Parramatta (C)
Granville - Clyde,Parramatta (C)
Guildford - South Granville,Parramatta (C)
North Parramatta,Parramatta (C)
Northmead,Parramatta (C)
Oatlands - Dundas Valley,Parramatta (C)
Parramatta - Rosehill,Parramatta (C)
Toongabbie - Constitution Hill,Parramatta (C)
Winston Hills,Parramatta (C)
Baulkham Hills (East),The Hills Shire (A)
Baulkham Hills (West) - Bella Vista,The Hills Shire (A)
Kellyville,The Hills Shire (A)
North Rocks,The Hills Shire (A)
Rouse Hill - Beaumont Hills,The Hills Shire (A)
West Pennant Hills,The Hills Shire (A)
Castle Hill,The Hills Shire (A)
Dural - Kenthurst - Wisemans Ferry,The Hills Shire (A)
Eastwood - Denistone,The Hills Shire (A)
Glenhaven,The Hills Shire (A)
Pitt Town - McGraths Hill,The Hills Shire (A)
