sa2_name_2021,in_wslhd,in_metro,pop_size,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_0_19,age_20_39,age_40_59,age_60_plus,australia,overseas,english,non_english,prop_age_0_9,prop_age_10_19,prop_age_20_29,prop_age_30_39,prop_age_40_49,prop_age_50_59,prop_age_0_19,prop_age_20_39,prop_age_40_59,prop_age_60_plus,prop_australia,prop_overseas,prop_english,prop_non_english
Braidwood,0,0,4343,468,403,291,443,496,705,871,734,1201,1538,3422,530,3789,172,0.10775961317061938,0.09279300023025558,0.06700437485609026,0.10200322357817176,0.11420676951416071,0.1623301865070228,0.20055261340087496,0.16900759843426202,0.2765369560211835,0.3541330877273774,0.7879346074142298,0.12203545935988948,0.8724384066313609,0.039603960396039604
Karabar,0,0,8517,1055,1053,1144,1229,1100,1176,2108,2373,2276,1756,6522,1474,6750,1229,0.12386990724433486,0.12363508277562522,0.13431959610191382,0.1442996360220735,0.12915345779030174,0.13807678760126804,0.24750499001996007,0.2786192321239873,0.2672302453915698,0.2061758835270635,0.7657625924621345,0.17306563343900436,0.7925325818950335,0.1442996360220735
Queanbeyan,0,0,11342,1258,909,1820,2143,1443,1368,2167,3963,2811,2400,7697,3042,8097,2554,0.11091518250749427,0.08014459530946923,0.1604655263621936,0.1889437488979016,0.12722623875859637,0.12061364838652795,0.1910597778169635,0.34940927526009524,0.2478398871451243,0.2116028919061894,0.6786281079174749,0.26820666549109506,0.7138952565685064,0.22518074413683653
Queanbeyan - East,0,0,5085,571,398,903,967,610,689,969,1870,1299,933,3593,1241,3788,1037,0.11229105211406096,0.07826941986234022,0.1775811209439528,0.19016715830875122,0.119960668633235,0.13549655850540807,0.1905604719764012,0.36774827925270404,0.25545722713864305,0.18348082595870208,0.7065880039331367,0.2440511307767945,0.7449360865290069,0.2039331366764995
Queanbeyan West - Jerrabomberra,0,0,12744,1750,1896,1391,1764,1921,2130,3646,3155,4051,1897,10156,2166,10701,1576,0.13731952291274324,0.1487758945386064,0.10914940364092907,0.1384180790960452,0.15073760200878844,0.16713747645951035,0.28609541745134964,0.24756748273697426,0.3178750784682988,0.14885436283741368,0.7969240426867545,0.1699623352165725,0.8396892655367232,0.12366603892027621
Googong,0,0,6224,1451,686,726,1584,955,489,2137,2310,1444,330,4808,1202,4879,1100,0.2331298200514139,0.11021850899742931,0.1166452442159383,0.2544987146529563,0.1534383033419023,0.0785668380462725,0.3433483290488432,0.3711439588688946,0.2320051413881748,0.053020565552699225,0.7724935732647815,0.19312339331619538,0.783901028277635,0.17673521850899743
Queanbeyan Surrounds,0,0,16539,1965,2278,1527,1933,2351,2757,4243,3460,5108,3722,13507,2103,14835,780,0.11881008525303827,0.13773505048672835,0.09232722655541448,0.11687526452627124,0.14214886026966564,0.1666968982405224,0.2565451357397666,0.2092024910816857,0.30884575851018803,0.2250438357820908,0.8166757361388234,0.12715399963722113,0.8969707962996554,0.04716125521494649
Bombala,0,0,2454,265,262,222,258,231,342,527,480,573,870,2005,192,2162,56,0.10798696006519967,0.10676446617766912,0.09046454767726161,0.10513447432762836,0.0941320293398533,0.1393643031784841,0.21475142624286878,0.19559902200489,0.2334963325183374,0.3545232273838631,0.8170334148329258,0.07823960880195599,0.8810105949470253,0.022819885900570498
Cooma,0,0,6761,739,694,730,915,747,911,1433,1645,1658,2032,5264,1092,5588,619,0.10930335749149533,0.10264753734654637,0.10797219346250554,0.13533500961396244,0.11048661440615294,0.13474338115663365,0.21195089483804172,0.24330720307646797,0.24522999556278657,0.30054725632302914,0.7785830498446975,0.1615145688507617,0.8265049548883301,0.09155450377163142
Cooma Surrounds,0,0,3472,319,412,274,303,420,600,731,577,1020,1144,2749,398,3026,137,0.0918778801843318,0.11866359447004608,0.07891705069124424,0.08726958525345622,0.12096774193548387,0.1728110599078341,0.2105414746543779,0.16618663594470046,0.29377880184331795,0.3294930875576037,0.7917626728110599,0.11463133640552996,0.8715437788018433,0.03945852534562212
