sa2_name_2021,in_wslhd,in_metro,pop_size
Braidwood,0,0,4343
Karabar,0,0,8517
Queanbeyan,0,0,11342
Queanbeyan - East,0,0,5085
Queanbeyan West - Jerrabomberra,0,0,12744
Googong,0,0,6224
Queanbeyan Surrounds,0,0,16539
Bombala,0,0,2454
Cooma,0,0,6761
Cooma Surrounds,0,0,3472
Jindabyne - Berridale,0,0,8035
Batemans Bay,0,0,8581
Batemans Bay - South,0,0,8938
Bega - Tathra,0,0,8872
Bega-Eden Hinterland,0,0,9557
Broulee - Tomakin,0,0,3792
Deua - Wadbilliga,0,0,43
Eden,0,0,3425
Eurobodalla Hinterland,0,0,3525
Merimbula - Tura Beach,0,0,11513
Moruya - Tuross Head,0,0,8600
Narooma - Bermagui,0,0,9888
Goulburn,0,0,24565
Goulburn Surrounds,0,0,13839
Yass,0,0,6763
Yass Surrounds,0,0,12713
Young,0,0,11004
Young Surrounds,0,0,7677
Avoca Beach - Copacabana,0,0,7513
Box Head - MacMasters Beach,0,0,11042
Calga - Kulnura,0,0,4716
Erina - Green Point,0,0,14758
Gosford - Springfield,0,0,21204
Kariong,0,0,6485
Kincumber - Picketts Valley,0,0,7615
Narara,0,0,7157
Niagara Park - Lisarow,0,0,8205
Point Clare - Koolewong,0,0,6571
Saratoga - Davistown,0,0,7160
Terrigal - North Avoca,0,0,14849
Umina - Booker Bay - Patonga,0,0,24697
Wamberal - Forresters Beach,0,0,10675
Woy Woy - Blackwall,0,0,14346
Wyoming,0,0,11423
Bateau Bay - Killarney Vale,0,0,22825
Blue Haven - San Remo,0,0,11290
Budgewoi - Buff Point - Halekulani,0,0,9728
Chittaway Bay - Tumbi Umbi,0,0,16006
Gorokan - Kanwal - Charmhaven,0,0,22362
Jilliby - Yarramalong,0,0,3420
Lake Munmorah - Mannering Park,0,0,10960
Ourimbah - Fountaindale,0,0,4928
Summerland Point - Gwandalan,0,0,6492
The Entrance,0,0,15839
Toukley - Norah Head,0,0,9909
Tuggerah - Kangy Angy,0,0,5229
Warnervale - Wadalba,0,0,20051
Wyong,0,0,9120
Bathurst - East,0,0,12330
Bathurst Surrounds,0,0,6909
Oberon,0,0,4834
Bathurst - South,0,0,10752
Bathurst - West,0,0,14313
Condobolin,0,0,6372
Cowra,0,0,9273
Cowra Surrounds,0,0,5716
Forbes,0,0,10020
Grenfell,0,0,3597
Parkes (NSW),0,0,10919
Parkes Surrounds,0,0,3262
West Wyalong,0,0,5525
Lithgow,0,1,12385
Lithgow Surrounds,0,1,8448
Mudgee,0,0,12563
Mudgee Surrounds - East,0,0,3398
Mudgee Surrounds - West,0,0,11072
Wollangambe - Wollemi,0,1,0
Blayney,0,0,7517
Orange,0,0,19023
Orange - North,0,0,22895
Orange Surrounds,0,0,11830
Grafton,0,0,19255
Grafton Surrounds,0,0,16875
Maclean - Yamba - Iluka,0,0,17533
Bellingen,0,0,6168
Coffs Harbour - North,0,0,18099
Coffs Harbour - South,0,0,11305
Coramba - Nana Glen - Bucca,0,0,3950
Dorrigo,0,0,3250
Korora - Emerald Beach,0,0,10262
Sawtell - Boambee,0,0,20066
Urunga,0,0,4907
Woolgoolga - Arrawarra,0,0,14463
Bourke - Brewarrina,0,0,3428
Cobar,0,0,4129
Coonamble,0,0,3926
Nyngan - Warren,0,0,4591
Walgett - Lightning Ridge,0,0,5534
Broken Hill,0,0,17588
Far West,0,0,2288
Coonabarabran,0,0,7921
Dubbo - East,0,0,10633
Dubbo - South,0,0,19628
Dubbo - West,0,0,10317
Dubbo Surrounds,0,0,5963
Gilgandra,0,0,4398
Narromine,0,0,6458
Wellington,0,0,8769
Branxton - Greta - Pokolbin,0,0,12770
Cessnock,0,0,23495
Cessnock Surrounds,0,0,9145
Dungog,0,0,9541
Kurri Kurri - Abermain,0,0,20631
Singleton,0,0,17018
Singleton Surrounds,0,0,5332
Maitland,0,0,8611
Maitland - North,0,0,8727
East Maitland - Metford,0,0,17981
Rutherford (North) - Aberglasslyn,0,0,17730
Rutherford (South) - Telarah,0,0,7976
Tenambit - East Maitland,0,0,10091
Thornton - Millers Forest,0,0,15899
Anna Bay,0,0,6449
Lemon Tree Passage - Tanilba Bay,0,0,6887
Nelson Bay Peninsula,0,0,21972
Raymond Terrace,0,0,14588
Seaham - Woodville,0,0,5693
Tea Gardens - Hawks Nest,0,0,5804
Williamtown - Medowie - Karuah,0,0,15020
Muswellbrook,0,0,12272
Muswellbrook Surrounds,0,0,4083
Scone,0,0,6035
Scone Surrounds,0,0,8194
Dapto - Avondale,0,0,24195
Horsley - Kembla Grange,0,0,12155
Port Kembla Industrial,0,0,5
Unanderra - Mount Kembla,0,0,15280
Berkeley - Lake Heights - Cringila,0,0,14200
Port Kembla - Warrawong,0,0,9740
Windang - Primbee,0,0,4239
Illawarra Catchment Reserve,0,1,9
Albion Park - Macquarie Pass,0,0,19026
Albion Park Rail,0,0,6920
Kiama,0,0,8786
Kiama Downs - Minnamurra,0,0,6063
Kiama Hinterland - Gerringong,0,0,8136
Shellharbour - Flinders,0,0,19341
Shellharbour - Oak Flats,0,0,10590
Warilla,0,0,20397
Balgownie - Fairy Meadow,0,0,21519
