sa2_name_2021,in_wslhd,in_metro,pop_size,arthritis,asthma,cancer,dementia,diabetes,heart_disease,kidney_disease,lung_condition,mental_health,stroke,prop_arthritis,prop_asthma,prop_cancer,prop_dementia,prop_diabetes,prop_heart_disease,prop_kidney_disease,prop_lung_condition,prop_mental_health,prop_stroke
Braidwood,0,0,4343,584,363,179,38,185,225,41,102,371,52,0.13446926087957634,0.0835827768823394,0.04121574948192493,0.008749712180520378,0.04259728298411237,0.051807506332028554,0.009440478931614092,0.023486069537186276,0.08542482155192263,0.011973290352291043
Karabar,0,0,8517,886,868,245,37,468,312,146,184,910,80,0.10402723963837032,0.10191381941998356,0.028765997416930845,0.0043442526711283316,0.054948925678055656,0.03663261711870377,0.017142186215803688,0.02160385112128684,0.106845133262886,0.009392978748385582
Queanbeyan,0,0,11342,1110,995,297,137,622,433,152,227,1322,124,0.0978663375066126,0.08772703226944102,0.026185857873390936,0.01207899841297831,0.054840416152354084,0.038176688414741665,0.013401516487391994,0.020014106859460413,0.11655792629165931,0.010932816081819785
Queanbeyan - East,0,0,5085,455,470,125,15,214,173,55,97,579,44,0.08947885939036382,0.09242871189773845,0.024582104228121928,0.0029498525073746312,0.04208456243854474,0.034021632251720745,0.010816125860373648,0.019075712881022614,0.11386430678466077,0.008652900688298918
Queanbeyan West - Jerrabomberra,0,0,12744,960,1095,343,33,469,326,89,160,1138,83,0.07532956685499058,0.08592278719397363,0.026914626490897677,0.0025894538606403015,0.036801632140615194,0.025580665411173886,0.006983678593848085,0.012554927809165096,0.08929692404268676,0.0065128688010043945
Googong,0,0,6224,277,533,83,9,163,85,23,38,537,18,0.04450514138817481,0.0856362467866324,0.01333547557840617,0.0014460154241645244,0.026188946015424163,0.01365681233933162,0.0036953727506426736,0.006105398457583547,0.08627892030848329,0.002892030848329049
Queanbeyan Surrounds,0,0,16539,1587,1455,505,47,647,557,169,252,1469,103,0.09595501541810267,0.08797387992018864,0.03053388959429228,0.002841767942439083,0.039119656569320996,0.03367797327528871,0.010218271963238407,0.015236713223290404,0.08882036398814923,0.006227704214281395
Bombala,0,0,2454,326,158,90,24,123,133,32,66,183,42,0.1328443357783211,0.06438467807660962,0.03667481662591687,0.009779951100244499,0.05012224938875306,0.05419722901385493,0.013039934800325998,0.02689486552567237,0.0745721271393643,0.017114914425427872
Cooma,0,0,6761,875,568,240,81,399,336,79,190,756,74,0.12941872504067445,0.08401124094068925,0.03549770743972785,0.01198047626090815,0.05901493861854755,0.04969679041561899,0.011684662032243751,0.028102351723117883,0.11181777843514273,0.010945126460582754
Cooma Surrounds,0,0,3472,410,291,134,15,160,172,30,83,303,32,0.11808755760368664,0.08381336405529954,0.03859447004608295,0.004320276497695853,0.04608294930875576,0.04953917050691244,0.008640552995391706,0.02390552995391705,0.08726958525345622,0.009216589861751152
Jindabyne - Berridale,0,0,8035,639,649,182,25,205,241,47,97,582,44,0.07952706907280647,0.08077162414436839,0.022650902302426883,0.0031113876789047915,0.02551337896701929,0.02999377722464219,0.005849408836341008,0.012072184194150591,0.07243310516490355,0.005476042314872433
Batemans Bay,0,0,8581,1281,783,415,132,518,513,139,287,998,147,0.14928330031464865,0.0912481062813192,0.04836266169444121,0.015382822514858408,0.060365924717398906,0.05978324204638154,0.016198578254282718,0.03344598531639669,0.11630346113506584,0.0171308705279105
Batemans Bay - South,0,0,8938,1393,850,451,120,539,589,163,294,986,134,0.1558514208995301,0.09509957484895949,0.05045871559633028,0.013425822331617812,0.06030431863951667,0.06589841127769076,0.018236742000447528,0.032893264712463635,0.11031550682479302,0.014992168270306557
Bega - Tathra,0,0,8872,1112,850,320,51,431,444,137,262,1000,110,0.12533814247069433,0.09580703336339044,0.03606853020739405,0.005748422001803427,0.04857980162308386,0.05004508566275924,0.015441839495040577,0.029531109107303877,0.1127141568981064,0.012398557258791704
Bega-Eden Hinterland,0,0,9557,1208,824,383,40,428,490,143,271,974,88,0.12639949775034007,0.08621952495552998,0.04007533744899027,0.004185413832792717,0.044783928010882074,0.05127131945171079,0.014962854452233965,0.02835617871717066,0.10191482682850267,0.009207910432143978
Broulee - Tomakin,0,0,3792,578,317,196,48,166,233,74,95,360,62,0.15242616033755274,0.08359704641350212,0.05168776371308017,0.012658227848101266,0.04377637130801688,0.061445147679324894,0.019514767932489453,0.025052742616033755,0.0949367088607595,0.016350210970464137
Deua - Wadbilliga,0,0,43,9,0,0,0,0,5,4,6,4,0,0.20930232558139536,0,0,0,0,0.11627906976744186,0.09302325581395349,0.13953488372093023,0.09302325581395349,0
Eden,0,0,3425,511,302,131,47,236,258,58,159,346,61,0.1491970802919708,0.08817518248175182,0.038248175182481754,0.013722627737226278,0.0689051094890511,0.07532846715328467,0.016934306569343065,0.046423357664233576,0.10102189781021897,0.01781021897810219
Eurobodalla Hinterland,0,0,3525,442,249,144,17,155,182,37,106,326,42,0.1253900709219858,0.07063829787234042,0.04085106382978723,0.004822695035460993,0.04397163120567376,0.05163120567375887,0.01049645390070922,0.030070921985815603,0.0924822695035461,0.011914893617021277
