"sa2_name_2021","age_group","pop_2021","pop2011_as21","abs_change","growth_rate","in_wslhd_2021","in_metro_2021"
"Braidwood","0_9",468,396,72,0.181818181818182,0,0
"Braidwood","10_19",403,405,-2,-0.00493827160493827,0,0
"Braidwood","20_29",291,202,89,0.440594059405941,0,0
"Braidwood","30_39",443,355,88,0.247887323943662,0,0
"Braidwood","40_49",496,496,0,0,0,0
"Braidwood","50_59",705,550,155,0.281818181818182,0,0
"Braidwood","60_69",769,545,224,0.411009174311927,0,0
"Braidwood","70_79",550,282,268,0.950354609929078,0,0
"Braidwood","80_89",188,96,92,0.958333333333333,0,0
"Braidwood","90_99",31,18,13,0.722222222222222,0,0
"Braidwood","100_plus",0,4,-4,-1,0,0
"Karabar","0_9",1055,1183,-128,-0.108199492814877,0,0
"Karabar","10_19",1053,1259,-206,-0.163621922160445,0,0
"Karabar","20_29",1144,1181,-37,-0.0313293818797629,0,0
"Karabar","30_39",1229,1188,41,0.0345117845117845,0,0
"Karabar","40_49",1100,1337,-237,-0.177262528047868,0,0
"Karabar","50_59",1176,1159,17,0.0146678170836928,0,0
"Karabar","60_69",940,746,194,0.260053619302949,0,0
"Karabar","70_79",556,384,172,0.447916666666667,0,0
"Karabar","80_89",231,145,86,0.593103448275862,0,0
"Karabar","90_99",29,9,20,2.22222222222222,0,0
"Karabar","100_plus",0,0,0,NA,0,0
"Queanbeyan","0_9",1258,1113,145,0.130278526504942,0,0
"Queanbeyan","10_19",909,935,-26,-0.027807486631016,0,0
"Queanbeyan","20_29",1820,1813,7,0.00386100386100386,0,0
"Queanbeyan","30_39",2143,1670,473,0.283233532934132,0,0
"Queanbeyan","40_49",1443,1435,8,0.00557491289198606,0,0
"Queanbeyan","50_59",1368,1211,157,0.129644921552436,0,0
"Queanbeyan","60_69",1089,907,182,0.200661521499449,0,0
"Queanbeyan","70_79",703,585,118,0.201709401709402,0,0
"Queanbeyan","80_89",470,473,-3,-0.00634249471458774,0,0
"Queanbeyan","90_99",134,88,46,0.522727272727273,0,0
"Queanbeyan","100_plus",4,3,1,0.333333333333333,0,0
"Queanbeyan - East","0_9",571,530,41,0.0773584905660377,0,0
"Queanbeyan - East","10_19",398,440,-42,-0.0954545454545455,0,0
"Queanbeyan - East","20_29",903,951,-48,-0.0504731861198738,0,0
"Queanbeyan - East","30_39",967,711,256,0.360056258790436,0,0
"Queanbeyan - East","40_49",610,668,-58,-0.0868263473053892,0,0
"Queanbeyan - East","50_59",689,623,66,0.105939004815409,0,0
"Queanbeyan - East","60_69",510,408,102,0.25,0,0
"Queanbeyan - East","70_79",296,194,102,0.525773195876289,0,0
"Queanbeyan - East","80_89",107,105,2,0.019047619047619,0,0
"Queanbeyan - East","90_99",20,16,4,0.25,0,0
"Queanbeyan - East","100_plus",0,0,0,NA,0,0
"Queanbeyan West - Jerrabomberra","0_9",1750,2066,-316,-0.152952565343659,0,0
"Queanbeyan West - Jerrabomberra","10_19",1896,2064,-168,-0.0813953488372093,0,0
"Queanbeyan West - Jerrabomberra","20_29",1391,1435,-44,-0.0306620209059233,0,0
"Queanbeyan West - Jerrabomberra","30_39",1764,1891,-127,-0.0671602326811211,0,0
"Queanbeyan West - Jerrabomberra","40_49",1921,2524,-603,-0.238906497622821,0,0
"Queanbeyan West - Jerrabomberra","50_59",2130,1486,644,0.433378196500673,0,0
"Queanbeyan West - Jerrabomberra","60_69",1119,688,431,0.626453488372093,0,0
"Queanbeyan West - Jerrabomberra","70_79",566,312,254,0.814102564102564,0,0
"Queanbeyan West - Jerrabomberra","80_89",191,106,85,0.80188679245283,0,0
"Queanbeyan West - Jerrabomberra","90_99",21,8,13,1.625,0,0
"Queanbeyan West - Jerrabomberra","100_plus",0,0,0,NA,0,0
"Googong","0_9",1451,182.4912039,1268.5087961,6.95106815556495,0,0
"Googong","10_19",686,217.4034056,468.5965944,2.15542435090538,0,0
"Googong","20_29",726,114.6009945,611.3990055,5.33502355863064,0,0
"Googong","30_39",1584,157.3466819,1426.6533181,9.0669425047469,0,0
"Googong","40_49",955,245.9327671,709.0672329,2.88317511025964,0,0
"Googong","50_59",489,233.7473449,255.2526551,1.09200237208769,0,0
"Googong","60_69",209,147.1921634,61.8078366,0.419912549501939,0,0
"Googong","70_79",99,48.8383985,50.1616015,1.02709349693357,0,0
"Googong","80_89",22,14.8932938,7.1067062,0.477174914792858,0,0
"Googong","90_99",0,1.6440649,-1.6440649,-1,0,0
"Googong","100_plus",0,0,0,NA,0,0
"Queanbeyan Surrounds","0_9",1965,1704.5087961,260.4912039,0.152824792982011,0,0
"Queanbeyan Surrounds","10_19",2278,2030.5965944,247.4034056,0.121837792047072,0,0
"Queanbeyan Surrounds","20_29",1527,1070.3990055,456.6009945,0.426570832141903,0,0
"Queanbeyan Surrounds","30_39",1933,1469.6533181,463.3466819,0.315276178533741,0,0
"Queanbeyan Surrounds","40_49",2351,2297.0672329,53.9327671000001,0.0234789675842057,0,0
"Queanbeyan Surrounds","50_59",2757,2183.2526551,573.7473449,0.262794754221298,0,0
"Queanbeyan Surrounds","60_69",2154,1374.8078366,779.1921634,0.566764418020048,0,0
"Queanbeyan Surrounds","70_79",1244,456.1616015,787.8383985,1.72710371918492,0,0
"Queanbeyan Surrounds","80_89",288,139.1067062,148.8932938,1.07035309703854,0,0
"Queanbeyan Surrounds","90_99",36,15.3559351,20.6440649,1.3443704187054,0,0
"Queanbeyan Surrounds","100_plus",0,0,0,NA,0,0
"Bombala","0_9",265,277,-12,-0.0433212996389892,0,0
"Bombala","10_19",262,304,-42,-0.138157894736842,0,0
"Bombala","20_29",222,189,33,0.174603174603175,0,0
"Bombala","30_39",258,228,30,0.131578947368421,0,0
"Bombala","40_49",231,338,-107,-0.316568047337278,0,0
"Bombala","50_59",342,387,-45,-0.116279069767442,0,0
"Bombala","60_69",420,352,68,0.193181818181818,0,0
"Bombala","70_79",302,183,119,0.650273224043716,0,0
"Bombala","80_89",120,119,1,0.00840336134453781,0,0
"Bombala","90_99",28,33,-5,-0.151515151515152,0,0
"Bombala","100_plus",0,0,0,NA,0,0
"Cooma","0_9",739,786,-47,-0.0597964376590331,0,0
"Cooma","10_19",694,891,-197,-0.221099887766554,0,0
"Cooma","20_29",730,672,58,0.0863095238095238,0,0
"Cooma","30_39",915,773,142,0.183699870633894,0,0
"Cooma","40_49",747,937,-190,-0.202774813233725,0,0
"Cooma","50_59",911,888,23,0.0259009009009009,0,0
"Cooma","60_69",845,778,67,0.0861182519280206,0,0
"Cooma","70_79",707,526,181,0.344106463878327,0,0
"Cooma","80_89",391,347,44,0.126801152737752,0,0
