"sa2_code_2021","sa2_name_2021","lga_code_2021","lga_name_2021","nsw_lhd_name"
"101021007","Braidwood","16490","Queanbeyan-Palerang Regional","Southern NSW"
"101021008","Karabar","16490","Queanbeyan-Palerang Regional","Southern NSW"
"101021009","Queanbeyan","16490","Queanbeyan-Palerang Regional","Southern NSW"
"101021010","Queanbeyan - East","16490","Queanbeyan-Palerang Regional","Southern NSW"
"101021012","Queanbeyan West - Jerrabomberra","16490","Queanbeyan-Palerang Regional","Southern NSW"
"101021610","Googong","16490","Queanbeyan-Palerang Regional","Southern NSW"
"101021611","Queanbeyan Surrounds","16490","Queanbeyan-Palerang Regional","Southern NSW"
"101031013","Bombala","17040","Snowy Monaro Regional","Southern NSW"
"101031014","Cooma","17040","Snowy Monaro Regional","Southern NSW"
"101031015","Cooma Surrounds","17040","Snowy Monaro Regional","Southern NSW"
"101031016","Jindabyne - Berridale","17040","Snowy Monaro Regional","Southern NSW"
"101041017","Batemans Bay","12750","Eurobodalla","Southern NSW"
"101041018","Batemans Bay - South","12750","Eurobodalla","Southern NSW"
"101041019","Bega - Tathra","10550","Bega Valley","Southern NSW"
"101041020","Bega-Eden Hinterland","10550","Bega Valley","Southern NSW"
"101041021","Broulee - Tomakin","12750","Eurobodalla","Southern NSW"
"101041022","Deua - Wadbilliga","12750","Eurobodalla","Southern NSW"
"101041023","Eden","10550","Bega Valley","Southern NSW"
"101041024","Eurobodalla Hinterland","12750","Eurobodalla","Southern NSW"
"101041025","Merimbula - Tura Beach","10550","Bega Valley","Southern NSW"
"101041026","Moruya - Tuross Head","12750","Eurobodalla","Southern NSW"
"101041027","Narooma - Bermagui","12750","Eurobodalla","Southern NSW"
"101051539","Goulburn","13310","Goulburn Mulwaree","Southern NSW"
"101051540","Goulburn Surrounds","17640","Upper Lachlan Shire","Southern NSW"
"101061541","Yass","18710","Yass Valley","Southern NSW"
"101061542","Yass Surrounds","18710","Yass Valley","Southern NSW"
"101061543","Young","13910","Hilltops","Murrumbidgee"
"101061544","Young Surrounds","13910","Hilltops","Murrumbidgee"
"102011028","Avoca Beach - Copacabana","11650","Central Coast (NSW)","Central Coast"
"102011029","Box Head - MacMasters Beach","11650","Central Coast (NSW)","Central Coast"
"102011030","Calga - Kulnura","11650","Central Coast (NSW)","Central Coast"
"102011031","Erina - Green Point","11650","Central Coast (NSW)","Central Coast"
"102011032","Gosford - Springfield","11650","Central Coast (NSW)","Central Coast"
"102011033","Kariong","11650","Central Coast (NSW)","Central Coast"
"102011034","Kincumber - Picketts Valley","11650","Central Coast (NSW)","Central Coast"
"102011035","Narara","11650","Central Coast (NSW)","Central Coast"
"102011036","Niagara Park - Lisarow","11650","Central Coast (NSW)","Central Coast"
"102011037","Point Clare - Koolewong","11650","Central Coast (NSW)","Central Coast"
"102011038","Saratoga - Davistown","11650","Central Coast (NSW)","Central Coast"
"102011039","Terrigal - North Avoca","11650","Central Coast (NSW)","Central Coast"
"102011040","Umina - Booker Bay - Patonga","11650","Central Coast (NSW)","Central Coast"
"102011041","Wamberal - Forresters Beach","11650","Central Coast (NSW)","Central Coast"
"102011042","Woy Woy - Blackwall","11650","Central Coast (NSW)","Central Coast"
"102011043","Wyoming","11650","Central Coast (NSW)","Central Coast"
"102021044","Bateau Bay - Killarney Vale","11650","Central Coast (NSW)","Central Coast"
"102021045","Blue Haven - San Remo","11650","Central Coast (NSW)","Central Coast"
"102021046","Budgewoi - Buff Point - Halekulani","11650","Central Coast (NSW)","Central Coast"
"102021047","Chittaway Bay - Tumbi Umbi","11650","Central Coast (NSW)","Central Coast"
"102021048","Gorokan - Kanwal - Charmhaven","11650","Central Coast (NSW)","Central Coast"
"102021049","Jilliby - Yarramalong","11650","Central Coast (NSW)","Central Coast"
"102021050","Lake Munmorah - Mannering Park","11650","Central Coast (NSW)","Central Coast"
"102021051","Ourimbah - Fountaindale","11650","Central Coast (NSW)","Central Coast"
"102021052","Summerland Point - Gwandalan","11650","Central Coast (NSW)","Central Coast"
"102021053","The Entrance","11650","Central Coast (NSW)","Central Coast"
"102021054","Toukley - Norah Head","11650","Central Coast (NSW)","Central Coast"
"102021055","Tuggerah - Kangy Angy","11650","Central Coast (NSW)","Central Coast"
"102021056","Warnervale - Wadalba","11650","Central Coast (NSW)","Central Coast"
"102021057","Wyong","11650","Central Coast (NSW)","Central Coast"
"103011059","Bathurst - East","10470","Bathurst Regional","Western NSW"
"103011060","Bathurst Surrounds","10470","Bathurst Regional","Western NSW"
"103011061","Oberon","16100","Oberon","Western NSW"
"103011612","Bathurst - South","10470","Bathurst Regional","Western NSW"
"103011613","Bathurst - West","10470","Bathurst Regional","Western NSW"
"103021062","Condobolin","14600","Lachlan","Western NSW"
"103021063","Cowra","12350","Cowra","Western NSW"
"103021064","Cowra Surrounds","12350","Cowra","Western NSW"
"103021065","Forbes","12900","Forbes","Western NSW"
