"sa2_name_2021","in_wslhd","in_metro","pop_size","australia_total","overseas","not_stated_cob","english","non_english","not_stated_lang"
"Braidwood",0,0,4343,3422,523,387,3789,174,372
"Karabar",0,0,8517,6522,1420,511,6750,1227,537
"Queanbeyan",0,0,11342,7697,3000,597,8097,2568,630
"Queanbeyan - East",0,0,5085,3593,1246,235,3788,1039,260
"Queanbeyan West - Jerrabomberra",0,0,12744,10156,2154,399,10701,1574,441
"Googong",0,0,6224,4808,1194,208,4879,1109,214
"Queanbeyan Surrounds",0,0,16539,13507,2064,935,14835,798,902
"Bombala",0,0,2454,2005,174,260,2162,54,226
"Cooma",0,0,6761,5264,1098,386,5588,620,559
"Cooma Surrounds",0,0,3472,2749,389,323,3026,129,302
"Jindabyne - Berridale",0,0,8035,6316,1120,564,6989,460,565
"Batemans Bay",0,0,8581,6678,1246,633,7555,457,579
"Batemans Bay - South",0,0,8938,6758,1405,753,7808,448,660
"Bega - Tathra",0,0,8872,7348,846,672,7898,338,621
"Bega-Eden Hinterland",0,0,9557,7727,1012,778,8673,204,683
"Broulee - Tomakin",0,0,3792,3081,440,251,3485,90,204
"Deua - Wadbilliga",0,0,43,28,0,10,32,0,5
"Eden",0,0,3425,2692,389,330,2998,104,315
"Eurobodalla Hinterland",0,0,3525,2753,357,403,3072,66,365
"Merimbula - Tura Beach",0,0,11513,9158,1657,676,10475,427,603
"Moruya - Tuross Head",0,0,8600,6785,979,786,7665,201,705
"Narooma - Bermagui",0,0,9888,7644,1420,818,8780,352,722
"Goulburn",0,0,24565,20465,2626,1445,21034,1653,1879
"Goulburn Surrounds",0,0,13839,11310,1258,1242,12212,476,1135
"Yass",0,0,6763,5796,595,334,6149,273,332
"Yass Surrounds",0,0,12713,10538,1392,745,11529,489,698
"Young",0,0,11004,9329,871,777,9544,762,691
"Young Surrounds",0,0,7677,6402,486,767,6787,205,665
"Avoca Beach - Copacabana",0,0,7513,5857,1390,242,6894,368,251
"Box Head - MacMasters Beach",0,0,11042,8766,1825,420,10127,499,411
"Calga - Kulnura",0,0,4716,3526,735,436,3908,380,396
"Erina - Green Point",0,0,14758,11044,3114,577,12628,1239,902
"Gosford - Springfield",0,0,21204,14848,5135,1182,16526,3464,1201
"Kariong",0,0,6485,5109,1165,172,5575,683,210
"Kincumber - Picketts Valley",0,0,7615,5975,1248,366,6898,374,356
"Narara",0,0,7157,5596,1367,178,6160,797,186
"Niagara Park - Lisarow",0,0,8205,6642,1319,202,7421,576,204
"Point Clare - Koolewong",0,0,6571,4889,1421,232,5624,681,249
"Saratoga - Davistown",0,0,7160,5935,961,250,6672,231,257
"Terrigal - North Avoca",0,0,14849,11169,3016,645,13120,1020,663
"Umina - Booker Bay - Patonga",0,0,24697,18968,4217,1497,21615,1603,1431
"Wamberal - Forresters Beach",0,0,10675,8690,1601,374,9770,518,380
"Woy Woy - Blackwall",0,0,14346,10776,2693,854,12254,1216,830
