"sa2_name_2021","irsd_score","rank_nsw","irsd_decile","irsd_percentile"
"Braidwood",1024,368,6,59
"Karabar",994,273,5,44
"Queanbeyan",1010,328,6,53
"Queanbeyan - East",1025,369,6,59
"Queanbeyan West - Jerrabomberra",1098,580,10,93
"Googong",1128,626,10,100
"Queanbeyan Surrounds",1098,577,10,93
"Bombala",965,180,3,29
"Cooma",982,232,4,38
"Cooma Surrounds",1039,414,7,67
"Jindabyne - Berridale",1054,457,8,73
"Batemans Bay",946,126,3,21
"Batemans Bay - South",989,251,5,41
"Bega - Tathra",975,208,4,34
"Bega-Eden Hinterland",991,256,5,41
"Broulee - Tomakin",1034,396,7,64
"Deua - Wadbilliga",1025,370,6,60
"Eden",910,71,2,12
"Eurobodalla Hinterland",995,276,5,45
"Merimbula - Tura Beach",1012,334,6,54
"Moruya - Tuross Head",993,269,5,43
"Narooma - Bermagui",986,241,4,39
"Goulburn",957,156,3,25
"Goulburn Surrounds",1017,348,6,56
"Yass",1018,351,6,56
"Yass Surrounds",1086,542,9,87
"Young",940,114,2,19
"Young Surrounds",970,191,4,31
"Avoca Beach - Copacabana",1079,514,9,82
"Box Head - MacMasters Beach",1064,488,8,78
"Calga - Kulnura",1027,376,6,60
"Erina - Green Point",1033,393,7,63
"Gosford - Springfield",983,233,4,38
"Kariong",1035,402,7,65
"Kincumber - Picketts Valley",1013,339,6,55
"Narara",1026,373,6,60
"Niagara Park - Lisarow",1040,416,7,67
"Point Clare - Koolewong",1033,391,7,63
"Saratoga - Davistown",1056,464,8,75
"Terrigal - North Avoca",1078,510,9,82
"Umina - Booker Bay - Patonga",977,216,4,35
"Wamberal - Forresters Beach",1081,519,9,83
"Woy Woy - Blackwall",951,137,3,22
"Wyoming",981,227,4,37
"Bateau Bay - Killarney Vale",991,260,5,42
"Blue Haven - San Remo",920,80,2,13
"Budgewoi - Buff Point - Halekulani",954,147,3,24
"Chittaway Bay - Tumbi Umbi",1018,352,6,57
"Gorokan - Kanwal - Charmhaven",917,76,2,13
"Jilliby - Yarramalong",1060,471,8,76
"Lake Munmorah - Mannering Park",952,141,3,23
"Ourimbah - Fountaindale",1052,451,8,72
"Summerland Point - Gwandalan",981,231,4,37
"The Entrance",945,123,2,20
"Toukley - Norah Head",939,111,2,18
"Tuggerah - Kangy Angy",1013,338,6,54
"Warnervale - Wadalba",1002,301,5,49
"Wyong",897,60,1,10
"Bathurst - East",984,234,4,38
"Bathurst Surrounds",1049,441,8,71
"Oberon",965,178,3,29
"Bathurst - South",939,113,2,19
"Bathurst - West",1011,330,6,53
"Condobolin",947,128,3,21
"Cowra",914,73,2,12
"Cowra Surrounds",974,201,4,33
"Forbes",968,185,3,30
"Grenfell",960,162,3,26
"Parkes (NSW)",946,127,3,21
"Parkes Surrounds",950,133,3,22
"West Wyalong",993,266,5,43
"Lithgow",910,69,2,12
"Lithgow Surrounds",971,193,4,31
"Mudgee",990,253,5,41
"Mudgee Surrounds - East",899,62,1,10
"Mudgee Surrounds - West",987,245,4,40
"Blayney",991,262,5,42
"Orange",956,149,3,24
"Orange - North",1027,374,6,60
"Orange Surrounds",1048,438,7,70
"Grafton",907,66,2,11
"Grafton Surrounds",951,139,3,23
"Maclean - Yamba - Iluka",967,183,3,30
"Bellingen",992,264,5,43
"Coffs Harbour - North",940,117,2,19
"Coffs Harbour - South",929,95,2,16
"Coramba - Nana Glen - Bucca",1024,367,6,59
"Dorrigo",948,130,3,21
"Korora - Emerald Beach",1053,454,8,73
"Sawtell - Boambee",976,211,4,34
"Urunga",968,184,3,30
"Woolgoolga - Arrawarra",972,197,4,32
"Bourke - Brewarrina",910,70,2,12
"Cobar",965,182,3,30
"Coonamble",893,54,1,9
"Nyngan - Warren",953,144,3,23
"Walgett - Lightning Ridge",883,44,1,8
"Broken Hill",913,72,2,12
"Far West",879,42,1,7
"Coonabarabran",924,88,2,15
"Dubbo - East",975,207,4,34
"Dubbo - South",1004,307,5,49
"Dubbo - West",976,210,4,34
"Dubbo Surrounds",1048,434,7,70
"Gilgandra",933,102,2,17
"Narromine",960,163,3,26
"Wellington",922,85,2,14
"Branxton - Greta - Pokolbin",1021,361,6,58
"Cessnock",895,56,1,9
"Cessnock Surrounds",1000,292,5,47
"Dungog",1009,324,6,52
"Kurri Kurri - Abermain",924,87,2,14
"Singleton",984,235,4,38
"Singleton Surrounds",1012,337,6,54
"Maitland",987,247,4,40
"Maitland - North",1064,486,8,78
"East Maitland - Metford",978,219,4,35
"Rutherford (North) - Aberglasslyn",987,246,4,40
"Rutherford (South) - Telarah",922,84,2,14
"Tenambit - East Maitland",976,212,4,34
"Thornton - Millers Forest",1034,395,7,63
"Anna Bay",1009,323,6,52
"Lemon Tree Passage - Tanilba Bay",937,110,2,18
"Nelson Bay Peninsula",1002,300,5,48
"Raymond Terrace",897,59,1,10
"Seaham - Woodville",1061,474,8,76
"Tea Gardens - Hawks Nest",998,289,5,47
"Williamtown - Medowie - Karuah",1005,311,5,50
"Muswellbrook",918,77,2,13
"Muswellbrook Surrounds",995,277,5,45
