sa2,"Northern European Languages, nfd",Celtic,English,German and Related Languages,Dutch and Related Languages,Scandinavian,Finnish and Related Languages,"Southern European Languages, nfd",French,Greek,Iberian Romance,Italian,Maltese,Other Southern European Languages,"Eastern European Languages, nfd",Baltic,Hungarian,East Slavic,South Slavic,West Slavic,Other Eastern European Languages,"Southwest and Central Asian Languages, nfd",Iranic,Middle Eastern Semitic Languages,Turkic,Other Southwest and Central Asian Languages,"Southern Asian Languages, nfd",Dravidian,Indo-Aryan,Other Southern Asian Languages,"Southeast Asian Languages, nfd",Burmese and Related Languages,Hmong-Mien,Mon-Khmer,Tai,Southeast Asian Austronesian Languages,Other Southeast Asian Languages,"Eastern Asian Languages, nfd",Chinese,Japanese,Korean,Other Eastern Asian Languages,"Australian Indigenous Languages, nfd",Arnhem Land and Daly River Region Languages,Yolngu Matha,Cape York Peninsula Languages,Torres Strait Island Languages,Northern Desert Fringe Area Languages,Arandic,Western Desert Languages,Kimberley Area Languages,Other Australian Indigenous Languages,"Other Languages, nfd",American Languages,African Languages,Pacific Austronesian Languages,Oceanian Pidgins and Creoles,Papua New Guinea Languages,Invented Languages,Sign Languages,Supplementary codes,Not stated
Braidwood,0,0,3789,16,13,7,7,0,22,6,14,10,0,0,0,0,0,0,4,5,4,0,0,17,0,0,0,0,10,0,0,0,0,0,3,19,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,13,372
Karabar,0,0,6750,24,3,3,4,0,10,23,27,113,5,0,0,0,11,17,380,27,3,0,12,21,0,4,0,27,192,4,0,0,0,39,18,83,0,0,61,6,4,0,0,0,0,0,0,0,0,0,0,17,0,0,19,63,4,0,0,5,15,537
Queanbeyan,0,0,8097,32,11,0,10,0,23,80,61,136,3,0,0,7,9,24,361,13,5,0,21,54,5,0,0,84,1064,14,0,9,0,29,18,238,0,0,77,12,27,0,4,0,0,0,0,0,0,0,0,12,0,0,41,61,0,3,0,6,31,630
Queanbeyan - East,0,7,3788,12,5,3,3,0,9,13,61,32,0,0,0,0,5,12,158,13,0,0,8,28,7,0,5,53,395,3,0,0,0,7,13,77,0,0,35,7,12,0,0,0,0,0,0,0,0,0,0,6,0,0,21,27,0,0,0,0,4,260
Queanbeyan West - Jerrabomberra,0,0,10701,36,43,5,8,0,31,43,90,124,16,0,0,4,13,39,344,25,9,0,20,22,27,0,0,62,260,0,0,0,0,11,25,102,0,0,112,13,10,0,5,3,0,0,0,0,0,0,0,14,0,0,14,42,0,0,0,4,20,441
Googong,0,0,4879,4,36,5,5,0,23,11,36,33,0,0,0,0,4,12,160,8,0,0,16,35,7,0,0,154,337,0,0,5,0,19,8,82,0,0,47,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18,0,0,0,0,16,214
Queanbeyan Surrounds,0,3,14835,50,40,12,24,0,60,33,67,128,3,0,0,8,3,14,97,33,0,0,0,9,0,0,0,3,36,4,0,0,0,13,14,33,0,0,49,14,4,4,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,4,0,7,9,902
Bombala,0,0,2162,9,0,0,0,0,0,0,3,0,0,0,0,0,0,15,5,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226
Cooma,0,3,5588,44,17,4,6,0,4,27,38,57,0,0,0,6,11,9,10,18,8,0,8,26,0,0,3,30,120,0,0,0,0,13,29,46,0,0,47,4,7,0,0,0,0,0,0,0,0,0,0,10,0,0,8,0,3,0,0,3,5,559
Cooma Surrounds,0,0,3026,23,11,0,4,0,7,0,13,15,5,0,0,0,0,5,8,12,0,0,0,13,0,0,0,0,4,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,302
